analysis_id,filename,corner_label,condition,bottom_left_x,bottom_left_y,top_x,top_y,bottom_right_x,bottom_right_y,image_width,image_height,max_analysis_dim
full__cym__cmyfullDSC_4513,cmyfullDSC_4513.tif,cym,full,1381.2631578947369,1141.1052631578948,836.0,202.0,295.0,1141.0,1800,1350,1800
full__cwy__cwyDSC_4517,cwyDSC_4517.tif,cwy,full,264.3157894736842,1142.5263157894738,862.578947368421,113.68421052631578,1443.7894736842104,1139.6842105263158,1800,1350,1800
full__cwm__cwmDSC_4519,cwmDSC_4519.tif,cwm,full,282.7894736842105,1129.7368421052631,888.1578947368421,116.52631578947368,1469.3684210526314,1142.5263157894738,1800,1350,1800
full__ywm__DSC_4523ywm,DSC_4523ywm.tif,ywm,full,275.6842105263158,1122.6315789473683,879.6315789473684,117.94736842105264,1453.7368421052631,1132.578947368421,1800,1350,1800
full__ywm__DSC_4524ywm,DSC_4524ywm.tif,ywm,full,278.5263157894737,1126.8947368421052,882.4736842105262,116.52631578947368,1459.421052631579,1136.842105263158,1800,1350,1800
full__cly__clyDSC_4529,clyDSC_4529.tif,cly,full,337.0,1132.0,892.421052631579,200.3684210526316,1427.0,1143.0,1800,1350,1800
full__clm__clmDSC_4531,clmDSC_4531.tif,clm,full,357.0,1114.0,920.842105263158,201.7894736842105,1440.0,1141.0,1800,1350,1800
full__ylm__DSC_4534ylm,DSC_4534ylm.tif,ylm,full,351.0,1126.8947368421052,918.0,205.0,1446.6315789473683,1138.2631578947369,1800,1350,1800
full__cny__cnyDSC_4536,cnyDSC_4536.tif,cny,full,351.0,1134.0,901.0,204.0,1437.0,1140.0,1800,1350,1800
full__cnm__DSC_4539cnm,DSC_4539cnm.tif,cnm,full,371.0,1121.0,926.0,203.0,1458.0,1137.0,1800,1350,1800
full__ynm__DSC_4541ynm,DSC_4541ynm.tif,ynm,full,342.4736842105263,1131.157894736842,916.0,203.0,1434.0,1138.0,1800,1350,1800
full__cky__DSC_4542cky,DSC_4542cky.tif,cky,full,343.89473684210526,1129.7368421052631,906.0,203.0,1433.0,1135.0,1800,1350,1800
full__kcm__DSC_4544kcm,DSC_4544kcm.tif,kcm,full,382.2631578947368,1126.8947368421052,945.0,206.05263157894737,1466.5263157894738,1136.842105263158,1800,1350,1800
full__mky__DSC_4547mky,DSC_4547mky.tif,mky,full,356.6842105263158,1129.7368421052631,914.0,203.0,1442.0,1139.0,1800,1350,1800
full__coy__DSC_4549coy,DSC_4549coy.tif,coy,full,367.0,1116.0,925.1052631578948,206.05263157894737,1450.0,1134.0,1800,1350,1800
full__com__DSC_4551com,DSC_4551com.tif,com,full,374.0,1125.0,920.842105263158,204.6315789473684,1456.0,1141.0,1800,1350,1800
