region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_g,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
1,cgm_full_001_mg,cgm,full,my,mg,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#726c7d,0.44509803921568625,0.4235294117647059,0.4882352941176471,46.627535482316695,5.590572036020647,-8.359464096449232,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full
2,cgm_full_002_cmg,cgm,full,cmy,cmg,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#5f8b9c,0.37254901960784315,0.5437908496732026,0.6130718954248366,55.290167864338,-10.233918840829581,-14.121531410722499,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full
3,cgm_full_003_cmgmg,cgm,full,cmymy,cmgmg,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#667e90,0.4015686274509804,0.49568627450980396,0.5631372549019609,51.6934427404931,-4.442586050808883,-12.122647468866887,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full
4,cgm_full_004_mgmgg,cgm,full,mymyy,mgmgg,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#617d77,0.3811764705882353,0.4886274509803922,0.4682352941176471,50.048780298099175,-11.011596685547298,-0.4100021177099622,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full
5,cgm_full_005_mgg,cgm,full,myy,mgg,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#568874,0.33856209150326794,0.5320261437908497,0.4549019607843137,52.695630696077046,-21.313046076856747,5.328256157381528,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full
6,cgm_full_006_cgmgmg,cgm,full,cymymy,cgmgmg,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#5b8988,0.35555555555555557,0.5379084967320261,0.5339869281045752,53.9497232242863,-15.951743003437935,-4.501325861504379,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full
7,cgm_full_007_mggg,cgm,full,myyy,mggg,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#499670,0.2852941176470588,0.5862745098039216,0.43823529411764706,56.310473320535195,-32.957780310672206,12.791458236792131,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full
8,cgm_full_008_mgggg,cgm,full,myyyy,mgggg,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#419e6d,0.2533333333333333,0.6188235294117648,0.42823529411764705,58.60463547244893,-39.21956808765342,17.35034488308449,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full
9,cgm_full_009_mggggg,cgm,full,myyyyy,mggggg,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#3ba36c,0.23202614379084965,0.6405228758169935,0.4215686274509804,60.17504856379003,-43.089333764619155,20.401444684292724,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full
10,cgm_full_010_g,cgm,full,y,g,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#20bf63,0.12549019607843137,0.7490196078431373,0.38823529411764707,68.36328344031337,-59.093631377102774,35.49547851450803,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full
