region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_g,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,cgm_full_001_mg,cgm,full,my,mg,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#726c7d,0.44509803921568625,0.4235294117647059,0.4882352941176471,46.627535482316695,5.590572036020647,-8.359464096449232,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full,1797,9472,4020,1834,1797,1834,1.0,0.65,0.65,8,98.0,4.486326453463104,37,0.020174482006543076,#9a8f86,0.6039216,0.56078434,0.5254902,60.05223136361268,2.1270795278741095,6.4202429565324515,60.00776645629672,2.4593572043144576,6.2552797843472305,18.585485628792632,20.26469788650275,1.2566696744756893,3.18297931249938,1.006731288096726,71.66953983862322,6.763430116354105,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
2,cgm_full_002_cmg,cgm,full,cmy,cmg,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#5f8b9c,0.37254901960784315,0.5437908496732026,0.6130718954248366,55.290167864338,-10.233918840829581,-14.121531410722499,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full,4167,16594,7102,4252,4167,4252,1.0,0.65,0.65,8,98.0,4.9372807751048144,85,0.019990592662276575,#859ca5,0.52156866,0.6117647,0.64705884,62.8048179147532,-5.992536884994237,-8.110563359234725,62.609968093726245,-5.8903215560703055,-7.81172807607401,8.338481745180292,10.516226661283863,2.4358814082809936,3.787856273043968,0.9908865044577715,233.540942543258,10.084232064077923,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
3,cgm_full_003_cmgmg,cgm,full,cmymy,cmgmg,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#667e90,0.4015686274509804,0.49568627450980396,0.5631372549019609,51.6934427404931,-4.442586050808883,-12.122647468866887,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full,2893,13662,5824,2951,2893,2399,0.8129447644866147,0.65,0.65,8,98.0,6.596985150393927,58,0.01965435445611657,#8b9595,0.54509807,0.58431375,0.58431375,61.02339715064436,-4.072465362877309,-1.8160809193850325,61.43056715579088,-4.17643150393075,-1.830699888904605,11.654190871831865,13.907205062773546,3.6440438979870335,5.274672294598177,1.3619318161230378,204.03407106559516,4.459049678753288,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
4,cgm_full_004_mgmgg,cgm,full,mymyy,mgmgg,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#617d77,0.3811764705882353,0.4886274509803922,0.4682352941176471,50.048780298099175,-11.011596685547298,-0.4100021177099622,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full,1051,7142,3016,1072,1051,1072,1.0,0.65,0.65,8,98.0,5.476014027841248,21,0.01958955223880597,#909882,0.5647059,0.59607846,0.50980395,61.701857271390296,-6.998327138807381,11.223236452387608,61.66489284333806,-7.017400945968593,10.908474146776827,14.758538146804517,16.947943091391462,2.2220668423484367,4.258787368303148,1.2341752537162223,121.94588905201607,13.226398572853077,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
5,cgm_full_005_mgg,cgm,full,myy,mgg,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#568874,0.33856209150326794,0.5320261437908497,0.4549019607843137,52.695630696077046,-21.313046076856747,5.328256157381528,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full,1253,7505,3192,1279,1253,1279,1.0,0.65,0.65,8,98.0,2.565077932580766,26,0.020328381548084442,#8d9e83,0.5529412,0.61960787,0.5137255,63.14636795440336,-11.873804960611745,12.77159709873179,63.29125459729481,-11.766885683439362,12.563316760278038,12.978840312314865,15.928606544904076,1.2429682386764769,2.051265627764572,0.5213682763034712,132.91372993582428,17.438490092177773,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
6,cgm_full_006_cgmgmg,cgm,full,cymymy,cgmgmg,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#5b8988,0.35555555555555557,0.5379084967320261,0.5339869281045752,53.9497232242863,-15.951743003437935,-4.501325861504379,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full,3590,15080,6386,3663,3590,3663,1.0,0.65,0.65,8,98.0,7.288629000701862,73,0.01992901992901993,#879b8e,0.5294118,0.60784316,0.5568628,62.245132277950376,-9.616783240713023,4.115690974226327,63.02297556296255,-10.215880815619887,3.97306875533783,11.23979731944592,13.535084252054805,3.7587302599319488,6.640988422681456,1.6993170456133628,156.830546887727,10.460469974823642,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
7,cgm_full_007_mggg,cgm,full,myyy,mggg,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#499670,0.2852941176470588,0.5862745098039216,0.43823529411764706,56.310473320535195,-32.957780310672206,12.791458236792131,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full,764,5722,2479,780,764,780,1.0,0.65,0.65,8,98.0,3.798682035042877,16,0.020512820512820513,#87a882,0.5294118,0.65882355,0.50980395,65.61347074335467,-18.839614917268378,16.349708164605595,65.58153241281306,-18.898586048537233,16.07980401163199,11.251173976605038,17.278006183390367,1.680913374602391,2.6985912964956316,0.7319374368306998,139.04735769985865,24.944820049435755,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
8,cgm_full_008_mgggg,cgm,full,myyyy,mgggg,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#419e6d,0.2533333333333333,0.6188235294117648,0.42823529411764705,58.60463547244893,-39.21956808765342,17.35034488308449,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full,275,3924,1713,281,275,281,1.0,0.65,0.65,8,98.0,4.152278570514477,6,0.021352313167259787,#82b081,0.50980395,0.6901961,0.5058824,67.56150985077983,-24.571525688947105,19.26532673566772,67.28166908561236,-24.14942360990984,18.941013799610715,10.153801075449998,17.275934135068397,1.5941179830410948,2.857635817452367,0.8688691252204579,141.90174792432924,31.22359186439992,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
9,cgm_full_009_mggggg,cgm,full,myyyyy,mggggg,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#3ba36c,0.23202614379084965,0.6405228758169935,0.4215686274509804,60.17504856379003,-43.089333764619155,20.401444684292724,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full,1669,8938,3822,1701,1669,1701,1.0,0.65,0.65,8,98.0,4.43516459581664,32,0.0188124632569077,#80b583,0.5019608,0.70980394,0.5137255,68.96922869513311,-27.73103130536525,20.4545765099313,68.71745412534142,-27.03243169643258,19.988555595757237,9.623795693089939,17.697962639900947,1.6570479920611922,3.5641180656929063,1.037593194154009,143.58728995662722,34.458667958291436,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
10,cgm_full_010_g,cgm,full,y,g,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#20bf63,0.12549019607843137,0.7490196078431373,0.38823529411764707,68.36328344031337,-59.093631377102774,35.49547851450803,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full,497,4790,2043,507,497,507,1.0,0.65,0.65,8,98.0,0.8416795481694425,10,0.01972386587771203,#76d587,0.4627451,0.8352941,0.5294118,78.0266471020492,-44.60079301885101,30.29695952666607,78.03472218057284,-44.68452123781635,30.23185969648385,8.368649608568823,18.17821665082479,0.3505961804599241,0.655312168027299,0.17657145169157376,145.81204800946932,53.91786804456228,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
