region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_g,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
1,cgy_full_001_yg,cgy,full,my,yg,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#90cf32,0.5627450980392157,0.8117647058823529,0.19411764705882353,76.5181876914217,-42.83550403159575,66.51630663705663,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full
2,cgy_full_002_cyg,cgy,full,cmy,cyg,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#73cd6a,0.45098039215686275,0.8026143790849672,0.4169934640522876,74.94694210269297,-46.22042312408819,40.57762857567124,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full
3,cgy_full_003_cygyg,cgy,full,cmymy,cygyg,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#7ece54,0.49568627450980396,0.8062745098039216,0.32784313725490194,75.48153167409976,-45.6782634539617,52.025744529991336,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full
4,cgy_full_004_ygygg,cgy,full,mymyy,ygygg,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#79cc3b,0.4752941176470588,0.7992156862745098,0.23294117647058826,74.50114012845992,-48.68639350873899,60.78178216902822,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full
5,cgy_full_005_ygg,cgy,full,myy,ygg,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#6aca42,0.4169934640522876,0.7908496732026143,0.25882352941176473,73.25969245824507,-52.014165739953434,56.76698040935824,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full
6,cgy_full_006_cgygyg,cgy,full,cymymy,cgygyg,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#6fcb56,0.4339869281045752,0.7967320261437908,0.3379084967320261,74.07525136463373,-49.36446651848059,49.073070078521994,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full
7,cgy_full_007_yggg,cgy,full,myyy,yggg,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#58c74a,0.34411764705882353,0.7803921568627451,0.2911764705882353,71.82897302151117,-55.38767028341801,51.58503391875486,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full
8,cgy_full_008_ygggg,cgy,full,myyyy,ygggg,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#4dc54f,0.3003921568627451,0.7741176470588236,0.31058823529411766,71.03654604530183,-56.93654278886323,48.41164853265205,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full
9,cgy_full_009_yggggg,cgy,full,myyyyy,yggggg,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#45c453,0.27124183006535946,0.7699346405228757,0.3235294117647059,70.53602375476497,-57.754472440015306,46.277001016038554,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full
10,cgy_full_010_g,cgy,full,y,g,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#20bf63,0.12549019607843137,0.7490196078431373,0.38823529411764707,68.36328344031337,-59.093631377102774,35.49547851450803,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full
