region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_g,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,cgy_full_001_yg,cgy,full,my,yg,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#90cf32,0.5627450980392157,0.8117647058823529,0.19411764705882353,76.5181876914217,-42.83550403159575,66.51630663705663,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full,1817,9597,4054,1854,1817,1854,1.0,0.65,0.65,8,98.0,1.6144780788444297,37,0.019956850053937433,#95e56d,0.58431375,0.8980392,0.42745098,83.75502163477475,-45.573850903081414,50.7806387136893,83.7755125474914,-45.5861836177531,50.70557054204886,7.480762414341228,17.53515195562142,0.6819651953861722,1.209873347522915,0.32932254292396884,131.9068686369926,68.23231752114634,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4566cgy.tif,DSC_4566cgy.tif,DSC_4566,cgy,capture_number,4566,c,g,y,CMY+OVG,full__cgy__DSC_4566cgy,0.5462822458270106
2,cgy_full_002_cyg,cgy,full,cmy,cyg,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#73cd6a,0.45098039215686275,0.8026143790849672,0.4169934640522876,74.94694210269297,-46.22042312408819,40.57762857567124,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full,4266,16776,7236,4352,4266,4352,1.0,0.65,0.65,8,98.0,3.969574426593265,86,0.019761029411764705,#86ce8f,0.5254902,0.80784315,0.56078434,76.65380291573159,-35.320256753400834,24.39744171588565,76.7426511071876,-35.170394201986646,24.28174341729825,6.359328466516202,19.5838057476408,1.5674361239223409,2.60783485176977,0.7544532885560196,145.36525107053933,42.9273304481678,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4566cgy.tif,DSC_4566cgy.tif,DSC_4566,cgy,capture_number,4566,c,g,y,CMY+OVG,full__cgy__DSC_4566cgy,0.5462822458270106
3,cgy_full_003_cygyg,cgy,full,cmymy,cygyg,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#7ece54,0.49568627450980396,0.8062745098039216,0.32784313725490194,75.48153167409976,-45.6782634539617,52.025744529991336,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full,2940,13802,5880,2998,2940,2998,1.0,0.65,0.65,8,98.0,5.3455109302179835,58,0.019346230820547032,#8cd57f,0.54901963,0.8352941,0.49803922,78.76297781188998,-39.000635137489496,34.61167681538967,78.69811145312264,-38.33255967801487,33.585131711945394,6.150973530249826,18.93695759769509,1.6027975180341216,3.6043456364786657,1.090696396730854,138.41208470664026,52.14420114548273,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4566cgy.tif,DSC_4566cgy.tif,DSC_4566,cgy,capture_number,4566,c,g,y,CMY+OVG,full__cgy__DSC_4566cgy,0.5462822458270106
4,cgy_full_004_ygygg,cgy,full,mymyy,ygygg,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#79cc3b,0.4752941176470588,0.7992156862745098,0.23294117647058826,74.50114012845992,-48.68639350873899,60.78178216902822,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full,1100,7221,3098,1123,1100,1123,1.0,0.65,0.65,8,98.0,1.6640867368629892,23,0.020480854853072127,#8fe273,0.56078434,0.8862745,0.4509804,82.59456839666755,-45.68453128048147,46.414856142602815,82.53739381165605,-45.75875967668736,46.53440971670079,7.123697686571169,16.760767327865427,0.7983908417924322,1.3297978515360016,0.39438906423338355,134.54566847399246,65.12614888856706,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4566cgy.tif,DSC_4566cgy.tif,DSC_4566,cgy,capture_number,4566,c,g,y,CMY+OVG,full__cgy__DSC_4566cgy,0.5462822458270106
5,cgy_full_005_ygg,cgy,full,myy,ygg,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#6aca42,0.4169934640522876,0.7908496732026143,0.25882352941176473,73.25969245824507,-52.014165739953434,56.76698040935824,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full,1256,7548,3192,1279,1256,1279,1.0,0.65,0.65,8,98.0,1.3426314860033277,23,0.017982799061767005,#8ae077,0.5411765,0.8784314,0.46666667,81.8886433478607,-45.786255787295836,43.25956109201101,81.84156151763959,-45.79107761772699,43.384001840784116,7.301038390145676,17.195814387473913,0.6839218496747309,1.0558227593358591,0.2606459891199042,136.62534425834167,62.99024404535288,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4566cgy.tif,DSC_4566cgy.tif,DSC_4566,cgy,capture_number,4566,c,g,y,CMY+OVG,full__cgy__DSC_4566cgy,0.5462822458270106
6,cgy_full_006_cgygyg,cgy,full,cymymy,cgygyg,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#6fcb56,0.4339869281045752,0.7967320261437908,0.3379084967320261,74.07525136463373,-49.36446651848059,49.073070078521994,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full,3624,15123,6435,3697,3624,3697,1.0,0.65,0.65,8,98.0,5.531035395498193,73,0.019745739789018123,#87d480,0.5294118,0.83137256,0.5019608,78.5662161341165,-40.30220789185701,34.454463662617606,78.58282819170383,-39.67961535248092,32.904255192371075,5.832985254245302,17.776303032961323,1.7245282684739263,4.291683437839867,1.3369614933508869,139.47278039977965,53.02242947316822,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4566cgy.tif,DSC_4566cgy.tif,DSC_4566,cgy,capture_number,4566,c,g,y,CMY+OVG,full__cgy__DSC_4566cgy,0.5462822458270106
7,cgy_full_007_yggg,cgy,full,myyy,yggg,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#58c74a,0.34411764705882353,0.7803921568627451,0.2911764705882353,71.82897302151117,-55.38767028341801,51.58503391875486,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full,757,5772,2468,772,757,772,1.0,0.65,0.65,8,98.0,1.5359763182673107,15,0.019430051813471502,#85de79,0.52156866,0.87058824,0.4745098,80.88279219858507,-45.968405057925764,40.84106194126185,80.99372832610666,-45.77183040532933,40.983361102719506,7.4132832453230595,16.915292871613943,0.6319694622071477,1.2630680446675293,0.3363061100950918,138.38020982393482,61.49054076896317,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4566cgy.tif,DSC_4566cgy.tif,DSC_4566,cgy,capture_number,4566,c,g,y,CMY+OVG,full__cgy__DSC_4566cgy,0.5462822458270106
8,cgy_full_008_ygggg,cgy,full,myyyy,ygggg,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#4dc54f,0.3003921568627451,0.7741176470588236,0.31058823529411766,71.03654604530183,-56.93654278886323,48.41164853265205,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full,260,3990,1696,264,260,264,1.0,0.65,0.65,8,98.0,1.4058579575851298,4,0.015151515151515152,#82dc7f,0.50980395,0.8627451,0.49803922,80.51354347758618,-45.4402517942854,37.77353807229771,80.49002144588903,-45.21202704631296,37.457131616294056,7.899949819800046,18.307036383047798,0.8267111285091123,1.2492522274996514,0.31922238219822624,140.26395595156634,59.09024167853253,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4566cgy.tif,DSC_4566cgy.tif,DSC_4566,cgy,capture_number,4566,c,g,y,CMY+OVG,full__cgy__DSC_4566cgy,0.5462822458270106
9,cgy_full_009_yggggg,cgy,full,myyyyy,yggggg,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#45c453,0.27124183006535946,0.7699346405228757,0.3235294117647059,70.53602375476497,-57.754472440015306,46.277001016038554,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full,1681,9045,3836,1716,1681,1716,1.0,0.65,0.65,8,98.0,1.8313080532185906,35,0.020396270396270396,#80db7f,0.5019608,0.85882354,0.49803922,80.14520526088286,-45.636621140043744,37.03496696027613,80.21045350979621,-45.55423805619992,37.06355750615107,7.969590772335104,18.016489192781513,0.7232964366362354,1.3350632113762606,0.3884995496285928,140.94002769030783,58.77320789976188,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4566cgy.tif,DSC_4566cgy.tif,DSC_4566,cgy,capture_number,4566,c,g,y,CMY+OVG,full__cgy__DSC_4566cgy,0.5462822458270106
10,cgy_full_010_g,cgy,full,y,g,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#20bf63,0.12549019607843137,0.7490196078431373,0.38823529411764707,68.36328344031337,-59.093631377102774,35.49547851450803,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full,513,4790,2075,523,513,523,1.0,0.65,0.65,8,98.0,0.9895420291829259,10,0.019120458891013385,#75d588,0.45882353,0.8352941,0.53333336,77.97764301780525,-44.74903821286996,29.933513607304118,78.0324934231607,-44.857653284307474,30.032311921651093,8.317973646474062,18.142180595552244,0.5109060921952099,0.733578068292815,0.18333637000017505,146.22065551994052,53.83764164462961,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4566cgy.tif,DSC_4566cgy.tif,DSC_4566,cgy,capture_number,4566,c,g,y,CMY+OVG,full__cgy__DSC_4566cgy,0.5462822458270106
