region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_k,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
1,cky_full_001_yk,cky,full,my,yk,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#8a7a0a,0.5392156862745098,0.4764705882352941,0.0392156862745098,50.89729237511497,-4.702436638467478,54.43291229936329,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full
2,cky_full_002_cyk,cky,full,cmy,cyk,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#6f9450,0.43529411764705883,0.5790849673202614,0.3137254901960784,57.108171618355996,-25.141836577439737,31.666450706858374,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full
3,cky_full_003_cykyk,cky,full,cmymy,cykyk,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#7a8934,0.4768627450980392,0.5380392156862744,0.20392156862745098,54.34884394728378,-18.43463312226451,42.6155051816541,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full
4,cky_full_004_ykykk,cky,full,mymyy,ykykk,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#72650c,0.4470588235294118,0.3968627450980392,0.047058823529411764,42.68900819011868,-4.390174965222315,46.44917314860601,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full
5,cky_full_005_ykk,cky,full,myy,ykk,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#62580d,0.3856209150326797,0.34379084967320256,0.05228758169934641,37.06018125678953,-4.145265022180434,40.6687182120301,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full
6,cky_full_006_ckykyk,cky,full,cymymy,ckykyk,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#69762f,0.4104575163398693,0.4614379084967321,0.1830065359477124,47.058674117572174,-15.968964690137366,36.70498091863842,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full
7,cky_full_007_ykkk,cky,full,myyy,ykkk,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#4f470f,0.30882352941176466,0.2774509803921568,0.058823529411764705,29.815195628927015,-3.762198880833262,32.702903336487324,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full
8,cky_full_008_ykkkk,cky,full,myyyy,ykkkk,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#433d10,0.26274509803921564,0.23764705882352938,0.06274509803921569,25.33872203376457,-3.4598535169804157,27.3922126056074,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full
9,cky_full_009_ykkkkk,cky,full,myyyyy,ykkkkk,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#3b3611,0.23202614379084963,0.21111111111111105,0.06535947712418301,22.29285246134645,-3.207457523707297,23.571384804906582,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full
10,cky_full_010_k,cky,full,y,k,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#141414,0.0784313725490196,0.0784313725490196,0.0784313725490196,6.318928745123017,-2.7236759098103747e-06,1.0894703639241499e-06,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full
