region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_k,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,cky_full_001_yk,cky,full,my,yk,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#8a7a0a,0.5392156862745098,0.4764705882352941,0.0392156862745098,50.89729237511497,-4.702436638467478,54.43291229936329,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full,1811,9484,4032,1848,1811,1848,1.0,0.65,0.65,8,98.0,7.794385627400469,37,0.02002164502164502,#464b3e,0.27450982,0.29411766,0.24313726,31.12425335104917,-5.193107107078792,7.725999936654904,31.54017292319394,-5.250937973373834,7.552333723105832,26.85720902622062,50.722278066089636,2.3249375085755712,5.172386869089806,1.5540979917273032,123.90741051551043,9.309105029313175,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4542cky.tif,DSC_4542cky.tif,DSC_4542,cky,capture_number,4542,c,k,y,CMY+neutral,full__cky__DSC_4542cky,0.5469462169553327
2,cky_full_002_cyk,cky,full,cmy,cyk,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#6f9450,0.43529411764705883,0.5790849673202614,0.3137254901960784,57.108171618355996,-25.141836577439737,31.666450706858374,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full,4102,16612,7021,4185,4102,4185,1.0,0.65,0.65,8,98.0,18.605465918124725,83,0.01983273596176822,#4d5d59,0.3019608,0.3647059,0.34901962,38.10314692890694,-6.5636177328062395,0.039303941410095966,38.43771483252772,-6.8098526558297205,0.25570536154826845,26.780296834607697,41.31122839385037,6.699576317543059,11.152642397167845,3.452946609112741,179.6569082575345,6.5637354107412715,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4542cky.tif,DSC_4542cky.tif,DSC_4542,cky,capture_number,4542,c,k,y,CMY+neutral,full__cky__DSC_4542cky,0.5469462169553327
3,cky_full_003_cykyk,cky,full,cmymy,cykyk,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#7a8934,0.4768627450980392,0.5380392156862744,0.20392156862745098,54.34884394728378,-18.43463312226451,42.6155051816541,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full,2908,13804,5848,2968,2908,2867,0.9659703504043127,0.65,0.65,8,98.0,17.325821184466196,60,0.02021563342318059,#444d45,0.26666668,0.3019608,0.27058825,31.608963163755387,-5.092213216973812,1.4117655074688207,33.70191236407565,-5.435142264302613,1.49159578061852,29.59329692693073,48.91697568448208,5.265676601623001,12.781534257287149,3.8515002572148886,164.5044948803352,5.284289667987692,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4542cky.tif,DSC_4542cky.tif,DSC_4542,cky,capture_number,4542,c,k,y,CMY+neutral,full__cky__DSC_4542cky,0.5469462169553327
4,cky_full_004_ykykk,cky,full,mymyy,ykykk,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#72650c,0.4470588235294118,0.3968627450980392,0.047058823529411764,42.68900819011868,-4.390174965222315,46.44917314860601,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full,1050,7229,3003,1072,1050,920,0.8582089552238806,0.65,0.65,8,98.0,9.39964888105048,22,0.020522388059701493,#40443c,0.24901962,0.26666668,0.23529412,28.00290254331845,-3.3872305177295168,4.677636014753666,28.435171882837214,-3.6155208249893453,4.65759737802637,23.27659401426724,44.28937695608891,3.1679763143674133,6.673393482646969,2.1065885155813446,125.90953707570696,5.775258372294588,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4542cky.tif,DSC_4542cky.tif,DSC_4542,cky,capture_number,4542,c,k,y,CMY+neutral,full__cky__DSC_4542cky,0.5469462169553327
5,cky_full_005_ykk,cky,full,myy,ykk,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#62580d,0.3856209150326797,0.34379084967320256,0.05228758169934641,37.06018125678953,-4.145265022180434,40.6687182120301,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full,1267,7522,3207,1293,1267,747,0.5777262180974478,0.65,0.65,8,98.0,7.047140256661189,26,0.020108275328692964,#3a3d38,0.22745098,0.23921569,0.21960784,25.328730216118863,-2.195036212438106,2.8122939205385222,26.168485926962372,-2.4616548757348036,3.1090758281304525,21.463384546015227,39.68046365741503,1.712369314933625,5.063278206363546,1.6723596461284531,127.9725546246479,3.5675174939182233,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4542cky.tif,DSC_4542cky.tif,DSC_4542,cky,capture_number,4542,c,k,y,CMY+neutral,full__cky__DSC_4542cky,0.5469462169553327
6,cky_full_006_ckykyk,cky,full,cymymy,ckykyk,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#69762f,0.4104575163398693,0.4614379084967321,0.1830065359477124,47.058674117572174,-15.968964690137366,36.70498091863842,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full,3578,15001,6400,3652,3578,3572,0.9780941949616648,0.65,0.65,8,98.0,12.358241289606553,74,0.020262869660460023,#424944,0.25882354,0.28627452,0.26666668,30.1990971914816,-3.8299106617415424,2.8886955888236976,30.370617248945585,-3.6011431129693396,1.6983711064086564,23.402490676278724,39.68807277178524,3.990054866047962,8.934946989750111,2.7444632030926783,142.9747140205884,4.79716352460608,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4542cky.tif,DSC_4542cky.tif,DSC_4542,cky,capture_number,4542,c,k,y,CMY+neutral,full__cky__DSC_4542cky,0.5469462169553327
7,cky_full_007_ykkk,cky,full,myyy,ykkk,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#4f470f,0.30882352941176466,0.2774509803921568,0.058823529411764705,29.815195628927015,-3.762198880833262,32.702903336487324,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full,742,5744,2440,758,742,502,0.662269129287599,0.65,0.65,8,98.0,12.717508398714866,16,0.021108179419525065,#3b3d39,0.23137255,0.2372549,0.22352941,25.253607495681106,-2.1831060013455805,2.820370301129771,26.876012282560943,-2.452625365554869,3.000151423375576,17.169606611249925,30.269909171133204,3.1346486573927184,6.948029136875848,2.36687187144313,127.74164186534199,3.566572647319261,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4542cky.tif,DSC_4542cky.tif,DSC_4542,cky,capture_number,4542,c,k,y,CMY+neutral,full__cky__DSC_4542cky,0.5469462169553327
8,cky_full_008_ykkkk,cky,full,myyyy,ykkkk,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#433d10,0.26274509803921564,0.23764705882352938,0.06274509803921569,25.33872203376457,-3.4598535169804157,27.3922126056074,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full,249,3970,1673,254,249,3,0.011811023622047244,0.65,0.65,8,98.0,5.733094839081248,5,0.01968503937007874,#383838,0.21960784,0.21960784,0.21960784,23.520860126006447,-0.4564691513876118,0.4731179280243025,23.97260460289761,-0.7513270111232262,0.6821091079204402,16.733535303033342,27.1470550488234,1.6938322244213435,3.743468914547846,1.3066788640252236,133.97395017250545,0.6574227406977459,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4542cky.tif,DSC_4542cky.tif,DSC_4542,cky,capture_number,4542,c,k,y,CMY+neutral,full__cky__DSC_4542cky,0.5469462169553327
9,cky_full_009_ykkkkk,cky,full,myyyyy,ykkkkk,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#3b3611,0.23202614379084963,0.21111111111111105,0.06535947712418301,22.29285246134645,-3.207457523707297,23.571384804906582,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full,1665,8859,3831,1696,1665,3,0.001768867924528302,0.65,0.65,8,98.0,8.105424026547036,31,0.018278301886792452,#393938,0.22352941,0.22352941,0.21960784,23.939523282694687,-0.4354403265188489,0.6219509015344626,25.026967273700155,-0.8589801304261961,0.9669642765249288,15.048685496165156,23.17481651751819,1.6827902711301717,6.039141048656437,2.0193754013134564,124.99663815546177,0.7592306644744881,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4542cky.tif,DSC_4542cky.tif,DSC_4542,cky,capture_number,4542,c,k,y,CMY+neutral,full__cky__DSC_4542cky,0.5469462169553327
10,cky_full_010_k,cky,full,y,k,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#141414,0.0784313725490196,0.0784313725490196,0.0784313725490196,6.318928745123017,-2.7236759098103747e-06,1.0894703639241499e-06,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full,498,4783,2044,508,498,0,0.0,0.65,0.65,8,98.0,1.7912156978988971,10,0.01968503937007874,#39393a,0.22352941,0.22352941,0.22745098,24.004513786402065,0.23058507379236648,-0.620967335900513,24.096939256854746,0.41017497012794096,-0.7225243618166902,11.669110534563712,17.69798550033201,0.6976496116926119,1.1874327124346191,0.4302164088353689,290.37157524380046,0.6623970927708028,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4542cky.tif,DSC_4542cky.tif,DSC_4542,cky,capture_number,4542,c,k,y,CMY+neutral,full__cky__DSC_4542cky,0.5469462169553327
