region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_l,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,clm_full_001_ml,clm,full,my,ml,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#c571ac,0.7745098039215685,0.44313725490196076,0.6745098039215687,58.72265684725714,41.379477952339485,-17.05358096661975,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full,1794,9431,4005,1831,1794,1831,1.0,0.65,0.65,8,98.0,2.2395678448495002,37,0.020207536865101038,#c6a2b7,0.7764706,0.63529414,0.7176471,70.39139291874399,16.38516438090565,-5.95887479427093,70.37484640541523,16.49037748860946,-5.973495008275134,15.078807465097352,29.731592918374467,0.572450734992275,1.2331606034777498,0.41003551725170945,340.0149379098321,17.435073862851763,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clmDSC_4531.tif,clmDSC_4531.tif,DSC_4531,clm,capture_number,4531,c,l,m,CMY+neutral,full__clm__clmDSC_4531,0.5418422636965683
2,clm_full_002_cml,clm,full,cmy,cml,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#978ebc,0.592156862745098,0.5568627450980391,0.7372549019607844,61.26909812861507,12.996491435694924,-22.718322756556454,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full,4082,16349,6981,4158,4082,4158,1.0,0.65,0.65,8,98.0,3.916560247927096,76,0.01827801827801828,#a1a4c1,0.6313726,0.6431373,0.75686276,68.03719854892815,4.7039014500718235,-15.112280069113936,68.20473799871091,4.747507299747397,-15.043366821333388,8.684207897688465,13.131112570239292,1.683408026390389,3.067236410829745,0.9059106593065798,287.2894596569645,15.827434970307921,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clmDSC_4531.tif,clmDSC_4531.tif,DSC_4531,clm,capture_number,4531,c,l,m,CMY+neutral,full__clm__clmDSC_4531,0.5418422636965683
3,clm_full_003_cmlml,clm,full,cmymy,cmlml,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#aa82b6,0.6650980392156862,0.5113725490196078,0.712156862745098,59.829951473184636,24.313262510965995,-21.142932331344944,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full,2909,13534,5810,2969,2909,2969,1.0,0.65,0.65,8,98.0,4.568127222892255,60,0.020208824520040417,#b1a6bd,0.69411767,0.6509804,0.7411765,69.79138167707275,8.384028884083294,-10.835216741871223,69.34648931401186,8.4371849624225,-10.976242712239785,13.204990653015075,21.429409145383,2.985473729932972,4.063179461116949,0.9979163462486315,307.73183827058625,13.700140954474499,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clmDSC_4531.tif,clmDSC_4531.tif,DSC_4531,clm,capture_number,4531,c,l,m,CMY+neutral,full__clm__clmDSC_4531,0.5418422636965683
4,clm_full_004_mlmll,clm,full,mymyy,mlmll,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#c683b0,0.776470588235294,0.512156862745098,0.691764705882353,62.746244013795746,32.84288352123299,-13.476539875367543,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full,1039,7018,2979,1061,1039,1061,1.0,0.65,0.65,8,98.0,4.878448294071497,22,0.020735155513666354,#c3abb8,0.7647059,0.67058825,0.72156864,72.3392197729047,11.410203605259571,-3.9625012751114186,72.13093023191404,11.527321315547962,-4.04179937629127,14.28943751593557,25.335782655812825,1.5808714562776909,3.74296505204086,1.2217010785331681,340.8490617447538,12.07866559967359,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clmDSC_4531.tif,clmDSC_4531.tif,DSC_4531,clm,capture_number,4531,c,l,m,CMY+neutral,full__clm__clmDSC_4531,0.5418422636965683
5,clm_full_005_mll,clm,full,myy,mll,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#c68eb3,0.7777777777777777,0.5581699346405228,0.7032679738562092,65.56634132203305,27.038106152420085,-10.895934010651565,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full,1257,7486,3188,1281,1257,1281,1.0,0.65,0.65,8,98.0,3.3762001598475577,24,0.01873536299765808,#c2afba,0.7607843,0.6862745,0.7294118,73.30658570971899,8.740725123038473,-2.8498487980614717,73.58754053579601,8.703722886488778,-2.8273734860904955,13.499630046597414,21.434668715978294,1.377859452446291,2.4423964912301317,0.7300416160257557,341.94182495594174,9.193580034367915,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clmDSC_4531.tif,clmDSC_4531.tif,DSC_4531,clm,capture_number,4531,c,l,m,CMY+neutral,full__clm__clmDSC_4531,0.5418422636965683
6,clm_full_006_clmlml,clm,full,cymymy,clmlml,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#af8eb8,0.6849673202614378,0.5575163398692811,0.7202614379084968,63.275402363061644,19.783850486833067,-17.023622939690732,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full,3514,15026,6292,3586,3514,3586,1.0,0.65,0.65,8,98.0,8.106117688260303,72,0.020078081427774678,#b6a9bc,0.7137255,0.6627451,0.7372549,70.9819665366396,8.15827245761272,-7.882758030922177,71.18280365747223,7.8489785177603775,-7.867327114269946,10.87899841876002,16.676348735719177,3.5471215110638203,6.9943904686907095,1.9691558509256637,315.9839930078652,11.344394371966727,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clmDSC_4531.tif,clmDSC_4531.tif,DSC_4531,clm,capture_number,4531,c,l,m,CMY+neutral,full__clm__clmDSC_4531,0.5418422636965683
7,clm_full_007_mlll,clm,full,myyy,mlll,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#c79db7,0.7794117647058822,0.6156862745098038,0.7176470588235294,69.2138812587631,19.753553107714428,-7.502814008008762,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full,745,5640,2427,758,745,758,1.0,0.65,0.65,8,98.0,5.225061264078221,13,0.017150395778364115,#c2b3ba,0.7607843,0.7019608,0.7294118,74.26858993613341,6.213893745020127,-1.7519114874661845,74.73939519743178,6.132237858448718,-1.7319973333811385,11.545578208956462,15.55459209595871,2.3062122983719924,3.963967142839569,1.261938230609052,344.25502063040364,6.456134240729218,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clmDSC_4531.tif,clmDSC_4531.tif,DSC_4531,clm,capture_number,4531,c,l,m,CMY+neutral,full__clm__clmDSC_4531,0.5418422636965683
8,clm_full_008_mllll,clm,full,myyyy,mllll,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#c7a6b9,0.780392156862745,0.6501960784313725,0.7262745098039216,71.4559397750803,15.400170893808241,-5.396662724989443,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full,269,3911,1679,275,269,165,0.6,0.65,0.65,8,98.0,5.2567309312947135,6,0.02181818181818182,#c4babe,0.76862746,0.7294118,0.74509805,76.41882117450481,4.236652594588664,-0.7571852194289797,75.75154541936686,4.56117173113892,-0.8583165755703124,10.925783069104805,13.068247171153665,2.5667847731313604,4.490126945986724,1.2821329285247534,349.86693929464735,4.303783761268283,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clmDSC_4531.tif,clmDSC_4531.tif,DSC_4531,clm,capture_number,4531,c,l,m,CMY+neutral,full__clm__clmDSC_4531,0.5418422636965683
9,clm_full_009_mlllll,clm,full,myyyyy,mlllll,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#c7acbb,0.7810457516339868,0.6732026143790849,0.7320261437908497,72.9694003579447,12.514124571123775,-3.96895760100342,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full,1641,8913,3784,1675,1641,745,0.44477611940298506,0.65,0.65,8,98.0,7.800303166502542,34,0.020298507462686566,#c4bdbf,0.76862746,0.7411765,0.7490196,77.21671321375092,3.3427473317253487,-0.5086240660905794,76.17262370708228,3.92045620855241,-0.7400953705841672,9.666111743695424,10.6830583231252,2.9028460780445573,6.058105176057164,1.871588543199182,351.3483775102991,3.3812214012636694,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clmDSC_4531.tif,clmDSC_4531.tif,DSC_4531,clm,capture_number,4531,c,l,m,CMY+neutral,full__clm__clmDSC_4531,0.5418422636965683
10,clm_full_010_l,clm,full,y,l,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#c8c9c2,0.7843137254901961,0.788235294117647,0.7607843137254902,80.70973829085915,-1.6093340068246142,3.370929344299589,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full,499,4792,2045,508,499,0,0.0,0.65,0.65,8,98.0,0.9965478381882464,9,0.017716535433070866,#c3c2c0,0.7647059,0.7607843,0.7529412,78.45679420191316,-0.3656158900007811,1.0040628723521072,78.49703602271619,-0.18839856145979134,1.02807406374869,3.116531875560765,3.4963765126287014,0.5276478443064343,0.8651977373898873,0.25304184390299733,110.00840898188028,1.0685584825628531,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clmDSC_4531.tif,clmDSC_4531.tif,DSC_4531,clm,capture_number,4531,c,l,m,CMY+neutral,full__clm__clmDSC_4531,0.5418422636965683
