region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_l,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,cly_full_001_yl,cly,full,my,yl,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#e3d461,0.892156862745098,0.8313725490196078,0.3803921568627451,84.15520736693792,-8.730104128588545,57.68148747093511,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full,1881,9594,4136,1920,1881,1920,1.0,0.65,0.65,8,98.0,5.063404504310751,39,0.0203125,#c9c98f,0.7882353,0.7882353,0.56078434,79.64550815400546,-9.2372683806638,28.960354601962578,79.60843424848723,-9.184805487332593,29.114350699168547,10.76499484716751,29.07744961042631,1.7289945105299165,3.3992596180172194,0.9920208189917311,107.69073499992294,30.39784969052624,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clyDSC_4529.tif,clyDSC_4529.tif,DSC_4529,cly,capture_number,4529,c,l,y,CMY+neutral,full__cly__clyDSC_4529,0.5442999697611128
2,cly_full_002_cyl,cly,full,cmy,cyl,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#abd08a,0.6705882352941176,0.8156862745098038,0.5411764705882353,79.38789520388868,-24.54952347198891,30.85905415787149,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full,4181,16819,7120,4265,4181,4265,1.0,0.65,0.65,8,98.0,6.907513347966793,84,0.01969519343493552,#a3c1a7,0.6392157,0.75686276,0.654902,75.19834209280025,-14.654256889774897,9.886243294821284,75.28073629167156,-14.707678837229686,10.07080171796601,11.157034845134323,23.56538672504631,3.20005847600689,5.066350816039844,1.335521798009771,145.995103545061,17.67724671649728,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clyDSC_4529.tif,clyDSC_4529.tif,DSC_4529,cly,capture_number,4529,c,l,y,CMY+neutral,full__cly__clyDSC_4529,0.5442999697611128
3,cly_full_003_cylyl,cly,full,cmymy,cylyl,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#c2d27a,0.7592156862745097,0.8219607843137254,0.4768627450980392,81.13082548122276,-18.892444368404092,41.73669473805563,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full,2987,13839,5932,3047,2987,3047,1.0,0.65,0.65,8,98.0,7.260120829730407,60,0.019691499835904167,#b5c59d,0.70980394,0.77254903,0.6156863,77.2985989581326,-12.55294081010816,16.955078700936397,76.92471623965335,-12.949806779419218,16.92112090250634,11.059803964272696,25.86510697640989,3.860295208585345,5.7752758166836395,1.487969740733008,126.51493875049891,21.09623228771019,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clyDSC_4529.tif,clyDSC_4529.tif,DSC_4529,cly,capture_number,4529,c,l,y,CMY+neutral,full__cly__clyDSC_4529,0.5442999697611128
4,cly_full_004_ylyll,cly,full,mymyy,ylyll,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#ded274,0.8705882352941176,0.8227450980392156,0.4564705882352941,83.33502282263355,-8.257930520914059,47.51106638204572,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full,1095,7163,3080,1117,1095,1117,1.0,0.65,0.65,8,98.0,6.6243913074370875,22,0.019695613249776187,#c5c59c,0.77254903,0.77254903,0.6117647,78.56010541041013,-6.702472403054105,20.456354867736117,78.72880517064729,-6.896888611100935,20.781738657619893,11.389731951847216,27.516843957337972,2.9373910123143876,5.380770821233136,1.5681165215384103,108.14125073822578,21.526392888462595,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clyDSC_4529.tif,clyDSC_4529.tif,DSC_4529,cly,capture_number,4529,c,l,y,CMY+neutral,full__cly__clyDSC_4529,0.5442999697611128
5,cly_full_005_yll,cly,full,myy,yll,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#dad081,0.8562091503267973,0.8169934640522875,0.5071895424836601,82.82120022881202,-7.696665638264988,40.40751441229884,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full,1297,7560,3252,1323,1297,1323,1.0,0.65,0.65,8,98.0,5.391455644402872,26,0.019652305366591082,#c5c5a5,0.77254903,0.77254903,0.64705884,78.74290032150896,-5.360757989354925,16.173948951987292,78.64182356274638,-5.408799771655545,16.04501471491287,11.119245430066464,24.68511068634997,2.3839849898978587,3.9401019967722473,1.0813580350543914,108.33746681342114,17.039200419090196,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clyDSC_4529.tif,clyDSC_4529.tif,DSC_4529,cly,capture_number,4529,c,l,y,CMY+neutral,full__cly__clyDSC_4529,0.5442999697611128
6,cly_full_006_clylyl,cly,full,cymymy,clylyl,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#c3d086,0.7633986928104575,0.8163398692810456,0.5241830065359477,80.99558143942201,-16.36014488025389,35.49842690411356,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full,3699,15178,6524,3773,3699,3773,1.0,0.65,0.65,8,98.0,10.635500242379983,74,0.019613040021203287,#b9c3a5,0.7254902,0.7647059,0.64705884,77.23162976796985,-8.982372124197669,14.813970395790443,77.20980548322278,-8.966131221199698,13.95719657133663,10.160324415961632,22.281059312109544,4.220939379846476,8.958195748042845,2.6278318859289174,121.23030506664611,17.324454619552068,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clyDSC_4529.tif,clyDSC_4529.tif,DSC_4529,cly,capture_number,4529,c,l,y,CMY+neutral,full__cly__clyDSC_4529,0.5442999697611128
7,cly_full_007_ylll,cly,full,myyy,ylll,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#d6ce92,0.838235294117647,0.8098039215686273,0.5705882352941176,82.21898292692846,-6.699939912165275,31.297230565592926,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full,744,5766,2442,760,744,760,1.0,0.65,0.65,8,98.0,7.260446965515628,16,0.021052631578947368,#c4c4ab,0.76862746,0.76862746,0.672549,78.53621485300869,-3.932216900846636,11.570943126087961,78.40286547875216,-4.016342435995334,11.71916583026788,10.408181467735416,20.257084871709374,3.1147363830521253,5.989646362650149,1.7450166032164471,108.76958277312616,12.220845084627582,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clyDSC_4529.tif,clyDSC_4529.tif,DSC_4529,cly,capture_number,4529,c,l,y,CMY+neutral,full__cly__clyDSC_4529,0.5442999697611128
8,cly_full_008_yllll,cly,full,myyyy,yllll,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#d3cd9b,0.8274509803921568,0.8054901960784313,0.6086274509803922,81.88025664560861,-5.938165053471501,25.752071288290068,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full,253,3921,1676,259,253,259,1.0,0.65,0.65,8,98.0,11.906683343694615,6,0.023166023166023165,#c5c5b2,0.77254903,0.77254903,0.69803923,79.34022054962868,-2.996893917107335,7.913822952055205,78.46435557552208,-3.6571097145440294,10.426665711427914,10.377746902716195,18.256668999893595,3.7045719887837505,8.94518031344483,2.9209347802884778,110.74122833083823,8.462267241518122,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clyDSC_4529.tif,clyDSC_4529.tif,DSC_4529,cly,capture_number,4529,c,l,y,CMY+neutral,full__cly__clyDSC_4529,0.5442999697611128
9,cly_full_009_ylllll,cly,full,myyyyy,ylllll,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#d1cda2,0.8202614379084966,0.8026143790849672,0.6339869281045751,81.66427814884557,-5.360285362129014,22.03485415141888,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full,1683,9028,3841,1718,1683,1513,0.880675203725262,0.65,0.65,8,98.0,9.415656049016846,35,0.02037252619324796,#c4c3b9,0.76862746,0.7647059,0.7254902,78.66770443471368,-1.796329999815438,5.471699849022449,78.62517141292412,-2.52967952803486,7.361673889010695,10.66077310703927,17.205211777068694,2.5943958776799816,7.200075063553101,2.3246210874399584,108.17473351634578,5.75901907498397,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clyDSC_4529.tif,clyDSC_4529.tif,DSC_4529,cly,capture_number,4529,c,l,y,CMY+neutral,full__cly__clyDSC_4529,0.5442999697611128
10,cly_full_010_l,cly,full,y,l,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#c8c9c2,0.7843137254901961,0.788235294117647,0.7607843137254902,80.70973829085915,-1.6093340068246142,3.370929344299589,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full,497,4784,2044,508,497,0,0.0,0.65,0.65,8,98.0,1.5941328539732103,11,0.021653543307086614,#c2c2c0,0.7607843,0.7607843,0.7529412,78.405247202901,-0.1997215563517285,1.007006117068654,78.5198939024662,-0.25821932489715627,1.1371933861465728,3.269330684952528,3.589682361887839,0.6855544201885888,1.1911508047239663,0.3038824608899819,101.21801049904826,1.0266206796501054,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clyDSC_4529.tif,clyDSC_4529.tif,DSC_4529,cly,capture_number,4529,c,l,y,CMY+neutral,full__cly__clyDSC_4529,0.5442999697611128
