region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_n,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,cnm_full_001_mn,cnm,full,my,mn,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#a65494,0.6529411764705881,0.32941176470588235,0.580392156862745,47.805157734402606,42.521479006203236,-20.047639669346818,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full,1809,9402,4045,1846,1809,1846,1.0,0.65,0.65,8,98.0,3.0855083701171195,37,0.020043336944745395,#9a708c,0.6039216,0.4392157,0.54901963,52.2667998764765,20.937866313154142,-8.91193692085337,52.12117025941349,21.191377852251502,-8.969030624538389,10.521212779362536,24.693368810072965,0.9136026063746965,2.0209652592044574,0.6701838490962712,336.94358681078364,22.755589762271256,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4539cnm.tif,DSC_4539cnm.tif,DSC_4539,cnm,capture_number,4539,c,n,m,CMY+neutral,full__cnm__DSC_4539cnm,0.5438066465256798
2,cnm_full_002_cmn,cnm,full,cmy,cmn,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#827bac,0.5111111111111111,0.48104575163398694,0.6745098039215686,53.850222784278714,13.820731527594777,-25.139695013936382,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full,4064,16481,6969,4147,4064,4147,1.0,0.65,0.65,8,98.0,7.6592874743609745,83,0.02001446829033036,#8481a3,0.5176471,0.5058824,0.6392157,55.45366629091246,8.171501265015479,-17.50493813757017,55.552195744251314,8.04172370987798,-17.31782166311348,4.803001747597917,9.631944050908354,3.639633953551412,6.272576540811348,1.7663478374774615,295.0236935499162,19.318289057892994,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4539cnm.tif,DSC_4539cnm.tif,DSC_4539,cnm,capture_number,4539,c,n,m,CMY+neutral,full__cnm__DSC_4539cnm,0.5438066465256798
3,cnm_full_003_cmnmn,cnm,full,cmymy,cmnmn,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#916ba2,0.5678431372549019,0.4203921568627451,0.6368627450980393,50.89953133047999,25.355139030007745,-24.004448423860445,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full,2888,13602,5796,2947,2888,2947,1.0,0.65,0.65,8,98.0,12.365370528554196,59,0.02002035968781812,#8a7896,0.5411765,0.47058824,0.5882353,52.978602536628244,12.904488200493974,-13.601614156642839,53.900039852918184,11.970727044150022,-13.708215555657727,7.858179580471192,16.357267618704036,3.7758764805150227,9.626840618703882,2.970309942335812,313.4934348814097,18.74912593650368,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4539cnm.tif,DSC_4539cnm.tif,DSC_4539,cnm,capture_number,4539,c,n,m,CMY+neutral,full__cnm__DSC_4539cnm,0.5438066465256798
4,cnm_full_004_mnmnn,cnm,full,mymyy,mnmnn,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#a16094,0.6305882352941176,0.3756862745098039,0.5788235294117646,49.51110263516371,34.24933449875767,-17.265374749468055,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full,1067,7104,3036,1089,1067,1089,1.0,0.65,0.65,8,98.0,4.90248978674038,22,0.020202020202020204,#917187,0.5686275,0.44313726,0.5294118,51.31469758604868,16.681248405133186,-7.380090465417677,51.2218628148201,16.51068941106041,-7.371879170265091,9.278443857244415,20.238810466930932,1.5835675166813206,2.978540322089261,0.8827140958027389,336.1345220247267,18.240882205406276,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4539cnm.tif,DSC_4539cnm.tif,DSC_4539,cnm,capture_number,4539,c,n,m,CMY+neutral,full__cnm__DSC_4539cnm,0.5438066465256798
5,cnm_full_005_mnn,cnm,full,myy,mnn,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#9d6893,0.6156862745098038,0.40653594771241836,0.5777777777777777,50.827170867956525,28.48030716878547,-15.147425241078327,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full,1231,7486,3155,1257,1231,1257,1.0,0.65,0.65,8,98.0,4.443435848275138,26,0.020684168655529037,#8d7384,0.5529412,0.4509804,0.5176471,51.271005796340845,13.424302393865496,-5.852740351062802,51.40658813376848,13.304279201161338,-5.707320265376328,9.140382126883116,17.69947559762011,1.532401536817275,3.209847641524436,0.9826563362615189,336.4437145974178,14.644673583897376,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4539cnm.tif,DSC_4539cnm.tif,DSC_4539,cnm,capture_number,4539,c,n,m,CMY+neutral,full__cnm__DSC_4539cnm,0.5438066465256798
6,cnm_full_006_cnmnmn,cnm,full,cymymy,cnmnmn,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#9071a0,0.5633986928104574,0.44379084967320265,0.6261437908496732,52.14511348836645,20.899494455919598,-20.501750703492426,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full,3601,15002,6399,3675,3601,3675,1.0,0.65,0.65,8,98.0,15.0092631101971,74,0.020136054421768707,#89768f,0.5372549,0.4627451,0.56078434,52.22450597975933,11.674199775604244,-10.911181047344565,53.59343830832652,10.4400394925473,-11.007383431041596,6.915165389208001,13.307568952884237,4.030428470411949,12.187146207865833,3.77790423529156,316.9349300438444,15.979387104912673,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4539cnm.tif,DSC_4539cnm.tif,DSC_4539,cnm,capture_number,4539,c,n,m,CMY+neutral,full__cnm__DSC_4539cnm,0.5438066465256798
7,cnm_full_007_mnnn,cnm,full,myyy,mnnn,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#987293,0.5970588235294116,0.4450980392156863,0.5764705882352941,52.65165932914287,21.092189602569754,-12.242675339448228,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full,728,5660,2409,743,728,743,1.0,0.65,0.65,8,98.0,9.386678153581512,15,0.020188425302826378,#887582,0.53333336,0.45882353,0.50980395,51.35008874435741,9.578031569651868,-4.221898959597481,51.406330693075056,9.82410937044374,-4.39995537961636,8.898640419567831,14.092649677394167,2.6327822807843857,4.448820437352743,1.5133477868905056,336.21260247488084,10.467240303647285,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4539cnm.tif,DSC_4539cnm.tif,DSC_4539,cnm,capture_number,4539,c,n,m,CMY+neutral,full__cnm__DSC_4539cnm,0.5438066465256798
8,cnm_full_008_mnnnn,cnm,full,myyyy,mnnnn,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#957793,0.5858823529411763,0.4682352941176471,0.5756862745098038,53.83252918446905,16.609472422440042,-10.379417915150535,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full,266,3891,1691,272,266,272,1.0,0.65,0.65,8,98.0,5.500862525470737,6,0.022058823529411766,#867581,0.5254902,0.45882353,0.5058824,51.50918820990343,8.093896475493745,-3.2416299038672047,51.165803507904705,8.439624004702797,-3.7727557355609496,8.033360626933444,11.35169435310544,2.9176010050506997,4.325379637180386,1.0237532153264282,338.17374967742904,8.718906157864996,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4539cnm.tif,DSC_4539cnm.tif,DSC_4539,cnm,capture_number,4539,c,n,m,CMY+neutral,full__cnm__DSC_4539cnm,0.5438066465256798
9,cnm_full_009_mnnnnn,cnm,full,myyyyy,mnnnnn,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#937b93,0.5784313725490194,0.4836601307189543,0.5751633986928103,54.65242362331111,13.614610296575236,-9.092823493895974,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full,1662,8953,3797,1693,1662,1665,0.9834613112817484,0.65,0.65,8,98.0,6.119421302173174,31,0.01831069108092144,#847880,0.5176471,0.47058824,0.5019608,51.634012418949936,5.736315846869067,-2.433672558853228,51.529692059853474,6.446625531508438,-2.8146942091200877,8.47522517409599,10.748144993931035,2.809254170732411,5.014164767837626,1.3364363669479915,337.01057201203855,6.231218309348212,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4539cnm.tif,DSC_4539cnm.tif,DSC_4539,cnm,capture_number,4539,c,n,m,CMY+neutral,full__cnm__DSC_4539cnm,0.5438066465256798
10,cnm_full_010_n,cnm,full,y,n,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#8a8f92,0.5411764705882353,0.5607843137254902,0.5725490196078431,59.08831744726014,-1.2137183135860763,-2.223898189538698,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full,497,4791,2044,508,497,0,0.0,0.65,0.65,8,98.0,5.825854469479458,11,0.021653543307086614,#7d7b7c,0.49019608,0.48235294,0.4862745,51.84466803426693,0.7550179378215671,-0.411533554192145,51.98793715100833,0.7428959511412896,-0.4457125576605126,7.598628555618666,7.722114012200176,0.8685758030465905,1.7302032818356512,0.6501035999138262,331.4067620972311,0.8598906631998925,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4539cnm.tif,DSC_4539cnm.tif,DSC_4539,cnm,capture_number,4539,c,n,m,CMY+neutral,full__cnm__DSC_4539cnm,0.5438066465256798
