region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_n,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
1,cny_full_001_yn,cny,full,my,yn,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#c4b749,0.7705882352941176,0.7176470588235294,0.28627450980392155,73.64441637836279,-8.506124682364502,55.95363699709435,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full
2,cny_full_002_cyn,cny,full,cmy,cyn,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#96bd7a,0.5895424836601307,0.7398692810457517,0.47843137254901963,72.34338575448564,-24.892255873100844,29.6381343980157,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full
3,cny_full_003_cynyn,cny,full,cmymy,cynyn,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#a9ba66,0.6619607843137254,0.7309803921568628,0.4015686274509804,72.6720582165342,-19.171997953112584,40.386346555147945,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full
4,cny_full_004_ynynn,cny,full,mymyy,ynynn,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#b9af58,0.7247058823529411,0.6862745098039215,0.34352941176470586,70.62795399013348,-8.197513426595027,45.53479237582603,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full
5,cny_full_005_ynn,cny,full,myy,ynn,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#b1aa61,0.6941176470588234,0.665359477124183,0.38169934640522873,68.63668231180478,-7.740294518607637,38.09957989132911,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full
6,cny_full_006_cnynyn,cny,full,cymymy,cnynyn,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#a4b36e,0.6418300653594771,0.7026143790849674,0.43006535947712415,70.3736250969955,-16.70044945832444,33.69575469633479,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full
7,cny_full_007_ynnn,cny,full,myyy,ynnn,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#a7a36e,0.6558823529411764,0.6392156862745098,0.4294117647058823,66.17676670849767,-6.831586615665075,28.394326382394187,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full
8,cny_full_008_ynnnn,cny,full,myyyy,ynnnn,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#a19f75,0.6329411764705881,0.6235294117647058,0.4580392156862745,64.71985701937079,-6.081445894802917,22.405802387216056,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full
9,cny_full_009_ynnnnn,cny,full,myyyyy,ynnnnn,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#9d9c7a,0.6176470588235293,0.6130718954248365,0.47712418300653586,63.75787527556774,-5.486869825152341,18.36147573397944,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full
10,cny_full_010_n,cny,full,y,n,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#8a8f92,0.5411764705882353,0.5607843137254902,0.5725490196078431,59.08831744726014,-1.2137183135860763,-2.223898189538698,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full
11,cny_full_011_cnyn,cny,full,cymy,cnyn,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#93b180,0.5774509803921568,0.6950980392156862,0.5019607843137255,68.98770515164445,-19.418695862521595,21.917948008255863,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full
12,cny_full_012_cnynn,cny,full,cymyy,cnynn,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#91aa84,0.5701960784313724,0.668235294117647,0.5160784313725489,66.98369299128696,-15.996272395105926,17.191742490797914,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full
13,cny_full_013_cnynnn,cny,full,cymyyy,cnynnn,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#90a686,0.5653594771241829,0.6503267973856208,0.5254901960784313,65.65282474799596,-13.655053422769846,14.00686120010124,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full
