region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_n,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,cny_full_001_yn,cny,full,my,yn,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#c4b749,0.7705882352941176,0.7176470588235294,0.28627450980392155,73.64441637836279,-8.506124682364502,55.95363699709435,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full,1804,9433,4026,1841,1804,1841,1.0,0.65,0.65,8,98.0,4.0720778068477586,37,0.020097772949483977,#95965f,0.58431375,0.5882353,0.37254903,60.78099325445973,-9.805334390933174,30.158765010363275,60.917087410487824,-9.455762464842097,29.044531326954793,14.014741968696994,28.85361365831404,1.8078332289542507,3.3009407593258535,0.9922321083119504,108.01058056606615,31.712705489571984,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536,0.5408653846153846
2,cny_full_002_cyn,cny,full,cmy,cyn,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#96bd7a,0.5895424836601307,0.7398692810457517,0.47843137254901963,72.34338575448564,-24.892255873100844,29.6381343980157,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full,4171,16615,7110,4257,4171,4257,1.0,0.65,0.65,8,98.0,7.24590070108558,86,0.020202020202020204,#82a081,0.50980395,0.627451,0.5058824,62.795454160121096,-16.859881927246356,13.25885885686895,63.06674851599589,-16.797634606699752,12.987877850293161,11.170775371543554,20.59035444545613,2.682646328838129,5.046129587106188,1.4278766815431956,141.81796940567085,21.448845115461587,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536,0.5408653846153846
3,cny_full_003_cynyn,cny,full,cmymy,cynyn,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#a9ba66,0.6619607843137254,0.7309803921568628,0.4015686274509804,72.6720582165342,-19.171997953112584,40.386346555147945,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full,2904,13739,5830,2964,2904,2964,1.0,0.65,0.65,8,98.0,7.577985281582738,60,0.020242914979757085,#889b71,0.53333336,0.60784316,0.44313726,61.739667807587615,-13.942028301503818,18.402966594439118,61.791305005815985,-14.011407365465478,18.227713764505804,12.932692254476843,25.1025643532144,3.1397388708747247,5.178515074162187,1.4256674445131976,127.14745210677353,23.0878611533415,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536,0.5408653846153846
4,cny_full_004_ynynn,cny,full,mymyy,ynynn,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#b9af58,0.7247058823529411,0.6862745098039215,0.34352941176470586,70.62795399013348,-8.197513426595027,45.53479237582603,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full,1063,7191,3031,1085,1063,1085,1.0,0.65,0.65,8,98.0,5.544843286901464,22,0.020276497695852536,#8e9065,0.5568628,0.5647059,0.39607844,58.56549186916894,-7.554203115153701,21.506951177469436,58.258489980671314,-7.4324633569760445,21.98234800072891,14.05873147356179,26.893381959693233,2.1070047953088964,4.078596022828416,1.1816000507650561,109.35355596865804,22.795063800197003,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536,0.5408653846153846
5,cny_full_005_ynn,cny,full,myy,ynn,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#b1aa61,0.6941176470588234,0.665359477124183,0.38169934640522873,68.63668231180478,-7.740294518607637,38.09957989132911,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full,1254,7491,3189,1280,1254,1280,1.0,0.65,0.65,8,98.0,4.277856608559535,26,0.0203125,#898a68,0.5372549,0.5411765,0.40784314,56.504079791485495,-6.219612962426874,17.762747418932978,56.529152406364126,-6.143190501446597,17.705422547989738,13.784591019054865,23.72971283689863,1.6838914442316697,3.391073694562948,0.9609571246513178,109.29766482629833,18.8201695335403,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536,0.5408653846153846
6,cny_full_006_cnynyn,cny,full,cymymy,cnynyn,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#a4b36e,0.6418300653594771,0.7026143790849674,0.43006535947712415,70.3736250969955,-16.70044945832444,33.69575469633479,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full,3597,14976,6390,3670,3597,3670,1.0,0.65,0.65,8,98.0,11.665281811257671,73,0.01989100817438692,#859270,0.52156866,0.57254905,0.4392157,58.88565340948695,-10.226525259350083,15.140566195565963,58.77551751352314,-9.949899690752735,13.977944499700014,13.011457536898742,22.763571958858464,4.3525945746086965,9.113631977055382,2.6516826127407596,124.036616793571,18.27070232920563,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536,0.5408653846153846
7,cny_full_007_ynnn,cny,full,myyy,ynnn,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#a7a36e,0.6558823529411764,0.6392156862745098,0.4294117647058823,66.17676670849767,-6.831586615665075,28.394326382394187,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full,736,5738,2433,752,736,752,1.0,0.65,0.65,8,98.0,6.104873322479312,16,0.02127659574468085,#83846c,0.5137255,0.5176471,0.42352942,54.52811046998593,-4.752394157681527,13.03404280490079,54.88674692452487,-4.988689680221286,13.617514704633495,12.958588501669006,19.389495739223527,3.0017550814884038,5.16481493423347,1.602156277694283,110.032562322952,13.873410614191148,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536,0.5408653846153846
8,cny_full_008_ynnnn,cny,full,myyyy,ynnnn,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#a19f75,0.6329411764705881,0.6235294117647058,0.4580392156862745,64.71985701937079,-6.081445894802917,22.405802387216056,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full,286,3972,1726,289,286,289,1.0,0.65,0.65,8,98.0,8.808297138556226,3,0.010380622837370242,#81816e,0.5058824,0.5058824,0.43137255,53.4841513787904,-2.9794599980936254,8.646000009127109,53.398792726465636,-3.4598155343125825,9.783750559595303,12.972796070182836,18.03317939879753,3.0825256027775834,6.10716880712449,1.8492892607594626,109.01423788672741,9.144971188476541,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536,0.5408653846153846
9,cny_full_009_ynnnnn,cny,full,myyyyy,ynnnnn,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#9d9c7a,0.6176470588235293,0.6130718954248365,0.47712418300653586,63.75787527556774,-5.486869825152341,18.36147573397944,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full,1684,8913,3841,1718,1684,1718,1.0,0.65,0.65,8,98.0,9.99700048563378,34,0.01979045401629802,#808070,0.5019608,0.5019608,0.4392157,53.0663736489016,-2.604421871358953,7.620655161435219,53.20249633174204,-3.0030389653886393,8.626787200924813,11.91333224421611,15.426663275346407,4.026430276504851,7.224248509895708,2.158239113633046,108.86828691089852,8.053409114997333,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536,0.5408653846153846
10,cny_full_010_n,cny,full,y,n,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#8a8f92,0.5411764705882353,0.5607843137254902,0.5725490196078431,59.08831744726014,-1.2137183135860763,-2.223898189538698,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full,496,4739,2041,506,496,0,0.0,0.65,0.65,8,98.0,2.603522712162627,10,0.019762845849802372,#797778,0.4745098,0.46666667,0.47058824,50.3194081386503,0.58359746049369,-0.2789517349857551,50.295222224555516,0.6741448686778976,-0.2360339807518002,8.939610618914521,9.160072661581797,0.9642681550889384,1.8522279413839344,0.5385350229523843,334.45282784086464,0.6468385164368669,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536,0.5408653846153846
