region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_o,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
1,com_full_001_mo,com,full,my,mo,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#e14a58,0.8823529411764706,0.2882352941176471,0.34509803921568627,53.54422411041759,59.41211690493975,25.270447288206512,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full
2,com_full_002_cmo,com,full,cmy,cmo,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#a97484,0.6640522875816993,0.45359477124183006,0.5176470588235295,54.60935939649137,23.544439301749986,-0.3456592453104479,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full
3,com_full_003_cmomo,com,full,cmymy,cmomo,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#c06372,0.7513725490196078,0.3874509803921569,0.44862745098039225,53.2404712100129,38.704006188786664,8.395713593431386,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full
4,com_full_004_momoo,com,full,mymyy,momoo,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#e7534c,0.9058823529411765,0.3262745098039216,0.29647058823529415,55.8139974622423,56.7134096855314,35.498889888143104,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full
5,com_full_005_moo,com,full,myy,moo,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#eb5a43,0.9215686274509803,0.3516339869281046,0.26405228758169935,57.39852042880595,54.90663095909532,42.082164119748555,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full
6,com_full_006_comomo,com,full,cymymy,comomo,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#ca6764,0.7928104575163398,0.4026143790849674,0.3908496732026144,55.20716503307206,39.107999759395994,19.9957121270389,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full
7,com_full_007_mooo,com,full,myyy,mooo,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#f06239,0.9411764705882353,0.38333333333333336,0.22352941176470587,59.448011134100184,52.65300814714402,49.88283392374061,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full
8,com_full_008_moooo,com,full,myyyy,moooo,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#f36733,0.9529411764705882,0.4023529411764706,0.19921568627450978,60.70995235657307,51.307850870585206,54.25771386802355,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full
9,com_full_009_mooooo,com,full,myyyyy,mooooo,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#f56a2f,0.9607843137254902,0.4150326797385621,0.1830065359477124,61.563244146875164,50.41520727729859,57.01986045098026,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full
10,com_full_010_o,com,full,y,o,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#ff7a1a,1.0,0.47843137254901963,0.10196078431372549,65.95057778279283,46.01545402094476,68.57062418706151,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full
11,com_full_011_como,com,full,cymy,como,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#bf756a,0.7480392156862745,0.4598039215686275,0.41372549019607846,56.93651486723755,27.522361628490476,18.707479599870492,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full
12,com_full_012_comoo,com,full,cymyy,comoo,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#cc765a,0.7984313725490196,0.4635294117647059,0.3513725490196079,58.52699341087545,30.628282008744513,30.1234890853583,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full
13,com_full_013_comooo,com,full,cymyyy,comooo,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#d4774f,0.8320261437908497,0.4660130718954249,0.3098039215686275,59.65683407834291,32.924399865221496,37.584844406615915,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full
14,com_full_014_cooooo,com,full,cyyyyy,cooooo,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#de873a,0.8712418300653595,0.5294117647058824,0.22875816993464057,64.31997160462414,27.28085508308681,53.44997025976049,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full
15,com_full_015_coooo,com,full,cyyyy,coooo,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#d88a41,0.8454901960784313,0.539607843137255,0.25411764705882356,64.14750524581225,23.470419875695757,50.02714971024815,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full
16,com_full_016_cooo,com,full,cyyy,cooo,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#ce8e4b,0.8068627450980392,0.5549019607843138,0.29215686274509806,63.98872934671928,17.78112241715363,44.802992635941465,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full
17,com_full_017_coo,com,full,cyy,coo,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#bd945b,0.742483660130719,0.5803921568627451,0.35555555555555557,63.99290392327785,8.511679055524857,36.059701320051715,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full
18,com_full_018_cocomo,com,full,cycymy,cocomo,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#b3846f,0.7032679738562092,0.5169934640522876,0.43660130718954254,59.193691160573934,15.506003155933756,18.2346354233208,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full
19,com_full_019_cocoo,com,full,cycyy,cocoo,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#b09968,0.6909803921568628,0.6007843137254902,0.40627450980392166,64.2370308163019,1.4527537576616845,29.19172331463644,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full
20,com_full_020_co,com,full,cy,co,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#9da17b,0.6137254901960785,0.6313725490196078,0.4823529411764706,64.99268099874395,-8.193904498525196,19.304729383075504,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full
21,com_full_021_cmoco,com,full,cmycy,cmoco,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.34641016151377546,#a48680,0.643921568627451,0.5247058823529411,0.503529411764706,58.48882828280976,10.712546624221165,7.274280056599691,"[[0.4000000000000001, 0.2790526301083191], [0.42499999999999993, 0.27424137786507224], [0.475, 0.36084391824351614], [0.45833333333333337, 0.38008892721650356], [0.33333333333333326, 0.4041451884327379], [0.31666666666666676, 0.37527767497325687]]",6,5,5,full
22,com_full_022_ccoco,com,full,ccycy,ccoco,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#89a98e,0.5364705882352941,0.6619607843137254,0.5584313725490196,66.18799823635786,-16.31857019722094,10.042692270695408,"[[0.24999999999999994, 0.27905263010831904], [0.2833333333333333, 0.35603266600026917], [0.22500000000000003, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,5,5,full
23,com_full_023_cco,com,full,ccy,cco,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#7cae9b,0.4849673202614379,0.6823529411764705,0.6091503267973857,67.20853974722671,-20.729985445494147,4.239399619416795,"[[0.20833333333333337, 0.21650635094610968], [0.2333333333333333, 0.2309401076758503], [0.24999999999999997, 0.2501851166488378], [0.24999999999999997, 0.27905263010831904], [0.1833333333333333, 0.3175426480542941], [0.14583333333333334, 0.2525907427704613]]",6,5,5,full
24,com_full_024_cmcoco,com,full,cmcycy,cmcoco,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.28867513459481287,#939190,0.5745098039215687,0.5679738562091503,0.5633986928104576,60.21287920093067,0.3865961584540445,0.8333128815457114,"[[0.31666666666666676, 0.23094010767585027], [0.4000000000000001, 0.2790526301083191], [0.31666666666666676, 0.3752776749732568], [0.2833333333333334, 0.3560326660002692], [0.24999999999999994, 0.279052630108319], [0.24999999999999994, 0.2501851166488378]]",6,5,5,full
25,com_full_025_ccco,com,full,cccy,ccco,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#6bb5ac,0.42058823529411765,0.707843137254902,0.6725490196078432,68.71019047163973,-25.032710154815952,-2.6037191005717997,"[[0.175, 0.15877132402714708], [0.20833333333333334, 0.21650635094610968], [0.14583333333333334, 0.2525907427704613], [0.11249999999999999, 0.1948557158514987]]",6,5,5,full
26,com_full_026_cccco,com,full,ccccy,cccco,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#61b8b5,0.3819607843137255,0.7231372549019608,0.7105882352941177,69.71997196396055,-26.967901962533347,-6.5004972507528125,"[[0.16666666666666669, 0.11547005383792511], [0.175, 0.15877132402714705], [0.11249999999999999, 0.19485571585149866], [0.09166666666666666, 0.15877132402714705]]",6,5,5,full
27,com_full_027_ccccco,com,full,cccccy,ccccco,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.08333333333333333,0.14433756729740643,#5bbbbc,0.3562091503267974,0.7333333333333333,0.7359477124183007,70.43433600928462,-27.997070577618743,-9.015943147154438,"[[0.16666666666666663, 0.0962250448649376], [0.16666666666666663, 0.11547005383792514], [0.09166666666666666, 0.15877132402714705], [0.041666666666666664, 0.07216878364870322], [0.08333333333333333, 0.048112522432468816]]",6,5,5,full
28,com_full_028_c,com,full,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.08333333333333333, 0.048112522432468816], [0.041666666666666664, 0.07216878364870322], [0.0, 0.0], [0.08333333333333333, 0.0]]",6,5,5,full
29,com_full_029_cmco,com,full,cmcy,cmco,0.5,0.25,0.25,0.5,0.25,0.25,0.375,0.21650635094610965,#8e899a,0.5549019607843138,0.5362745098039216,0.603921568627451,57.903950012013,5.237220517828267,-8.527671184022957,"[[0.44166666666666676, 0.20688384645961588], [0.45, 0.23094010767585005], [0.4249999999999999, 0.27424137786507224], [0.4, 0.2790526301083191], [0.31666666666666676, 0.23094010767585027], [0.3583333333333334, 0.1587713240271471]]",6,5,5,full
30,com_full_030_ccmco,com,full,ccmcy,ccmco,0.6,0.2,0.2,0.6,0.2,0.2,0.30000000000000004,0.17320508075688773,#7d95a7,0.4894117647058824,0.5858823529411765,0.655686274509804,60.57200112627483,-4.51967332892872,-12.189395831391693,"[[0.34166666666666673, 0.09141379262169073], [0.3583333333333334, 0.15877132402714716], [0.31666666666666676, 0.23094010767585027], [0.24999999999999997, 0.2501851166488378], [0.23333333333333336, 0.23094010767585035], [0.31666666666666665, 0.08660254037844387]]",6,5,5,full
31,com_full_031_cccmco,com,full,cccmcy,cccmco,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.14433756729740643,#729eb0,0.44575163398692813,0.6189542483660131,0.6901960784313724,62.57939278575675,-10.310824789095896,-14.204101062166075,"[[0.22499999999999992, 0.07216878364870322], [0.29166666666666674, 0.0721687836487032], [0.3166666666666667, 0.08660254037844384], [0.23333333333333334, 0.2309401076758503], [0.20833333333333331, 0.21650635094610965], [0.175, 0.1587713240271471], [0.16666666666666666, 0.11547005383792512], [0.16666666666666666, 0.09622504486493762], [0.1833333333333334, 0.0866025403784438]]",6,5,5,full
