region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_o,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,com_full_001_mo,com,full,my,mo,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#e14a58,0.8823529411764706,0.2882352941176471,0.34509803921568627,53.54422411041759,59.41211690493975,25.270447288206512,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full,1807,9428,4028,1842,1807,1561,0.8474484256243214,0.65,0.65,8,98.0,3.1945770575480323,35,0.019001085776330078,#fd6c77,0.99215686,0.42352942,0.46666667,64.13704781316633,55.84535492057624,22.643861346238083,64.17749271600901,55.785146916015506,22.690863359891107,9.55609732266763,11.481666201434464,0.8203346491844864,2.2306415256111336,0.7252296935527914,22.071294201387957,60.261497847902724,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4551com.tif,DSC_4551com.tif,DSC_4551,com,capture_number,4551,c,o,m,CMY+OVG,full__com__DSC_4551com,0.5462822458270106
2,com_full_002_cmo,com,full,cmy,cmo,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#a97484,0.6640522875816993,0.45359477124183006,0.5176470588235295,54.60935939649137,23.544439301749986,-0.3456592453104479,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full,4088,16535,6995,4172,4088,4172,1.0,0.65,0.65,8,98.0,12.163789279825732,84,0.020134228187919462,#bb8087,0.73333335,0.5019608,0.5294118,59.660533167456485,23.19840756029212,6.556837898762624,59.8154205044039,23.242036749778848,6.776201161769753,6.518757639202157,8.560289787998956,4.578136338025661,7.037135847600297,2.03313497876672,15.782505698752004,24.107223742357156,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4551com.tif,DSC_4551com.tif,DSC_4551,com,capture_number,4551,c,o,m,CMY+OVG,full__com__DSC_4551com,0.5462822458270106
3,com_full_003_cmomo,com,full,cmymy,cmomo,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#c06372,0.7513725490196078,0.3874509803921569,0.44862745098039225,53.2404712100129,38.704006188786664,8.395713593431386,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full,2833,13583,5723,2889,2833,2889,1.0,0.65,0.65,8,98.0,11.029691170688286,56,0.01938386985115957,#d17574,0.81960785,0.45882353,0.45490196,59.523842911222744,35.227130545389116,17.11989784990171,60.335841331443206,33.69550471014091,16.388007520522066,8.32339370930409,11.29959358189756,4.735290856565154,8.372601192703922,2.600457303387286,25.919110369601754,39.166843488503844,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4551com.tif,DSC_4551com.tif,DSC_4551,com,capture_number,4551,c,o,m,CMY+OVG,full__com__DSC_4551com,0.5462822458270106
4,com_full_004_momoo,com,full,mymyy,momoo,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#e7534c,0.9058823529411765,0.3262745098039216,0.29647058823529415,55.8139974622423,56.7134096855314,35.498889888143104,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full,1039,7131,2991,1060,1039,0,0.0,0.65,0.65,8,98.0,5.140496437455192,21,0.01981132075471698,#ff6b6c,1.0,0.41960785,0.42352942,63.99989635508156,56.58201947951391,27.81824821253791,63.9461926695322,56.81957908577925,27.22948227172099,8.160397667830305,11.225794431534355,1.5600957746140398,2.963131071383242,1.0086911296751573,26.180792492441753,63.05061349419576,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4551com.tif,DSC_4551com.tif,DSC_4551,com,capture_number,4551,c,o,m,CMY+OVG,full__com__DSC_4551com,0.5462822458270106
5,com_full_005_moo,com,full,myy,moo,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#eb5a43,0.9215686274509803,0.3516339869281046,0.26405228758169935,57.39852042880595,54.90663095909532,42.082164119748555,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full,1272,7474,3212,1298,1272,0,0.0,0.65,0.65,8,98.0,3.996251663550995,26,0.020030816640986132,#ff6e6d,1.0,0.43137255,0.42745098,64.50609399531729,55.39148297723578,28.199231922734725,64.46681501503028,55.56198937313614,28.064992184501516,9.330496075332281,15.604117721606332,1.460580230902107,2.3778930585975315,0.7001464217104836,26.980174445521016,62.15635983107105,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4551com.tif,DSC_4551com.tif,DSC_4551,com,capture_number,4551,c,o,m,CMY+OVG,full__com__DSC_4551com,0.5462822458270106
6,com_full_006_comomo,com,full,cymymy,comomo,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#ca6764,0.7928104575163398,0.4026143790849674,0.3908496732026144,55.20716503307206,39.107999759395994,19.9957121270389,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full,3567,14936,6346,3640,3567,3640,1.0,0.65,0.65,8,98.0,8.48304796149674,73,0.020054945054945057,#d87367,0.84705883,0.4509804,0.40392157,60.059071145786106,37.90486831969747,24.817649175140932,60.8935162845103,36.522245556193,23.914917401170662,5.413842813624386,6.9454729920749045,3.1439561029450083,6.550722776713792,1.960192244404637,33.21417803541874,45.30667448526738,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4551com.tif,DSC_4551com.tif,DSC_4551,com,capture_number,4551,c,o,m,CMY+OVG,full__com__DSC_4551com,0.5462822458270106
7,com_full_007_mooo,com,full,myyy,mooo,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#f06239,0.9411764705882353,0.38333333333333336,0.22352941176470587,59.448011134100184,52.65300814714402,49.88283392374061,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full,730,5650,2409,743,730,0,0.0,0.65,0.65,8,98.0,3.6605467878691886,13,0.017496635262449527,#ff6f6b,1.0,0.43529412,0.41960785,64.70430091017751,54.635968867714325,29.50466849660223,64.67406297315866,54.848766367505654,29.176358520333963,11.314200040748512,21.13836184772221,1.3878989369567223,2.64777095522818,0.8149094430101789,28.37005738044826,62.0935951383735,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4551com.tif,DSC_4551com.tif,DSC_4551,com,capture_number,4551,c,o,m,CMY+OVG,full__com__DSC_4551com,0.5462822458270106
8,com_full_008_moooo,com,full,myyyy,moooo,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#f36733,0.9529411764705882,0.4023529411764706,0.19921568627450978,60.70995235657307,51.307850870585206,54.25771386802355,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full,270,3894,1693,276,270,0,0.0,0.65,0.65,8,98.0,6.228599979261146,6,0.021739130434782608,#ff6f68,1.0,0.43529412,0.40784314,64.63143722413324,54.565672168046255,31.06018312481078,64.88136971192233,54.091507042133664,30.607377227629534,12.36431911610082,23.751144725149476,1.1148801656579215,3.755997522240768,1.2225798730740138,29.649644291161394,62.78652367265987,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4551com.tif,DSC_4551com.tif,DSC_4551,com,capture_number,4551,c,o,m,CMY+OVG,full__com__DSC_4551com,0.5462822458270106
9,com_full_009_mooooo,com,full,myyyyy,mooooo,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#f56a2f,0.9607843137254902,0.4150326797385621,0.1830065359477124,61.563244146875164,50.41520727729859,57.01986045098026,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full,1614,8849,3735,1647,1614,0,0.0,0.65,0.65,8,98.0,4.457377263983771,33,0.020036429872495445,#ff6f68,1.0,0.43529412,0.40784314,64.62354759258787,54.496113833263806,31.206341667276693,64.82485293172397,54.30169465885549,30.14070848686834,13.520174635387342,26.31267769526655,1.2409702895443555,3.513201521482216,1.1279505723323113,29.796930475975387,62.79858424505171,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4551com.tif,DSC_4551com.tif,DSC_4551,com,capture_number,4551,c,o,m,CMY+OVG,full__com__DSC_4551com,0.5462822458270106
10,com_full_010_o,com,full,y,o,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#ff7a1a,1.0,0.47843137254901963,0.10196078431372549,65.95057778279283,46.01545402094476,68.57062418706151,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full,484,4737,2010,490,484,0,0.0,0.65,0.65,8,98.0,1.3776079695642178,6,0.012244897959183673,#ff766c,1.0,0.4627451,0.42352942,65.96953699329525,51.609522364742254,30.695384743748743,65.90784364794918,51.641423976357686,30.603415458695466,18.626074357406118,38.28612964214345,0.5650065653950713,1.041518197619363,0.29257804098355555,30.742575133317928,60.04789291293737,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4551com.tif,DSC_4551com.tif,DSC_4551,com,capture_number,4551,c,o,m,CMY+OVG,full__com__DSC_4551com,0.5462822458270106
