region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_o,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,coy_full_001_yo,coy,full,my,yo,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#ffad0d,1.0,0.6764705882352942,0.050980392156862744,76.67300518430393,20.125485418718892,78.66286162698684,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full,1777,9367,3971,1813,1777,0,0.0,0.65,0.65,8,98.0,1.6293909660634158,36,0.019856591285162713,#ff8a71,1.0,0.5411765,0.44313726,69.90356084770899,42.1654142064572,32.96761237063992,69.85881488531093,42.151846932159614,33.213882625258094,27.419401464113157,51.1824153610838,0.5227715697342512,1.1758701477801567,0.367423762732426,38.02056591526156,53.52369214303955,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4549coy.tif,DSC_4549coy.tif,DSC_4549,coy,capture_number,4549,c,o,y,CMY+OVG,full__coy__DSC_4549coy,0.5442999697611128
2,coy_full_002_cyo,coy,full,cmy,cyo,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#bdb652,0.742483660130719,0.7124183006535948,0.3215686274509804,72.75439396140634,-10.214642476890079,50.753661079460024,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full,3996,16314,6883,4077,3996,4077,1.0,0.65,0.65,8,98.0,7.319194759212326,81,0.019867549668874173,#c79a62,0.78039217,0.6039216,0.38431373,66.610858868777,9.074430275150092,36.32444433394954,67.01775898589585,9.006790414310204,36.027674401944324,15.371074036884018,24.85988026835179,3.168487298219622,5.180141645008044,1.4360524421541478,75.97367495258618,37.44076042214901,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4549coy.tif,DSC_4549coy.tif,DSC_4549,coy,capture_number,4549,c,o,y,CMY+OVG,full__coy__DSC_4549coy,0.5442999697611128
3,coy_full_003_cyoyo,coy,full,cmymy,cyoyo,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#d8b236,0.8454901960784313,0.6980392156862745,0.21333333333333332,73.96645740587374,1.330633443154594,64.32965406780077,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full,2810,13543,5686,2868,2810,2868,1.0,0.65,0.65,8,98.0,7.1289777660878295,58,0.020223152022315203,#de9550,0.87058824,0.58431375,0.3137255,68.13633596710754,22.45096385093248,46.527342496593235,68.12715191517378,21.200311167632858,45.12073774343763,17.288441437918163,28.230851382889934,2.477916612592127,5.390266970468696,1.501573055429621,64.24117139310545,51.66081084953243,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4549coy.tif,DSC_4549coy.tif,DSC_4549,coy,capture_number,4549,c,o,y,CMY+OVG,full__coy__DSC_4549coy,0.5442999697611128
4,coy_full_004_yoyoo,coy,full,mymyy,yoyoo,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#ffa210,1.0,0.6368627450980393,0.0611764705882353,74.37079615128846,25.418703439362755,76.6951025205173,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full,1054,7045,3004,1072,1054,0,0.0,0.65,0.65,8,98.0,2.178010955983347,18,0.016791044776119403,#ff8671,1.0,0.5254902,0.44313726,69.11779446808552,43.93174929533045,32.436122451111295,68.99408554190367,44.23823062230043,32.47142168349527,25.58576920298955,48.26162254144563,0.6892849222988606,1.5368622574274564,0.4659933284144961,36.43955935034688,54.608613201685074,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4549coy.tif,DSC_4549coy.tif,DSC_4549,coy,capture_number,4549,c,o,y,CMY+OVG,full__coy__DSC_4549coy,0.5442999697611128
5,coy_full_005_yoo,coy,full,myy,yoo,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#ff9c11,1.0,0.6104575163398693,0.06797385620915032,72.87373589050357,28.9356606984682,75.37165258562459,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full,1241,7390,3144,1260,1241,0,0.0,0.65,0.65,8,98.0,1.575830504496353,19,0.01507936507936508,#ff8370,1.0,0.5137255,0.4392157,68.52658509838233,45.41615568129603,31.696955473927435,68.52984886966168,45.41515382632434,31.793342715778817,24.686202241945693,46.882657803146586,0.5427558727314661,1.1290750616906429,0.35203493319845025,34.912053746387016,55.38342877778385,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4549coy.tif,DSC_4549coy.tif,DSC_4549,coy,capture_number,4549,c,o,y,CMY+OVG,full__coy__DSC_4549coy,0.5442999697611128
6,coy_full_006_coyoyo,coy,full,cymymy,coyoyo,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#dea932,0.8712418300653595,0.661437908496732,0.19477124183006536,72.25440841206286,8.92356143228329,64.6676030517111,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full,3504,14858,6267,3576,3504,3576,1.0,0.65,0.65,8,98.0,7.027758634273225,72,0.020134228187919462,#e88d50,0.9098039,0.5529412,0.3137255,66.91274036917038,29.61294676610393,46.463132152373035,66.98365196882287,29.3392418256068,45.29413163100384,17.467462020918358,28.0711033573071,1.9836679931762087,4.475751371249847,1.3819937119241654,57.488890505736435,55.09763393813736,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4549coy.tif,DSC_4549coy.tif,DSC_4549,coy,capture_number,4549,c,o,y,CMY+OVG,full__coy__DSC_4549coy,0.5442999697611128
7,coy_full_007_yooo,coy,full,myyy,yooo,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#ff9314,1.0,0.5774509803921569,0.07647058823529412,71.04973524387583,33.302977338059705,73.70192716191266,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full,733,5655,2413,747,733,0,0.0,0.65,0.65,8,98.0,1.8687292332149983,14,0.018741633199464525,#ff8070,1.0,0.5019608,0.4392157,67.89513531444767,46.96313819069242,31.228887100172997,67.83804689450625,47.04018072627789,31.517687874096687,23.211569090691405,44.72706817264787,0.800163758623916,1.5738238732250702,0.45101830876555193,33.62255281594179,56.398401912052655,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4549coy.tif,DSC_4549coy.tif,DSC_4549,coy,capture_number,4549,c,o,y,CMY+OVG,full__coy__DSC_4549coy,0.5442999697611128
8,coy_full_008_yoooo,coy,full,myyyy,yoooo,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#ff8e15,1.0,0.5576470588235295,0.0815686274509804,69.9827856485692,35.900579068845914,72.69096121414668,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full,245,3886,1652,249,245,0,0.0,0.65,0.65,8,98.0,1.8609114405183547,4,0.01606425702811245,#ff8071,1.0,0.5019608,0.44313726,67.94422272402143,47.039531970255176,30.698689454215543,67.84553939492716,47.17084087687451,30.796289577879918,22.11586773783748,43.492331486102984,0.6360581471942377,1.2794330468000812,0.3932936618310563,33.129056738890995,56.170518087222796,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4549coy.tif,DSC_4549coy.tif,DSC_4549,coy,capture_number,4549,c,o,y,CMY+OVG,full__coy__DSC_4549coy,0.5442999697611128
9,coy_full_009_yooooo,coy,full,myyyyy,yooooo,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#ff8b16,1.0,0.5444444444444445,0.0849673202614379,69.28372668551506,37.62005111656463,72.0129069127118,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full,1600,8764,3719,1632,1600,0,0.0,0.65,0.65,8,98.0,2.4630482040157524,32,0.0196078431372549,#ff7e70,1.0,0.49411765,0.4392157,67.56103581238575,47.78590288404766,30.698689454215543,67.68077011326966,47.57213801092488,30.699070645876223,21.518378681848322,42.58141343603707,0.8714518674445072,1.6080235612096048,0.5147732854247363,32.717559533323424,56.79702499823383,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4549coy.tif,DSC_4549coy.tif,DSC_4549,coy,capture_number,4549,c,o,y,CMY+OVG,full__coy__DSC_4549coy,0.5442999697611128
10,coy_full_010_o,coy,full,y,o,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#ff7a1a,1.0,0.47843137254901963,0.10196078431372549,65.95057778279283,46.01545402094476,68.57062418706151,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full,484,4695,2013,493,484,0,0.0,0.65,0.65,8,98.0,1.9906030888275907,9,0.018255578093306288,#ff7970,1.0,0.4745098,0.4372549,66.57071937985816,50.414488181229956,29.71787230645353,66.40441672205164,50.67793987572666,29.7697858281164,18.752892519771528,39.105912671101976,0.7964807551977939,1.409342877630002,0.4248681210347951,30.518111098853467,58.52155631045754,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4549coy.tif,DSC_4549coy.tif,DSC_4549,coy,capture_number,4549,c,o,y,CMY+OVG,full__coy__DSC_4549coy,0.5442999697611128
