region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_w,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,cwm_full_001_mw,cwm,full,my,mw,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#dc87c6,0.8627450980392157,0.5294117647058824,0.7745098039215687,66.97616588474968,41.38423944977831,-18.721001844604324,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full,2385,11259,4872,2430,2385,2430,1.0,0.65,0.65,8,98.0,1.8853255022610906,45,0.018518518518518517,#de75b1,0.87058824,0.45882353,0.69411767,62.8356171653156,47.92487766141734,-13.112669728402103,62.815763066279864,47.89159124485828,-13.141557345215597,5.219463571742951,9.559156920941566,0.46544084248201834,1.0321111868971489,0.36297365388630026,344.697879100598,49.68637646546558,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
2,cwm_full_002_cmw,cwm,full,cmy,cmw,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#a69dcd,0.6509803921568628,0.6143790849673203,0.8039215686274511,66.91210339656043,13.349501645645578,-23.486845919805297,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full,5201,19803,8436,5308,5201,5308,1.0,0.65,0.65,8,98.0,3.812316288808174,107,0.02015825169555388,#9083c0,0.5647059,0.5137255,0.7529412,58.058441586295416,17.903062472950594,-29.716806905450575,58.02661933692461,17.876052585672635,-29.765341530187822,8.144046877697246,11.74455863543514,1.7252631533367286,3.0520573368057398,0.8836350953591761,301.0671051690558,34.69305778633827,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
3,cwm_full_003_cmwmw,cwm,full,cmymy,cmwmw,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#bc94ca,0.735686274509804,0.5803921568627451,0.7921568627450981,66.585175383644,24.53352442161705,-22.146847417435133,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full,3696,16355,6927,3771,3696,3771,1.0,0.65,0.65,8,98.0,4.797933265944205,75,0.01988862370723946,#a57dba,0.64705884,0.49019608,0.7294118,58.2191849857633,26.372491320868217,-26.417092986690548,58.457643657966166,26.280698974195523,-26.356143118289392,7.428987250211931,9.571133256606505,2.2424031580960215,3.501683311403551,0.9818979512820903,314.9515910830457,37.32788636310291,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
4,cwm_full_004_mwmww,cwm,full,mymyy,mwmww,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#e19dcf,0.8823529411764707,0.615686274509804,0.8117647058823529,72.64680232968956,32.96201831167617,-15.363729047134388,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full,1455,8556,3672,1485,1455,1485,1.0,0.65,0.65,8,98.0,3.1543696976209143,30,0.020202020202020204,#df82b6,0.8745098,0.50980395,0.7137255,65.77495899864468,42.69732025451744,-11.991080953056098,65.82503674383635,42.62306426458476,-11.970093245785998,7.008596405111888,12.384388957522496,0.9984791022741087,2.079086654906725,0.6975715701841865,344.31317665210474,44.34915082997159,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
5,cwm_full_005_mww,cwm,full,myy,mww,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#e4acd5,0.8954248366013072,0.6732026143790849,0.8366013071895425,76.52729876085148,27.315573015551596,-12.96576895779924,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full,1647,8951,3791,1673,1647,1673,1.0,0.65,0.65,8,98.0,2.0677856256187246,26,0.015540944411237299,#e18cbc,0.88235295,0.54901963,0.7372549,68.1950934957872,38.91285945428097,-11.251923825526422,68.21136967979655,38.829590349909154,-11.244921891326234,8.106996467721936,14.38262710559223,0.6459298061621365,1.2166476469012728,0.42449272199001714,343.8724069743066,40.506992244352986,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
6,cwm_full_006_cwmwmw,cwm,full,cymymy,cwmwmw,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#c5a4d1,0.7732026143790849,0.6437908496732027,0.8202614379084968,71.63353476372042,20.17163384949755,-18.35369251491055,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full,4497,18018,7596,4587,4497,4587,1.0,0.65,0.65,8,98.0,6.53252578635731,90,0.01962066710268149,#aa86bf,0.6666667,0.5254902,0.7490196,61.15609294047566,24.497882426319727,-24.568141523488784,61.426652693076576,24.0441745629317,-24.5907260701045,9.099948538191104,12.92720350223332,3.2671528825166725,5.595837920770081,1.6621505140727055,314.91795652745475,34.69495383037653,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
7,cwm_full_007_mwww,cwm,full,myyy,mwww,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#e9bedd,0.911764705882353,0.7450980392156863,0.8676470588235294,81.45728463311092,20.301394201731103,-9.84164735928399,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full,1021,6780,2908,1032,1021,1032,1.0,0.65,0.65,8,98.0,2.9822654685578236,11,0.01065891472868217,#e39bc3,0.8901961,0.60784316,0.7647059,72.14790001597308,32.40019726639076,-9.615220835351245,72.1642775618128,32.300613038001885,-9.586773835602905,8.894303854776368,15.267512780998771,1.1718277744790777,2.1661545283884314,0.6835344040378137,343.470992899545,33.79682314380463,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
8,cwm_full_008_mwwww,cwm,full,myyyy,mwwww,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#ebc9e2,0.9215686274509804,0.7882352941176471,0.8862745098039216,84.44652081221768,16.139205008811608,-7.917139240384108,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full,404,4713,2004,412,404,412,1.0,0.65,0.65,8,98.0,3.4921800384395834,8,0.019417475728155338,#e4aaca,0.89411765,0.6666667,0.7921569,75.86875731275758,26.159237308776923,-7.580190668824405,75.75397912088788,26.167652375067053,-7.751557876598083,8.270796485342581,13.194415799302915,2.090597409646057,3.148354400963109,1.0042210294563143,343.8399399297449,27.235362805599618,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
9,cwm_full_009_mwwwww,cwm,full,myyyyy,mwwwww,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#edd0e5,0.9281045751633988,0.8169934640522877,0.8986928104575164,86.44919773074623,13.389385915509756,-6.618244403656859,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full,2137,10668,4526,2181,2137,2181,1.0,0.65,0.65,8,98.0,4.613713321044371,44,0.020174232003668042,#e4b1cd,0.89411765,0.69411767,0.8039216,77.57769279732109,22.895726999112853,-7.073594921648718,77.06260419730981,23.768248919438456,-7.224298098230224,8.528196471043266,13.01082106078714,1.7017423205743518,3.7961104867360898,1.1618090096497484,342.83155734542,23.963515183158744,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
10,cwm_full_010_w,cwm,full,y,w,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#f5f5f5,0.9607843137254902,0.9607843137254902,0.9607843137254902,96.53749336548567,-1.616917905122861e-05,6.467671598286984e-06,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full,689,5708,2408,697,689,0,0.0,0.65,0.65,8,98.0,0.7904439549453468,8,0.011477761836441894,#eeebe8,0.93333334,0.92156863,0.9098039,93.19811538428425,0.14322627597274096,1.8084821124297212,93.19017162052911,0.17969432109679778,1.9334006696391448,2.6572021082742103,3.8003352295697894,0.4474640408718739,0.5403887473569073,0.1417766805069847,85.4718001557975,1.8141447894551543,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
