region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_w,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,cwy_full_001_yw,cwy,full,my,yw,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#faea7b,0.9803921568627452,0.9176470588235295,0.4803921568627451,91.9488240565362,-8.674881669843703,55.525164261720896,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full,2326,11450,4797,2373,2326,2373,1.0,0.65,0.65,8,98.0,1.0670459527026455,47,0.01980615254951538,#f9e867,0.9764706,0.9098039,0.40392157,91.15955788097077,-9.962672349111356,63.45629131296613,91.19438207764824,-10.027884821772322,63.561292473841334,2.2202094854713135,8.073668449502632,0.34547586305159617,0.6465936631951448,0.19431744187925193,98.92263256618446,64.23360294683593,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
2,cwy_full_002_cyw,cwy,full,cmy,cyw,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#badf9b,0.7294117647058824,0.873202614379085,0.607843137254902,84.69061968088843,-23.860393812004833,29.34101900585282,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full,5224,19846,8472,5330,5224,5330,1.0,0.65,0.65,8,98.0,2.3668565557401706,106,0.019887429643527205,#90c68a,0.5647059,0.7764706,0.5411765,74.8840236328521,-29.265948927605756,24.619718333666142,74.87846123305549,-29.123611268454237,24.296993942479894,7.934699093993358,12.152367349383058,0.938993864994149,1.7061929867436423,0.5211794145484661,139.9280750946471,38.24429758097651,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
3,cwy_full_003_cywyw,cwy,full,cmymy,cywyw,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#d4e38e,0.8298039215686275,0.8909803921568628,0.5568627450980392,87.45523342037417,-18.341893523288356,39.88673015110405,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full,3701,16256,6938,3765,3701,3765,1.0,0.65,0.65,8,98.0,3.3169213086345626,64,0.01699867197875166,#a5d081,0.64705884,0.8156863,0.5058824,78.97657876347046,-27.950139790800076,34.94131849151727,79.0838004769209,-27.91286250399261,34.601483853661385,8.396179881005914,13.73546787011512,1.3747749965417464,2.446354463602207,0.70138224789131,128.65689353914337,44.744899734505076,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
4,cwy_full_004_ywyww,cwy,full,mymyy,ywyww,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#f9ec93,0.9764705882352942,0.9262745098039217,0.5764705882352941,92.73114977667396,-7.8910818467205495,44.73620836974273,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full,1447,8604,3660,1476,1447,1476,1.0,0.65,0.65,8,98.0,1.6899759026467782,29,0.01964769647696477,#f7e973,0.96862745,0.9137255,0.4509804,91.37123454717434,-9.734094682228523,58.230767003008,91.34630687529341,-9.773634991556758,58.17794630864712,4.1583962961564715,13.687555605363084,0.6330471222120309,1.2440787254821768,0.3761977847754654,99.49005139134749,59.03875697405218,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
5,cwy_full_005_yww,cwy,full,myy,yww,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#f8eea3,0.9738562091503269,0.9320261437908498,0.6405228758169935,93.28989762805435,-7.0985775864075285,37.34317724520992,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full,1669,8956,3837,1701,1669,1701,1.0,0.65,0.65,8,98.0,1.646947907753486,32,0.0188124632569077,#f6ea82,0.9647059,0.91764706,0.50980395,91.65174007553445,-9.912239274960989,51.48060753784469,91.62715901667829,-9.931025705083458,51.76917389133026,4.8550753350254485,14.507487292554101,0.5879970217101977,1.189166144211921,0.34771866695638326,100.89853709805448,52.42619040050184,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
6,cwy_full_006_cwywyw,cwy,full,cymymy,cwywyw,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#d9e69f,0.8516339869281047,0.9026143790849673,0.6241830065359478,88.90977407926445,-15.600778704377982,33.2234322060921,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full,4532,18105,7647,4625,4532,4625,1.0,0.65,0.65,8,98.0,6.068761652906531,93,0.02010810810810811,#add48b,0.6784314,0.83137256,0.54509807,80.66739557009247,-25.566689217511207,32.262828195700635,80.5733688874239,-25.259955170752693,31.4741682178376,7.859786443570843,12.968382162360104,2.4902322239913843,4.743448261357034,1.3610355718984681,128.39507691103034,41.164859780279826,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
7,cwy_full_007_ywww,cwy,full,myyy,ywww,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#f8f0b8,0.9705882352941178,0.9392156862745099,0.7205882352941176,94.03074541756537,-5.8061779066262424,27.997281699796005,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full,1003,6820,2896,1022,1003,1022,1.0,0.65,0.65,8,98.0,2.6026770763321276,19,0.018590998043052837,#f4eb93,0.95686275,0.92156863,0.5764706,91.90280703473448,-8.945484865048591,43.311187508629054,91.91907199679655,-8.995105624136125,43.35568654092717,6.06665409628447,15.776535775072249,0.9230316518977024,1.7165494948056055,0.5494528484451014,101.66976756807111,44.225339601617975,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
8,cwy_full_008_ywwww,cwy,full,myyyy,ywwww,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#f7f1c4,0.9686274509803923,0.943529411764706,0.7686274509803922,94.49799914190935,-4.872218839970466,22.370113365105905,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full,395,4720,2001,404,395,404,1.0,0.65,0.65,8,98.0,3.0789076682432976,9,0.022277227722772276,#f3eba4,0.9529412,0.92156863,0.6431373,92.2952231952354,-7.565184860418405,35.49355973665016,92.28287610158698,-7.665324688512522,35.17105910889259,5.905196998067512,13.576786531625615,1.3550267121798305,2.1802208649388746,0.653092182676411,102.03211489953947,36.29083637437221,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
9,cwy_full_009_ywwwww,cwy,full,myyyyy,ywwwww,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#f7f1cc,0.9673202614379086,0.94640522875817,0.8006535947712418,94.81899368176441,-4.184756006605506,18.619963569757193,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full,2137,10762,4523,2181,2137,2181,1.0,0.65,0.65,8,98.0,3.765763172513897,44,0.020174232003668042,#f1ebad,0.94509804,0.92156863,0.6784314,92.29254680373388,-7.709469710497075,30.872947884134284,92.24627448178082,-7.826135527287699,31.796875234964673,6.188864106796655,12.997775391592295,1.5589526123932218,3.355662231767564,0.9948151387672743,104.02092876714096,31.82098103882945,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
10,cwy_full_010_w,cwy,full,y,w,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#f5f5f5,0.9607843137254902,0.9607843137254902,0.9607843137254902,96.53749336548567,-1.616917905122861e-05,6.467671598286984e-06,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full,710,5753,2442,714,710,0,0.0,0.65,0.65,8,98.0,0.8332783696438968,4,0.0056022408963585435,#edebe6,0.92941177,0.92156863,0.9019608,93.07332775647136,-0.20391303203487476,2.6557923597815836,93.05113996978228,-0.08411701791064563,2.506453436298995,3.2662062608694282,4.369807318645801,0.2136960829948475,0.8221043601206391,0.30965154927553185,94.39058355080033,2.6636091272759765,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
11,cwy_full_011_cwyw,cwy,full,cymy,cwyw,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#c9e4b2,0.7872549019607844,0.8950980392156863,0.6960784313725491,87.58260572385221,-17.995528819686356,21.820282634181588,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full,3336,13126,5641,3401,3336,3401,1.0,0.65,0.65,8,98.0,4.074270885273089,65,0.019112025874742724,#9ecc9d,0.61960787,0.8,0.6156863,77.89000155056658,-24.018081682667557,18.45750038770797,77.89511245540659,-24.26781607827437,18.927371808493504,7.828331515323081,11.896471034915995,1.7861414783799932,3.1168405967921315,0.9777927222247284,142.4583151951084,30.291047658962388,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
