region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_k,f_c,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,kcm_full_001_mc,kcm,full,my,mc,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#7e71b9,0.496078431372549,0.4411764705882353,0.7254901960784315,51.467797581737514,22.037982855022285,-36.3763344153146,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full,1800,9420,4020,1836,1800,1836,1.0,0.65,0.65,8,98.0,2.3300994873234973,36,0.0196078431372549,#8f92d1,0.56078434,0.57254905,0.81960785,62.47756154681856,13.110022921055398,-32.59284218834034,62.49627119294929,13.274891350302378,-32.5546567575158,11.097194638541234,14.670998077189223,0.6657185593889977,1.582927916214024,0.5258207515465827,291.91177960146365,35.1306997212503,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4544kcm.tif,DSC_4544kcm.tif,DSC_4544,kcm,capture_number,4544,k,c,m,CMY+neutral,full__kcm__DSC_4544kcm,0.5469462169553327
2,kcm_full_002_kmc,kcm,full,cmy,kmc,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#5b5282,0.3568627450980392,0.3202614379084967,0.5098039215686275,37.51758243383293,15.430762230651512,-25.817531311003282,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full,4095,16552,6996,4174,4095,4174,1.0,0.65,0.65,8,98.0,5.463204738697838,79,0.01892668902731193,#484758,0.28235295,0.2784314,0.34509805,30.982676866252035,4.33550571050037,-10.039585171619414,31.167903844291846,4.338232498392629,-10.05351711845681,11.74100104254574,20.36549268744693,2.0925567696910514,4.172337721174514,1.2420658657490593,293.3566725869852,10.935715805743204,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4544kcm.tif,DSC_4544kcm.tif,DSC_4544,kcm,capture_number,4544,k,c,m,CMY+neutral,full__kcm__DSC_4544kcm,0.5469462169553327
3,kcm_full_003_kmcmc,kcm,full,cmymy,kmcmc,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#695e98,0.41254901960784307,0.3686274509803922,0.596078431372549,43.1932856851595,18.13306665693476,-30.143886015990496,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full,2849,13648,5757,2908,2849,2908,1.0,0.65,0.65,8,98.0,13.246603962913461,59,0.0202888583218707,#5c5e81,0.36078432,0.36862746,0.5058824,41.04268892112204,7.073993337264605,-19.709972313501968,41.405809969907935,7.048211101369674,-18.993038510178035,6.707058083921987,15.355608886732773,6.8436516109045415,10.694221583137596,3.1904806647086246,289.7432794273448,20.940973958597965,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4544kcm.tif,DSC_4544kcm.tif,DSC_4544,kcm,capture_number,4544,k,c,m,CMY+neutral,full__kcm__DSC_4544kcm,0.5469462169553327
4,kcm_full_004_mcmcc,kcm,full,mymyy,mcmcc,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#7182c0,0.4423529411764706,0.5098039215686274,0.7529411764705883,55.34661432853207,9.718729906051603,-34.38506179838541,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full,1071,7056,3038,1092,1071,1092,1.0,0.65,0.65,8,98.0,3.1371262267550226,21,0.019230769230769232,#8a96d5,0.5411765,0.5882353,0.8352941,63.41458848939426,10.20852239981651,-33.21303398833364,63.717743390127154,9.943225369018867,-33.12074154090179,7.226533186870757,8.167358993874531,1.0556064680818678,2.351661384777466,0.7236732466525402,287.08559313070435,34.746504231328956,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4544kcm.tif,DSC_4544kcm.tif,DSC_4544,kcm,capture_number,4544,k,c,m,CMY+neutral,full__kcm__DSC_4544kcm,0.5469462169553327
5,kcm_full_005_mcc,kcm,full,myy,mcc,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#688ec5,0.40653594771241824,0.5555555555555555,0.7712418300653595,58.21165026866812,1.88615167582179,-32.60539208245304,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full,1248,7455,3181,1273,1248,1273,1.0,0.65,0.65,8,98.0,2.332863780863517,25,0.019638648860958365,#8a9dd9,0.5411765,0.6156863,0.8509804,65.28558460890187,8.041490091426073,-32.86183386152446,65.22264905449524,7.911722329087099,-32.90773981260383,7.638511972194085,9.380538387886137,0.993803696608231,1.8634893121115692,0.5588357133359608,283.75041208697917,33.8314304698004,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4544kcm.tif,DSC_4544kcm.tif,DSC_4544,kcm,capture_number,4544,k,c,m,CMY+neutral,full__kcm__DSC_4544kcm,0.5469462169553327
6,kcm_full_006_kcmcmc,kcm,full,cymymy,kcmcmc,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#6170a3,0.38169934640522873,0.43790849673202614,0.6405228758169935,47.918210241073304,8.186777997890527,-29.505150838911277,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full,3550,14926,6356,3623,3550,3623,1.0,0.65,0.65,8,98.0,12.70212635625305,73,0.020149047750483026,#68729c,0.40784314,0.44705883,0.6117647,48.6814342628261,6.9264266701995485,-23.9389754188285,47.570576798251565,6.56550042368297,-22.9385678248849,2.8202907381515634,5.757890688761518,6.049581068843199,10.974548799491163,3.2377993850994136,286.1371022921995,24.920873390010367,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4544kcm.tif,DSC_4544kcm.tif,DSC_4544,kcm,capture_number,4544,k,c,m,CMY+neutral,full__kcm__DSC_4544kcm,0.5469462169553327
7,kcm_full_007_mccc,kcm,full,myyy,mccc,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#5c9ccb,0.36176470588235293,0.6127450980392156,0.7941176470588236,62.027609648941635,-7.296634181354289,-30.004299401504554,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full,751,5707,2450,767,751,767,1.0,0.65,0.65,8,98.0,2.5777441496412656,16,0.020860495436766623,#88a2dd,0.53333336,0.63529414,0.8666667,66.68025919812816,6.028300881291249,-33.04439794637091,66.33974559724048,6.149251168172809,-33.126213728418065,10.057981045783418,14.437563555315156,1.260799063506484,2.20921090348043,0.6555477426320262,280.3387947330814,33.58976997768068,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4544kcm.tif,DSC_4544kcm.tif,DSC_4544,kcm,capture_number,4544,k,c,m,CMY+neutral,full__kcm__DSC_4544kcm,0.5469462169553327
8,kcm_full_008_mcccc,kcm,full,myyyy,mcccc,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#55a5ce,0.3349019607843137,0.6470588235294117,0.807843137254902,64.41427157262386,-12.44504966424509,-28.289394293942706,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full,248,3917,1673,254,248,254,1.0,0.65,0.65,8,98.0,3.94609623443297,6,0.023622047244094488,#87a8e3,0.5294118,0.65882355,0.8901961,68.42342695403792,3.499403089361558,-33.203821826228136,67.63319410778386,3.9052209881255937,-33.50796021210379,11.320933130174861,17.15955997263336,1.3567304990727684,3.4029401865534545,1.1731639155419087,276.0162830042509,33.38771639165723,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4544kcm.tif,DSC_4544kcm.tif,DSC_4544,kcm,capture_number,4544,k,c,m,CMY+neutral,full__kcm__DSC_4544kcm,0.5469462169553327
9,kcm_full_009_mccccc,kcm,full,myyyyy,mccccc,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#51abd0,0.3169934640522876,0.6699346405228758,0.8169934640522877,66.03760492781542,-15.722572041625526,-27.095443691372466,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full,1639,8909,3777,1672,1639,1672,1.0,0.65,0.65,8,98.0,3.4846578901860563,33,0.019736842105263157,#85a7e2,0.52156866,0.654902,0.8862745,68.26487737738312,3.3173573486777186,-33.19792949799138,67.84033207198067,3.7325502568483464,-33.352190579116666,12.955617541881267,20.117653610009338,1.2499631376347202,2.992811817995905,0.90223048572028,275.7064311614221,33.36326397000798,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4544kcm.tif,DSC_4544kcm.tif,DSC_4544,kcm,capture_number,4544,k,c,m,CMY+neutral,full__kcm__DSC_4544kcm,0.5469462169553327
10,kcm_full_010_c,kcm,full,y,c,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full,483,4694,2011,491,483,491,1.0,0.65,0.65,8,98.0,0.9510388866083584,8,0.016293279022403257,#87b1eb,0.5294118,0.69411767,0.92156863,71.27643905270834,0.6893199837541553,-33.33760162551322,71.28517135201686,0.7093658841980056,-33.22443447581044,19.28342398011819,33.63714356837826,0.28864502762306965,0.5996221240732288,0.20539044788516425,271.18453328335715,33.34472738202286,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4544kcm.tif,DSC_4544kcm.tif,DSC_4544,kcm,capture_number,4544,k,c,m,CMY+neutral,full__kcm__DSC_4544kcm,0.5469462169553327
