region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_m,f_k,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,mky_full_001_yk,mky,full,my,yk,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#8a7a0a,0.5392156862745098,0.4764705882352941,0.0392156862745098,50.89729237511497,-4.702436638467478,54.43291229936329,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full,1802,9488,4036,1839,1802,1839,1.0,0.65,0.65,8,98.0,8.271173252772442,37,0.02011963023382273,#4a513f,0.2901961,0.31764707,0.24705882,33.241139813995474,-6.6985049247633155,10.009049382007563,34.030175338810444,-6.758836883772937,10.068034606520136,25.03615097842574,47.84562266670898,2.662554299852318,6.6870868331602376,2.0893879301207092,123.79221357004764,12.043713619915758,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4547mky.tif,DSC_4547mky.tif,DSC_4547,mky,capture_number,4547,m,k,y,CMY+neutral,full__mky__DSC_4547mky,0.5469462169553327
2,mky_full_002_myk,mky,full,cmy,myk,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#9d5939,0.6143790849673202,0.35032679738562095,0.22222222222222224,45.12171476255148,24.585123892258753,30.59419323794095,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full,4065,16585,6970,4148,4065,3068,0.7396335583413693,0.65,0.65,8,98.0,14.14688183837713,83,0.02000964320154291,#4c4742,0.29803923,0.2784314,0.25882354,30.562781033194945,0.9388098887298524,4.4724329066131,31.53270109220774,0.8182371501503788,4.374868752517956,23.130830953576748,38.12423219025683,4.1361520434877805,8.404391684817252,2.604577530858477,78.14514141447762,4.569903731079316,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4547mky.tif,DSC_4547mky.tif,DSC_4547,mky,capture_number,4547,m,k,y,CMY+neutral,full__mky__DSC_4547mky,0.5469462169553327
3,mky_full_003_mykyk,mky,full,cmymy,mykyk,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#956626,0.584313725490196,0.40078431372549017,0.14901960784313725,47.07026035360869,12.683472832049569,42.18266758370248,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full,2895,13762,5819,2955,2895,2715,0.9187817258883249,0.65,0.65,8,98.0,11.51063230656418,60,0.02030456852791878,#48493f,0.28235295,0.28627452,0.24705882,30.562781033194945,-2.0834924087055064,5.767427329340813,31.23591660621917,-1.6344403239724405,5.75319240430838,24.7956931233626,42.621941048225835,4.082059733468113,7.7995680590144,2.366845096490562,109.86233541270303,6.132222975101344,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4547mky.tif,DSC_4547mky.tif,DSC_4547,mky,capture_number,4547,m,k,y,CMY+neutral,full__mky__DSC_4547mky,0.5469462169553327
4,mky_full_004_ykykk,mky,full,mymyy,ykykk,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#72650c,0.4470588235294118,0.3968627450980392,0.047058823529411764,42.68900819011868,-4.390174965222315,46.44917314860601,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full,1072,7104,3043,1094,1072,1094,1.0,0.65,0.65,8,98.0,8.894644883075253,22,0.02010968921389397,#464b3e,0.27450982,0.29411766,0.24313726,31.09208429499961,-5.299644681162896,7.570319722975117,30.987723241565647,-5.038522419609806,7.318280051252155,20.802524277862805,40.58178190623334,3.100117395768409,7.764754007904881,2.392126633299509,124.99415798348866,9.24099423518077,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4547mky.tif,DSC_4547mky.tif,DSC_4547,mky,capture_number,4547,m,k,y,CMY+neutral,full__mky__DSC_4547mky,0.5469462169553327
5,mky_full_005_ykk,mky,full,myy,ykk,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#62580d,0.3856209150326797,0.34379084967320256,0.05228758169934641,37.06018125678953,-4.145265022180434,40.6687182120301,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full,1251,7427,3171,1273,1251,1243,0.97643362136685,0.65,0.65,8,98.0,7.088018398191358,22,0.01728201099764336,#40433b,0.2509804,0.2627451,0.23137255,28.051376114173337,-3.3797346199475884,4.713633601599332,28.451883018398533,-3.5277752696358613,4.933888336950194,19.579930808194675,37.07442132033359,3.147515866641412,5.634295432387077,1.696594019006395,125.64099948773719,5.800081709027775,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4547mky.tif,DSC_4547mky.tif,DSC_4547,mky,capture_number,4547,m,k,y,CMY+neutral,full__mky__DSC_4547mky,0.5469462169553327
6,mky_full_006_mkykyk,mky,full,cymymy,mkykyk,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#805923,0.5,0.3470588235294118,0.1372549019607843,40.791371684317724,10.573987440501392,36.27376906539597,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full,3566,15069,6373,3639,3566,2955,0.8120362737015664,0.65,0.65,8,98.0,12.530329115515753,73,0.020060456169277274,#43463d,0.2627451,0.27450982,0.23921569,29.249813636176818,-3.7734248999194975,5.210724473565554,29.220835482996204,-3.023321098036729,4.599233942676521,22.626749489255243,36.110504598505855,5.232796025691073,10.357397974228466,3.1954929356118376,125.91074490170746,6.433535965139814,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4547mky.tif,DSC_4547mky.tif,DSC_4547,mky,capture_number,4547,m,k,y,CMY+neutral,full__mky__DSC_4547mky,0.5469462169553327
7,mky_full_007_ykkk,mky,full,myyy,ykkk,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#4f470f,0.30882352941176466,0.2774509803921568,0.058823529411764705,29.815195628927015,-3.762198880833262,32.702903336487324,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full,719,5766,2400,734,719,373,0.5081743869209809,0.65,0.65,8,98.0,9.134200094467465,15,0.020435967302452316,#3b3d39,0.23137255,0.23921569,0.22352941,25.358805562117524,-2.178371342698493,2.558581465150178,26.35799909769425,-2.1280449376612833,2.622351767404842,17.358171022588163,30.513080198185293,3.0590395378929602,7.087029397377596,2.175939807915262,130.41100899360384,3.3603036798033696,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4547mky.tif,DSC_4547mky.tif,DSC_4547,mky,capture_number,4547,m,k,y,CMY+neutral,full__mky__DSC_4547mky,0.5469462169553327
8,mky_full_008_ykkkk,mky,full,myyyy,ykkkk,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#433d10,0.26274509803921564,0.23764705882352938,0.06274509803921569,25.33872203376457,-3.4598535169804157,27.3922126056074,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full,253,3921,1663,259,253,51,0.1969111969111969,0.65,0.65,8,98.0,10.803650512023031,6,0.023166023166023165,#383937,0.21960784,0.22352941,0.21568628,23.81256859593946,-1.542409739934053,1.7233455755347182,25.224579093613055,-1.7435941266265524,2.1490921704414574,15.683956228358403,25.785586469217094,2.2244029121338933,6.6239136333458495,2.2795235259855886,131.828827985528,2.3127792325595027,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4547mky.tif,DSC_4547mky.tif,DSC_4547,mky,capture_number,4547,m,k,y,CMY+neutral,full__mky__DSC_4547mky,0.5469462169553327
9,mky_full_009_ykkkkk,mky,full,myyyyy,ykkkkk,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#3b3611,0.23202614379084963,0.21111111111111105,0.06535947712418301,22.29285246134645,-3.207457523707297,23.571384804906582,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full,1653,8909,3792,1686,1653,267,0.1583629893238434,0.65,0.65,8,98.0,11.67362676181466,33,0.019572953736654804,#383837,0.21960784,0.21960784,0.21568628,23.48857146951265,-0.671804069372367,1.1009985903618347,25.482054005886535,-1.2926772843068217,1.6507329190463393,14.593811363929573,22.644591827139944,2.223929014608446,8.504108441766386,2.889378865999709,121.3905835836402,1.2897746328735185,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4547mky.tif,DSC_4547mky.tif,DSC_4547,mky,capture_number,4547,m,k,y,CMY+neutral,full__mky__DSC_4547mky,0.5469462169553327
10,mky_full_010_k,mky,full,y,k,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#141414,0.0784313725490196,0.0784313725490196,0.0784313725490196,6.318928745123017,-2.7236759098103747e-06,1.0894703639241499e-06,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full,497,4791,2044,508,497,0,0.0,0.65,0.65,8,98.0,1.6387539104246054,11,0.021653543307086614,#39393b,0.22352941,0.22352941,0.23137255,24.03789121338862,0.4629393934224013,-1.0946612762849584,24.112835903459885,0.5292056486014667,-1.0500895298657884,11.739810922937162,17.758779013507365,0.6653365029156578,1.1113655773595699,0.32177676357168283,292.9238189339711,1.1885268998975642,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4547mky.tif,DSC_4547mky.tif,DSC_4547,mky,capture_number,4547,m,k,y,CMY+neutral,full__mky__DSC_4547mky,0.5469462169553327
