region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_m,f_v,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,mvy_full_001_yv,mvy,full,my,yv,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#b99b80,0.7235294117647059,0.607843137254902,0.5,65.93640238209338,6.813827607940526,18.508882545113046,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full,1827,9616,4077,1865,1827,1865,1.0,0.65,0.65,8,98.0,16.700461725973963,38,0.02037533512064343,#a08a80,0.627451,0.5411765,0.5019608,59.173136880473976,6.054068676071722,9.679667020560423,59.7027502688753,6.288869414891715,9.362730263905444,8.077308616983839,11.147826723579382,3.8076498889379726,11.220238676015505,3.640126033650264,57.97641627676262,11.416991773821943,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4565mvy.tif,DSC_4565mvy.tif,DSC_4565,mvy,capture_number,4565,m,v,y,CMY+OVG,full__mvy__DSC_4565mvy,0.5491153142159854
2,mvy_full_002_myv,mvy,full,cmy,myv,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#bc7087,0.7372549019607844,0.43790849673202614,0.5294117647058824,56.045559465092694,33.15303528813052,0.2714485714918391,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full,4294,16794,7267,4382,4294,4382,1.0,0.65,0.65,8,98.0,12.901355157657253,88,0.020082154267457783,#ae7d8d,0.68235296,0.49019608,0.5529412,57.68198051449261,21.90157361308742,-2.250829806765664,57.657935203087874,21.89463146950425,-2.0931222388678914,5.69699994861347,11.646250550855756,5.103969056487039,9.050241605697252,2.618414865305013,354.1322992430009,22.016928976324376,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4565mvy.tif,DSC_4565mvy.tif,DSC_4565,mvy,capture_number,4565,m,v,y,CMY+OVG,full__mvy__DSC_4565mvy,0.5491153142159854
3,mvy_full_003_myvyv,mvy,full,cmymy,myvyv,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#bb8184,0.731764705882353,0.5058823529411766,0.5176470588235295,59.78275222995886,22.671107745103612,7.380523029996122,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full,2961,13904,5929,3022,2961,3022,1.0,0.65,0.65,8,98.0,18.370024423989616,61,0.02018530774321641,#a6858b,0.6509804,0.52156866,0.54509807,58.8867463160818,13.861584053176223,2.056315637423589,58.73012374507895,15.168087553506576,0.49005418935721834,6.332193745622781,10.332362684084249,6.673049202772879,10.59273938365191,3.2100082306687243,8.438081903872444,14.013277506136177,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4565mvy.tif,DSC_4565mvy.tif,DSC_4565,mvy,capture_number,4565,m,v,y,CMY+OVG,full__mvy__DSC_4565mvy,0.5491153142159854
4,mvy_full_004_yvyvv,mvy,full,mymyy,yvyvv,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#aa8d99,0.6682352941176471,0.5545098039215687,0.6,61.70544539851048,12.889352372441987,-2.03967493681414,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full,1094,7241,3080,1117,1094,1117,1.0,0.65,0.65,8,98.0,17.269001028384142,23,0.020590868397493287,#9b8493,0.60784316,0.5176471,0.5764706,57.92393926775874,10.645488121477086,-4.431532444458219,57.17395367396179,11.432712335510898,-5.01488775568586,4.258918231239866,5.005566674268219,7.078367247038222,12.408833208412789,4.212285709864403,337.3988833167044,11.531040592713026,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4565mvy.tif,DSC_4565mvy.tif,DSC_4565,mvy,capture_number,4565,m,v,y,CMY+OVG,full__mvy__DSC_4565mvy,0.5491153142159854
5,mvy_full_005_yvv,mvy,full,myy,yvv,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#a184aa,0.6313725490196078,0.5189542483660131,0.6666666666666666,59.041755451852595,17.9163484560515,-15.805627886917906,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full,1254,7564,3193,1280,1254,1280,1.0,0.65,0.65,8,98.0,11.867158904594078,26,0.0203125,#988296,0.59607846,0.50980395,0.5882353,56.86283757656007,12.09281238352003,-7.4760957394301775,56.837901751394384,12.05831395872615,-7.1346372208300535,6.14148250906093,10.394342754180087,5.653995696772739,9.613454528996476,2.8187503769109234,328.2745494114838,14.217176894452058,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4565mvy.tif,DSC_4565mvy.tif,DSC_4565,mvy,capture_number,4565,m,v,y,CMY+OVG,full__mvy__DSC_4565mvy,0.5491153142159854
6,mvy_full_006_mvyvyv,mvy,full,cymymy,mvyvyv,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#af7a99,0.6843137254901962,0.47843137254901963,0.5980392156862745,57.327951801262955,25.251081067635962,-8.18332759539353,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full,3682,15245,6511,3755,3682,3755,1.0,0.65,0.65,8,98.0,21.01815735745497,73,0.01944074567243675,#9d8097,0.6156863,0.5019608,0.5921569,56.74059627361563,14.212683208645576,-7.277726742930013,56.82732776454023,15.75631403555252,-7.219701995471899,6.590107632756164,11.091047142321777,7.891033875353264,12.661949990785411,3.884688404283359,332.88489320783304,15.967644489218646,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4565mvy.tif,DSC_4565mvy.tif,DSC_4565,mvy,capture_number,4565,m,v,y,CMY+OVG,full__mvy__DSC_4565mvy,0.5491153142159854
7,mvy_full_007_yvvv,mvy,full,myyy,yvvv,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#9579bf,0.5852941176470589,0.4745098039215687,0.75,55.94778352329082,25.349647322433334,-32.79985316585119,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full,762,5784,2475,777,762,777,1.0,0.65,0.65,8,98.0,15.874135197815187,15,0.019305019305019305,#937aa5,0.5764706,0.47843137,0.6450981,54.863662145549156,18.919348590921146,-21.255806711999405,54.788286063795496,17.717827783165443,-19.372061217059567,5.660690941050469,13.258547034530281,5.078337880596342,10.40162484523683,3.394389523816095,311.67161037212827,28.456125352596214,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4565mvy.tif,DSC_4565mvy.tif,DSC_4565,mvy,capture_number,4565,m,v,y,CMY+OVG,full__mvy__DSC_4565mvy,0.5491153142159854
8,mvy_full_008_yvvvv,mvy,full,myyyy,yvvvv,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#8e72cc,0.5576470588235295,0.44784313725490205,0.8,54.246564323511976,30.404083053306884,-42.78055011100697,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full,265,3986,1708,271,265,271,1.0,0.65,0.65,8,98.0,9.284885715475781,6,0.02214022140221402,#8b73b1,0.54509807,0.4509804,0.69411767,52.453927782092535,23.21201628185454,-28.46573045551699,53.171365133825226,21.356474353695443,-26.781717845838546,6.231309699346419,16.119969974657625,5.453752638184689,8.672721915114971,2.203484834459877,309.1950836426427,36.73003553272482,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4565mvy.tif,DSC_4565mvy.tif,DSC_4565,mvy,capture_number,4565,m,v,y,CMY+OVG,full__mvy__DSC_4565mvy,0.5491153142159854
9,mvy_full_009_yvvvvv,mvy,full,myyyyy,yvvvvv,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#8a6ed5,0.5392156862745099,0.43006535947712426,0.8333333333333334,53.188314508050524,34.00110044802124,-49.312438487448176,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full,1652,9119,3805,1686,1652,1686,1.0,0.65,0.65,8,98.0,18.50066251870926,34,0.020166073546856466,#8e75ae,0.5568628,0.45882353,0.68235296,53.577929035347594,21.748722592907583,-26.742871789468857,54.539185459005445,20.204448906375625,-24.5822066439368,9.001894469404727,25.683806250610473,4.61828871287987,13.783808392032675,4.367538107179894,309.11983948495083,34.470104815204984,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4565mvy.tif,DSC_4565mvy.tif,DSC_4565,mvy,capture_number,4565,m,v,y,CMY+OVG,full__mvy__DSC_4565mvy,0.5491153142159854
10,mvy_full_010_v,mvy,full,y,v,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#7257ff,0.4470588235294118,0.3411764705882353,1.0,49.0221678957536,53.970442144664624,-79.9984025813113,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full,512,4836,2075,523,512,523,1.0,0.65,0.65,8,98.0,13.160475132723471,11,0.021032504780114723,#896fc4,0.5372549,0.43529412,0.76862746,52.58913311419663,28.545272709148527,-40.86568798471644,52.41406360944465,28.65137534431474,-40.82377100384239,11.628096608624894,46.803117774276885,0.6367253161249926,1.7231380545006214,1.2148840218067034,304.9348548527129,49.84813987004788,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4565mvy.tif,DSC_4565mvy.tif,DSC_4565,mvy,capture_number,4565,m,v,y,CMY+OVG,full__mvy__DSC_4565mvy,0.5491153142159854
