region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_v,f_c,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
1,vcm_full_001_mc,vcm,full,my,mc,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#7e71b9,0.496078431372549,0.4411764705882353,0.7254901960784315,51.467797581737514,22.037982855022285,-36.3763344153146,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full
2,vcm_full_002_vmc,vcm,full,cmy,vmc,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#7a68d0,0.4797385620915033,0.407843137254902,0.8169934640522877,50.25415759752278,32.39983190759982,-51.70460169026614,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full
3,vcm_full_003_vmcmc,vcm,full,cmymy,vmcmc,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#7c6bc7,0.4862745098039216,0.4211764705882353,0.7803921568627452,50.69531779811416,28.187990804544928,-45.658076672855216,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full
4,vcm_full_004_mcmcc,vcm,full,mymyy,mcmcc,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#7182c0,0.4423529411764706,0.5098039215686274,0.7529411764705883,55.34661432853207,9.718729906051603,-34.38506179838541,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full
5,vcm_full_005_mcc,vcm,full,myy,mcc,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#688ec5,0.40653594771241824,0.5555555555555555,0.7712418300653595,58.21165026866812,1.88615167582179,-32.60539208245304,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full
6,vcm_full_006_vcmcmc,vcm,full,cymymy,vcmcmc,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#717bcb,0.4431372549019608,0.48169934640522877,0.7941176470588237,53.94423211795521,17.11052902068122,-42.56226998751076,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full
7,vcm_full_007_mccc,vcm,full,myyy,mccc,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#5c9ccb,0.36176470588235293,0.6127450980392156,0.7941176470588236,62.027609648941635,-7.296634181354289,-30.004299401504554,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full
8,vcm_full_008_mcccc,vcm,full,myyyy,mcccc,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#55a5ce,0.3349019607843137,0.6470588235294117,0.807843137254902,64.41427157262386,-12.44504966424509,-28.289394293942706,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full
9,vcm_full_009_mccccc,vcm,full,myyyyy,mccccc,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#51abd0,0.3169934640522876,0.6699346405228758,0.8169934640522877,66.03760492781542,-15.722572041625526,-27.095443691372466,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full
10,vcm_full_010_c,vcm,full,y,c,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full
11,vcm_full_011_vcmc,vcm,full,cymy,vcmc,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#6a80d3,0.4166666666666667,0.5019607843137255,0.8284313725490197,55.31044973022857,15.016515787675822,-45.38529756895946,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full
12,vcm_full_012_vcmcc,vcm,full,cymyy,vcmcc,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#618ed5,0.3788235294117647,0.5584313725490195,0.8352941176470589,58.776384248891205,4.847106670298973,-40.937265282453275,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full
13,vcm_full_013_vcmccc,vcm,full,cymyyy,vcmccc,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#5a98d6,0.3535947712418301,0.596078431372549,0.8398692810457516,61.220062205242726,-1.6825810534789598,-37.77890676781717,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full
14,vcm_full_014_vccccc,vcm,full,cyyyyy,vccccc,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#43b5e2,0.26405228758169935,0.7104575163398693,0.8856209150326798,69.32599965674956,-17.80812918878638,-31.67264899482809,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full
15,vcm_full_015_vcccc,vcm,full,cyyyy,vcccc,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#45b1e3,0.27137254901960783,0.6956862745098038,0.8901960784313726,68.32722199238262,-15.175958796575962,-33.85255153955444,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full
16,vcm_full_016_vccc,vcm,full,cyyy,vccc,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#48ace5,0.2823529411764706,0.6735294117647058,0.8970588235294118,66.84522755777502,-11.150676416141703,-37.10830404442107,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full
17,vcm_full_017_vcc,vcm,full,cyy,vcc,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#4da2e8,0.3006535947712418,0.6366013071895424,0.9084967320261438,64.4242227167021,-4.2472141948939335,-42.48559172864355,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full
18,vcm_full_018_vcvcmc,vcm,full,cycymy,vcvcmc,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#6485dc,0.39019607843137255,0.5222222222222223,0.8627450980392156,56.749460635732135,13.16854337061024,-48.05057909740269,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full
19,vcm_full_019_vcvcc,vcm,full,cycyy,vcvcc,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#509bea,0.31529411764705884,0.6070588235294118,0.9176470588235294,62.53851352418627,1.434861162781076,-46.72991676815164,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full
20,vcm_full_020_vc,vcm,full,cy,vc,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#5690ee,0.33725490196078434,0.5627450980392157,0.9313725490196079,59.81163391751927,10.177625879693009,-52.969272073506076,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full
21,vcm_full_021_vmcvc,vcm,full,cmycy,vmcvc,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.34641016151377546,#6c78dc,0.42274509803921567,0.4698039215686275,0.8627450980392158,53.735299567322926,23.017910749143276,-52.81698091006728,"[[0.4000000000000001, 0.2790526301083191], [0.42499999999999993, 0.27424137786507224], [0.475, 0.36084391824351614], [0.45833333333333337, 0.38008892721650356], [0.33333333333333326, 0.4041451884327379], [0.31666666666666676, 0.37527767497325687]]",6,5,5,full
22,vcm_full_022_vvcvc,vcm,full,ccycy,vvcvc,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#5c84f1,0.35921568627450984,0.5184313725490196,0.9450980392156862,57.230916724072955,19.10439038254935,-59.01091171208801,"[[0.24999999999999994, 0.27905263010831904], [0.2833333333333333, 0.35603266600026917], [0.22500000000000003, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,5,5,full
23,vcm_full_023_vvc,vcm,full,ccy,vvc,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#5f7df3,0.3738562091503268,0.48888888888888893,0.954248366013072,55.60660835952862,25.101988035983457,-62.901087858384976,"[[0.20833333333333337, 0.21650635094610968], [0.2333333333333333, 0.2309401076758503], [0.24999999999999997, 0.2501851166488378], [0.24999999999999997, 0.27905263010831904], [0.1833333333333333, 0.3175426480542941], [0.14583333333333334, 0.2525907427704613]]",6,5,5,full
