region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_v,f_c,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,vcm_full_001_mc,vcm,full,my,mc,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#7e71b9,0.496078431372549,0.4411764705882353,0.7254901960784315,51.467797581737514,22.037982855022285,-36.3763344153146,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full,1854,9690,4094,1892,1854,1892,1.0,0.65,0.65,8,98.0,4.105879303043865,38,0.0200845665961945,#928ecf,0.57254905,0.5568628,0.8117647,61.46347625833825,15.738437258982941,-32.95631083172877,61.35502984778754,15.87016014746221,-32.9584966092633,9.731056335078305,12.300180008223967,1.4981342716915294,2.5896656329295045,0.8061840028441712,295.52702198727883,36.521457131287434,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
2,vcm_full_002_vmc,vcm,full,cmy,vmc,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#7a68d0,0.4797385620915033,0.407843137254902,0.8169934640522877,50.25415759752278,32.39983190759982,-51.70460169026614,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full,4224,16956,7180,4311,4224,4311,1.0,0.65,0.65,8,98.0,8.134195233838186,87,0.020180932498260265,#8976c7,0.5372549,0.4627451,0.78039217,54.45685442488376,25.47099765568084,-39.733215436034605,54.12215153988074,25.64899684835214,-39.74792728378802,5.866863096922616,14.456330570420675,3.3431368404155157,5.861478583402531,1.900635540289445,302.661922242523,47.19639954977538,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
3,vcm_full_003_vmcmc,vcm,full,cmymy,vmcmc,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#7c6bc7,0.4862745098039216,0.4211764705882353,0.7803921568627452,50.69531779811416,28.187990804544928,-45.658076672855216,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full,2884,13902,5822,2943,2884,2943,1.0,0.65,0.65,8,98.0,5.572532798726991,59,0.020047570506286104,#8a7ec9,0.5411765,0.49411765,0.7882353,56.51074388785043,21.60625405670158,-37.49085977636302,56.75162139299387,21.47423844254113,-37.34239805133094,6.404089980378611,11.993409484272789,2.766547055599419,4.340965066770815,1.257300988242068,299.9551590324842,43.27117725615572,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
4,vcm_full_004_mcmcc,vcm,full,mymyy,mcmcc,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#7182c0,0.4423529411764706,0.5098039215686274,0.7529411764705883,55.34661432853207,9.718729906051603,-34.38506179838541,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full,1117,7266,3116,1139,1117,1139,1.0,0.65,0.65,8,98.0,4.832642736281874,22,0.019315188762071993,#8d94d3,0.5529412,0.5803922,0.827451,63.010988782265926,12.505544488166153,-33.291124098844804,62.92389007957084,11.964959293804364,-33.26229615437192,7.291928838304784,8.22834557931366,1.993427768029075,3.7496554513676035,1.1000477049254063,290.5882873756958,35.562446298169476,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
5,vcm_full_005_mcc,vcm,full,myy,mcc,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#688ec5,0.40653594771241824,0.5555555555555555,0.7712418300653595,58.21165026866812,1.88615167582179,-32.60539208245304,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full,1304,7603,3261,1331,1304,1331,1.0,0.65,0.65,8,98.0,5.821096305012785,27,0.0202854996243426,#8b9bd8,0.54509807,0.60784316,0.84705883,64.73214480086207,9.183561612880142,-33.056490485931576,64.5080470001342,9.19621356937691,-33.1584230225213,7.796549845924734,9.796557073965838,2.0331282841097718,3.753134282741129,1.154887702630714,285.5260469693668,34.308444545680736,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
6,vcm_full_006_vcmcmc,vcm,full,cymymy,vcmcmc,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#717bcb,0.4431372549019608,0.48169934640522877,0.7941176470588237,53.94423211795521,17.11052902068122,-42.56226998751076,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full,3640,15229,6480,3715,3640,3715,1.0,0.65,0.65,8,98.0,6.374627978561857,75,0.020188425302826378,#8888cf,0.53333336,0.53333336,0.8117647,59.28200541834819,16.794353374666226,-36.70595514197481,58.706196235894,17.15040637382301,-36.83701740619691,5.8275124825337015,7.93020897679033,1.6667755852341626,4.540120528267643,1.379397435072883,294.5858745131606,40.36554778716412,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
7,vcm_full_007_mccc,vcm,full,myyy,mccc,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#5c9ccb,0.36176470588235293,0.6127450980392156,0.7941176470588236,62.027609648941635,-7.296634181354289,-30.004299401504554,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full,755,5800,2468,771,755,771,1.0,0.65,0.65,8,98.0,4.680847095809371,16,0.020752269779507133,#88a1dd,0.53333336,0.6313726,0.8666667,66.44565397519085,6.915801285754142,-33.0135381953637,65.79509384357983,7.085091525791889,-33.19925860027285,10.611022956563689,15.184464287352762,1.857895192842295,3.9723911679035115,1.1347757417583082,281.8314490712338,33.73013506644728,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
8,vcm_full_008_mcccc,vcm,full,myyyy,mcccc,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#55a5ce,0.3349019607843137,0.6470588235294117,0.807843137254902,64.41427157262386,-12.44504966424509,-28.289394293942706,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full,272,3986,1710,276,272,276,1.0,0.65,0.65,8,98.0,7.680013133126318,4,0.014492753623188406,#87a6e1,0.5294118,0.6509804,0.88235295,68.1236857395105,3.491151773633683,-32.85096820067592,66.97159099390947,4.490620142427161,-33.53502923679503,11.333081743378413,16.98617750515807,1.5297883229813518,6.790125658781403,2.064752574897027,276.0661924733687,33.03595393549831,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
9,vcm_full_009_mccccc,vcm,full,myyyyy,mccccc,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#51abd0,0.3169934640522876,0.6699346405228758,0.8169934640522877,66.03760492781542,-15.722572041625526,-27.095443691372466,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full,1702,9068,3873,1736,1702,1736,1.0,0.65,0.65,8,98.0,5.573621882916905,34,0.019585253456221197,#87a5e0,0.5294118,0.64705884,0.8784314,67.5451260358769,4.035440627546267,-33.333270938261215,67.12534213781726,4.9700036856193615,-33.4072495083017,13.36154587174639,20.774074547099122,1.6782905738917964,4.6724020873081225,1.418424346804332,276.9028318203943,33.57665457579091,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
10,vcm_full_010_c,vcm,full,y,c,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full,530,4841,2109,541,530,541,1.0,0.65,0.65,8,98.0,1.365704879233259,11,0.02033271719038817,#88b1eb,0.53333336,0.69411767,0.92156863,71.33335007196578,0.9175165793126605,-33.33760162551322,71.45813373331058,0.8911964472901646,-33.355271368792195,19.418226523605842,33.84242024499125,0.358240209498868,0.8713551883869257,0.29462140582305296,271.57649494658125,33.35022516887608,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
11,vcm_full_011_vcmc,vcm,full,cymy,vcmc,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#6a80d3,0.4166666666666667,0.5019607843137255,0.8284313725490197,55.31044973022857,15.016515787675822,-45.38529756895946,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full,2714,11228,4799,2767,2714,2767,1.0,0.65,0.65,8,98.0,6.5558014758596785,53,0.01915431875677629,#8383ce,0.5137255,0.5137255,0.80784315,57.61812389427384,18.48836035018639,-38.875742177119456,57.161228378808836,18.524326037397387,-38.97935748634577,6.009815062482904,7.730030796385582,2.3419029723418943,4.309208397748391,1.3202189915910485,295.43462751582695,43.048145119856315,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
12,vcm_full_012_vcmcc,vcm,full,cymyy,vcmcc,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#618ed5,0.3788235294117647,0.5584313725490195,0.8352941176470589,58.776384248891205,4.847106670298973,-40.937265282453275,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full,2742,12688,5401,2797,2742,2797,1.0,0.65,0.65,8,98.0,3.547115340467049,55,0.01966392563460851,#828cd3,0.50980395,0.54901963,0.827451,60.19154373451627,14.393458593039588,-37.81005670061005,59.91390829146368,14.120556395740163,-37.747082617347864,8.401711290057488,10.144700336477268,1.305940745537965,2.6315082060994617,0.7724309210460727,290.8407306839389,40.45703941186122,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
