region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_g,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,ygm_full_001_mg,ygm,full,my,mg,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#726c7d,0.44509803921568625,0.4235294117647059,0.4882352941176471,46.627535482316695,5.590572036020647,-8.359464096449232,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full,1851,9641,4103,1889,1851,1889,1.0,0.65,0.65,8,98.0,4.26829950319455,38,0.02011646373742721,#9c9185,0.6117647,0.5686275,0.52156866,60.77610271097208,1.9625545131607414,7.705954251971758,60.55079624904471,2.1567269555361115,7.59107231808921,19.871539129726678,21.712718219507696,1.5196047188922108,2.9542363600151114,0.8828730489047621,75.71165014798822,7.951940087212002,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4570ygm.tif,DSC_4570ygm.tif,DSC_4570,ygm,capture_number,4570,y,g,m,CMY+OVG,full__ygm__DSC_4570ygm,0.545950864422202
2,ygm_full_002_ymg,ygm,full,cmy,ymg,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#a19253,0.6300653594771242,0.5738562091503269,0.3254901960784314,60.63014472325081,-3.564295789389993,35.310059829444164,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full,4201,16750,7156,4287,4201,4287,1.0,0.65,0.65,8,98.0,4.42617010169249,86,0.02006064847212503,#afaa6d,0.6862745,0.6666667,0.42745098,68.64467272572202,-7.413750641185213,32.45595633466611,68.88634835927255,-7.269902675161234,32.329881350161564,7.399313327365589,9.337926349961709,2.3254771674494874,3.4992180230959686,0.9653032999011408,102.8670261374877,33.29193295931354,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4570ygm.tif,DSC_4570ygm.tif,DSC_4570,ygm,capture_number,4570,y,g,m,CMY+OVG,full__ygm__DSC_4570ygm,0.545950864422202
3,ygm_full_003_ymgmg,ygm,full,cmymy,ymgmg,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#8e8364,0.556078431372549,0.5137254901960785,0.3905882352941177,54.94711644900437,-1.0678431974101565,18.491478133596196,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full,2936,13856,5893,2996,2936,2996,1.0,0.65,0.65,8,98.0,7.838527590817151,60,0.020026702269692925,#a79d75,0.654902,0.6156863,0.45882353,64.54980109197159,-3.3725127723410466,22.68725778593025,65.44782072774515,-4.160069269305838,23.20616481374512,9.004487494271629,10.729754008961764,3.2861319149738994,6.587705316786962,1.9139980492227924,98.45523167383317,22.93655397492954,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4570ygm.tif,DSC_4570ygm.tif,DSC_4570,ygm,capture_number,4570,y,g,m,CMY+OVG,full__ygm__DSC_4570ygm,0.545950864422202
4,ygm_full_004_mgmgg,ygm,full,mymyy,mgmgg,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#617d77,0.3811764705882353,0.4886274509803922,0.4682352941176471,50.048780298099175,-11.011596685547298,-0.4100021177099622,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full,1074,7223,3055,1096,1074,1096,1.0,0.65,0.65,8,98.0,4.502371850627804,22,0.020072992700729927,#939a81,0.5764706,0.6039216,0.5058824,62.47628566439304,-6.758454073986231,12.188251083625058,62.46897558682327,-7.209760945656076,12.409053233574253,15.721140995965957,18.200222400522676,2.255045068662448,3.782041688498489,1.0817063233779372,119.00861593549837,13.936648303938378,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4570ygm.tif,DSC_4570ygm.tif,DSC_4570,ygm,capture_number,4570,y,g,m,CMY+OVG,full__ygm__DSC_4570ygm,0.545950864422202
5,ygm_full_005_mgg,ygm,full,myy,mgg,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#568874,0.33856209150326794,0.5320261437908497,0.4549019607843137,52.695630696077046,-21.313046076856747,5.328256157381528,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full,1296,7586,3253,1323,1296,1323,1.0,0.65,0.65,8,98.0,3.011073366624022,27,0.02040816326530612,#8ea082,0.5568628,0.627451,0.50980395,63.8206484782671,-12.286698156979108,13.92299595736295,63.802710060737965,-12.159811890996314,13.835642341915644,13.555379252979149,16.70660137951789,1.409952417968951,2.2823168066606323,0.6441929045567604,131.42760282478207,18.56913482178044,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4570ygm.tif,DSC_4570ygm.tif,DSC_4570,ygm,capture_number,4570,y,g,m,CMY+OVG,full__ygm__DSC_4570ygm,0.545950864422202
6,ygm_full_006_ygmgmg,ygm,full,cymymy,ygmgmg,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#7c8d64,0.4843137254901961,0.5529411764705883,0.39019607843137255,56.29544221156243,-14.021097488347678,20.118727749567267,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full,3642,15210,6471,3717,3642,3717,1.0,0.65,0.65,8,98.0,7.832588985852377,75,0.020177562550443905,#9ca377,0.6117647,0.6392157,0.46666667,65.54861581791646,-10.68401575423561,22.024150988884152,66.45532085776782,-11.321085938503971,23.070672519252007,8.563042301845588,10.019379921452225,3.9777887239441205,6.79467114535029,1.8471972467582722,115.87823435642588,24.478795301605867,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4570ygm.tif,DSC_4570ygm.tif,DSC_4570,ygm,capture_number,4570,y,g,m,CMY+OVG,full__ygm__DSC_4570ygm,0.545950864422202
7,ygm_full_007_mggg,ygm,full,myyy,mggg,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#499670,0.2852941176470588,0.5862745098039216,0.43823529411764706,56.310473320535195,-32.957780310672206,12.791458236792131,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full,748,5807,2457,763,748,763,1.0,0.65,0.65,8,98.0,4.103908424214189,15,0.019659239842726082,#87a782,0.5294118,0.654902,0.50980395,65.25025965229335,-17.66694574162708,15.760554459812571,65.3253854495625,-17.993278331447218,15.698509882554404,11.406116713523286,17.959536014523025,2.0114838213376185,2.926779572999118,0.7737922453224032,138.26407847388964,23.67522014086275,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4570ygm.tif,DSC_4570ygm.tif,DSC_4570,ygm,capture_number,4570,y,g,m,CMY+OVG,full__ygm__DSC_4570ygm,0.545950864422202
8,ygm_full_008_mgggg,ygm,full,myyyy,mgggg,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#419e6d,0.2533333333333333,0.6188235294117648,0.42823529411764705,58.60463547244893,-39.21956808765342,17.35034488308449,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full,263,3982,1699,269,263,269,1.0,0.65,0.65,8,98.0,4.0189519575877,6,0.022304832713754646,#83b383,0.5137255,0.7019608,0.5137255,68.73205348293853,-25.766955756019506,19.941774803812695,68.26145422636043,-25.462045675829525,19.99750249774682,10.610259611591593,17.036809652586463,1.5506681334164343,3.402672458455026,0.952409801268879,142.2627000801948,32.582363193277516,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4570ygm.tif,DSC_4570ygm.tif,DSC_4570,ygm,capture_number,4570,y,g,m,CMY+OVG,full__ygm__DSC_4570ygm,0.545950864422202
9,ygm_full_009_mggggg,ygm,full,myyyyy,mggggg,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#3ba36c,0.23202614379084965,0.6405228758169935,0.4215686274509804,60.17504856379003,-43.089333764619155,20.401444684292724,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full,1667,9069,3823,1702,1667,1702,1.0,0.65,0.65,8,98.0,4.473252460414482,35,0.020564042303172738,#81b682,0.5058824,0.7137255,0.50980395,69.16661340697405,-27.896756701681124,21.035310253572746,69.04847105820491,-27.142487619468614,20.642723526686265,9.763885415258423,17.66534521888583,1.615015553190033,3.52649626628544,1.0219742938537406,142.9821932870409,34.93870793170311,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4570ygm.tif,DSC_4570ygm.tif,DSC_4570,ygm,capture_number,4570,y,g,m,CMY+OVG,full__ygm__DSC_4570ygm,0.545950864422202
10,ygm_full_010_g,ygm,full,y,g,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#20bf63,0.12549019607843137,0.7490196078431373,0.38823529411764707,68.36328344031337,-59.093631377102774,35.49547851450803,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full,497,4837,2044,508,497,508,1.0,0.65,0.65,8,98.0,1.6363136724450462,11,0.021653543307086614,#78d788,0.47058824,0.84313726,0.53333336,78.56141771164718,-44.53184475416783,30.078373259125947,78.6105359335099,-44.55517153428682,30.083483590070585,8.70596639157788,18.58474109628457,0.3820706902371668,0.7568176256100759,0.2601602486116957,145.96352523515452,53.738196239961454,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4570ygm.tif,DSC_4570ygm.tif,DSC_4570,ygm,capture_number,4570,y,g,m,CMY+OVG,full__ygm__DSC_4570ygm,0.545950864422202
11,ygm_full_011_ygmg,ygm,full,cymy,ygmg,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#819e57,0.503921568627451,0.6176470588235294,0.3411764705882353,61.30701990140311,-22.369260997652628,33.49759345578731,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full,2675,11159,4747,2730,2675,2730,1.0,0.65,0.65,8,98.0,4.636092194255803,55,0.020146520146520148,#9eb272,0.61960787,0.69803923,0.44705883,69.68675232219483,-18.47803667886627,31.530186963189987,70.04490659877345,-18.133571234808084,30.919526681975928,7.120423970603659,9.44628130272947,2.5968757857732587,3.8068615438183175,1.0528330279692792,120.37212485251547,36.545732027683385,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4570ygm.tif,DSC_4570ygm.tif,DSC_4570,ygm,capture_number,4570,y,g,m,CMY+OVG,full__ygm__DSC_4570ygm,0.545950864422202
12,ygm_full_012_ygmgg,ygm,full,cymyy,ygmgg,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#6da459,0.42823529411764705,0.643921568627451,0.35058823529411764,62.18005548341186,-32.51127157587985,33.09470471017066,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full,2748,12651,5411,2800,2748,2800,1.0,0.65,0.65,8,98.0,4.53180035003412,52,0.018571428571428572,#94b875,0.5803922,0.72156864,0.45882353,70.73222394841243,-24.971265553760283,30.771344256488288,71.14026095349284,-24.31354242784074,30.458073593607345,7.61331058322408,11.635689926475552,2.4546450817589855,3.8258456668308165,1.1082099247458668,129.0596886143406,39.62877402478822,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4570ygm.tif,DSC_4570ygm.tif,DSC_4570,ygm,capture_number,4570,y,g,m,CMY+OVG,full__ygm__DSC_4570ygm,0.545950864422202
13,ygm_full_013_ygmggg,ygm,full,cymyyy,ygmggg,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#60a95b,0.37777777777777777,0.661437908496732,0.3568627450980392,62.93666980088943,-38.586181434776876,33.08505332900491,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full,4284,17329,7408,4372,4284,4372,1.0,0.65,0.65,8,98.0,5.413927430213401,88,0.020128087831655993,#8cbc76,0.54901963,0.7372549,0.4627451,71.32695644275375,-29.015029205954722,29.96738916051975,71.20588261809269,-27.981843823638993,29.817893839584187,7.667304839786389,13.10433877719095,2.2762912165322535,3.9814315835049117,1.2135933066709779,134.07495375320633,41.71230433481759,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4570ygm.tif,DSC_4570ygm.tif,DSC_4570,ygm,capture_number,4570,y,g,m,CMY+OVG,full__ygm__DSC_4570ygm,0.545950864422202
14,ygm_full_014_yggggg,ygm,full,cyyyyy,yggggg,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#45c453,0.27124183006535946,0.7699346405228757,0.3235294117647059,70.53602375476497,-57.754472440015306,46.277001016038554,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full,1707,9008,3861,1739,1707,1739,1.0,0.65,0.65,8,98.0,1.7059335555049397,32,0.018401380103507763,#81dc7f,0.5058824,0.8627451,0.49803922,80.51367302935941,-45.642055925035116,37.384834506674935,80.73019518499537,-45.53892465024185,37.47680494634105,8.168007232358757,18.03703811908784,0.6090241299211375,1.380457767779611,0.3893466247162222,140.67952549785343,58.9985009992246,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4570ygm.tif,DSC_4570ygm.tif,DSC_4570,ygm,capture_number,4570,y,g,m,CMY+OVG,full__ygm__DSC_4570ygm,0.545950864422202
15,ygm_full_015_ygggg,ygm,full,cyyyy,ygggg,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#4dc54f,0.3003921568627451,0.7741176470588236,0.31058823529411766,71.03654604530183,-56.93654278886323,48.41164853265205,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full,266,3921,1689,271,266,271,1.0,0.65,0.65,8,98.0,1.2394868677771984,5,0.01845018450184502,#82dc7c,0.50980395,0.8627451,0.4862745,80.25748561766513,-45.61234881384008,38.66038139151882,80.33768724166983,-45.57243129680805,38.734711635895586,7.647668996229686,17.55990622522998,0.5231072316002281,0.9763371968858349,0.2697261671545236,139.7158614269312,59.792235730511976,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4570ygm.tif,DSC_4570ygm.tif,DSC_4570,ygm,capture_number,4570,y,g,m,CMY+OVG,full__ygm__DSC_4570ygm,0.545950864422202
16,ygm_full_016_yggg,ygm,full,cyyy,yggg,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#58c74a,0.34411764705882353,0.7803921568627451,0.2911764705882353,71.82897302151117,-55.38767028341801,51.58503391875486,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full,763,5792,2475,778,763,778,1.0,0.65,0.65,8,98.0,1.3026110115751417,15,0.019280205655526992,#87de7a,0.5294118,0.87058824,0.47843137,81.19326503827315,-45.24130873668031,40.84106194126185,81.3310232550885,-45.14990985794836,40.832243217420874,7.650508541167911,17.494900727510995,0.6430560699263811,1.1331195799924727,0.2981855724503831,137.92622433755167,60.94889955280254,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4570ygm.tif,DSC_4570ygm.tif,DSC_4570,ygm,capture_number,4570,y,g,m,CMY+OVG,full__ygm__DSC_4570ygm,0.545950864422202
17,ygm_full_017_ygg,ygm,full,cyy,ygg,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#6aca42,0.4169934640522876,0.7908496732026143,0.25882352941176473,73.25969245824507,-52.014165739953434,56.76698040935824,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full,1290,7525,3227,1313,1290,1313,1.0,0.65,0.65,8,98.0,1.1392812399292191,23,0.017517136329017517,#8de076,0.5529412,0.8784314,0.4627451,81.95208459446386,-45.178010522043955,44.19570172025511,82.01964492708605,-45.058560442103825,44.21915422172993,7.185380064547472,16.742990984058007,0.5595876542507012,0.8898889796155705,0.23781030486354832,135.6297140504629,63.20057503912187,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4570ygm.tif,DSC_4570ygm.tif,DSC_4570,ygm,capture_number,4570,y,g,m,CMY+OVG,full__ygm__DSC_4570ygm,0.545950864422202
18,ygm_full_018_ygygmg,ygm,full,cycymy,ygygmg,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#86ae4b,0.5235294117647059,0.6823529411764705,0.29215686274509806,66.3669427082204,-29.869765148110737,45.86024032504123,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full,3649,15322,6463,3724,3649,3724,1.0,0.65,0.65,8,98.0,5.979675120000692,75,0.020139634801288938,#9dc46f,0.6156863,0.76862746,0.43529412,74.7562426968277,-26.945818505133555,38.188161976423316,73.91944273782791,-25.984935060369327,37.391124714914945,6.962093522938,11.738424274882709,1.7883687358192144,4.836998253924582,1.4685963567700966,125.20704582053469,46.737702661225676,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4570ygm.tif,DSC_4570ygm.tif,DSC_4570,ygm,capture_number,4570,y,g,m,CMY+OVG,full__ygm__DSC_4570ygm,0.545950864422202
19,ygm_full_019_ygygg,ygm,full,cycyy,ygygg,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#79cc3b,0.4752941176470588,0.7992156862745098,0.23294117647058826,74.50114012845992,-48.68639350873899,60.78178216902822,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full,1085,7176,3068,1107,1085,1107,1.0,0.65,0.65,8,98.0,1.0862378708468463,22,0.01987353206865402,#92e373,0.57254905,0.8901961,0.4509804,82.99298395790609,-44.72024887932291,46.2897295945687,82.85674292281942,-44.82868339399169,46.34894730238566,7.31034877319405,17.258658773672067,0.4681997438560155,0.888011435660102,0.2514370667303417,134.01202362943604,64.36334147452935,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4570ygm.tif,DSC_4570ygm.tif,DSC_4570,ygm,capture_number,4570,y,g,m,CMY+OVG,full__ygm__DSC_4570ygm,0.545950864422202
