region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_l,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,ylm_full_001_ml,ylm,full,my,ml,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#c571ac,0.7745098039215685,0.44313725490196076,0.6745098039215687,58.72265684725714,41.379477952339485,-17.05358096661975,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full,1850,9523,4087,1886,1850,1886,1.0,0.65,0.65,8,98.0,2.630125793330519,36,0.019088016967126194,#c6a5b8,0.7764706,0.64705884,0.72156864,71.13366021337814,15.078880763923886,-5.003096674790775,71.1143223391766,15.087741222601435,-5.009804999212644,16.12660308271557,31.479653566848196,1.102424179716807,1.9559736693836054,0.5613917669346983,341.6444157040719,15.887215660081418,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4534ylm.tif,DSC_4534ylm.tif,DSC_4534,ylm,capture_number,4534,y,l,m,CMY+neutral,full__ylm__DSC_4534ylm,0.5452893062708271
2,ylm_full_002_yml,ylm,full,cmy,yml,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#d99673,0.8496732026143791,0.5869281045751634,0.4496732026143791,67.75477597479512,21.17229397218251,28.58472988672265,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full,4193,16690,7132,4279,4193,4279,1.0,0.65,0.65,8,98.0,3.578878875489787,86,0.02009815377424632,#cdae93,0.8039216,0.68235296,0.5764706,73.02732173509436,7.320705080634593,17.861904678910136,73.16972891231501,7.3315734292945764,17.964831376841175,10.218852898561263,18.293311183386198,1.5733602441425214,2.765877611692153,0.7791298153884526,67.71371931912216,19.30389498614466,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4534ylm.tif,DSC_4534ylm.tif,DSC_4534,ylm,capture_number,4534,y,l,m,CMY+neutral,full__ylm__DSC_4534ylm,0.5452893062708271
3,ylm_full_003_ymlml,ylm,full,cmymy,ymlml,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#d1878a,0.8196078431372549,0.5294117647058824,0.539607843137255,63.92501743464055,28.68027576842974,10.436549570629028,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full,2893,13728,5827,2953,2893,2953,1.0,0.65,0.65,8,98.0,6.644284305343422,60,0.02031832035218422,#c9ada3,0.7882353,0.6784314,0.6392157,72.82756210658955,9.167715510215501,8.566556277007153,72.55960892148053,9.07466727360979,8.536389173944816,14.163897553138751,21.52886862760512,3.870437987169757,5.563240039379611,1.4436893100770036,43.05852174873428,12.547226551050096,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4534ylm.tif,DSC_4534ylm.tif,DSC_4534,ylm,capture_number,4534,y,l,m,CMY+neutral,full__ylm__DSC_4534ylm,0.5452893062708271
4,ylm_full_004_mlmll,ylm,full,mymyy,mlmll,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#c683b0,0.776470588235294,0.512156862745098,0.691764705882353,62.746244013795746,32.84288352123299,-13.476539875367543,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full,1093,7150,3076,1115,1093,1115,1.0,0.65,0.65,8,98.0,5.296089562576076,22,0.019730941704035873,#c4adb9,0.76862746,0.6784314,0.7254902,72.97511224488981,10.178238497894398,-3.079922332754048,72.80275715893382,10.407251868427092,-3.1812906414414392,15.441231918268462,26.951911539822383,1.6031326768287792,3.6564286914849196,1.2514129579054596,343.16425009048356,10.634023720860169,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4534ylm.tif,DSC_4534ylm.tif,DSC_4534,ylm,capture_number,4534,y,l,m,CMY+neutral,full__ylm__DSC_4534ylm,0.5452893062708271
5,ylm_full_005_mll,ylm,full,myy,mll,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#c68eb3,0.7777777777777777,0.5581699346405228,0.7032679738562092,65.56634132203305,27.038106152420085,-10.895934010651565,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full,1269,7480,3207,1293,1269,1293,1.0,0.65,0.65,8,98.0,2.754205519934995,24,0.018561484918793503,#c4b1ba,0.76862746,0.69411767,0.7294118,74.04150072192732,8.009422030200163,-2.234037206662398,74.22478708864877,8.003425969057664,-2.2119136587535584,14.403403308456905,22.559867076731603,0.8051324076618289,1.6327165503932195,0.5110524301160299,344.4148237641408,8.31515264433598,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4534ylm.tif,DSC_4534ylm.tif,DSC_4534,ylm,capture_number,4534,y,l,m,CMY+neutral,full__ylm__DSC_4534ylm,0.5452893062708271
6,ylm_full_006_ylmlml,ylm,full,cymymy,ylmlml,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#cf9293,0.8137254901960783,0.5725490196078431,0.5764705882352942,66.52325282616549,23.368345369269296,8.804414942476857,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full,3597,15096,6406,3670,3597,3670,1.0,0.65,0.65,8,98.0,11.19927070895379,73,0.01989100817438692,#c7b0ac,0.78039217,0.6901961,0.6745098,73.77422544018147,7.337913030469823,4.786603693003277,73.80334255155533,7.303965953425894,5.060259803935042,12.677878296313171,18.046998976406964,5.1284299332296595,8.222661165567022,2.5028101344831395,33.11686490013159,8.76108112943896,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4534ylm.tif,DSC_4534ylm.tif,DSC_4534,ylm,capture_number,4534,y,l,m,CMY+neutral,full__ylm__DSC_4534ylm,0.5452893062708271
7,ylm_full_007_mlll,ylm,full,myyy,mlll,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#c79db7,0.7794117647058822,0.6156862745098038,0.7176470588235294,69.2138812587631,19.753553107714428,-7.502814008008762,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full,745,5829,2440,758,745,758,1.0,0.65,0.65,8,98.0,5.1717645775833345,13,0.017150395778364115,#c2b4bb,0.7607843,0.7058824,0.73333335,74.55182015549032,6.593891895161463,-1.9956880251245757,74.91400882797518,6.609371025370752,-1.9473910019070833,11.235436542975963,15.231503914115722,1.7828307069593785,3.4397178784291143,1.1313056597585829,343.16118920198693,6.889280152432594,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4534ylm.tif,DSC_4534ylm.tif,DSC_4534,ylm,capture_number,4534,y,l,m,CMY+neutral,full__ylm__DSC_4534ylm,0.5452893062708271
8,ylm_full_008_mllll,ylm,full,myyyy,mllll,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#c7a6b9,0.780392156862745,0.6501960784313725,0.7262745098039216,71.4559397750803,15.400170893808241,-5.396662724989443,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full,264,3902,1689,270,264,109,0.40370370370370373,0.65,0.65,8,98.0,4.318209661448003,6,0.022222222222222223,#c4bcbd,0.76862746,0.7372549,0.7411765,76.82615310769633,3.700727365064216,-0.006002520062953209,76.15947391753274,3.750396368355282,-0.28854074976002436,11.74421765082395,13.956195311224889,2.4185204936260742,3.7881724245667128,1.0172052492194399,359.90706725177887,3.70073223305635,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4534ylm.tif,DSC_4534ylm.tif,DSC_4534,ylm,capture_number,4534,y,l,m,CMY+neutral,full__ylm__DSC_4534ylm,0.5452893062708271
9,ylm_full_009_mlllll,ylm,full,myyyyy,mlllll,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#c7acbb,0.7810457516339868,0.6732026143790849,0.7320261437908497,72.9694003579447,12.514124571123775,-3.96895760100342,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full,1722,9011,3895,1757,1722,907,0.5162208309618668,0.65,0.65,8,98.0,5.149978018416624,35,0.0199203187250996,#c4bbbf,0.76862746,0.73333335,0.7490196,76.87879163018658,4.054236921936099,-0.6885437357551538,76.40625323295596,4.346356756194067,-0.7861253526190021,8.80268217950184,9.879987564955343,2.8897761356672578,4.485263960528452,1.328676728420916,350.36124748016204,4.112290054852352,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4534ylm.tif,DSC_4534ylm.tif,DSC_4534,ylm,capture_number,4534,y,l,m,CMY+neutral,full__ylm__DSC_4534ylm,0.5452893062708271
10,ylm_full_010_l,ylm,full,y,l,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#c8c9c2,0.7843137254901961,0.788235294117647,0.7607843137254902,80.70973829085915,-1.6093340068246142,3.370929344299589,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full,514,4843,2077,525,514,0,0.0,0.65,0.65,8,98.0,1.145439646366803,11,0.02095238095238095,#c4c3c1,0.76862746,0.7647059,0.75686276,78.81974663385628,-0.01836059171983484,1.124351009491975,78.86266169093628,-0.21984578231234903,1.240147272580802,3.2439245409254496,3.3392183345114703,0.5315986542470699,0.9514458252522578,0.3353805875198348,90.93555385381683,1.124500913238369,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4534ylm.tif,DSC_4534ylm.tif,DSC_4534,ylm,capture_number,4534,y,l,m,CMY+neutral,full__ylm__DSC_4534ylm,0.5452893062708271
