region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_n,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,ynm_full_001_mn,ynm,full,my,mn,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#a65494,0.6529411764705881,0.32941176470588235,0.580392156862745,47.805157734402606,42.521479006203236,-20.047639669346818,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full,1833,9557,4058,1871,1833,1871,1.0,0.65,0.65,8,98.0,2.8265365031122966,38,0.020309994655264563,#976e88,0.5921569,0.43137255,0.53333336,51.16846820927648,20.968263295806256,-8.223902915027793,51.18813877172799,20.84108708347992,-8.22440593501323,10.25658305594916,24.812370214164027,1.1983689208269073,2.182062372698378,0.623388540731076,338.58453305711475,22.523335561103256,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4541ynm.tif,DSC_4541ynm.tif,DSC_4541,ynm,capture_number,4541,y,n,m,CMY+neutral,full__ynm__DSC_4541ynm,0.5408653846153846
2,ynm_full_002_ymn,ynm,full,cmy,ymn,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#c48263,0.7686274509803921,0.5111111111111111,0.38692810457516336,60.50437490902212,21.767943245449896,27.4390464821632,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full,4201,16618,7155,4287,4201,4287,1.0,0.65,0.65,8,98.0,8.805223104734706,86,0.02006064847212503,#a7846e,0.654902,0.5176471,0.43137255,57.932760099334885,10.08475500078604,17.179840316371564,58.1363126196401,9.923387501495512,17.343891673356268,7.972972488548023,15.759486077974483,3.036651525266332,6.002553139519335,1.8043717081926938,59.58659783471995,19.921074185944512,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4541ynm.tif,DSC_4541ynm.tif,DSC_4541,ynm,capture_number,4541,y,n,m,CMY+neutral,full__ynm__DSC_4541ynm,0.5408653846153846
3,ynm_full_003_ymnmn,ynm,full,cmymy,ymnmn,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#b87076,0.7223529411764705,0.43843137254901965,0.464313725490196,55.153751038111196,29.45370055372387,8.6222482131719,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full,2929,13867,5870,2989,2929,2989,1.0,0.65,0.65,8,98.0,14.02020283686149,60,0.020073603211776515,#9e7a76,0.61960787,0.47843137,0.4627451,54.62630351112786,12.680861826255219,8.40730776424361,55.11946332465261,12.672753415030652,8.573209838395856,9.884105659501559,16.78250634643046,5.87241297834337,10.388263208467427,3.12843898718032,33.54405290798286,15.214699487643118,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4541ynm.tif,DSC_4541ynm.tif,DSC_4541,ynm,capture_number,4541,y,n,m,CMY+neutral,full__ynm__DSC_4541ynm,0.5408653846153846
4,ynm_full_004_mnmnn,ynm,full,mymyy,mnmnn,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#a16094,0.6305882352941176,0.3756862745098039,0.5788235294117646,49.51110263516371,34.24933449875767,-17.265374749468055,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full,1081,7229,3051,1104,1081,1104,1.0,0.65,0.65,8,98.0,3.7948924789317338,23,0.020833333333333332,#907084,0.5647059,0.4392157,0.5176471,50.72601564803651,15.997598398250046,-6.138270036314286,50.74471056751344,15.849583731650029,-6.120289939738719,9.879672211492489,21.41061287326707,1.4142773994304225,2.7990758145243295,0.7719325275839881,339.0082183757785,17.13480415850751,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4541ynm.tif,DSC_4541ynm.tif,DSC_4541,ynm,capture_number,4541,y,n,m,CMY+neutral,full__ynm__DSC_4541ynm,0.5408653846153846
5,ynm_full_005_mnn,ynm,full,myy,mnn,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#9d6893,0.6156862745098038,0.40653594771241836,0.5777777777777777,50.827170867956525,28.48030716878547,-15.147425241078327,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full,1254,7497,3180,1271,1254,1271,1.0,0.65,0.65,8,98.0,3.680634566422189,17,0.013375295043273014,#8c7282,0.54901963,0.44705883,0.50980395,50.85000994786023,12.637845996659152,-4.922431465317056,50.62962669023646,12.717222583652667,-4.9641097371100695,9.887999330727393,18.855625031492792,1.4286940408414808,2.7827562568480717,0.7995716376401075,338.719123986128,13.562650292845317,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4541ynm.tif,DSC_4541ynm.tif,DSC_4541,ynm,capture_number,4541,y,n,m,CMY+neutral,full__ynm__DSC_4541ynm,0.5408653846153846
6,ynm_full_006_ynmnmn,ynm,full,cymymy,ynmnmn,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#b0757b,0.6921568627450979,0.4588235294117647,0.4823529411764705,55.525724820685625,24.213840502053664,6.339824475109657,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full,3619,15173,6443,3693,3619,3693,1.0,0.65,0.65,8,98.0,18.60235444223151,74,0.020037909558624424,#967878,0.5882353,0.47058824,0.47058824,53.34200259193723,11.11140363213442,3.9053665948148186,53.909520749242255,10.319116624592398,5.256412543317308,8.760827082802953,13.504409645500193,6.268640293062765,14.70418110517652,4.4682023831401665,19.36523576807764,11.777740823948601,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4541ynm.tif,DSC_4541ynm.tif,DSC_4541,ynm,capture_number,4541,y,n,m,CMY+neutral,full__ynm__DSC_4541ynm,0.5408653846153846
7,ynm_full_007_mnnn,ynm,full,myyy,mnnn,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#987293,0.5970588235294116,0.4450980392156863,0.5764705882352941,52.65165932914287,21.092189602569754,-12.242675339448228,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full,740,5773,2425,755,740,755,1.0,0.65,0.65,8,98.0,4.748618692890045,15,0.019867549668874173,#877280,0.5294118,0.44705883,0.5019608,50.61900433994604,10.068618618534531,-4.248810391699576,50.64347424970968,10.166255611838091,-4.282901386091488,8.685367155041137,13.76781320137714,2.0621929338442615,3.6412869004712944,0.9444472099118008,337.1209636428899,10.928379140115632,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4541ynm.tif,DSC_4541ynm.tif,DSC_4541,ynm,capture_number,4541,y,n,m,CMY+neutral,full__ynm__DSC_4541ynm,0.5408653846153846
8,ynm_full_008_mnnnn,ynm,full,myyyy,mnnnn,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#957793,0.5858823529411763,0.4682352941176471,0.5756862745098038,53.83252918446905,16.609472422440042,-10.379417915150535,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full,253,3955,1673,254,253,254,1.0,0.65,0.65,8,98.0,6.2843804222811634,1,0.003937007874015748,#80747b,0.5019608,0.45490196,0.48235294,50.022705648172405,5.967962240458258,-1.7552215983436037,50.02630049700812,6.142038519596776,-2.0009572434887315,10.677511403902312,14.217357575926973,2.533442217554867,4.865274995987314,1.5154202762080204,343.61100232896877,6.220721514649841,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4541ynm.tif,DSC_4541ynm.tif,DSC_4541,ynm,capture_number,4541,y,n,m,CMY+neutral,full__ynm__DSC_4541ynm,0.5408653846153846
9,ynm_full_009_mnnnnn,ynm,full,myyyyy,mnnnnn,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#937b93,0.5784313725490194,0.4836601307189543,0.5751633986928103,54.65242362331111,13.614610296575236,-9.092823493895974,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full,1666,9038,3818,1696,1666,1696,1.0,0.65,0.65,8,98.0,5.892296957622237,30,0.01768867924528302,#82757d,0.50980395,0.45882353,0.49019608,50.7791289790904,6.525099904412079,-2.67880331097744,50.820519346788394,6.865981380228118,-2.878475256832902,8.129612702543186,10.315193837656398,3.1209398925621628,4.746362479364663,1.3178676491859056,337.67997283126914,7.053574692413927,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4541ynm.tif,DSC_4541ynm.tif,DSC_4541,ynm,capture_number,4541,y,n,m,CMY+neutral,full__ynm__DSC_4541ynm,0.5408653846153846
10,ynm_full_010_n,ynm,full,y,n,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#8a8f92,0.5411764705882353,0.5607843137254902,0.5725490196078431,59.08831744726014,-1.2137183135860763,-2.223898189538698,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full,498,4790,2044,508,498,0,0.0,0.65,0.65,8,98.0,1.7660793621781359,10,0.01968503937007874,#797878,0.4745098,0.47058824,0.47058824,50.515932773863526,0.579181335338852,-0.2789517349857551,50.48799060262348,0.5811801512628301,-0.17818072341860391,8.751900557609638,8.971236528532637,0.7765777769866693,1.4271498536017264,0.4047672943574925,334.28308812330425,0.6428569744946838,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4541ynm.tif,DSC_4541ynm.tif,DSC_4541,ynm,capture_number,4541,y,n,m,CMY+neutral,full__ynm__DSC_4541ynm,0.5408653846153846
