region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_o,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,yom_full_001_mo,yom,full,my,mo,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#e14a58,0.8823529411764706,0.2882352941176471,0.34509803921568627,53.54422411041759,59.41211690493975,25.270447288206512,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full,1781,9315,3989,1818,1781,18,0.009900990099009901,0.65,0.65,8,98.0,3.0879368953852393,37,0.02035203520352035,#ff6e75,1.0,0.43137255,0.45882353,64.68842099474688,55.73505407185642,24.04223843026876,64.70708599161198,55.732094437063424,23.63977875188036,9.978586439797578,11.799254733831889,1.2349660106310678,2.293161942096882,0.7220102701564155,23.333751865363297,60.69946854075948,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4553yom.tif,DSC_4553yom.tif,DSC_4553,yom,capture_number,4553,y,o,m,CMY+OVG,full__yom__DSC_4553yom,0.5434782608695652
2,yom_full_002_ymo,yom,full,cmy,ymo,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#eb7b3b,0.9215686274509803,0.48366013071895425,0.23006535947712417,63.53108012602701,38.54497943202345,53.036958666055114,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full,4105,16384,7022,4187,4105,0,0.0,0.65,0.65,8,98.0,3.5787512261229093,82,0.01958442799140196,#ff7a6f,1.0,0.47843137,0.43529412,66.75673852288062,49.71227932509908,30.35064625422532,66.81147691960444,49.56700283294509,30.263019594794194,15.097394025061961,25.49082638602016,1.6857240535228495,2.761258481438631,0.7760644728125613,31.405156536397726,58.24493491923392,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4553yom.tif,DSC_4553yom.tif,DSC_4553,yom,capture_number,4553,y,o,m,CMY+OVG,full__yom__DSC_4553yom,0.5434782608695652
3,yom_full_003_ymomo,yom,full,cmymy,ymomo,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#e76746,0.9058823529411765,0.40549019607843134,0.276078431372549,59.178763601483226,47.39460536260637,42.2981241580924,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full,2871,13513,5784,2922,2871,0,0.0,0.65,0.65,8,98.0,4.0694794932027945,51,0.017453798767967144,#ff7370,1.0,0.4509804,0.4392157,65.42750127874098,53.188011595835974,28.810785079887857,65.57296816958763,52.753529017269514,28.53759509871632,10.019851670258843,15.953638887503613,1.7587794341836,3.2621285058315945,0.9009814470260892,28.44343844590304,60.489882744457944,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4553yom.tif,DSC_4553yom.tif,DSC_4553,yom,capture_number,4553,y,o,m,CMY+OVG,full__yom__DSC_4553yom,0.5434782608695652
4,yom_full_004_momoo,yom,full,mymyy,momoo,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#e7534c,0.9058823529411765,0.3262745098039216,0.29647058823529415,55.8139974622423,56.7134096855314,35.498889888143104,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full,1037,7066,2973,1056,1037,0,0.0,0.65,0.65,8,98.0,2.5846377024503555,19,0.017992424242424244,#ff6d6f,1.0,0.42745098,0.43529412,64.5305761413896,55.60255703834432,27.18192821406653,64.43427500946895,55.867612433141055,26.92608939951955,8.61646658100145,12.098949911524821,1.2722072424142188,2.2370023688245944,0.585008611373993,26.052211098095654,61.891045964961684,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4553yom.tif,DSC_4553yom.tif,DSC_4553,yom,capture_number,4553,y,o,m,CMY+OVG,full__yom__DSC_4553yom,0.5434782608695652
5,yom_full_005_moo,yom,full,myy,moo,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#eb5a43,0.9215686274509803,0.3516339869281046,0.26405228758169935,57.39852042880595,54.90663095909532,42.082164119748555,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full,1227,7427,3136,1253,1227,0,0.0,0.65,0.65,8,98.0,2.8047058512531824,26,0.020750199521149242,#ff6e6c,1.0,0.43137255,0.42352942,64.63409862602245,55.02036215664424,28.70331517201363,64.52804810906083,55.32983665799778,28.368562312784906,9.150511966035316,15.210526808747899,0.8653491518600467,1.6529654337137105,0.5217800347753713,27.550388043176326,62.05739725215872,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4553yom.tif,DSC_4553yom.tif,DSC_4553,yom,capture_number,4553,y,o,m,CMY+OVG,full__yom__DSC_4553yom,0.5434782608695652
6,yom_full_006_yomomo,yom,full,cymymy,yomomo,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#eb6b3f,0.9215686274509803,0.4176470588235295,0.24705882352941178,60.282142063671586,47.03728754370978,47.52775427869289,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full,3545,14876,6337,3617,3545,0,0.0,0.65,0.65,8,98.0,4.582726891080329,72,0.01990599944705557,#ff736e,1.0,0.4509804,0.43137255,65.42750127874098,53.39899424644556,29.0542030090718,65.52802749182199,52.89650206065793,28.925153042446816,11.838175865118066,20.204408680658087,2.0001451089972004,3.343583259704019,0.9426982482255946,28.550454634557354,60.79144100138014,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4553yom.tif,DSC_4553yom.tif,DSC_4553,yom,capture_number,4553,y,o,m,CMY+OVG,full__yom__DSC_4553yom,0.5434782608695652
7,yom_full_007_mooo,yom,full,myyy,mooo,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#f06239,0.9411764705882353,0.38333333333333336,0.22352941176470587,59.448011134100184,52.65300814714402,49.88283392374061,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full,746,5618,2425,755,746,0,0.0,0.65,0.65,8,98.0,4.343772064085609,9,0.011920529801324504,#ff706d,1.0,0.4392157,0.42745098,64.9818582192317,54.168816961354146,28.551163256316435,65.08000098249761,54.176118059891216,27.894346453675336,11.744524868599076,22.089846386661467,1.351459248794778,2.88549818321602,0.9201816512122212,27.7927045548077,61.23258653920739,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4553yom.tif,DSC_4553yom.tif,DSC_4553,yom,capture_number,4553,y,o,m,CMY+OVG,full__yom__DSC_4553yom,0.5434782608695652
8,yom_full_008_moooo,yom,full,myyyy,moooo,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#f36733,0.9529411764705882,0.4023529411764706,0.19921568627450978,60.70995235657307,51.307850870585206,54.25771386802355,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full,264,3888,1689,270,264,0,0.0,0.65,0.65,8,98.0,3.1470523320334323,6,0.022222222222222223,#ff706b,1.0,0.4392157,0.41960785,64.93829744333081,53.84883091533918,29.590738379184735,64.96040259377052,54.01606831148293,29.878545742439872,12.962126032777688,25.155420122262342,1.149366507652761,2.4848046137511326,0.685197856106176,28.789453082440332,61.44353821822231,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4553yom.tif,DSC_4553yom.tif,DSC_4553,yom,capture_number,4553,y,o,m,CMY+OVG,full__yom__DSC_4553yom,0.5434782608695652
9,yom_full_009_mooooo,yom,full,myyyyy,mooooo,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#f56a2f,0.9607843137254902,0.4150326797385621,0.1830065359477124,61.563244146875164,50.41520727729859,57.01986045098026,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full,1605,8828,3740,1636,1605,0,0.0,0.65,0.65,8,98.0,4.773380371959337,31,0.018948655256723717,#ff716c,1.0,0.44313726,0.42352942,65.12271519695051,53.64945236869178,29.50466849660223,65.38863801954128,53.372736770943504,28.340001376297618,14.213197354838497,27.932346191356626,1.3292520612949617,3.7053569677877114,1.1175081137376788,28.808719014188966,61.22735665170366,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4553yom.tif,DSC_4553yom.tif,DSC_4553,yom,capture_number,4553,y,o,m,CMY+OVG,full__yom__DSC_4553yom,0.5434782608695652
10,yom_full_010_o,yom,full,y,o,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#ff7a1a,1.0,0.47843137254901963,0.10196078431372549,65.95057778279283,46.01545402094476,68.57062418706151,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full,498,4745,2044,508,498,0,0.0,0.65,0.65,8,98.0,1.5594837258398848,10,0.01968503937007874,#ff7972,1.0,0.4745098,0.44705883,66.65608442069482,50.338716207951386,28.65115238715852,66.59283441411718,50.42851739292282,28.88447900771808,19.283565236826988,40.159090681151824,0.5166370297353152,1.294923925348559,0.4202608397752065,29.647117895722317,57.92128177601776,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4553yom.tif,DSC_4553yom.tif,DSC_4553,yom,capture_number,4553,y,o,m,CMY+OVG,full__yom__DSC_4553yom,0.5434782608695652
