region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_w,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,ywm_full_001_mw,ywm,full,my,mw,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#dc87c6,0.8627450980392157,0.5294117647058824,0.7745098039215687,66.97616588474968,41.38423944977831,-18.721001844604324,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full,2342,11221,4801,2378,2342,2378,1.0,0.65,0.65,8,98.0,1.9766388442117573,36,0.015138772077375946,#e07bb4,0.8784314,0.48235294,0.7058824,64.41262151256623,46.46159198198219,-12.476975080013531,64.40702951315247,46.32664618677033,-12.442803912034684,4.413783713664973,8.44624997980504,0.41117898541707226,1.1163477699160418,0.39367951704652554,344.96821537253186,48.107737804302026,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4524ywm.tif,DSC_4524ywm.tif,DSC_4524,ywm,capture_number,4524,y,w,m,CMY+neutral,full__ywm__DSC_4524ywm,0.5884275907159202
2,ywm_full_002_ymw,ywm,full,cmy,ymw,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#e8a484,0.9084967320261438,0.6444444444444445,0.5163398692810458,73.17465705102026,20.995529508778144,26.85886969913005,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full,5151,19582,8384,5257,5151,5257,1.0,0.65,0.65,8,98.0,4.523139636910083,106,0.02016359140194027,#e78e7e,0.90588236,0.5568628,0.49411765,67.94495336022632,32.461226026352044,22.83107696408113,67.84726115730186,32.516611012642755,22.58966393195076,9.081652930464791,13.230083584132146,2.024175206376977,3.2585444492660858,0.9492329462296994,35.12001536085603,39.68613448641366,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4524ywm.tif,DSC_4524ywm.tif,DSC_4524,ywm,capture_number,4524,y,w,m,CMY+neutral,full__ywm__DSC_4524ywm,0.5884275907159202
3,ywm_full_003_ymwmw,ywm,full,cmymy,ymwmw,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#e3999e,0.8901960784313726,0.5984313725490196,0.6196078431372549,70.4931740642048,28.58619911268945,8.621205304697677,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full,3674,16285,6903,3749,3674,3749,1.0,0.65,0.65,8,98.0,7.917221444557316,75,0.020005334755934915,#e38996,0.8901961,0.5372549,0.5882353,66.82193246521936,35.698237141608416,8.679670684229324,67.13818740262957,35.280228737632314,8.983052432777207,4.1855806506741535,8.003906421461615,2.9780828067904146,4.78405165361552,1.421878290905831,13.665724022843733,36.7382745676111,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4524ywm.tif,DSC_4524ywm.tif,DSC_4524,ywm,capture_number,4524,y,w,m,CMY+neutral,full__ywm__DSC_4524ywm,0.5884275907159202
4,ywm_full_004_mwmww,ywm,full,mymyy,mwmww,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#e19dcf,0.8823529411764707,0.615686274509804,0.8117647058823529,72.64680232968956,32.96201831167617,-15.363729047134388,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full,1433,8501,3631,1459,1433,1459,1.0,0.65,0.65,8,98.0,3.3054507481129516,26,0.01782042494859493,#e287b9,0.8862745,0.5294118,0.7254902,67.24809231250163,41.03645556703112,-11.270512881469429,67.35549324949896,41.107088882606284,-11.25524668700101,5.941697854403096,10.54025736968554,0.8567407105791436,2.1992547327335963,0.76383280772639,344.6425882948512,42.556023617301086,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4524ywm.tif,DSC_4524ywm.tif,DSC_4524,ywm,capture_number,4524,y,w,m,CMY+neutral,full__ywm__DSC_4524ywm,0.5884275907159202
5,ywm_full_005_mww,ywm,full,myy,mww,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#e4acd5,0.8954248366013072,0.6732026143790849,0.8366013071895425,76.52729876085148,27.315573015551596,-12.96576895779924,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full,1630,8891,3769,1663,1630,1663,1.0,0.65,0.65,8,98.0,1.846107743961752,33,0.01984365604329525,#e392bf,0.8901961,0.57254905,0.74705887,69.9013233815044,37.201062667841455,-10.2757233939063,69.93939131441279,37.02101216765704,-10.294888711759441,6.859817868040607,12.200934412128591,0.6336356609831597,1.3407543348496986,0.40556239193294874,344.5587171475707,38.59416477765441,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4524ywm.tif,DSC_4524ywm.tif,DSC_4524,ywm,capture_number,4524,y,w,m,CMY+neutral,full__ywm__DSC_4524ywm,0.5884275907159202
6,ywm_full_006_ywmwmw,ywm,full,cymymy,ywmwmw,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#e6a8ac,0.9019607843137255,0.6588235294117648,0.676470588235294,74.71689854021406,23.42980952319962,6.714317768821054,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full,4479,17793,7558,4565,4479,4565,1.0,0.65,0.65,8,98.0,9.260504407851077,86,0.018838992332968235,#e5939a,0.8980392,0.5764706,0.6039216,69.25386513764208,31.6518626376906,9.120312775410166,69.65913058562589,31.225574804711403,9.651496762029378,5.645629001344105,10.160497199786029,4.26453319950563,7.289904808306966,2.21357844556005,16.074049779637903,32.9396495663895,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4524ywm.tif,DSC_4524ywm.tif,DSC_4524,ywm,capture_number,4524,y,w,m,CMY+neutral,full__ywm__DSC_4524ywm,0.5884275907159202
7,ywm_full_007_mwww,ywm,full,myyy,mwww,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#e9bedd,0.911764705882353,0.7450980392156863,0.8676470588235294,81.45728463311092,20.301394201731103,-9.84164735928399,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full,1016,6753,2902,1028,1016,1028,1.0,0.65,0.65,8,98.0,3.3343553851528913,12,0.011673151750972763,#e59ec5,0.8980392,0.61960787,0.77254903,72.95766198963386,32.12225910230082,-8.967860101359527,73.23207347932734,31.74874721693574,-8.971133240868614,8.439070257543593,14.585607160867188,0.7945129833384734,2.3205623106949735,0.8186444111615773,344.40138297980684,33.350592867787284,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4524ywm.tif,DSC_4524ywm.tif,DSC_4524,ywm,capture_number,4524,y,w,m,CMY+neutral,full__ywm__DSC_4524ywm,0.5884275907159202
8,ywm_full_008_mwwww,ywm,full,myyyy,mwwww,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#ebc9e2,0.9215686274509804,0.7882352941176471,0.8862745098039216,84.44652081221768,16.139205008811608,-7.917139240384108,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full,374,4652,1942,379,374,379,1.0,0.65,0.65,8,98.0,3.3936956668297813,5,0.013192612137203167,#e7adcb,0.90588236,0.6784314,0.79607844,76.69367280486951,25.957868293864593,-7.255131630041278,76.55076396776799,26.0680158198461,-7.353150942276725,7.8218921476086924,12.5280108160251,1.7707883871447134,2.8227806013942796,0.9506672750963554,344.38451166625543,26.95269673577852,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4524ywm.tif,DSC_4524ywm.tif,DSC_4524,ywm,capture_number,4524,y,w,m,CMY+neutral,full__ywm__DSC_4524ywm,0.5884275907159202
9,ywm_full_009_mwwwww,ywm,full,myyyyy,mwwwww,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#edd0e5,0.9281045751633988,0.8169934640522877,0.8986928104575164,86.44919773074623,13.389385915509756,-6.618244403656859,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full,2067,10642,4424,2110,2067,2110,1.0,0.65,0.65,8,98.0,3.1952536534685714,43,0.02037914691943128,#e7b2ce,0.90588236,0.69803923,0.80784315,78.26989898796062,23.58960643667396,-6.532961286560335,78.03462675465138,23.814645263881694,-6.554413265608281,8.498016164608032,13.074888137730872,1.4584471241519805,2.690572526164834,0.8384064124216515,344.52033567307416,24.47752264852115,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4524ywm.tif,DSC_4524ywm.tif,DSC_4524,ywm,capture_number,4524,y,w,m,CMY+neutral,full__ywm__DSC_4524ywm,0.5884275907159202
10,ywm_full_010_w,ywm,full,y,w,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#f5f5f5,0.9607843137254902,0.9607843137254902,0.9607843137254902,96.53749336548567,-1.616917905122861e-05,6.467671598286984e-06,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full,684,5650,2409,698,684,0,0.0,0.65,0.65,8,98.0,0.6063028104902567,14,0.02005730659025788,#f0ede9,0.9411765,0.92941177,0.9137255,93.87324612007338,0.30659022509627043,2.1671429551760824,93.86092657899769,0.235442570197071,2.1049054899467743,2.6426573046011375,3.4479996260398296,0.42751590706977133,0.5229503135160525,0.16136988034272087,81.9476836798932,2.188722493669288,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4524ywm.tif,DSC_4524ywm.tif,DSC_4524,ywm,capture_number,4524,y,w,m,CMY+neutral,full__ywm__DSC_4524ywm,0.5884275907159202
