region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_g,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
1,cgm_two_color_001_mg,cgm,two_color,my,mg,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#726c7d,0.44509803921568625,0.4235294117647059,0.4882352941176471,46.627535482316695,5.590572036020647,-8.359464096449232,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color
2,cgm_two_color_002_mgmgg,cgm,two_color,mymyy,mgmgg,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#617d77,0.3811764705882353,0.4886274509803922,0.4682352941176471,50.048780298099175,-11.011596685547298,-0.4100021177099622,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color
3,cgm_two_color_003_mgg,cgm,two_color,myy,mgg,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#568874,0.33856209150326794,0.5320261437908497,0.4549019607843137,52.695630696077046,-21.313046076856747,5.328256157381528,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color
4,cgm_two_color_004_gmgg,cgm,two_color,ymyy,gmgg,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#499670,0.2852941176470588,0.5862745098039216,0.43823529411764706,56.310473320535195,-32.957780310672206,12.791458236792131,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color
5,cgm_two_color_005_ggmgg,cgm,two_color,yymyy,ggmgg,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#419e6d,0.2533333333333333,0.6188235294117648,0.42823529411764705,58.60463547244893,-39.21956808765342,17.35034488308449,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color
6,cgm_two_color_006_g,cgm,two_color,y,g,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#20bf63,0.12549019607843137,0.7490196078431373,0.38823529411764707,68.36328344031337,-59.093631377102774,35.49547851450803,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color
7,cgm_two_color_007_ggcgg,cgm,two_color,yycyy,ggcgg,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#25c17b,0.14588235294117646,0.756078431372549,0.48313725490196074,69.38451407457569,-54.74696762165026,24.313311520147906,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color
8,cgm_two_color_008_gcgg,cgm,two_color,ycyy,gcgg,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#27c181,0.15098039215686274,0.7578431372549019,0.5068627450980392,69.65493206278121,-53.52558376648942,21.47080457762005,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color
9,cgm_two_color_009_cgg,cgm,two_color,cyy,cgg,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#29c28b,0.15947712418300652,0.7607843137254902,0.5464052287581699,70.11909101034699,-51.379409770592524,16.71680620874161,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color
10,cgm_two_color_010_cgcgg,cgm,two_color,cycyy,cgcgg,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#2ac393,0.16627450980392156,0.7631372549019607,0.5780392156862745,70.5025168827149,-49.568329246796715,12.90872904585223,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color
11,cgm_two_color_011_cg,cgm,two_color,cy,cg,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#2dc3a0,0.1764705882352941,0.7666666666666666,0.6254901960784314,71.09773669582923,-46.70624234791809,7.204954127429208,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color
12,cgm_two_color_012_ccgcg,cgm,two_color,ccycy,ccgcg,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#30c4ac,0.18666666666666665,0.7701960784313725,0.6729411764705883,71.71688235528099,-43.684436947561466,1.5272197876999183,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color
13,cgm_two_color_013_ccg,cgm,two_color,ccy,ccg,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#31c5b4,0.19346405228758168,0.7725490196078431,0.7045751633986929,72.14281218826366,-41.58939309555265,-2.2366494280815052,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color
14,cgm_two_color_014_ccgc,cgm,two_color,ccyc,ccgc,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#33c6be,0.20196078431372547,0.7754901960784313,0.7441176470588236,72.68987247128356,-38.888553973067786,-6.912150447912357,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color
15,cgm_two_color_015_ccgcc,cgm,two_color,ccycc,ccgcc,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#35c6c4,0.20705882352941174,0.7772549019607842,0.7678431372549019,73.02584082700398,-37.2278554452658,-9.700027346092345,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color
16,cgm_two_color_016_c,cgm,two_color,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color
17,cgm_two_color_017_ccmcc,cgm,two_color,ccmcc,ccmcc,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#55a5ce,0.3349019607843137,0.6470588235294118,0.807843137254902,64.41427157262386,-12.44504966424509,-28.289394293942706,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color
18,cgm_two_color_018_ccmc,cgm,two_color,ccmc,ccmc,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#5c9ccb,0.36176470588235293,0.6127450980392157,0.7941176470588236,62.02760964894165,-7.296634181354344,-30.004299401504532,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color
19,cgm_two_color_019_ccm,cgm,two_color,ccm,ccm,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#688ec5,0.40653594771241824,0.5555555555555556,0.7712418300653595,58.21165026866812,1.8861516758218455,-32.60539208245304,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color
20,cgm_two_color_020_ccmcm,cgm,two_color,ccmcm,ccmcm,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#7182c0,0.4423529411764706,0.5098039215686275,0.7529411764705883,55.346614328532084,9.718729906051603,-34.38506179838539,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color
21,cgm_two_color_021_cm,cgm,two_color,cm,cm,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,#7e71b9,0.496078431372549,0.4411764705882353,0.7254901960784315,51.467797581737514,22.037982855022285,-36.3763344153146,"[[0.55, 0.2598076211353316], [0.5, 0.2886751345948129], [0.4500000000000002, 0.25980762113533173], [0.44999999999999996, 0.25980762113533157], [0.44999999999999996, 0.0], [0.55, 0.0]]",6,2,2,two_color
22,cgm_two_color_022_cmcmm,cgm,two_color,cmcmm,cmcmm,0.4,0.0,0.6,0.4,0.0,0.6,0.6,0.0,#8c5fb2,0.5498039215686275,0.37254901960784315,0.6980392156862746,48.249788201706025,34.528231343394225,-37.28959296890542,"[[0.6333333333333334, 0.2116950987028627], [0.6333333333333331, 0.211695098702863], [0.5500000000000002, 0.25980762113533157], [0.55, 0.2598076211353316], [0.55, 0.0], [0.6333333333333334, 0.0]]",6,2,2,two_color
23,cgm_two_color_023_cmm,cgm,two_color,cmm,cmm,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,#9553ad,0.5856209150326798,0.32679738562091504,0.6797385620915034,46.564317820141355,42.571600369637416,-37.144930571146006,"[[0.7083333333333331, 0.168393828513641], [0.7083333333333331, 0.168393828513641], [0.6333333333333333, 0.2116950987028628], [0.6333333333333334, 0.0], [0.7083333333333333, 0.0]]",6,2,2,two_color
