region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_g,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,cgm_two_color_001_mg,cgm,two_color,my,mg,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#726c7d,0.44509803921568625,0.4235294117647059,0.4882352941176471,46.627535482316695,5.590572036020647,-8.359464096449232,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color,8329,31976,13625,8497,8329,8497,1.0,0.65,0.65,8,98.0,5.837155331933758,168,0.019771684123808402,#a0878b,0.627451,0.5294118,0.54509807,58.55137014327491,10.140332949236608,1.4080201809051784,58.558967553989845,10.075325918523067,1.4257372816702312,14.814973723156166,16.07115137436213,1.6637465632040342,3.4315612171249943,1.1227334412169503,7.905170437589504,10.237620482866605,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
2,cgm_two_color_002_mgmgg,cgm,two_color,mymyy,mgmgg,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#617d77,0.3811764705882353,0.4886274509803922,0.4682352941176471,50.048780298099175,-11.011596685547298,-0.4100021177099622,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color,5340,22973,9814,5449,5340,5449,1.0,0.65,0.65,8,98.0,17.87498275822145,109,0.020003670398238207,#9a9188,0.6039216,0.5686275,0.53333336,60.48092486553923,2.7645568874565263,5.280088906884739,60.44524190161187,0.8676858663636703,5.971211622677633,19.91229940462492,18.193108129484866,6.513810436766107,15.71799522578029,4.830397948887805,62.3642773659509,5.960043091168938,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
3,cgm_two_color_003_mgg,cgm,two_color,myy,mgg,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#568874,0.33856209150326794,0.5320261437908497,0.4549019607843137,52.695630696077046,-21.313046076856747,5.328256157381528,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color,3423,16641,7040,3492,3423,3492,1.0,0.65,0.65,8,98.0,13.316586342222571,69,0.019759450171821305,#929686,0.57254905,0.5882353,0.5254902,61.672012322759954,-4.767882270724943,8.284459078398099,61.68642123717132,-4.710512626821874,8.329484889454857,15.844425392863467,19.054054901511414,5.250142732038264,9.892128803521826,3.1611859345122246,119.9213415794431,9.558502161382082,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
4,cgm_two_color_004_gmgg,cgm,two_color,ymyy,gmgg,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#499670,0.2852941176470588,0.5862745098039216,0.43823529411764706,56.310473320535195,-32.957780310672206,12.791458236792131,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color,2080,11628,4934,2122,2080,2122,1.0,0.65,0.65,8,98.0,18.878716305341023,42,0.019792648444863337,#88a182,0.53333336,0.6294118,0.50980395,63.85953495203533,-14.720910673589799,13.497068440868322,63.94771273126606,-12.999447614589906,12.381713545712495,11.72221957186276,19.75018054186397,4.700512934916857,14.432856680626914,4.651007506460336,137.48341942184243,19.971881923276378,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
5,cgm_two_color_005_ggmgg,cgm,two_color,yymyy,ggmgg,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#419e6d,0.2533333333333333,0.6188235294117648,0.42823529411764705,58.60463547244893,-39.21956808765342,17.35034488308449,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color,3038,13765,5897,3100,3038,3100,1.0,0.65,0.65,8,98.0,17.629020096695108,62,0.02,#86a983,0.5254902,0.6627451,0.5137255,66.13483437083063,-19.939907704977305,16.521215319489446,66.11082982059123,-17.488079468151206,14.386762497355377,10.760807597886712,20.714648337679964,3.973521415749226,13.757204055082319,4.542847014647252,140.35654487213912,25.894989378564073,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
6,cgm_two_color_006_g,cgm,two_color,y,g,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#20bf63,0.12549019607843137,0.7490196078431373,0.38823529411764707,68.36328344031337,-59.093631377102774,35.49547851450803,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color,961,6765,2915,980,961,980,1.0,0.65,0.65,8,98.0,0.6890931061914438,19,0.019387755102040816,#79d789,0.4745098,0.84313726,0.5372549,78.73470159268821,-44.267717397216025,30.02952087775739,78.67895638395504,-44.35862758773987,30.12129523682201,8.853217040518954,18.901077554392618,0.24915667969382554,0.5459089855455275,0.16795156030316727,145.84853698327436,53.492082850712116,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
7,cgm_two_color_007_ggcgg,cgm,two_color,yycyy,ggcgg,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#25c17b,0.14588235294117646,0.756078431372549,0.48313725490196074,69.38451407457569,-54.74696762165026,24.313311520147906,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color,2994,13742,5852,3048,2994,3048,1.0,0.65,0.65,8,98.0,5.355828739447033,54,0.017716535433070866,#76ce95,0.4627451,0.80784315,0.58431375,76.28864569510775,-39.09619257335309,20.27276407986507,76.29058932498849,-38.61914676994084,19.13660414633457,7.184084185291599,17.576683892680325,1.3948911765473873,3.458085817397245,1.191213797626258,152.5916573994749,44.039723400250566,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
8,cgm_two_color_008_gcgg,cgm,two_color,ycyy,gcgg,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#27c181,0.15098039215686274,0.7578431372549019,0.5068627450980392,69.65493206278121,-53.52558376648942,21.47080457762005,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color,2097,11640,4961,2139,2097,2139,1.0,0.65,0.65,8,98.0,3.9645361395904937,42,0.019635343618513323,#74cd99,0.45490196,0.8039216,0.6,75.82777231667608,-38.2695169140857,17.826895247638987,75.85388883179033,-38.06525179986972,17.242016413673397,6.775267226253865,16.856144512024077,1.495463491184776,2.893105493486009,0.8385663475813807,155.02272228647917,42.21793598706343,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
9,cgm_two_color_009_cgg,cgm,two_color,cyy,cgg,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#29c28b,0.15947712418300652,0.7607843137254902,0.5464052287581699,70.11909101034699,-51.379409770592524,16.71680620874161,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color,3469,16709,7100,3527,3469,3527,1.0,0.65,0.65,8,98.0,2.878139643323232,58,0.016444570456478593,#72cb9f,0.44705883,0.79607844,0.62352943,75.2983893390653,-36.45248703008952,13.43425998162564,75.27701247288535,-36.41550589575099,13.477034128052603,6.33678535138887,16.137325162862748,1.1229120497864857,1.9435337508919988,0.6002119238671679,159.7690565158024,38.849236182102125,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
10,cgm_two_color_010_cgcgg,cgm,two_color,cycyy,cgcgg,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#2ac393,0.16627450980392156,0.7631372549019607,0.5780392156862745,70.5025168827149,-49.568329246796715,12.90872904585223,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color,5331,22883,9843,5438,5331,5438,1.0,0.65,0.65,8,98.0,3.3433858862856165,107,0.019676351599852888,#71c9a5,0.44313726,0.7882353,0.64705884,74.81063398587206,-34.97670877656278,10.050474342171324,74.83808103882801,-35.124002458234166,10.512669089825671,5.983211793352799,15.480467721389404,1.3528357490808702,2.577565313233765,0.7887729346168636,163.9681207126315,36.392062202396936,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
11,cgm_two_color_011_cg,cgm,two_color,cy,cg,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#2dc3a0,0.1764705882352941,0.7666666666666666,0.6254901960784314,71.09773669582923,-46.70624234791809,7.204954127429208,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,8291,31844,13604,8461,8291,8461,1.0,0.65,0.65,8,98.0,1.9463644384936531,170,0.020092187684670842,#6fc7ab,0.43529412,0.78039217,0.67058825,74.3119800712752,-33.085374157797666,6.18806517166548,74.3256822647045,-33.12374302708742,6.024974834771556,5.456353117952553,14.031873498488611,0.8418532210644689,1.4983425167423619,0.4317754748047382,169.4061812720954,33.65908694142259,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
12,cgm_two_color_012_ccgcg,cgm,two_color,ccycy,ccgcg,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#30c4ac,0.18666666666666665,0.7701960784313725,0.6729411764705883,71.71688235528099,-43.684436947561466,1.5272197876999183,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,5195,22965,9817,5299,5195,5299,1.0,0.65,0.65,8,98.0,7.59154212572904,104,0.019626344593319495,#6ec4b4,0.43137255,0.76862746,0.7058824,73.75021470142708,-30.088323166808483,0.3001888196766833,73.75023340704243,-29.365255761488587,-1.075879920108629,5.401370054351725,13.80196925679641,1.8634784788921845,6.007965378240893,1.9222687988526725,179.42838350651562,30.089820609597574,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
13,cgm_two_color_013_ccg,cgm,two_color,ccy,ccg,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#31c5b4,0.19346405228758168,0.7725490196078431,0.7045751633986929,72.14281218826366,-41.58939309555265,-2.2366494280815052,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,3280,16618,6999,3346,3280,3346,1.0,0.65,0.65,8,98.0,5.253060006395054,66,0.01972504482964734,#6dc2bc,0.42745098,0.7607843,0.7372549,73.19968262910294,-27.422153856212994,-5.156731724915886,73.21592121795386,-27.365963446952925,-5.044546531287838,6.24067133902717,14.503603807802069,2.3355183450498074,3.81337358230838,1.1092610073508677,190.65008598447378,27.902802801807763,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
