region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_g,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,cgy_two_color_001_yg,cgy,two_color,my,yg,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#90cf32,0.5627450980392157,0.8117647058823529,0.19411764705882353,76.5181876914217,-42.83550403159575,66.51630663705663,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color,8175,31669,13425,8341,8175,8341,1.0,0.65,0.65,8,98.0,2.2645967646827545,166,0.019901690444790794,#99e369,0.6,0.8901961,0.4117647,83.28139211319498,-43.82201590478352,51.757441709245676,83.37721370039307,-43.80990683517318,51.82066353417545,6.746370242972324,16.264631372521247,1.112285641995838,1.7319314833039392,0.46639280316114673,130.2539380450179,67.81741553793586,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4616cgy.tif,DSC_4616cgy.tif,DSC_4616,cgy,capture_number,4616,c,g,y,CMY+OVG,two_color__cgy__DSC_4616cgy,0.5462822458270106
2,cgy_two_color_002_ygygg,cgy,two_color,mymyy,ygygg,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#79cc3b,0.4752941176470588,0.7992156862745098,0.23294117647058826,74.50114012845992,-48.68639350873899,60.78178216902822,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color,5273,22755,9732,5381,5273,5381,1.0,0.65,0.65,8,98.0,2.6455915287672425,108,0.020070618844081026,#91e06e,0.5686275,0.8784314,0.43137255,82.03534360098051,-44.58337108131871,48.135272247117,82.27505837372918,-44.565909490688625,48.283843590090356,6.423107187926123,15.281794011511016,1.4417484514050338,2.2096359557299983,0.5973666486579633,132.80616417215236,65.61007095925623,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4616cgy.tif,DSC_4616cgy.tif,DSC_4616,cgy,capture_number,4616,c,g,y,CMY+OVG,two_color__cgy__DSC_4616cgy,0.5462822458270106
3,cgy_two_color_003_ygg,cgy,two_color,myy,ygg,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#6aca42,0.4169934640522876,0.7908496732026143,0.25882352941176473,73.25969245824507,-52.014165739953434,56.76698040935824,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color,3374,16543,6963,3438,3374,3438,1.0,0.65,0.65,8,98.0,3.533312875657116,64,0.01861547411285631,#8add6e,0.5411765,0.8666667,0.43137255,80.74560803548842,-45.78036191818341,46.6599821702757,81.50770634132279,-45.14963891591527,46.948892984375256,6.104861852894606,14.037473259912085,1.23428546284997,3.060235456379418,0.9028406811464197,134.4548158871852,65.36815335842297,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4616cgy.tif,DSC_4616cgy.tif,DSC_4616,cgy,capture_number,4616,c,g,y,CMY+OVG,two_color__cgy__DSC_4616cgy,0.5462822458270106
4,cgy_two_color_004_gygg,cgy,two_color,ymyy,gygg,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#58c74a,0.34411764705882353,0.7803921568627451,0.2911764705882353,71.82897302151117,-55.38767028341801,51.58503391875486,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color,2048,11614,4875,2088,2048,2088,1.0,0.65,0.65,8,98.0,4.848177048130445,40,0.019157088122605363,#81da71,0.5058824,0.85490197,0.44313726,79.59317814398489,-46.80838238216861,43.35520148464469,80.47290756544405,-45.545301631343825,43.912516738689675,6.317644330370285,14.199197300196344,1.1711801346891462,4.0147364433938755,1.2889402083807315,137.19330277154882,63.802023141977635,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4616cgy.tif,DSC_4616cgy.tif,DSC_4616,cgy,capture_number,4616,c,g,y,CMY+OVG,two_color__cgy__DSC_4616cgy,0.5462822458270106
5,cgy_two_color_005_ggygg,cgy,two_color,yymyy,ggygg,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#4dc54f,0.3003921568627451,0.7741176470588236,0.31058823529411766,71.03654604530183,-56.93654278886323,48.41164853265205,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color,2953,13758,5802,3014,2953,3014,1.0,0.65,0.65,8,98.0,4.994397056328921,61,0.02023888520238885,#7ed977,0.49411765,0.8509804,0.46666667,79.22254244884121,-46.29365125082169,40.11005617187766,80.00522448859294,-45.0853306177719,40.604386250929736,6.836999580244694,15.786010044775201,1.09226246790531,4.196908918090027,1.3562735336441094,139.09346885677576,61.252908112545036,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4616cgy.tif,DSC_4616cgy.tif,DSC_4616,cgy,capture_number,4616,c,g,y,CMY+OVG,two_color__cgy__DSC_4616cgy,0.5462822458270106
6,cgy_two_color_006_g,cgy,two_color,y,g,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#20bf63,0.12549019607843137,0.7490196078431373,0.38823529411764707,68.36328344031337,-59.093631377102774,35.49547851450803,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color,941,6758,2878,959,941,959,1.0,0.65,0.65,8,98.0,1.1692357568415137,18,0.018769551616266946,#77d687,0.46666667,0.8392157,0.5294118,78.33921891578262,-44.7319536785114,30.47137955638515,78.38157989791642,-44.854160197122575,30.56253997110932,8.537308385525467,18.193917809805402,0.42506837865788266,0.8254325308971923,0.24214716668480699,145.73733283619623,54.124418259837,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4616cgy.tif,DSC_4616cgy.tif,DSC_4616,cgy,capture_number,4616,c,g,y,CMY+OVG,two_color__cgy__DSC_4616cgy,0.5462822458270106
7,cgy_two_color_007_ggcgg,cgy,two_color,yycyy,ggcgg,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#25c17b,0.14588235294117646,0.756078431372549,0.48313725490196074,69.38451407457569,-54.74696762165026,24.313311520147906,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color,2944,13584,5806,3005,2944,3005,1.0,0.65,0.65,8,98.0,6.576869617952016,61,0.020299500831946756,#73cd91,0.4509804,0.8039216,0.5686275,75.64251452400151,-40.16563051892974,21.877588925999845,75.72428455271357,-39.43619254901399,19.91182256740602,6.627119497023479,16.053370545895692,1.1922355492832954,4.983033707353936,1.6521202615855841,151.4235631226174,45.73736735097694,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4616cgy.tif,DSC_4616cgy.tif,DSC_4616,cgy,capture_number,4616,c,g,y,CMY+OVG,two_color__cgy__DSC_4616cgy,0.5462822458270106
8,cgy_two_color_008_gcgg,cgy,two_color,ycyy,gcgg,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#27c181,0.15098039215686274,0.7578431372549019,0.5068627450980392,69.65493206278121,-53.52558376648942,21.47080457762005,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color,2041,11528,4884,2083,2041,2083,1.0,0.65,0.65,8,98.0,5.8310916264374315,42,0.020163226116178587,#71cb95,0.44313726,0.79607844,0.58431375,75.25626518590788,-39.08025142528315,19.133451853613458,75.24633800637802,-38.68236086825378,17.85067417103061,6.312362020684011,15.668623965127146,1.426162719599759,4.030647282075045,1.2845730808431188,153.91391286685416,43.51269965536372,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4616cgy.tif,DSC_4616cgy.tif,DSC_4616,cgy,capture_number,4616,c,g,y,CMY+OVG,two_color__cgy__DSC_4616cgy,0.5462822458270106
9,cgy_two_color_009_cgg,cgy,two_color,cyy,cgg,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#29c28b,0.15947712418300652,0.7607843137254902,0.5464052287581699,70.11909101034699,-51.379409770592524,16.71680620874161,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color,3388,16591,7012,3457,3388,3457,1.0,0.65,0.65,8,98.0,4.617614674449272,69,0.01995950245877929,#70c99c,0.4392157,0.7882353,0.6117647,74.66608733722255,-36.92525315917633,14.326385016747345,74.63201822374008,-36.70897140181479,13.653771466621693,5.929651723110598,15.339880456480149,1.6263998310556464,3.3949966304649,1.0558506009497846,158.79457387479442,39.60706538633409,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4616cgy.tif,DSC_4616cgy.tif,DSC_4616,cgy,capture_number,4616,c,g,y,CMY+OVG,two_color__cgy__DSC_4616cgy,0.5462822458270106
10,cgy_two_color_010_cgcgg,cgy,two_color,cycyy,cgcgg,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#2ac393,0.16627450980392156,0.7631372549019607,0.5780392156862745,70.5025168827149,-49.568329246796715,12.90872904585223,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color,5151,22703,9624,5253,5151,5253,1.0,0.65,0.65,8,98.0,4.3236666020370045,102,0.019417475728155338,#6fc8a3,0.43529412,0.78431374,0.6392157,74.29143071063103,-35.28652850227276,9.880393463052917,74.28946020807417,-35.31511004555025,10.387283706770313,5.689936218798494,15.082987665038633,1.9303015634667706,3.6389970256660207,1.1146988216144396,164.35750437887737,36.643707082205076,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4616cgy.tif,DSC_4616cgy.tif,DSC_4616,cgy,capture_number,4616,c,g,y,CMY+OVG,two_color__cgy__DSC_4616cgy,0.5462822458270106
