region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_k,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,ckm_two_color_001_mk,ckm,two_color,my,mk,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#6b1655,0.42156862745098034,0.08823529411764705,0.33333333333333337,24.972798904713585,43.063989836503616,-16.53866822562311,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color,8281,32130,13576,8447,8281,8447,1.0,0.65,0.65,8,98.0,13.654279588158353,166,0.019651947436959867,#503f52,0.3137255,0.24705882,0.32156864,28.9004912244843,11.75064164790085,-8.58089229067831,30.73368190010428,11.93377796222364,-8.599740962408386,14.621652798621959,32.54656263832241,4.817493989585691,10.865596773173495,3.182960708004386,323.8612564241274,14.550233387874039,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
2,ckm_two_color_002_mkmkk,ckm,two_color,mymyy,mkmkk,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#5a1648,0.3529411764705882,0.08627450980392157,0.2823529411764706,20.888609395991338,36.40138826130202,-14.369767690665302,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color,5284,23084,9785,5392,5284,5392,1.0,0.65,0.65,8,98.0,16.659536531060375,108,0.020029673590504452,#493a4a,0.28627452,0.22745098,0.2901961,26.446403710443533,10.078127527013814,-6.993206788687672,28.477439977377763,9.698516833871704,-6.976346811158713,14.205328370691715,27.89653713398244,6.27410221596881,12.571069898264144,3.9834962902722046,325.2432418898665,12.266767937810714,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
3,ckm_two_color_003_mkk,ckm,two_color,myy,mkk,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#4e163f,0.3071895424836601,0.0849673202614379,0.24836601307189543,18.17887696112662,31.61544563181681,-12.762020079472592,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color,3474,16700,7120,3543,3474,3543,1.0,0.65,0.65,8,98.0,19.190050983625397,69,0.01947502116850127,#423742,0.25882354,0.21568628,0.25882354,24.702118498158203,7.96728959980815,-5.340657777680607,27.045499564022762,8.519910948474157,-5.909457620191927,14.691549338351868,25.629369525588043,6.362857114240091,14.64340587548628,4.469078461215463,326.165142327193,9.591680200335677,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
4,ckm_two_color_004_kmkk,ckm,two_color,ymyy,kmkk,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#401535,0.24999999999999994,0.08333333333333333,0.20588235294117646,14.843923173616577,25.10403095001251,-10.486377606583408,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color,2080,11810,4949,2123,2080,1568,0.7385774846914743,0.65,0.65,8,98.0,24.659966093265947,43,0.02025435704192181,#393238,0.22352941,0.19607843,0.21960784,21.71842498930603,4.863191199751954,-3.5863499194352055,24.9628056550458,6.559023926701495,-4.747238684814259,15.315038707729354,22.462429768238724,4.994636277736814,17.21163314586172,5.4564444047430545,323.5931606237731,6.04256025124928,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
5,ckm_two_color_005_kkmkk,ckm,two_color,yymyy,kkmkk,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#37152e,0.2156862745098039,0.08235294117647059,0.18039215686274507,12.89747700743833,20.83245368117059,-8.924348843146014,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color,3016,13816,5886,3078,3016,1859,0.6039636127355426,0.65,0.65,8,98.0,27.408729184445974,62,0.02014294996751137,#363237,0.21176471,0.19607843,0.21568628,21.425551890419417,3.483857108376495,-3.196502714858429,25.208567458992746,6.0968335154732936,-4.815153893802606,15.178939167151443,20.1620952662325,3.922991289931879,19.982529641817834,6.87105960125001,317.4630485849688,4.728095806736866,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
6,ckm_two_color_006_k,ckm,two_color,y,k,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#141414,0.0784313725490196,0.0784313725490196,0.0784313725490196,6.318928745123017,-2.7236759098103747e-06,1.0894703639241499e-06,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color,961,6813,2915,980,961,0,0.0,0.65,0.65,8,98.0,3.7532259498298925,19,0.019387755102040816,#323234,0.19607843,0.19607843,0.20392157,20.865964252406947,0.6574780243326916,-1.2515641700922675,21.189325334308325,0.6357447337433029,-1.2984253580981244,9.558231483608964,14.615571784337602,1.5821843618341112,2.8690548482378895,0.8108366133160718,297.71407125738085,1.413750410906807,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
7,ckm_two_color_007_kkckk,ckm,two_color,yycyy,kkckk,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#1c383c,0.10823529411764705,0.21960784313725487,0.2352941176470588,21.56344951872375,-9.397080351688041,-5.825261967203177,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color,2985,13761,5849,3046,2985,1586,0.520682862770847,0.65,0.65,8,98.0,31.373687825574507,61,0.020026263952724884,#333539,0.2,0.20784314,0.22352941,22.0646393172931,0.2352451073089068,-3.5272176701325986,27.06368929749043,-0.539252672143381,-5.221054978224608,10.922542200909664,9.915336229978758,3.8506588873313152,23.252217603796115,8.176564388710961,273.81564776531616,3.535053712888733,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
8,ckm_two_color_008_kckk,ckm,two_color,ycyy,kckk,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#1e4146,0.11568627450980393,0.2549019607843137,0.2745098039215686,25.232534499737326,-11.122406133232593,-6.973320342311229,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color,2107,11708,4969,2150,2107,1340,0.6232558139534884,0.65,0.65,8,98.0,26.743845367632417,43,0.02,#34373d,0.20392157,0.21568628,0.23921569,23.165742854684986,-0.30203511461321386,-4.3304469504309555,27.55906073064931,-1.0027566763830913,-5.656682007423915,11.642879558584825,11.328584927083572,4.773159484503282,21.232194085216992,7.096416069342884,266.0102599520198,4.340967173448353,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
9,ckm_two_color_009_ckk,ckm,two_color,cyy,ckk,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#215057,0.1281045751633987,0.3137254901960784,0.3398692810457516,31.201352139765312,-13.748019559950198,-8.76521785817328,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color,3465,16703,7094,3536,3465,3494,0.9881221719457014,0.65,0.65,8,98.0,26.169554784809947,71,0.020079185520361992,#383d46,0.21960784,0.23921569,0.27450982,25.690129221156695,-0.531031157272932,-6.834968162520427,29.67033915066781,-1.0518143324332767,-7.421220178796716,13.680806845256773,14.449506025559149,6.575655413434003,18.78818044813858,6.189746644897974,265.5574269193369,6.855565904625416,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
10,ckm_two_color_010_ckckk,ckm,two_color,cycyy,ckckk,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#235c64,0.1380392156862745,0.36078431372549014,0.39215686274509803,35.85791514832934,-15.68952102250737,-10.118639007132145,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color,5283,23111,9765,5391,5283,5391,1.0,0.65,0.65,8,98.0,21.980121513456986,108,0.02003338898163606,#3a4452,0.22745098,0.26666668,0.32156864,28.574483259875336,-0.9945075295887118,-9.314253454887645,31.82230441548478,-1.3216977871184903,-9.141418157784134,14.792635401330203,16.42068323022735,7.8197639476368055,17.984993666709702,5.425510158969533,263.9054677953005,9.367196093191126,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
