region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_k,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
1,cky_two_color_001_yk,cky,two_color,my,yk,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#8a7a0a,0.5392156862745098,0.4764705882352941,0.0392156862745098,50.89729237511497,-4.702436638467478,54.43291229936329,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color
2,cky_two_color_002_ykykk,cky,two_color,mymyy,ykykk,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#72650c,0.4470588235294118,0.3968627450980392,0.047058823529411764,42.68900819011868,-4.390174965222315,46.44917314860601,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color
3,cky_two_color_003_ykk,cky,two_color,myy,ykk,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#62580d,0.3856209150326797,0.34379084967320256,0.05228758169934641,37.06018125678953,-4.145265022180434,40.6687182120301,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color
4,cky_two_color_004_kykk,cky,two_color,ymyy,kykk,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#4f470f,0.30882352941176466,0.2774509803921568,0.058823529411764705,29.815195628927015,-3.762198880833262,32.702903336487324,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color
5,cky_two_color_005_kkykk,cky,two_color,yymyy,kkykk,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#433d10,0.26274509803921564,0.23764705882352938,0.06274509803921569,25.33872203376457,-3.4598535169804157,27.3922126056074,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color
6,cky_two_color_006_k,cky,two_color,y,k,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#141414,0.0784313725490196,0.0784313725490196,0.0784313725490196,6.318928745123017,-2.7236759098103747e-06,1.0894703639241499e-06,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color
7,cky_two_color_007_kkckk,cky,two_color,yycyy,kkckk,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#1c383c,0.10823529411764705,0.21960784313725487,0.2352941176470588,21.56344951872375,-9.397080351688041,-5.825261967203177,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color
8,cky_two_color_008_kckk,cky,two_color,ycyy,kckk,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#1e4146,0.11568627450980393,0.2549019607843137,0.2745098039215686,25.232534499737326,-11.122406133232593,-6.973320342311229,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color
9,cky_two_color_009_ckk,cky,two_color,cyy,ckk,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#215057,0.1281045751633987,0.3137254901960784,0.3398692810457516,31.201352139765312,-13.748019559950198,-8.76521785817328,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color
10,cky_two_color_010_ckckk,cky,two_color,cycyy,ckckk,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#235c64,0.1380392156862745,0.36078431372549014,0.39215686274509803,35.85791514832934,-15.68952102250737,-10.118639007132145,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color
