region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_k,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,cky_two_color_001_yk,cky,two_color,my,yk,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#8a7a0a,0.5392156862745098,0.4764705882352941,0.0392156862745098,50.89729237511497,-4.702436638467478,54.43291229936329,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color,8053,31177,13282,8218,8053,8218,1.0,0.65,0.65,8,98.0,20.711732871000297,165,0.020077877829155513,#545b41,0.32941177,0.35686275,0.25490198,37.26413362466453,-8.21980623726043,15.231274569280407,38.120125265583646,-8.446432737497606,15.134503054810706,21.001246621901085,41.653370897565466,10.42688770679328,17.187844383728013,5.095069886630207,118.35424307428752,17.307713297339816,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
2,cky_two_color_002_ykykk,cky,two_color,mymyy,ykykk,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#72650c,0.4470588235294118,0.3968627450980392,0.047058823529411764,42.68900819011868,-4.390174965222315,46.44917314860601,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color,5176,22541,9609,5282,5176,5282,1.0,0.65,0.65,8,98.0,28.277728418276926,106,0.020068156001514577,#494f3b,0.28627452,0.30980393,0.23137255,32.6437480359502,-6.692483801784999,11.856304637267268,34.158356894042576,-6.809768930112724,12.236147452083713,18.175631829097366,36.095351908335935,10.450725115653805,19.45017827456946,6.564111405832347,119.44326141251076,13.614745649068876,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
3,cky_two_color_003_ykk,cky,two_color,myy,ykk,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#62580d,0.3856209150326797,0.34379084967320256,0.05228758169934641,37.06018125678953,-4.145265022180434,40.6687182120301,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color,3381,16321,6961,3450,3381,3450,1.0,0.65,0.65,8,98.0,34.43627228810631,69,0.02,#3a4034,0.22745098,0.2509804,0.20392157,26.07377530387381,-5.585950731394646,7.948854079769962,32.93443064956836,-6.991535847359763,10.02098841555775,18.66320426261978,34.54513279622123,9.497672883697527,28.702029533653583,9.43951575708199,125.0971171295609,9.715303739721366,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
4,cky_two_color_004_kykk,cky,two_color,ymyy,kykk,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#4f470f,0.30882352941176466,0.2774509803921568,0.058823529411764705,29.815195628927015,-3.762198880833262,32.702903336487324,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color,2002,11382,4803,2042,2002,1291,0.6322233104799216,0.65,0.65,8,98.0,42.407972169018485,40,0.019588638589618023,#34352f,0.20392157,0.20784314,0.18431373,21.937701465296488,-2.465005999760045,5.443120454698086,29.9473306762191,-4.8173248031594795,8.942109143821,15.940224907767764,28.40481273360255,6.215134209275967,31.307185904614315,11.384149321737905,114.36417151106343,5.975266928197075,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
5,cky_two_color_005_kkykk,cky,two_color,yymyy,kkykk,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#433d10,0.26274509803921564,0.23764705882352938,0.06274509803921569,25.33872203376457,-3.4598535169804157,27.3922126056074,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color,2930,13459,5765,2990,2930,1368,0.45752508361204014,0.65,0.65,8,98.0,43.15230133006691,60,0.020066889632107024,#333331,0.2,0.2,0.19215687,21.312406065623684,-1.1200549243228497,2.4164274114966577,28.618208948686245,-3.8254074381429812,7.25934942837843,15.31549053659477,25.40621427509163,3.8208805991928103,24.083071608484136,11.991002224700713,114.86851955494376,2.663389657660385,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
6,cky_two_color_006_k,cky,two_color,y,k,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#141414,0.0784313725490196,0.0784313725490196,0.0784313725490196,6.318928745123017,-2.7236759098103747e-06,1.0894703639241499e-06,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color,913,6703,2834,932,913,0,0.0,0.65,0.65,8,98.0,4.41651058225198,19,0.0203862660944206,#343436,0.20392157,0.20392157,0.21176471,21.67547425300235,0.6651262599660923,-1.1144346603384259,21.83173948296551,0.6138494211246105,-1.1317953184952176,10.102428054468556,15.41128980782924,1.744862669805543,3.1485394951647323,0.8950565801636651,300.82995260275845,1.297828013975698,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
7,cky_two_color_007_kkckk,cky,two_color,yycyy,kkckk,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#1c383c,0.10823529411764705,0.21960784313725487,0.2352941176470588,21.56344951872375,-9.397080351688041,-5.825261967203177,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color,2910,13485,5729,2968,2910,1475,0.4969676549865229,0.65,0.65,8,98.0,27.888979622432274,58,0.01954177897574124,#343639,0.20392157,0.21176471,0.22352941,22.586537198635924,0.23415136249071988,-3.2055618790308937,27.421750568914376,-0.5607410033407443,-4.9698296996339435,10.975746316745418,10.033452112057978,3.7105565967788925,23.01615910230115,8.092430926181075,274.1777699960128,3.2141023351555464,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
8,cky_two_color_008_kckk,cky,two_color,ycyy,kckk,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#1e4146,0.11568627450980393,0.2549019607843137,0.2745098039215686,25.232534499737326,-11.122406133232593,-6.973320342311229,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color,2062,11502,4899,2105,2062,1399,0.6646080760095012,0.65,0.65,8,98.0,28.82919487923798,43,0.020427553444180523,#35373c,0.20784314,0.21568628,0.23529412,23.146642837015033,-0.16779550285926648,-4.665817268749429,28.06630208947833,-0.8531261948362221,-5.6243806321024294,11.795408541556448,11.387669143692216,5.02521726515729,21.79300601547601,7.375222432572453,267.94037525384556,4.668833485587184,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
9,cky_two_color_009_ckk,cky,two_color,cyy,ckk,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#215057,0.1281045751633987,0.3137254901960784,0.3398692810457516,31.201352139765312,-13.748019559950198,-8.76521785817328,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color,3345,16260,6942,3411,3345,3411,1.0,0.65,0.65,8,98.0,26.90130026974527,66,0.019349164467897976,#394149,0.22352941,0.25490198,0.28627452,26.879303242733435,-1.1257583736206944,-6.27316037936505,31.189264321305107,-1.6847985727429005,-6.889141919764027,12.749390679054917,13.572469731111532,7.076269380180626,21.63453821245051,6.896709960215929,259.8262012413983,6.373372189117201,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
10,cky_two_color_010_ckckk,cky,two_color,cycyy,ckckk,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#235c64,0.1380392156862745,0.36078431372549014,0.39215686274509803,35.85791514832934,-15.68952102250737,-10.118639007132145,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color,5063,22559,9498,5167,5063,5137,0.9941939229727115,0.65,0.65,8,98.0,24.687947214036924,104,0.020127733694600348,#3c4855,0.23529412,0.28235295,0.33333334,30.080944030755305,-1.509123868039114,-9.212663962519919,32.944286405773234,-1.8488142514033592,-9.181864208575853,13.817810557263071,15.338769492146238,8.527962005037255,18.978534786659615,5.848757929156163,260.6970183262656,9.335450290982141,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
