region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_l,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
1,clm_two_color_001_ml,clm,two_color,my,ml,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#c571ac,0.7745098039215685,0.44313725490196076,0.6745098039215687,58.72265684725714,41.379477952339485,-17.05358096661975,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color
2,clm_two_color_002_mlmll,clm,two_color,mymyy,mlmll,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#c683b0,0.776470588235294,0.512156862745098,0.691764705882353,62.746244013795746,32.84288352123299,-13.476539875367543,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color
3,clm_two_color_003_mll,clm,two_color,myy,mll,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#c68eb3,0.7777777777777777,0.5581699346405228,0.7032679738562092,65.56634132203305,27.038106152420085,-10.895934010651565,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color
4,clm_two_color_004_lmll,clm,two_color,ymyy,lmll,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#c79db7,0.7794117647058822,0.6156862745098038,0.7176470588235294,69.2138812587631,19.753553107714428,-7.502814008008762,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color
5,clm_two_color_005_llmll,clm,two_color,yymyy,llmll,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#c7a6b9,0.780392156862745,0.6501960784313725,0.7262745098039216,71.4559397750803,15.400170893808241,-5.396662724989443,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color
6,clm_two_color_006_l,clm,two_color,y,l,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#c8c9c2,0.7843137254901961,0.788235294117647,0.7607843137254902,80.70973829085915,-1.6093340068246142,3.370929344299589,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color
7,clm_two_color_007_llcll,clm,two_color,yycyy,llcll,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#acc9c7,0.6729411764705883,0.7874509803921568,0.7811764705882352,78.77391370177266,-10.073441984677133,-2.4885812696774368,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color
8,clm_two_color_008_lcll,clm,two_color,ycyy,lcll,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#a4c9c9,0.6450980392156862,0.7872549019607843,0.7862745098039216,78.3418577878161,-12.037612649278051,-3.8758385778769444,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color
9,clm_two_color_009_cll,clm,two_color,cyy,cll,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#99c9cb,0.5986928104575163,0.7869281045751634,0.7947712418300653,77.66903448349201,-15.149348105007398,-6.116170938595333,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color
10,clm_two_color_010_clcll,clm,two_color,cycyy,clcll,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#8fc9cc,0.5615686274509804,0.7866666666666666,0.8015686274509803,77.17374299550487,-17.478635502505004,-7.842693674630041,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color
11,clm_two_color_011_cl,clm,two_color,cy,cl,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#81c9cf,0.5058823529411764,0.7862745098039216,0.8117647058823529,76.50296436848879,-20.676899839808417,-10.321095386057056,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color
12,clm_two_color_012_cclcl,clm,two_color,ccycy,cclcl,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#73c8d2,0.45019607843137255,0.7858823529411765,0.8219607843137254,75.91892577141277,-23.486585930190984,-12.664493303691327,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color
13,clm_two_color_013_ccl,clm,two_color,ccy,ccl,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#69c8d3,0.41307189542483663,0.7856209150326797,0.8287581699346406,75.57752358876611,-25.127508791505605,-14.151564442941812,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color
14,clm_two_color_014_cclc,clm,two_color,ccyc,cclc,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#5ec8d6,0.3666666666666667,0.7852941176470588,0.8372549019607843,75.20410346817063,-26.903791665477627,-15.926264019264202,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color
15,clm_two_color_015_cclcc,clm,two_color,ccycc,cclcc,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#56c8d7,0.33882352941176475,0.7850980392156862,0.8423529411764706,75.00808609551619,-27.818736517711272,-16.94665722176596,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color
16,clm_two_color_016_c,clm,two_color,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color
17,clm_two_color_017_ccmcc,clm,two_color,ccmcc,ccmcc,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#55a5ce,0.3349019607843137,0.6470588235294118,0.807843137254902,64.41427157262386,-12.44504966424509,-28.289394293942706,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color
18,clm_two_color_018_ccmc,clm,two_color,ccmc,ccmc,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#5c9ccb,0.36176470588235293,0.6127450980392157,0.7941176470588236,62.02760964894165,-7.296634181354344,-30.004299401504532,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color
19,clm_two_color_019_ccm,clm,two_color,ccm,ccm,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#688ec5,0.40653594771241824,0.5555555555555556,0.7712418300653595,58.21165026866812,1.8861516758218455,-32.60539208245304,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color
20,clm_two_color_020_ccmcm,clm,two_color,ccmcm,ccmcm,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#7182c0,0.4423529411764706,0.5098039215686275,0.7529411764705883,55.346614328532084,9.718729906051603,-34.38506179838539,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color
21,clm_two_color_021_cm,clm,two_color,cm,cm,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,#7e71b9,0.496078431372549,0.4411764705882353,0.7254901960784315,51.467797581737514,22.037982855022285,-36.3763344153146,"[[0.55, 0.2598076211353316], [0.5, 0.2886751345948129], [0.4500000000000002, 0.25980762113533173], [0.44999999999999996, 0.25980762113533157], [0.44999999999999996, 0.0], [0.55, 0.0]]",6,2,2,two_color
22,clm_two_color_022_cmcmm,clm,two_color,cmcmm,cmcmm,0.4,0.0,0.6,0.4,0.0,0.6,0.6,0.0,#8c5fb2,0.5498039215686275,0.37254901960784315,0.6980392156862746,48.249788201706025,34.528231343394225,-37.28959296890542,"[[0.6333333333333334, 0.2116950987028627], [0.6333333333333331, 0.211695098702863], [0.5500000000000002, 0.25980762113533157], [0.55, 0.2598076211353316], [0.55, 0.0], [0.6333333333333334, 0.0]]",6,2,2,two_color
23,clm_two_color_023_cmm,clm,two_color,cmm,cmm,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,#9553ad,0.5856209150326798,0.32679738562091504,0.6797385620915034,46.564317820141355,42.571600369637416,-37.144930571146006,"[[0.7083333333333331, 0.168393828513641], [0.7083333333333331, 0.168393828513641], [0.6333333333333333, 0.2116950987028628], [0.6333333333333334, 0.0], [0.7083333333333333, 0.0]]",6,2,2,two_color
