region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_l,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,clm_two_color_001_ml,clm,two_color,my,ml,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#c571ac,0.7745098039215685,0.44313725490196076,0.6745098039215687,58.72265684725714,41.379477952339485,-17.05358096661975,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color,8154,31622,13415,8321,8154,8321,1.0,0.65,0.65,8,98.0,10.020286331324012,167,0.020069703160677802,#ba8db2,0.7294118,0.5529412,0.69803923,63.94117942977515,22.57276502979566,-12.564791499964944,64.86080415560693,22.206303610444156,-12.41178600733101,8.944721337078478,20.02684847326654,3.5186555633112153,6.798706822955243,2.122674369516497,330.89815580102726,25.834157747601473,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4584clm.tif,DSC_4584clm.tif,DSC_4584,clm,capture_number,4584,c,l,m,CMY+neutral,two_color__clm__DSC_4584clm,0.5390835579514824
2,clm_two_color_002_mlmll,clm,two_color,mymyy,mlmll,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#c683b0,0.776470588235294,0.512156862745098,0.691764705882353,62.746244013795746,32.84288352123299,-13.476539875367543,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color,5169,22577,9600,5273,5169,5273,1.0,0.65,0.65,8,98.0,12.463716566664113,104,0.01972311776977053,#b998b5,0.7254902,0.59607846,0.70980394,66.51191001054592,17.553376511513395,-10.554701482799578,66.4750243997626,17.145447328953146,-10.461078084059912,8.037975261044982,16.01519293020316,5.544126006687984,9.603945480560872,2.925541419415421,328.9818516204295,20.482254523024604,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4584clm.tif,DSC_4584clm.tif,DSC_4584,clm,capture_number,4584,c,l,m,CMY+neutral,two_color__clm__DSC_4584clm,0.5390835579514824
3,clm_two_color_003_mll,clm,two_color,myy,mll,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#c68eb3,0.7777777777777777,0.5581699346405228,0.7032679738562092,65.56634132203305,27.038106152420085,-10.895934010651565,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color,3417,16639,7014,3487,3417,3487,1.0,0.65,0.65,8,98.0,11.545346751011575,70,0.02007456266131345,#b8a0b8,0.72156864,0.627451,0.72156864,68.69844982688828,13.57683856205416,-9.358925092919002,67.64869525701457,14.791400268817252,-9.806481768367505,8.1539421787555,13.906049950967812,5.457871480254279,9.241356774583886,2.7413050940882284,325.4203305912687,16.489997702696925,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4584clm.tif,DSC_4584clm.tif,DSC_4584,clm,capture_number,4584,c,l,m,CMY+neutral,two_color__clm__DSC_4584clm,0.5390835579514824
4,clm_two_color_004_lmll,clm,two_color,ymyy,lmll,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#c79db7,0.7794117647058822,0.6156862745098038,0.7176470588235294,69.2138812587631,19.753553107714428,-7.502814008008762,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color,2052,11521,4902,2094,2052,2094,1.0,0.65,0.65,8,98.0,12.950732963642212,42,0.02005730659025788,#b7a8ba,0.7176471,0.65882355,0.7294118,70.53101631119313,8.598667827793754,-7.492756424064506,69.22556770514267,11.335884061813722,-8.485454684306655,8.445355279891672,11.232382272230836,5.2330992281717785,12.221504859752915,3.545811755417462,318.9315708070241,11.405195624937578,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4584clm.tif,DSC_4584clm.tif,DSC_4584,clm,capture_number,4584,c,l,m,CMY+neutral,two_color__clm__DSC_4584clm,0.5390835579514824
5,clm_two_color_005_llmll,clm,two_color,yymyy,llmll,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#c7a6b9,0.780392156862745,0.6501960784313725,0.7262745098039216,71.4559397750803,15.400170893808241,-5.396662724989443,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color,2927,13673,5763,2987,2927,2987,1.0,0.65,0.65,8,98.0,15.462129046945272,60,0.020087043856712422,#b6abba,0.7137255,0.67058825,0.7294118,71.07039881619235,6.176303594977284,-6.041757166893924,69.90989331780554,9.983566731371493,-7.597124599618256,8.080746964581916,9.254432268723964,5.295460863001663,14.080709839315448,4.262390129551499,315.6309209815903,8.639997439874818,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4584clm.tif,DSC_4584clm.tif,DSC_4584,clm,capture_number,4584,c,l,m,CMY+neutral,two_color__clm__DSC_4584clm,0.5390835579514824
6,clm_two_color_006_l,clm,two_color,y,l,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#c8c9c2,0.7843137254901961,0.788235294117647,0.7607843137254902,80.70973829085915,-1.6093340068246142,3.370929344299589,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color,913,6703,2834,932,913,9,0.009656652360515022,0.65,0.65,8,98.0,3.199672931308291,19,0.0203862660944206,#b3b6bb,0.7019608,0.7137255,0.73333335,73.92979680881965,-0.09199097544382306,-2.90012513815745,73.94320692533798,-0.12790354272366927,-2.9121624377762356,7.954120272823989,9.359276718673533,1.1333848084354363,2.2658417987647415,0.7038055125700208,268.18320666113675,2.9015837324702307,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4584clm.tif,DSC_4584clm.tif,DSC_4584,clm,capture_number,4584,c,l,m,CMY+neutral,two_color__clm__DSC_4584clm,0.5390835579514824
7,clm_two_color_007_llcll,clm,two_color,yycyy,llcll,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#acc9c7,0.6729411764705883,0.7874509803921568,0.7811764705882352,78.77391370177266,-10.073441984677133,-2.4885812696774368,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color,2942,13512,5761,3002,2942,3002,1.0,0.65,0.65,8,98.0,9.106179563225076,60,0.019986675549633577,#adb6c1,0.6784314,0.7137255,0.75686276,73.5801086880753,-1.3916136239724985,-6.356724956712845,73.00636000756059,-1.8453837323919031,-7.988357155762375,10.880103620990202,10.831079807138114,2.412802901338731,7.241576581830698,2.2546675425158793,257.6516227635838,6.507268294278467,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4584clm.tif,DSC_4584clm.tif,DSC_4584,clm,capture_number,4584,c,l,m,CMY+neutral,two_color__clm__DSC_4584clm,0.5390835579514824
8,clm_two_color_008_lcll,clm,two_color,ycyy,lcll,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#a4c9c9,0.6450980392156862,0.7872549019607843,0.7862745098039216,78.3418577878161,-12.037612649278051,-3.8758385778769444,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color,2069,11529,4902,2111,2069,2111,1.0,0.65,0.65,8,98.0,8.488705642271237,42,0.01989578398863098,#a9b4c0,0.6627451,0.7058824,0.7529412,72.66416136033709,-1.9279432118853301,-7.441261076284733,72.2811065707042,-2.1870662671600587,-8.844724513549346,11.770667931986187,12.130700328015394,2.747522503700139,6.694746835394547,1.9497661293392703,255.4747270133611,7.686958529463063,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4584clm.tif,DSC_4584clm.tif,DSC_4584,clm,capture_number,4584,c,l,m,CMY+neutral,two_color__clm__DSC_4584clm,0.5390835579514824
9,clm_two_color_009_cll,clm,two_color,cyy,cll,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#99c9cb,0.5986928104575163,0.7869281045751634,0.7947712418300653,77.66903448349201,-15.149348105007398,-6.116170938595333,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color,3375,16571,6955,3444,3375,3444,1.0,0.65,0.65,8,98.0,7.621903640926059,69,0.02003484320557491,#a4b4c3,0.6431373,0.7058824,0.7647059,72.63525190985267,-2.6113354845170855,-10.20707808149588,71.83529277899838,-2.836112729054052,-10.850214652709,12.96959616131597,14.116523960312758,2.8641899848654044,5.830183416872647,1.6477433879604095,255.64949577760825,10.535820612294597,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4584clm.tif,DSC_4584clm.tif,DSC_4584,clm,capture_number,4584,c,l,m,CMY+neutral,two_color__clm__DSC_4584clm,0.5390835579514824
10,clm_two_color_010_clcll,clm,two_color,cycyy,clcll,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#8fc9cc,0.5615686274509804,0.7866666666666666,0.8015686274509803,77.17374299550487,-17.478635502505004,-7.842693674630041,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color,5167,22600,9615,5272,5167,5272,1.0,0.65,0.65,8,98.0,7.076626533199531,105,0.019916540212443094,#9fb3c4,0.62352943,0.7019608,0.76862746,72.01296553700499,-3.1984181627225383,-12.100550275081057,71.34933066448292,-3.1907377473474026,-11.895036689999724,13.65774445204901,15.769831136622502,3.729277604618251,5.715858945257883,1.5708557054638035,255.19418052373723,12.516117437264546,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4584clm.tif,DSC_4584clm.tif,DSC_4584,clm,capture_number,4584,c,l,m,CMY+neutral,two_color__clm__DSC_4584clm,0.5390835579514824
