region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_l,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,cly_two_color_001_yl,cly,two_color,my,yl,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#e3d461,0.892156862745098,0.8313725490196078,0.3803921568627451,84.15520736693792,-8.730104128588545,57.68148747093511,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color,8154,31834,13415,8321,8154,8321,1.0,0.65,0.65,8,98.0,5.104913110532268,167,0.020069703160677802,#c4ca86,0.76862746,0.7921569,0.5254902,79.44936004537637,-12.595469198011578,33.176191321030956,79.23719312077681,-12.591056761672181,33.100268652170755,10.136369152269236,25.250655150476216,2.1590836984006554,3.8296417097438225,1.0369400195428442,110.7894592558822,35.4866948994649,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4582cly.tif,DSC_4582cly.tif,DSC_4582,cly,capture_number,4582,c,l,y,CMY+neutral,two_color__cly__DSC_4582cly,0.5446293494704992
2,cly_two_color_002_ylyll,cly,two_color,mymyy,ylyll,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#ded274,0.8705882352941176,0.8227450980392156,0.4564705882352941,83.33502282263355,-8.257930520914059,47.51106638204572,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color,5187,22897,9637,5291,5187,5291,1.0,0.65,0.65,8,98.0,11.013232327254306,104,0.019656019656019656,#c0c68e,0.7529412,0.7764706,0.5568628,78.28743571307828,-11.238367180038011,27.045441028504968,78.16914297653061,-10.89869622167086,26.448817775287598,9.577865526165736,21.28856405253977,3.6266884796251566,8.272343629287986,2.476891736577546,112.56466668776716,29.287484994442515,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4582cly.tif,DSC_4582cly.tif,DSC_4582,cly,capture_number,4582,c,l,y,CMY+neutral,two_color__cly__DSC_4582cly,0.5446293494704992
3,cly_two_color_003_yll,cly,two_color,myy,yll,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#dad081,0.8562091503267973,0.8169934640522875,0.5071895424836601,82.82120022881202,-7.696665638264988,40.40751441229884,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color,3451,16542,7067,3522,3451,3522,1.0,0.65,0.65,8,98.0,9.535270631417031,71,0.02015900056785917,#bec295,0.74509805,0.7607843,0.58431375,77.33125685760808,-9.791337321833238,23.729457741596626,77.84450473223215,-9.539468009269205,23.0650920972425,8.654901071789213,17.682892919206495,4.3671061397107485,7.444757102719932,2.200850071869586,112.42220546967889,25.670166560818114,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4582cly.tif,DSC_4582cly.tif,DSC_4582,cly,capture_number,4582,c,l,y,CMY+neutral,two_color__cly__DSC_4582cly,0.5446293494704992
4,cly_two_color_004_lyll,cly,two_color,ymyy,lyll,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#d6ce92,0.838235294117647,0.8098039215686273,0.5705882352941176,82.21898292692846,-6.699939912165275,31.297230565592926,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color,2062,11673,4899,2105,2062,2105,1.0,0.65,0.65,8,98.0,11.838684410458315,43,0.020427553444180523,#babea1,0.7294118,0.74509805,0.6313726,76.23720569006352,-6.346246087886365,13.168982845071353,77.01791904638247,-7.392306991660473,16.187397599670646,10.303654381910167,19.09293386699394,6.53191124310653,10.579425039078998,2.982642274780097,115.7298170090545,14.618377084402924,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4582cly.tif,DSC_4582cly.tif,DSC_4582,cly,capture_number,4582,c,l,y,CMY+neutral,two_color__cly__DSC_4582cly,0.5446293494704992
5,cly_two_color_005_llyll,cly,two_color,yymyy,llyll,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#d3cd9b,0.8274509803921568,0.8054901960784313,0.6086274509803922,81.88025664560861,-5.938165053471501,25.752071288290068,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color,2984,13739,5821,3045,2984,2261,0.7425287356321839,0.65,0.65,8,98.0,14.892648778046746,61,0.020032840722495896,#babfb1,0.7294118,0.7490196,0.69411767,76.46433091043568,-4.4227448321527145,7.812089557715884,77.19077418547496,-5.8215327452687795,11.668913053194732,11.032925054897312,18.80084292018381,6.146994000676316,12.874237247908255,3.669263355133904,119.51598282068187,8.977160748705968,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4582cly.tif,DSC_4582cly.tif,DSC_4582,cly,capture_number,4582,c,l,y,CMY+neutral,two_color__cly__DSC_4582cly,0.5446293494704992
6,cly_two_color_006_l,cly,two_color,y,l,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#c8c9c2,0.7843137254901961,0.788235294117647,0.7607843137254902,80.70973829085915,-1.6093340068246142,3.370929344299589,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color,961,6759,2916,981,961,0,0.0,0.65,0.65,8,98.0,3.0135613583276855,20,0.020387359836901122,#b9bcc0,0.7254902,0.7372549,0.7529412,76.12221086824754,-0.28398463397166784,-2.38234064272993,76.18526968057944,-0.3257621506635601,-2.454935111329195,6.615563221694885,7.476768978441817,1.105945794452811,2.0675665473095077,0.6377955067467391,263.2021884571893,2.3992069961416163,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4582cly.tif,DSC_4582cly.tif,DSC_4582,cly,capture_number,4582,c,l,y,CMY+neutral,two_color__cly__DSC_4582cly,0.5446293494704992
7,cly_two_color_007_llcll,cly,two_color,yycyy,llcll,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#acc9c7,0.6729411764705883,0.7874509803921568,0.7811764705882352,78.77391370177266,-10.073441984677133,-2.4885812696774368,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color,2985,13604,5821,3045,2985,2953,0.9697865353037767,0.65,0.65,8,98.0,8.56099410526151,60,0.019704433497536946,#b2bbc4,0.69803923,0.73333335,0.76862746,75.29903950207881,-1.540962365474463,-5.604727396151565,74.78506973073696,-2.0569624072219965,-7.074636475488554,10.15487728679517,9.725652977427613,2.163898389686333,7.07032635100588,2.1886941102569426,254.62695800779656,5.812704550979738,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4582cly.tif,DSC_4582cly.tif,DSC_4582,cly,capture_number,4582,c,l,y,CMY+neutral,two_color__cly__DSC_4582cly,0.5446293494704992
8,cly_two_color_008_lcll,cly,two_color,ycyy,lcll,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#a4c9c9,0.6450980392156862,0.7872549019607843,0.7862745098039216,78.3418577878161,-12.037612649278051,-3.8758385778769444,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color,2064,11600,4911,2104,2064,2104,1.0,0.65,0.65,8,98.0,8.95883206108633,40,0.019011406844106463,#b0bac4,0.6901961,0.7294118,0.76862746,75.07937671532767,-1.9275428023027563,-6.8329688934638755,73.96845358240316,-2.343289968754728,-8.110267545983822,11.136825659496848,11.027325820997017,2.2755968512890217,7.863561661736507,2.3425928352468772,254.2465337263779,7.099639790422758,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4582cly.tif,DSC_4582cly.tif,DSC_4582,cly,capture_number,4582,c,l,y,CMY+neutral,two_color__cly__DSC_4582cly,0.5446293494704992
9,cly_two_color_009_cll,cly,two_color,cyy,cll,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#99c9cb,0.5986928104575163,0.7869281045751634,0.7947712418300653,77.66903448349201,-15.149348105007398,-6.116170938595333,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color,3445,16461,7074,3515,3445,3515,1.0,0.65,0.65,8,98.0,6.68734364925188,70,0.01991465149359886,#a8b8c6,0.65882355,0.72156864,0.7764706,73.90560758240932,-2.8146383669007125,-9.322547797357394,73.25260777899372,-3.05479360785419,-10.187738785133476,12.370038606285743,13.288690639921665,2.9433976301383398,5.723079779661722,1.6086383600034548,253.2000267989411,9.738176758020092,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4582cly.tif,DSC_4582cly.tif,DSC_4582,cly,capture_number,4582,c,l,y,CMY+neutral,two_color__cly__DSC_4582cly,0.5446293494704992
10,cly_two_color_010_clcll,cly,two_color,cycyy,clcll,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#8fc9cc,0.5615686274509804,0.7866666666666666,0.8015686274509803,77.17374299550487,-17.478635502505004,-7.842693674630041,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color,5247,22807,9717,5355,5247,5355,1.0,0.65,0.65,8,98.0,6.314537392512398,108,0.020168067226890758,#a0b6c7,0.627451,0.7137255,0.78039217,73.04971838572854,-3.3658226232884947,-12.191120792012168,72.584191701146,-3.414281703410367,-11.80905309870014,13.321814046688818,15.332575932993269,3.4253156872906314,5.352404914335787,1.428978895941376,254.56580788818962,12.647220568048619,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4582cly.tif,DSC_4582cly.tif,DSC_4582,cly,capture_number,4582,c,l,y,CMY+neutral,two_color__cly__DSC_4582cly,0.5446293494704992
