region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_n,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,cnm_two_color_001_mn,cnm,two_color,my,mn,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#a65494,0.6529411764705881,0.32941176470588235,0.580392156862745,47.805157734402606,42.521479006203236,-20.047639669346818,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color,7969,31332,13195,8132,7969,8132,1.0,0.65,0.65,8,98.0,6.246899978133182,163,0.020044269552385637,#9b6e8d,0.60784316,0.43137255,0.5529412,52.179368057222305,22.395330257132585,-9.466557498598815,52.11017125706955,22.205435601536433,-9.212065826236858,9.824703813573088,23.15501844788947,2.2403502585367527,4.305978481612872,1.2585145826914232,337.0861078715761,24.313916348468332,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4588cnm.tif,DSC_4588cnm.tif,DSC_4588,cnm,capture_number,4588,c,n,m,CMY+neutral,two_color__cnm__DSC_4588cnm,0.5381165919282511
2,cnm_two_color_002_mnmnn,cnm,two_color,mymyy,mnmnn,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#a16094,0.6305882352941176,0.3756862745098039,0.5788235294117646,49.51110263516371,34.24933449875767,-17.265374749468055,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color,5078,22577,9510,5181,5078,5181,1.0,0.65,0.65,8,98.0,9.718245559513475,103,0.01988033198224281,#937188,0.5764706,0.44313726,0.53333336,51.60206108211264,18.37890775597367,-7.84817773980615,51.52864896497937,17.544729190277266,-7.511011601617247,8.430700029268134,18.572187586381034,3.2143834770769706,6.896237587627361,2.0302764786870435,336.87650499953253,19.984447556491972,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4588cnm.tif,DSC_4588cnm.tif,DSC_4588,cnm,capture_number,4588,c,n,m,CMY+neutral,two_color__cnm__DSC_4588cnm,0.5381165919282511
3,cnm_two_color_003_mnn,cnm,two_color,myy,mnn,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#9d6893,0.6156862745098038,0.40653594771241836,0.5777777777777777,50.827170867956525,28.48030716878547,-15.147425241078327,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color,3360,16362,6942,3429,3360,3429,1.0,0.65,0.65,8,98.0,7.603921669882156,69,0.020122484689413824,#8f7186,0.56078434,0.44313726,0.5254902,51.21182222096182,14.697062751011625,-6.3166361103198065,51.30954061420265,15.104587157141673,-6.752156145981814,8.278168967530243,16.37402271939872,3.8000091485151124,5.867318861177985,1.5850461755677308,336.742498182253,15.996985505318479,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4588cnm.tif,DSC_4588cnm.tif,DSC_4588,cnm,capture_number,4588,c,n,m,CMY+neutral,two_color__cnm__DSC_4588cnm,0.5381165919282511
4,cnm_two_color_004_nmnn,cnm,two_color,ymyy,nmnn,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#987293,0.5970588235294116,0.4450980392156863,0.5764705882352941,52.65165932914287,21.092189602569754,-12.242675339448228,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color,2036,11507,4839,2077,2036,2077,1.0,0.65,0.65,8,98.0,10.248738187726776,41,0.01974000962927299,#887381,0.53333336,0.4509804,0.5058824,51.23773419669608,8.678921055627871,-3.544901597642902,51.3113446742605,11.021941262550639,-4.299684660787325,9.793480757941072,15.222998665253161,4.984798686531596,8.808031462788477,2.3184081247414756,337.7824612870824,9.374966561369272,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4588cnm.tif,DSC_4588cnm.tif,DSC_4588,cnm,capture_number,4588,c,n,m,CMY+neutral,two_color__cnm__DSC_4588cnm,0.5381165919282511
5,cnm_two_color_005_nnmnn,cnm,two_color,yymyy,nnmnn,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#957793,0.5858823529411764,0.4682352941176471,0.5756862745098038,53.83252918446905,16.609472422440042,-10.379417915150535,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color,2941,13493,5761,3002,2941,2751,0.9163890739506996,0.65,0.65,8,98.0,13.37186861394942,61,0.02031978680879414,#85757e,0.52156866,0.45882353,0.49411765,51.330885833533614,7.383993026720825,-2.7450199088096428,51.528115128483016,9.912396512285216,-4.029505201788533,8.793550225132122,12.23322207986682,4.966648568176239,10.820463554467798,3.013688771875279,339.60724292464585,7.877720946975912,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4588cnm.tif,DSC_4588cnm.tif,DSC_4588,cnm,capture_number,4588,c,n,m,CMY+neutral,two_color__cnm__DSC_4588cnm,0.5381165919282511
6,cnm_two_color_006_n,cnm,two_color,y,n,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#8a8f92,0.5411764705882353,0.5607843137254902,0.5725490196078431,59.08831744726014,-1.2137183135860763,-2.223898189538698,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color,935,6703,2871,955,935,0,0.0,0.65,0.65,8,98.0,3.9706321930115944,20,0.020942408376963352,#7d7b7b,0.49019608,0.48235294,0.48235294,51.8159178293356,0.7595631589134566,0.1343935092717352,51.67343297858308,0.7942997094796848,0.15282214674802647,7.7681102086510405,7.895769481765349,1.3718297838682796,2.721401984236262,0.814577138758884,10.033797716934487,0.7713610099771449,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4588cnm.tif,DSC_4588cnm.tif,DSC_4588,cnm,capture_number,4588,c,n,m,CMY+neutral,two_color__cnm__DSC_4588cnm,0.5381165919282511
7,cnm_two_color_007_nncnn,cnm,two_color,yycyy,nncnn,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#7a9aa1,0.4784313725490196,0.6054901960784314,0.6305882352941176,61.607754038311626,-9.686499798209791,-7.03699824739048,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color,2984,13543,5821,3045,2984,1651,0.542200328407225,0.65,0.65,8,98.0,16.032778156438297,61,0.020032840722495896,#777e82,0.46666667,0.49411765,0.50980395,52.40986167924204,-1.3897353811669622,-4.188557987482477,53.925120791105876,-2.146005513054211,-5.968115298643437,12.341255982575051,12.710276769417865,4.274993737712631,11.36913523560075,3.646281040509639,251.64450268207838,4.413092163570861,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4588cnm.tif,DSC_4588cnm.tif,DSC_4588,cnm,capture_number,4588,c,n,m,CMY+neutral,two_color__cnm__DSC_4588cnm,0.5381165919282511
8,cnm_two_color_008_ncnn,cnm,two_color,ycyy,ncnn,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#769da4,0.4627450980392156,0.6166666666666667,0.6450980392156862,62.29380297239342,-11.594887213849548,-8.131163464377721,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color,2035,11447,4852,2077,2035,1899,0.9142994703899856,0.65,0.65,8,98.0,13.90644457302111,42,0.020221473278767454,#757f88,0.45882353,0.49803922,0.53333336,52.723169053175866,-2.0846446387845496,-5.846336241744021,53.979373113487775,-2.4625379171278077,-7.357010806420602,12.967547434152229,13.68437732925925,4.4300527315879235,9.3938615321283,2.7326890273400597,250.37514690711413,6.20688252841495,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4588cnm.tif,DSC_4588cnm.tif,DSC_4588,cnm,capture_number,4588,c,n,m,CMY+neutral,two_color__cnm__DSC_4588cnm,0.5381165919282511
9,cnm_two_color_009_cnn,cnm,two_color,cyy,cnn,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#6fa2ab,0.43660130718954243,0.6352941176470589,0.6692810457516339,63.48135663336363,-14.5817008063997,-9.867013764083676,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color,3418,16389,7014,3487,3418,3487,1.0,0.65,0.65,8,98.0,11.408430831840514,69,0.019787783194723258,#738592,0.4509804,0.52156866,0.57254905,54.51006324539597,-3.4584272049451026,-8.631445228634638,55.21090801999602,-3.5906041490384664,-9.299184737068458,12.908919645446296,14.343568254503504,4.520544051484585,8.42789844382227,2.400130421365006,248.165127145461,9.298524908114407,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4588cnm.tif,DSC_4588cnm.tif,DSC_4588,cnm,capture_number,4588,c,n,m,CMY+neutral,two_color__cnm__DSC_4588cnm,0.5381165919282511
10,cnm_two_color_010_cncnn,cnm,two_color,cycyy,cncnn,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#6aa6b0,0.4156862745098039,0.6501960784313725,0.688627450980392,64.46812932089617,-16.796039102735804,-11.181586272020706,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color,5096,22596,9527,5199,5096,5199,1.0,0.65,0.65,8,98.0,8.61316652376632,103,0.01981150221196384,#748999,0.45490196,0.5372549,0.6,55.944941121059266,-3.996940605875854,-11.676753785315208,56.221915440083755,-4.015309737306743,-10.785726958367471,13.295845590920745,15.385280312310984,3.917979258914741,6.8557795088555435,1.988702157016779,251.10397829996452,12.34188450641847,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4588cnm.tif,DSC_4588cnm.tif,DSC_4588,cnm,capture_number,4588,c,n,m,CMY+neutral,two_color__cnm__DSC_4588cnm,0.5381165919282511
