region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_n,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,cny_two_color_001_yn,cny,two_color,my,yn,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#c4b749,0.7705882352941176,0.7176470588235294,0.28627450980392155,73.64441637836279,-8.506124682364502,55.95363699709435,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color,7848,31159,13041,8008,7848,8008,1.0,0.65,0.65,8,98.0,6.529623478810052,160,0.01998001998001998,#979862,0.5921569,0.59607846,0.38431373,61.43695540516603,-8.89723427617345,28.559951569012142,62.01616241835066,-8.922825466136013,28.70755535226037,13.92718046644695,29.99315040903864,2.7148679899064416,4.63746553846707,1.3404306023804515,107.30329157595224,29.91373616567203,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4593cny.tif,DSC_4593cny.tif,DSC_4593,cny,capture_number,4593,c,n,y,CMY+neutral,two_color__cny__DSC_4593cny,0.5357142857142857
2,cny_two_color_002_ynynn,cny,two_color,mymyy,ynynn,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#b9af58,0.7247058823529411,0.6862745098039215,0.34352941176470586,70.62795399013348,-8.197513426595027,45.53479237582603,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color,5104,22238,9521,5209,5104,5209,1.0,0.65,0.65,8,98.0,10.520803982796016,105,0.020157419850259168,#8e8f65,0.5568628,0.56078434,0.39607844,58.334079579114814,-7.7189697676842695,23.499013087853214,58.92288215805009,-7.476759082012753,22.857911016965605,13.548286403842575,25.23774793628851,4.152927393150675,8.556575861424168,2.6395578016786523,108.18434823262993,24.734310388153546,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4593cny.tif,DSC_4593cny.tif,DSC_4593,cny,capture_number,4593,c,n,y,CMY+neutral,two_color__cny__DSC_4593cny,0.5357142857142857
3,cny_two_color_003_ynn,cny,two_color,myy,ynn,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#b1aa61,0.6941176470588234,0.665359477124183,0.38169934640522873,68.63668231180478,-7.740294518607637,38.09957989132911,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color,3330,16269,6890,3394,3330,3394,1.0,0.65,0.65,8,98.0,12.636917731957949,64,0.01885680612846199,#868866,0.5254902,0.53333336,0.4,55.56852207248495,-7.309061543979507,20.635375367283302,57.444968406503335,-7.5009512926717665,20.757761200332038,13.615262655295135,21.81653532476337,5.4785220211234495,10.390839941767636,3.1221452377147556,109.50417407744919,21.891575941497738,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4593cny.tif,DSC_4593cny.tif,DSC_4593,cny,capture_number,4593,c,n,y,CMY+neutral,two_color__cny__DSC_4593cny,0.5357142857142857
4,cny_two_color_004_nynn,cny,two_color,ymyy,nynn,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#a7a36e,0.6558823529411764,0.6392156862745098,0.4294117647058823,66.17676670849767,-6.831586615665075,28.394326382394187,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color,2035,11353,4852,2077,2035,2077,1.0,0.65,0.65,8,98.0,17.43577025237539,42,0.020221473278767454,#818167,0.5058824,0.5058824,0.40392157,53.28029507805067,-5.2400112517596575,16.149138157830855,55.4373303128475,-6.1431768135547165,17.51259794359248,12.942059579027998,17.8548796498016,6.641254490364983,14.800500212405607,4.27662726427984,107.97701388954852,16.97799697135314,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4593cny.tif,DSC_4593cny.tif,DSC_4593,cny,capture_number,4593,c,n,y,CMY+neutral,two_color__cny__DSC_4593cny,0.5357142857142857
5,cny_two_color_005_nnynn,cny,two_color,yymyy,nnynn,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#a19f75,0.6329411764705881,0.6235294117647058,0.4580392156862745,64.71985701937079,-6.081445894802917,22.405802387216056,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color,2860,13341,5663,2919,2860,2813,0.9636861939020213,0.65,0.65,8,98.0,19.74536028010187,59,0.020212401507365536,#7e7d6c,0.49411765,0.49019608,0.42352942,51.98994249183066,-2.6702484845432526,9.610027900173701,54.51905610186459,-4.676923250983354,13.405544088075878,13.812210959611729,18.368963943932265,5.0796465365324615,17.669526565900163,5.4333378068263505,105.52851836740922,9.974109645042132,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4593cny.tif,DSC_4593cny.tif,DSC_4593,cny,capture_number,4593,c,n,y,CMY+neutral,two_color__cny__DSC_4593cny,0.5357142857142857
6,cny_two_color_006_n,cny,two_color,y,n,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#8a8f92,0.5411764705882353,0.5607843137254902,0.5725490196078431,59.08831744726014,-1.2137183135860763,-2.223898189538698,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color,913,6642,2834,932,913,0,0.0,0.65,0.65,8,98.0,4.339185883193735,19,0.0203862660944206,#787777,0.47058824,0.46666667,0.46666667,50.11923485324614,0.7550179378215671,0.13397912819690383,50.100777866933015,0.6549349841210608,0.179370467499453,9.303029798968224,9.480503702406509,1.3517990422720612,2.8974420239811107,0.9615384564599201,10.062479967559568,0.7668132062143519,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4593cny.tif,DSC_4593cny.tif,DSC_4593,cny,capture_number,4593,c,n,y,CMY+neutral,two_color__cny__DSC_4593cny,0.5357142857142857
7,cny_two_color_007_nncnn,cny,two_color,yycyy,nncnn,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#7a9aa1,0.4784313725490196,0.6054901960784314,0.6305882352941176,61.607754038311626,-9.686499798209791,-7.03699824739048,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color,2874,13321,5676,2933,2874,1505,0.513126491646778,0.65,0.65,8,98.0,16.4705372507641,59,0.020115922263893624,#737a7d,0.4509804,0.47843137,0.49019608,50.72829354128147,-1.6104086203596046,-3.928466076106707,52.5328462852482,-2.2631970150766425,-6.225325997537357,13.383045243898458,13.901398551199643,3.6503305382512865,11.924917893225214,3.9950266329145756,247.709648099976,4.245734522511947,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4593cny.tif,DSC_4593cny.tif,DSC_4593,cny,capture_number,4593,c,n,y,CMY+neutral,two_color__cny__DSC_4593cny,0.5357142857142857
8,cny_two_color_008_ncnn,cny,two_color,ycyy,ncnn,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#769da4,0.4627450980392156,0.6166666666666667,0.6450980392156862,62.29380297239342,-11.594887213849548,-8.131163464377721,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color,2003,11382,4798,2041,2003,1764,0.8642822146006859,0.65,0.65,8,98.0,14.52431813406328,38,0.018618324350808426,#717d86,0.44313726,0.49019608,0.5254902,51.58980686804075,-2.3891513700398104,-6.092635400934321,52.71031398900746,-2.7668483551978325,-7.226983252347085,13.488523068724925,14.264525989090798,4.485024004990747,9.296011439090915,2.71374762584423,248.58798753605473,6.5443296369973,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4593cny.tif,DSC_4593cny.tif,DSC_4593,cny,capture_number,4593,c,n,y,CMY+neutral,two_color__cny__DSC_4593cny,0.5357142857142857
9,cny_two_color_009_cnn,cny,two_color,cyy,cnn,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#6fa2ab,0.43660130718954243,0.6352941176470589,0.6692810457516339,63.48135663336363,-14.5817008063997,-9.867013764083676,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color,3339,16220,6903,3408,3339,3408,1.0,0.65,0.65,8,98.0,12.293497374277317,69,0.020246478873239437,#6f808e,0.43529412,0.5019608,0.5568628,52.773121522026315,-3.577448142606243,-10.0582209476358,54.07231723247503,-3.680075157380867,-10.042821011206488,13.972854916535475,15.35566462499506,4.9090980087553096,9.030867420982394,2.6740426720226598,250.4208473192728,10.675483307302601,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4593cny.tif,DSC_4593cny.tif,DSC_4593,cny,capture_number,4593,c,n,y,CMY+neutral,two_color__cny__DSC_4593cny,0.5357142857142857
10,cny_two_color_010_cncnn,cny,two_color,cycyy,cncnn,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#6aa6b0,0.4156862745098039,0.6501960784313725,0.688627450980392,64.46812932089617,-16.796039102735804,-11.181586272020706,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color,5015,22217,9412,5118,5015,5118,1.0,0.65,0.65,8,98.0,9.721536507025736,103,0.02012504884720594,#6f8495,0.43529412,0.5176471,0.58431375,53.969302070433145,-4.311080475503715,-12.198320053393253,54.93068785169929,-4.322566631209534,-11.384610778598772,14.221538250755314,16.344213445159912,4.250375974472635,7.612788506300021,2.254647913397266,250.5357811072937,12.937713360222714,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4593cny.tif,DSC_4593cny.tif,DSC_4593,cny,capture_number,4593,c,n,y,CMY+neutral,two_color__cny__DSC_4593cny,0.5357142857142857
