region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_o,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,com_two_color_001_mo,com,two_color,my,mo,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#e14a58,0.8823529411764706,0.2882352941176471,0.34509803921568627,53.54422411041759,59.41211690493975,25.270447288206512,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color,8101,31342,13362,8265,8101,8265,1.0,0.65,0.65,8,98.0,5.6878190540708005,164,0.01984271022383545,#fc6f79,0.9882353,0.43529412,0.4745098,64.58177385183386,54.58648054940013,20.894123805071295,64.6125951592462,54.52284657034766,20.959391322133296,10.044792900909425,12.816648460466757,2.58814627037816,4.398513154333565,1.2706103091440593,20.945398582790972,58.44868063824611,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4603com.tif,DSC_4603com.tif,DSC_4603,com,capture_number,4603,c,o,m,CMY+OVG,two_color__com__DSC_4603com,0.5415162454873647
2,com_two_color_002_momoo,com,two_color,mymyy,momoo,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#e7534c,0.9058823529411765,0.3262745098039216,0.29647058823529415,55.8139974622423,56.7134096855314,35.498889888143104,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color,5180,22727,9633,5286,5180,2289,0.43303064699205446,0.65,0.65,8,98.0,6.219433361560805,106,0.0200529701097238,#fe6f74,0.99607843,0.43529412,0.45490196,64.75087147089087,54.87104616617583,24.421465871699443,64.72428444103873,54.947642214282176,24.360710844000913,9.438513623252451,14.351701753589833,3.038768351507423,4.9272317590359895,1.4595739874710496,23.992419839076263,60.06030055446926,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4603com.tif,DSC_4603com.tif,DSC_4603,com,capture_number,4603,c,o,m,CMY+OVG,two_color__com__DSC_4603com,0.5415162454873647
3,com_two_color_003_moo,com,two_color,myy,moo,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#eb5a43,0.9215686274509803,0.3516339869281046,0.26405228758169935,57.39852042880595,54.90663095909532,42.082164119748555,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color,3379,16409,6995,3447,3379,389,0.11285175514940528,0.65,0.65,8,98.0,7.895230200112512,68,0.019727299100667246,#ff6e6e,1.0,0.43137255,0.43137255,64.59201117470576,55.06764134127889,27.840530574221066,64.68752749683591,55.04028611576036,26.621336542949418,9.46224346755001,15.956075943025933,2.73698406556311,5.665333517210811,1.7514245466925926,26.8197779558555,61.70526934991749,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4603com.tif,DSC_4603com.tif,DSC_4603,com,capture_number,4603,c,o,m,CMY+OVG,two_color__com__DSC_4603com,0.5415162454873647
4,com_two_color_004_omoo,com,two_color,ymyy,omoo,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#f06239,0.9411764705882353,0.38333333333333336,0.22352941176470587,59.448011134100184,52.65300814714402,49.88283392374061,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color,2083,11503,4936,2125,2083,0,0.0,0.65,0.65,8,98.0,10.093763223259794,42,0.01976470588235294,#ff6c66,1.0,0.42352942,0.4,64.08584164798107,55.588864580027156,31.5227729508047,64.75548243720534,54.78487068842798,28.982201714474872,10.406428185777168,19.16299986431953,2.2211103714269878,7.20399898646367,2.4029747320683916,29.556268053745157,63.90467181516999,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4603com.tif,DSC_4603com.tif,DSC_4603,com,capture_number,4603,c,o,m,CMY+OVG,two_color__com__DSC_4603com,0.5415162454873647
5,com_two_color_005_oomoo,com,two_color,yymyy,oomoo,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#f36733,0.9529411764705882,0.4023529411764706,0.1992156862745098,60.70995235657307,51.307850870585206,54.25771386802355,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color,2919,13514,5737,2971,2919,0,0.0,0.65,0.65,8,98.0,11.079777389715858,52,0.017502524402558062,#ff6d65,1.0,0.42745098,0.39607844,64.26087991097195,54.9384866239015,32.37961331411032,65.22498425617728,53.77839463042637,28.907156216689824,11.746906852833115,22.459783754902585,1.6811977300024448,8.726217680422698,3.042681617692745,30.514222279391845,63.77050000506436,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4603com.tif,DSC_4603com.tif,DSC_4603,com,capture_number,4603,c,o,m,CMY+OVG,two_color__com__DSC_4603com,0.5415162454873647
6,com_two_color_006_o,com,two_color,y,o,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#ff7a1a,1.0,0.47843137254901963,0.10196078431372549,65.95057778279283,46.01545402094476,68.57062418706151,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color,922,6705,2834,932,922,0,0.0,0.65,0.65,8,98.0,1.7632232501135672,10,0.01072961373390558,#ff766c,1.0,0.4627451,0.42352942,65.95333240580224,51.53628910985436,30.895368601420547,65.84195738600393,51.73047607108816,30.940014687698806,18.50097652583543,38.07761167812727,0.6589961725783072,1.389734965548777,0.4386024528296624,30.94216653013757,60.087543602914366,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4603com.tif,DSC_4603com.tif,DSC_4603,com,capture_number,4603,c,o,m,CMY+OVG,two_color__com__DSC_4603com,0.5415162454873647
7,com_two_color_007_oocoo,com,two_color,yycyy,oocoo,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#d88a41,0.8454901960784313,0.539607843137255,0.25411764705882356,64.14750524581225,23.470419875695757,50.02714971024815,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color,2934,13613,5767,2994,2934,2994,1.0,0.65,0.65,8,98.0,14.146472943110533,60,0.02004008016032064,#ee7a4c,0.93333334,0.47843137,0.29803923,64.15075496171757,41.74136140707019,45.21042438366051,64.37130195275192,38.38635484671879,40.64882116870862,11.632591466023724,18.89518874939722,1.9663011322043171,9.281050218631401,3.4560908516162736,47.28468349306638,61.53311080277295,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4603com.tif,DSC_4603com.tif,DSC_4603,com,capture_number,4603,c,o,m,CMY+OVG,two_color__com__DSC_4603com,0.5415162454873647
8,com_two_color_008_ocoo,com,two_color,ycyy,ocoo,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#ce8e4b,0.8068627450980392,0.5549019607843138,0.29215686274509806,63.98872934671928,17.78112241715363,44.802992635941465,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color,2035,11473,4866,2077,2035,2077,1.0,0.65,0.65,8,98.0,12.673157189412091,42,0.020221473278767454,#e87d50,0.9098039,0.49019608,0.3137255,63.62373697699887,38.04779650094431,42.63739421504818,63.78392316452575,35.587639519765396,39.069459283792696,12.591181292053694,20.385316145920385,3.157031643082906,9.508295972752713,3.049530827073447,48.255634710953984,57.14527280560216,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4603com.tif,DSC_4603com.tif,DSC_4603,com,capture_number,4603,c,o,m,CMY+OVG,two_color__com__DSC_4603com,0.5415162454873647
9,com_two_color_009_coo,com,two_color,cyy,coo,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#bd945b,0.742483660130719,0.5803921568627451,0.35555555555555557,63.99290392327785,8.511679055524857,36.059701320051715,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color,3380,16434,6976,3449,3380,3449,1.0,0.65,0.65,8,98.0,12.832641929708243,69,0.020005798782255727,#dc8056,0.8627451,0.5019608,0.3372549,62.76518628585907,31.800358915804516,38.582680343407574,62.76687988586237,30.90993249460447,36.10644258315447,14.766637975229962,23.457095373982646,3.8464480561734886,8.761502312418578,2.7633670197937534,50.50419866898636,49.998860483570596,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4603com.tif,DSC_4603com.tif,DSC_4603,com,capture_number,4603,c,o,m,CMY+OVG,two_color__com__DSC_4603com,0.5415162454873647
10,com_two_color_010_cocoo,com,two_color,cycyy,cocoo,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#b09968,0.6909803921568628,0.6007843137254902,0.40627450980392166,64.2370308163019,1.4527537576616845,29.19172331463644,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color,5233,22687,9698,5340,5233,5340,1.0,0.65,0.65,8,98.0,10.878271979315858,107,0.020037453183520598,#d3835c,0.827451,0.5137255,0.36078432,62.53618201446578,26.973024063291607,34.06527365689169,62.357963505052204,27.44861531257338,33.498810517876464,17.632080120927487,26.037061586469775,4.675764449393342,8.090512605948337,2.2718863104937297,51.62767361834102,43.450971179454974,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4603com.tif,DSC_4603com.tif,DSC_4603,com,capture_number,4603,c,o,m,CMY+OVG,two_color__com__DSC_4603com,0.5415162454873647
