region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_o,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,coy_two_color_001_yo,coy,two_color,my,yo,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#ffad0d,1.0,0.6764705882352942,0.050980392156862744,76.67300518430393,20.125485418718892,78.66286162698684,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color,8243,31779,13488,8390,8243,0,0.0,0.65,0.65,8,98.0,3.6115021438288433,147,0.017520858164481526,#ff876e,1.0,0.5294118,0.43137255,69.28493099642468,43.064939764707546,34.270405924219574,69.46207210878875,42.858724761611754,34.34811086586695,27.344745797357483,50.51229879167508,1.7971095444389944,2.9248211816249885,0.8334845543955002,38.512225911277085,55.036803678526546,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
2,coy_two_color_002_yoyoo,coy,two_color,mymyy,yoyoo,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#ffa210,1.0,0.6368627450980393,0.0611764705882353,74.37079615128846,25.418703439362755,76.6951025205173,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color,5214,22808,9675,5317,5214,0,0.0,0.65,0.65,8,98.0,4.856324856717068,103,0.019371826217791988,#ff816b,1.0,0.5058824,0.41960785,68.07254347751804,45.820195830101326,34.270405924219574,68.47137255403264,45.19060842285418,33.941894763681844,25.703720053752797,47.49467085684388,2.0930871257857797,3.75725294128344,1.1086601195879304,36.79400243322283,57.218450416973184,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
3,coy_two_color_003_yoo,coy,two_color,myy,yoo,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#ff9c11,1.0,0.6104575163398693,0.06797385620915032,72.87373589050357,28.9356606984682,75.37165258562459,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color,3480,16480,7098,3548,3480,0,0.0,0.65,0.65,8,98.0,6.184399856126059,68,0.019165727170236752,#ff7c68,1.0,0.4862745,0.40784314,67.06784560367095,47.97913084554173,34.40020894244942,67.98981587515387,46.31899065966918,33.94310515825712,24.66635789949603,45.55240181890629,1.9282618465535735,5.28422536546642,1.5868602744297793,35.639870239829975,59.03703390227012,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
4,coy_two_color_004_oyoo,coy,two_color,ymyy,oyoo,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#ff9314,1.0,0.5774509803921569,0.07647058823529412,71.04973524387583,33.302977338059705,73.70192716191266,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color,2087,11697,4928,2129,2087,0,0.0,0.65,0.65,8,98.0,8.634331014742397,42,0.01972757162987318,#ff7663,1.0,0.4627451,0.3882353,65.84496194088108,50.77998938881739,35.00107135489665,67.19435101081831,48.06123927459039,34.41304338086389,23.14764395069242,42.78191037755725,1.4109394415841068,6.605538998746144,2.3857781880243576,34.57729073508733,61.674000343086014,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
5,coy_two_color_005_ooyoo,coy,two_color,yymyy,ooyoo,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#ff8e15,1.0,0.5576470588235295,0.0815686274509804,69.9827856485692,35.900579068845914,72.69096121414668,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color,2976,13673,5833,3037,2976,0,0.0,0.65,0.65,8,98.0,9.215690566078353,61,0.020085610800131708,#ff7566,1.0,0.45882353,0.4,65.75535037045393,51.315472033718336,33.9367446535497,67.07988023761324,48.4629672663257,33.649617316321184,22.357508672192747,41.92110966297023,1.0892515918388908,7.278961890579296,2.5932874701466253,33.47808019027366,61.5221936192425,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
6,coy_two_color_006_o,coy,two_color,y,o,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#ff7a1a,1.0,0.47843137254901963,0.10196078431372549,65.95057778279283,46.01545402094476,68.57062418706151,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color,940,6760,2881,960,940,0,0.0,0.65,0.65,8,98.0,1.8462783326514527,20,0.020833333333333332,#ff756c,1.0,0.45882353,0.42352942,65.78772145764238,52.07895988677086,30.42675862530149,65.70308142382943,52.141866361530376,30.482587766485533,18.912570161573434,38.623142098503216,0.5469163525168964,1.1006912501237773,0.3503814234487815,30.29530178067199,60.31588267886202,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
7,coy_two_color_007_oocoo,coy,two_color,yycyy,oocoo,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#d88a41,0.8454901960784313,0.539607843137255,0.25411764705882356,64.14750524581225,23.470419875695757,50.02714971024815,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color,3017,13633,5894,3075,3017,3075,1.0,0.65,0.65,8,98.0,13.28379187597437,58,0.01886178861788618,#ed794c,0.92941177,0.4745098,0.29803923,63.7389371163962,41.47814653308224,44.95871171814152,63.953148080067365,38.64634148533228,40.097160226751974,11.58922990718256,18.711873528948193,2.2093075983941413,9.95882360419839,3.39980091234517,47.30589149789671,61.169619903795365,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
8,coy_two_color_008_ocoo,coy,two_color,ycyy,ocoo,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#ce8e4b,0.8068627450980392,0.5549019607843138,0.29215686274509806,63.98872934671928,17.78112241715363,44.802992635941465,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color,2077,11577,4922,2119,2077,2119,1.0,0.65,0.65,8,98.0,11.492071302324677,42,0.019820670127418595,#e77c4d,0.90588236,0.4862745,0.3019608,63.00808425348859,37.83628559397523,42.97788175706281,63.01141928512664,36.0268503215924,39.524102199235486,12.405555066710535,20.16190131331913,3.0063230004818333,8.891662863958807,2.762367840060866,48.64039187404637,57.25978368692053,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
9,coy_two_color_009_coo,coy,two_color,cyy,coo,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#bd945b,0.742483660130719,0.5803921568627451,0.35555555555555557,63.99290392327785,8.511679055524857,36.059701320051715,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color,3436,16654,7062,3507,3436,3507,1.0,0.65,0.65,8,98.0,11.297406444997357,71,0.020245223838038208,#d97e56,0.8509804,0.49411765,0.3372549,62.1919858142981,31.941835553276178,37.205694014857734,62.332280537199935,30.446838849698608,35.53403129838111,15.203466101008013,23.527193602317265,3.8949359683216525,8.195624512058748,2.408807922453063,49.35324741440553,49.03615529015054,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
10,coy_two_color_010_cocoo,coy,two_color,cycyy,cocoo,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#b09968,0.6909803921568628,0.6007843137254902,0.40627450980392166,64.2370308163019,1.4527537576616845,29.19172331463644,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color,5195,22658,9672,5301,5195,5301,1.0,0.65,0.65,8,98.0,9.809688630296423,106,0.01999622712695718,#cf825e,0.8117647,0.50980395,0.36862746,61.903784648581905,26.47725568294068,31.46657767310863,61.94711887052292,26.853242205558175,32.15595471241845,17.913521208550886,25.235782069112343,4.736439073077509,7.546613404612224,2.128342833179938,49.92138168198778,41.12408757598876,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
