region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_v,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
1,cvm_two_color_001_mv,cvm,two_color,my,mv,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#9b38cb,0.6058823529411764,0.2196078431372549,0.7941176470588236,44.284845982298684,62.859789877610375,-57.75650193520261,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color
2,cvm_two_color_002_mvmvv,cvm,two_color,mymyy,mvmvv,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#923ed5,0.5741176470588235,0.243921568627451,0.8352941176470589,44.8280240721982,60.991082424680044,-62.979505757944885,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color
3,cvm_two_color_003_mvv,cvm,two_color,myy,mvv,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#8d42dc,0.5529411764705882,0.2601307189542484,0.8627450980392157,45.31120392348,59.7498642644132,-66.23123816885285,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color
4,cvm_two_color_004_vmvv,cvm,two_color,ymyy,vmvv,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#8648e5,0.5264705882352941,0.2803921568627451,0.8970588235294118,46.04496773045418,58.22162368876366,-70.04778407563721,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color
5,cvm_two_color_005_vvmvv,cvm,two_color,yymyy,vvmvv,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#824bea,0.5105882352941177,0.2925490196078432,0.9176470588235294,46.55113040139975,57.32465652541086,-72.21111280381838,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color
6,cvm_two_color_006_v,cvm,two_color,y,v,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#7257ff,0.4470588235294118,0.3411764705882353,1.0,49.0221678957536,53.970442144664624,-79.9984025813113,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color
7,cvm_two_color_007_vvcvv,cvm,two_color,yycyy,vvcvv,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#676ef8,0.4031372549019608,0.4298039215686275,0.9725490196078432,52.6336143349329,37.02149791197279,-70.26885899612341,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color
8,cvm_two_color_008_vcvv,cvm,two_color,ycyy,vcvv,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#6473f6,0.39215686274509803,0.45196078431372555,0.9656862745098039,53.70174887928475,32.57975215233,-67.57713568042698,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color
9,cvm_two_color_009_cvv,cvm,two_color,cyy,cvv,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#5f7df3,0.3738562091503268,0.48888888888888893,0.954248366013072,55.60660835952862,25.101988035983457,-62.901087858384976,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color
10,cvm_two_color_010_cvcvv,cvm,two_color,cycyy,cvcvv,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#5c84f1,0.35921568627450984,0.5184313725490196,0.9450980392156862,57.230916724072955,19.10439038254935,-59.01091171208801,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color
