region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_v,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,cvm_two_color_001_mv,cvm,two_color,my,mv,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#9b38cb,0.6058823529411764,0.2196078431372549,0.7941176470588236,44.284845982298684,62.859789877610375,-57.75650193520261,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color,8302,32169,13618,8472,8302,8472,1.0,0.65,0.65,8,98.0,7.867813747478467,170,0.020066100094428708,#9a62b8,0.6039216,0.38431373,0.72156864,50.730320047040095,38.310325065788135,-37.301919531685826,51.016838682660584,38.092618637233535,-37.23826003876931,9.994564004962067,32.59770390331826,2.3167444216170634,5.2070709142272955,1.684208067229137,315.7640820124332,53.47068549583706,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4610cvm.tif,DSC_4610cvm.tif,DSC_4610,cvm,capture_number,4610,c,v,m,CMY+OVG,two_color__cvm__DSC_4610cvm,0.5452893062708271
2,cvm_two_color_002_mvmvv,cvm,two_color,mymyy,mvmvv,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#923ed5,0.5741176470588235,0.243921568627451,0.8352941176470589,44.8280240721982,60.991082424680044,-62.979505757944885,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color,5221,23066,9705,5326,5221,5326,1.0,0.65,0.65,8,98.0,7.564621821724947,105,0.019714607585429967,#9464bb,0.5803922,0.39215687,0.73333335,50.49919735726961,35.962547161282664,-38.365518360555015,50.68411510590737,36.125351774325836,-38.460504463635246,10.090296158075711,35.55893923416868,2.505084735768357,5.315363144923762,1.5400465460899841,313.1483149032912,52.585338236066946,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4610cvm.tif,DSC_4610cvm.tif,DSC_4610,cvm,capture_number,4610,c,v,m,CMY+OVG,two_color__cvm__DSC_4610cvm,0.5452893062708271
3,cvm_two_color_003_mvv,cvm,two_color,myy,mvv,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#8d42dc,0.5529411764705882,0.2601307189542484,0.8627450980392157,45.31120392348,59.7498642644132,-66.23123816885285,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color,3421,16700,7054,3491,3421,3491,1.0,0.65,0.65,8,98.0,5.492886077203535,70,0.02005156115726153,#9364bc,0.5764706,0.39215687,0.7372549,50.52765074965812,35.374748566334105,-39.69981710997761,50.73990909044002,35.64035750745698,-39.42307899858014,9.977303215439774,36.404311368139,2.203888381797483,3.755744345444676,1.0044924333384853,311.70281723241305,53.173755882926194,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4610cvm.tif,DSC_4610cvm.tif,DSC_4610,cvm,capture_number,4610,c,v,m,CMY+OVG,two_color__cvm__DSC_4610cvm,0.5452893062708271
4,cvm_two_color_004_vmvv,cvm,two_color,ymyy,vmvv,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#8648e5,0.5264705882352941,0.2803921568627451,0.8970588235294118,46.04496773045418,58.22162368876366,-70.04778407563721,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color,2092,11730,4945,2135,2092,2135,1.0,0.65,0.65,8,98.0,8.950505671846473,43,0.020140515222482436,#8d63bc,0.5529412,0.3882353,0.7372549,49.86795724492072,34.403504670997734,-40.979359141376065,49.81369823457745,34.76940627688315,-40.345994526930625,9.63683156803979,37.77421568386244,2.4767973574754407,5.50985352414866,1.6958961297406805,310.01455174012375,53.50615861081082,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4610cvm.tif,DSC_4610cvm.tif,DSC_4610,cvm,capture_number,4610,c,v,m,CMY+OVG,two_color__cvm__DSC_4610cvm,0.5452893062708271
5,cvm_two_color_005_vvmvv,cvm,two_color,yymyy,vvmvv,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#824bea,0.5105882352941177,0.2925490196078432,0.9176470588235294,46.55113040139975,57.32465652541086,-72.21111280381838,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color,2993,13756,5847,3054,2993,3054,1.0,0.65,0.65,8,98.0,8.499279335232789,61,0.01997380484610347,#8965be,0.5372549,0.39607844,0.74509805,50.05635339188096,33.754240124467096,-42.108154332684755,50.36231879144835,34.006670406923035,-40.744024826173366,9.600499063218319,38.39321849287544,2.2855074094985968,5.270435085525206,1.762520672656123,308.71594760681916,53.96707688661099,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4610cvm.tif,DSC_4610cvm.tif,DSC_4610,cvm,capture_number,4610,c,v,m,CMY+OVG,two_color__cvm__DSC_4610cvm,0.5452893062708271
6,cvm_two_color_006_v,cvm,two_color,y,v,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#7257ff,0.4470588235294118,0.3411764705882353,1.0,49.0221678957536,53.970442144664624,-79.9984025813113,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color,962,6875,2916,982,962,982,1.0,0.65,0.65,8,98.0,4.773131628835528,20,0.020366598778004074,#8367c0,0.5137255,0.40392157,0.7529412,49.89543915764911,30.51338488706612,-42.57411647554217,49.967459546036565,30.50653657260292,-42.63299365257857,10.55944960795496,44.17661517601333,1.915969352503313,3.600552509572249,1.240693672874237,305.62962748512007,52.37959575005582,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4610cvm.tif,DSC_4610cvm.tif,DSC_4610,cvm,capture_number,4610,c,v,m,CMY+OVG,two_color__cvm__DSC_4610cvm,0.5452893062708271
7,cvm_two_color_007_vvcvv,cvm,two_color,yycyy,vvcvv,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#676ef8,0.4031372549019608,0.4298039215686275,0.9725490196078432,52.6336143349329,37.02149791197279,-70.26885899612341,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color,3026,13871,5894,3088,3026,3088,1.0,0.65,0.65,8,98.0,12.02301046549666,62,0.020077720207253884,#7f6cc4,0.49803922,0.42352942,0.76862746,51.21156904597612,27.796600565745955,-43.24221437959335,52.20768179464503,25.069069079491843,-41.93066050153752,9.321445955764224,28.59301423565694,3.1428978246241224,9.653160573194153,3.0249588525992923,302.7333831929417,51.405642758965065,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4610cvm.tif,DSC_4610cvm.tif,DSC_4610,cvm,capture_number,4610,c,v,m,CMY+OVG,two_color__cvm__DSC_4610cvm,0.5452893062708271
8,cvm_two_color_008_vcvv,cvm,two_color,ycyy,vcvv,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#6473f6,0.39215686274509803,0.45196078431372555,0.9656862745098039,53.70174887928475,32.57975215233,-67.57713568042698,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color,2132,11780,5013,2176,2132,2176,1.0,0.65,0.65,8,98.0,9.554400984921738,44,0.02022058823529412,#7c71c5,0.4862745,0.44313726,0.77254903,52.029616375592774,25.62820028298271,-42.56751182985062,52.30124248190664,24.171736370595777,-42.13971367403193,9.27672279807579,26.011562537637886,3.8021950316827424,7.576131363634931,2.208831809464857,301.0504679793575,49.686997425173,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4610cvm.tif,DSC_4610cvm.tif,DSC_4610,cvm,capture_number,4610,c,v,m,CMY+OVG,two_color__cvm__DSC_4610cvm,0.5452893062708271
9,cvm_two_color_009_cvv,cvm,two_color,cyy,cvv,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#5f7df3,0.3738562091503268,0.48888888888888893,0.954248366013072,55.60660835952862,25.101988035983457,-62.901087858384976,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color,3509,16784,7154,3580,3509,3580,1.0,0.65,0.65,8,98.0,7.881774151176213,71,0.01983240223463687,#7b76c7,0.48235294,0.4627451,0.78039217,53.40771182052812,22.55432754201514,-41.752935099894415,53.24033215307171,21.987632568970508,-41.65957272411555,9.450904476009757,21.414249580085855,3.2968248669852733,6.5550193878826,1.9358518464109051,298.3772717508714,47.45529770561446,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4610cvm.tif,DSC_4610cvm.tif,DSC_4610,cvm,capture_number,4610,c,v,m,CMY+OVG,two_color__cvm__DSC_4610cvm,0.5452893062708271
10,cvm_two_color_010_cvcvv,cvm,two_color,cycyy,cvcvv,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#5c84f1,0.35921568627450984,0.5184313725490196,0.9450980392156862,57.230916724072955,19.10439038254935,-59.01091171208801,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color,5337,23122,9837,5446,5337,5446,1.0,0.65,0.65,8,98.0,7.452545163000106,109,0.02001468968049945,#7a78c8,0.47843137,0.47058824,0.78431374,53.83849649462424,20.151377729875573,-41.498248235081014,53.90712612664464,20.586450647981966,-41.52634669858615,9.848851216885427,17.868913777214576,2.752768012978401,5.699673033403594,1.7880602636774574,295.90101787355786,46.13222985064271,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4610cvm.tif,DSC_4610cvm.tif,DSC_4610,cvm,capture_number,4610,c,v,m,CMY+OVG,two_color__cvm__DSC_4610cvm,0.5452893062708271
