region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_v,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,cvy_two_color_001_yv,cvy,two_color,my,yv,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#b99b80,0.7235294117647059,0.607843137254902,0.5,65.93640238209338,6.813827607940526,18.508882545113046,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color,8364,32207,13676,8533,8364,8533,1.0,0.65,0.65,8,98.0,12.328927832191697,169,0.019805461150826206,#9d8988,0.6156863,0.5372549,0.53333336,59.03931322889692,7.097276485772741,3.6797831293637895,58.989520253110825,7.242225183956484,3.320410033809226,12.476687965048171,16.357028200001963,6.455998316957537,10.47328298655222,3.024555226290012,27.40575476414773,7.994506701145045,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4607cvy.tif,DSC_4607cvy.tif,DSC_4607,cvy,capture_number,4607,c,v,y,CMY+OVG,two_color__cvy__DSC_4607cvy,0.5477784540474742
2,cvy_two_color_002_yvyvv,cvy,two_color,mymyy,yvyvv,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#aa8d99,0.6682352941176471,0.5545098039215687,0.6,61.70544539851048,12.889352372441987,-2.03967493681414,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color,5313,23140,9797,5421,5313,5421,1.0,0.65,0.65,8,98.0,19.9822905811572,108,0.01992252351964582,#978392,0.5921569,0.5137255,0.57254905,56.85980379404707,9.353286870816824,-3.0463718770678216,56.73950511988904,11.17003292752666,-6.197116574545949,5.3322717724366235,6.082552138716648,8.53648946843406,16.06311857448209,5.1181659749474715,341.9595352801315,9.836887561682511,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4607cvy.tif,DSC_4607cvy.tif,DSC_4607,cvy,capture_number,4607,c,v,y,CMY+OVG,two_color__cvy__DSC_4607cvy,0.5477784540474742
3,cvy_two_color_003_yvv,cvy,two_color,myy,yvv,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#a184aa,0.6313725490196078,0.5189542483660131,0.6666666666666666,59.041755451852595,17.9163484560515,-15.805627886917906,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color,3500,16742,7132,3572,3500,3572,1.0,0.65,0.65,8,98.0,28.596080227202805,72,0.020156774916013438,#8f7996,0.56078434,0.4745098,0.5882353,53.985627915360524,12.938777381964861,-10.559831405175778,55.76678227384831,12.368509533884424,-9.359609619720393,6.1691060129396025,8.823775846581524,8.628159020678162,22.871791740015823,6.9962688254736864,320.7807994566605,16.700958039758742,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4607cvy.tif,DSC_4607cvy.tif,DSC_4607,cvy,capture_number,4607,c,v,y,CMY+OVG,two_color__cvy__DSC_4607cvy,0.5477784540474742
4,cvy_two_color_004_vyvv,cvy,two_color,ymyy,vyvv,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#9579bf,0.5852941176470589,0.4745098039215687,0.75,55.94778352329082,25.349647322433334,-32.79985316585119,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color,2099,11753,4951,2142,2099,2142,1.0,0.65,0.65,8,98.0,35.15904838354349,43,0.020074696545284782,#8a719a,0.5411765,0.44313726,0.6039216,51.35936716947229,17.174448301214174,-17.803545823625356,54.069514606899766,16.050556442392192,-15.694120262498288,8.680728238894156,17.685493421870607,8.772113154779701,29.81523230601498,9.85992282502114,313.96961652515836,24.737176846701935,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4607cvy.tif,DSC_4607cvy.tif,DSC_4607,cvy,capture_number,4607,c,v,y,CMY+OVG,two_color__cvy__DSC_4607cvy,0.5477784540474742
5,cvy_two_color_005_vvyvv,cvy,two_color,yymyy,vvyvv,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#8e72cc,0.5576470588235295,0.447843137254902,0.8,54.246564323511976,30.404083053306884,-42.78055011100697,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color,3062,13917,5948,3124,3062,3124,1.0,0.65,0.65,8,98.0,39.20842845987016,62,0.019846350832266324,#876ca7,0.5294118,0.42352942,0.654902,50.394908235121854,22.460693844131157,-27.0984359400787,53.3978013556179,18.69541947714424,-21.16997228405001,7.629500057982471,17.996149355395758,5.621374828474317,31.006438015780397,10.487272503740677,309.6538319846854,35.19670436785723,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4607cvy.tif,DSC_4607cvy.tif,DSC_4607,cvy,capture_number,4607,c,v,y,CMY+OVG,two_color__cvy__DSC_4607cvy,0.5477784540474742
6,cvy_two_color_006_v,cvy,two_color,y,v,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#7257ff,0.4470588235294118,0.3411764705882353,1.0,49.0221678957536,53.970442144664624,-79.9984025813113,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color,983,6821,2955,1004,983,1004,1.0,0.65,0.65,8,98.0,4.052798752812471,21,0.02091633466135458,#8368c0,0.5137255,0.40784314,0.7529412,50.13436259344181,30.133655918057165,-42.5304410591121,50.02162974626015,30.113214938464214,-42.574482931964425,10.574605849339726,44.421588167101234,1.130315604622373,2.9776415406871317,0.9940270996344802,305.3183237856206,52.12365715939807,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4607cvy.tif,DSC_4607cvy.tif,DSC_4607,cvy,capture_number,4607,c,v,y,CMY+OVG,two_color__cvy__DSC_4607cvy,0.5477784540474742
7,cvy_two_color_007_vvcvv,cvy,two_color,yycyy,vvcvv,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#676ef8,0.4031372549019608,0.4298039215686275,0.9725490196078432,52.6336143349329,37.02149791197279,-70.26885899612341,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color,3037,13796,5904,3098,3037,3098,1.0,0.65,0.65,8,98.0,11.599835002002607,61,0.019690122659780502,#7d6ac2,0.49019608,0.41568628,0.7607843,50.217868728886444,27.424912407441937,-43.07801768985251,51.610835923572516,24.82126158100103,-41.82148670373867,9.49017280892276,28.9356550145614,2.2067149556120222,8.64244353683913,3.0657405859276774,302.48219934468045,51.06702878221043,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4607cvy.tif,DSC_4607cvy.tif,DSC_4607,cvy,capture_number,4607,c,v,y,CMY+OVG,two_color__cvy__DSC_4607cvy,0.5477784540474742
8,cvy_two_color_008_vcvv,cvy,two_color,ycyy,vcvv,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#6473f6,0.39215686274509803,0.45196078431372555,0.9656862745098039,53.70174887928475,32.57975215233,-67.57713568042698,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color,2131,11775,5013,2175,2131,2175,1.0,0.65,0.65,8,98.0,9.440198071520966,44,0.020229885057471263,#7b6dc3,0.48235294,0.42745098,0.7647059,50.869029506513115,25.654878067108868,-42.89949495717733,51.88129575297017,23.77447287521036,-42.06198973462346,9.392492520780605,25.78689845264126,2.8119711864195494,8.167228365639437,2.4683210967873985,300.8803878569389,49.98539222832113,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4607cvy.tif,DSC_4607cvy.tif,DSC_4607,cvy,capture_number,4607,c,v,y,CMY+OVG,two_color__cvy__DSC_4607cvy,0.5477784540474742
9,cvy_two_color_009_cvv,cvy,two_color,cyy,cvv,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#5f7df3,0.3738562091503268,0.48888888888888893,0.954248366013072,55.60660835952862,25.101988035983457,-62.901087858384976,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color,3502,16762,7147,3573,3502,3573,1.0,0.65,0.65,8,98.0,7.895196736185887,71,0.019871256647075286,#7973c5,0.4745098,0.4509804,0.77254903,52.401064375106486,22.302207309322252,-42.03822218982405,52.71771499279263,21.700905122073763,-41.67671817175502,9.45190990317858,21.29256791131278,3.3096674390660983,5.860062117514113,1.7739882682196846,297.9469401417998,47.587819615412116,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4607cvy.tif,DSC_4607cvy.tif,DSC_4607,cvy,capture_number,4607,c,v,y,CMY+OVG,two_color__cvy__DSC_4607cvy,0.5477784540474742
10,cvy_two_color_010_cvcvv,cvy,two_color,cycyy,cvcvv,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#5c84f1,0.35921568627450984,0.5184313725490196,0.9450980392156862,57.230916724072955,19.10439038254935,-59.01091171208801,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color,5311,23164,9811,5420,5311,5420,1.0,0.65,0.65,8,98.0,7.299104563473961,109,0.020110701107011072,#7878c8,0.47058824,0.47058824,0.78431374,53.57757543758974,19.19023230165501,-41.35938195684956,53.5500339477364,20.02237969214253,-41.484154748609946,9.477325997498259,18.025836293794164,2.8294271165601272,5.582555633794986,1.7919563632111626,294.8907063184091,45.59455550440268,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4607cvy.tif,DSC_4607cvy.tif,DSC_4607,cvy,capture_number,4607,c,v,y,CMY+OVG,two_color__cvy__DSC_4607cvy,0.5477784540474742
