region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_w,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,cwm_two_color_001_mw,cwm,two_color,my,mw,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#dc87c6,0.8627450980392157,0.5294117647058824,0.7745098039215687,66.97616588474968,41.38423944977831,-18.721001844604324,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color,10898,39956,16872,11118,10898,11118,1.0,0.65,0.65,8,98.0,4.864658543676392,220,0.01978773160640403,#e993c2,0.9137255,0.5764706,0.7607843,71.06274936880975,38.801526364142745,-10.66177374186541,71.16532701138254,38.70071341337018,-10.616054809165497,5.051990092539073,9.397964091593584,2.453906359022962,3.9399735391637227,1.1849622346451172,344.6356188221901,40.23968026103084,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4576cwm.tif,DSC_4576cwm.tif,DSC_4576,cwm,capture_number,4576,c,w,m,CMY+neutral,two_color__cwm__DSC_4576cwm,0.6064690026954178
2,cwm_two_color_002_mwmww,cwm,two_color,mymyy,mwmww,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#e19dcf,0.8823529411764707,0.615686274509804,0.8117647058823529,72.64680232968956,32.96201831167617,-15.363729047134388,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color,7083,28413,12150,7228,7083,7228,1.0,0.65,0.65,8,98.0,8.032467933618056,145,0.02006087437742114,#eaa3ca,0.91764706,0.6392157,0.7921569,74.9327599080281,32.73824551626659,-9.128395527818256,74.51945958910946,32.39809716110708,-9.040734504044671,3.795832407145795,6.644927419546139,3.534087982055282,6.176586704264887,1.9920855789347238,344.4199503056777,33.98706113207851,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4576cwm.tif,DSC_4576cwm.tif,DSC_4576,cwm,capture_number,4576,c,w,m,CMY+neutral,two_color__cwm__DSC_4576cwm,0.6064690026954178
3,cwm_two_color_003_mww,cwm,two_color,myy,mww,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#e4acd5,0.8954248366013072,0.6732026143790849,0.8366013071895425,76.52729876085148,27.315573015551596,-12.96576895779924,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color,4733,20889,8832,4822,4733,4822,1.0,0.65,0.65,8,98.0,6.903379416064406,89,0.01845707175445873,#ebb0d0,0.92156863,0.6901961,0.8156863,78.03440513173538,27.226414586431822,-7.928852992924229,76.86237245943101,28.6968287209943,-8.155554900875988,3.120928987403868,5.258311637384638,2.585037479058491,5.901549750988048,1.9582184541640377,343.76342933124374,28.35743925349521,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4576cwm.tif,DSC_4576cwm.tif,DSC_4576,cwm,capture_number,4576,c,w,m,CMY+neutral,two_color__cwm__DSC_4576cwm,0.6064690026954178
4,cwm_two_color_004_wmww,cwm,two_color,ymyy,wmww,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#e9bedd,0.911764705882353,0.7450980392156863,0.8676470588235294,81.45728463311092,20.301394201731103,-9.84164735928399,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color,3004,14494,6257,3062,3004,3062,1.0,0.65,0.65,8,98.0,8.048544689052099,58,0.018941868060091443,#ecbbd5,0.9254902,0.73333335,0.8352941,80.81050016795734,21.51820836807905,-6.1399438955205055,80.04094252208458,23.219348517228436,-6.634702836632704,2.5629588272179142,3.9498829594593836,2.533273759957609,6.690508633471491,2.117250919616072,344.07458442940356,22.377046329044564,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4576cwm.tif,DSC_4576cwm.tif,DSC_4576,cwm,capture_number,4576,c,w,m,CMY+neutral,two_color__cwm__DSC_4576cwm,0.6064690026954178
5,cwm_two_color_005_wwmww,cwm,two_color,yymyy,wwmww,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#ebc9e2,0.9215686274509804,0.7882352941176471,0.8862745098039216,84.44652081221768,16.139205008811608,-7.917139240384108,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color,4029,17155,7269,4106,4029,4106,1.0,0.65,0.65,8,98.0,8.285301806803162,77,0.018753044325377496,#edc3d9,0.92941177,0.7647059,0.8509804,82.73706655395904,18.418160631393953,-5.2385163630402465,81.95524478517038,20.217980829910545,-5.722812928195208,2.7275740005290117,3.910357158854956,2.3876569871747924,7.163456785324528,2.286330279840844,344.1231213312832,19.14864733420276,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4576cwm.tif,DSC_4576cwm.tif,DSC_4576,cwm,capture_number,4576,c,w,m,CMY+neutral,two_color__cwm__DSC_4576cwm,0.6064690026954178
6,cwm_two_color_006_w,cwm,two_color,y,w,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#f5f5f5,0.9607843137254902,0.9607843137254902,0.9607843137254902,96.53749336548567,-1.616917905122861e-05,6.467671598286984e-06,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color,1368,8480,3601,1393,1368,0,0.0,0.65,0.65,8,98.0,0.8296216079923333,25,0.017946877243359655,#f3f2ef,0.9529412,0.9490196,0.9372549,95.51783717441032,0.3159610100488264,1.1972938851944948,95.38738342545795,0.25238114105092097,1.2034926836922628,1.3897210946374865,1.6040690402690763,0.1632407922599806,0.5472533635914009,0.22345175870490766,75.21689560064942,1.2382826847675785,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4576cwm.tif,DSC_4576cwm.tif,DSC_4576,cwm,capture_number,4576,c,w,m,CMY+neutral,two_color__cwm__DSC_4576cwm,0.6064690026954178
7,cwm_two_color_007_wwcww,cwm,two_color,yycyy,wwcww,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#d0ecf0,0.8141176470588235,0.9254901960784314,0.9411764705882353,91.51973966957743,-8.457423368081695,-5.0711284268249335,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color,4045,17183,7301,4128,4045,4128,1.0,0.65,0.65,8,98.0,3.750298603003686,83,0.020106589147286823,#c6d9ee,0.7764706,0.8509804,0.93333334,85.93745432688468,-2.086591291272477,-12.428583460656117,85.50671078688455,-2.227473938126247,-12.93899479940058,9.785347570398123,11.219694985737869,1.2768696086203064,3.061088410451807,0.9356292317385567,260.46968931033683,12.602521575276471,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4576cwm.tif,DSC_4576cwm.tif,DSC_4576,cwm,capture_number,4576,c,w,m,CMY+neutral,two_color__cwm__DSC_4576cwm,0.6064690026954178
8,cwm_two_color_008_wcww,cwm,two_color,ycyy,wcww,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#c6eaef,0.7774509803921569,0.9166666666666667,0.9362745098039217,90.30247916735165,-10.471861430872476,-6.282213693416638,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color,2925,14545,6175,2984,2925,2984,1.0,0.65,0.65,8,98.0,3.2787477803920098,59,0.019772117962466487,#bfd4ed,0.7490196,0.83137256,0.92941177,84.10941656978171,-2.1520162750837124,-14.725646951058934,83.87038401367275,-2.200167533465832,-15.158178878492032,11.437463956607912,13.37405745949902,1.1225879208243488,2.647588992348186,0.8235263665464349,261.68561200902616,14.882064781993675,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4576cwm.tif,DSC_4576cwm.tif,DSC_4576,cwm,capture_number,4576,c,w,m,CMY+neutral,two_color__cwm__DSC_4576cwm,0.6064690026954178
9,cwm_two_color_009_cww,cwm,two_color,cyy,cww,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#b7e6ed,0.7163398692810458,0.9019607843137255,0.9281045751633988,88.31045586045082,-13.711917871608081,-8.244035410743255,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color,4640,20782,8755,4734,4640,4734,1.0,0.65,0.65,8,98.0,2.8910565120631637,94,0.019856358259400086,#b1cced,0.69411767,0.8,0.92941177,81.09679388216318,-2.0070851335931006,-19.033787325412455,81.21430192575059,-2.0348416555481474,-18.841838816651,13.955234520482282,17.47737894943082,1.2575523796766874,2.202074711902584,0.6653637358161676,263.98048888713,19.13931688129235,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4576cwm.tif,DSC_4576cwm.tif,DSC_4576,cwm,capture_number,4576,c,w,m,CMY+neutral,two_color__cwm__DSC_4576cwm,0.6064690026954178
10,cwm_two_color_010_cwcww,cwm,two_color,cycyy,cwcww,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#aae3eb,0.6674509803921569,0.8901960784313726,0.9215686274509804,86.75197064023902,-16.180608536512654,-9.758997314842022,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color,7072,28598,12163,7213,7072,7213,1.0,0.65,0.65,8,98.0,3.26154320658326,141,0.019548038264245112,#aac8ec,0.6666667,0.78431374,0.9254902,79.56519743570988,-1.8104513444144321,-21.12530847904801,79.74826554876793,-1.8151773548260655,-20.87560302829999,15.089954728986092,19.681060853025784,1.439132520380396,2.5730473021949676,0.7660642270779606,265.10168668184014,21.202744926198346,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4576cwm.tif,DSC_4576cwm.tif,DSC_4576,cwm,capture_number,4576,c,w,m,CMY+neutral,two_color__cwm__DSC_4576cwm,0.6064690026954178
