region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_w,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,cwy_two_color_001_yw,cwy,two_color,my,yw,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#faea7b,0.9803921568627452,0.9176470588235295,0.4803921568627451,91.9488240565362,-8.674881669843703,55.525164261720896,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color,10911,39576,16854,11100,10911,0,0.0,0.65,0.65,8,98.0,2.465926517246599,189,0.017027027027027027,#ffef89,1.0,0.9372549,0.5372549,93.7136414018293,-7.6921696702376146,50.70652625285605,93.71163137589359,-7.653610644667207,50.58403097146238,1.802053720203726,5.2248995585459985,0.8914484966448826,1.8546498140139314,0.5785194474968619,98.62598981274266,51.28665790307752,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4574cwy.tif,DSC_4574cwy.tif,DSC_4574,cwy,capture_number,4574,c,w,y,CMY+neutral,two_color__cwy__DSC_4574cwy,0.6064690026954178
2,cwy_two_color_002_ywyww,cwy,two_color,mymyy,ywyww,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#f9ec93,0.9764705882352942,0.9262745098039217,0.5764705882352941,92.73114977667396,-7.8910818467205495,44.73620836974273,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color,7074,28737,12134,7208,7074,2674,0.370976692563818,0.65,0.65,8,98.0,5.5676272441005406,134,0.018590455049944506,#fef096,0.99607843,0.9411765,0.5882353,94.07528442131425,-7.24718947459968,45.137222599785254,94.08575179429702,-7.117179793833347,43.80927195331302,0.9476878982666368,1.5434078341431094,1.6879328725845837,4.009748618977667,1.3505098635406778,99.12150573800193,45.71532149403866,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4574cwy.tif,DSC_4574cwy.tif,DSC_4574,cwy,capture_number,4574,c,w,y,CMY+neutral,two_color__cwy__DSC_4574cwy,0.6064690026954178
3,cwy_two_color_003_yww,cwy,two_color,myy,yww,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#f8eea3,0.9738562091503269,0.9320261437908498,0.6405228758169935,93.28989762805435,-7.0985775864075285,37.34317724520992,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color,4707,20845,8817,4804,4707,3620,0.7535387177352206,0.65,0.65,8,98.0,4.160160012915306,97,0.020191507077435472,#fdf0a1,0.99215686,0.9411765,0.6313726,94.29820896900131,-7.026933829326342,39.792107491183735,94.32273170522843,-7.246020598375566,40.939842283022365,1.1194187251410683,2.649355381570454,1.5116380655600503,3.3048181092662143,1.0712684144390552,100.01467845212079,40.40779154608244,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4574cwy.tif,DSC_4574cwy.tif,DSC_4574,cwy,capture_number,4574,c,w,y,CMY+neutral,two_color__cwy__DSC_4574cwy,0.6064690026954178
4,cwy_two_color_004_wyww,cwy,two_color,ymyy,wyww,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#f8f0b8,0.9705882352941178,0.9392156862745099,0.7205882352941176,94.03074541756537,-5.8061779066262424,27.997281699796005,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color,2905,14470,6156,2960,2905,2939,0.9929054054054054,0.65,0.65,8,98.0,5.763811928692231,55,0.018581081081081082,#fbf1b0,0.9843137,0.94509804,0.6901961,94.60852652315086,-6.491619640008272,32.677663283379665,94.60240543980899,-6.789304887497247,33.65819442473763,2.0137706521084326,4.765462531988101,2.4961994648677086,4.39575419420351,1.4836345330728422,101.23587931688616,33.31622432408091,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4574cwy.tif,DSC_4574cwy.tif,DSC_4574,cwy,capture_number,4574,c,w,y,CMY+neutral,two_color__cwy__DSC_4574cwy,0.6064690026954178
5,cwy_two_color_005_wwyww,cwy,two_color,yymyy,wwyww,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#f7f1c4,0.9686274509803923,0.943529411764706,0.7686274509803922,94.49799914190935,-4.872218839970466,22.370113365105905,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color,4010,17181,7255,4090,4010,4090,1.0,0.65,0.65,8,98.0,7.547427443591941,80,0.019559902200488997,#f8f2c0,0.972549,0.9490196,0.7529412,94.77605801832895,-5.433768281018048,24.937243226347604,94.78746846005494,-6.002285643972225,27.18692014279613,1.273658317123088,2.6425007545836983,2.4844219672381143,5.899425025879625,1.8630513153783264,102.29247657691963,25.522381108780138,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4574cwy.tif,DSC_4574cwy.tif,DSC_4574,cwy,capture_number,4574,c,w,y,CMY+neutral,two_color__cwy__DSC_4574cwy,0.6064690026954178
6,cwy_two_color_006_w,cwy,two_color,y,w,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#f5f5f5,0.9607843137254902,0.9607843137254902,0.9607843137254902,96.53749336548567,-1.616917905122861e-05,6.467671598286984e-06,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color,1389,8419,3600,1392,1389,0,0.0,0.65,0.65,8,98.0,0.841933281840475,3,0.0021551724137931034,#f4f2f0,0.95686275,0.9490196,0.9411765,95.59245486785065,0.3159610100488264,1.1972938851944948,95.5708884118015,0.17282707742368955,1.2097328996115195,1.3709904649444347,1.5577023142961939,0.0,0.8315985794016489,0.2993542302229311,75.21689560064942,1.2382826847675785,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4574cwy.tif,DSC_4574cwy.tif,DSC_4574,cwy,capture_number,4574,c,w,y,CMY+neutral,two_color__cwy__DSC_4574cwy,0.6064690026954178
7,cwy_two_color_007_wwcww,cwy,two_color,yycyy,wwcww,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#d0ecf0,0.8141176470588235,0.9254901960784314,0.9411764705882353,91.51973966957743,-8.457423368081695,-5.0711284268249335,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color,4017,17089,7271,4097,4017,4097,1.0,0.65,0.65,8,98.0,3.705388037762924,80,0.01952648279228704,#c8daee,0.78431374,0.85490197,0.93333334,86.27343390223787,-2.2827644204412856,-11.814969399291897,85.98222972540059,-2.3640685170637434,-12.358732616097818,9.323633476584352,10.541799105751366,1.2642958544704608,3.0489342475330847,0.8985031733871781,259.06465380941347,12.033474781019677,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4574cwy.tif,DSC_4574cwy.tif,DSC_4574,cwy,capture_number,4574,c,w,y,CMY+neutral,two_color__cwy__DSC_4574cwy,0.6064690026954178
8,cwy_two_color_008_wcww,cwy,two_color,ycyy,wcww,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#c6eaef,0.7774509803921569,0.9166666666666667,0.9362745098039217,90.30247916735165,-10.471861430872476,-6.282213693416638,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color,2941,14469,6195,2992,2941,2992,1.0,0.65,0.65,8,98.0,2.972067977458822,51,0.017045454545454544,#bfd4ee,0.7490196,0.83137256,0.93333334,84.14671515993813,-2.155636089758328,-14.844554377449715,83.91282047204918,-2.2082827005628785,-15.173393534522775,11.461336105297988,13.4300674766959,1.1350917132046632,2.5978902333341134,0.7894532164750637,261.73760821659505,15.000252051766665,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4574cwy.tif,DSC_4574cwy.tif,DSC_4574,cwy,capture_number,4574,c,w,y,CMY+neutral,two_color__cwy__DSC_4574cwy,0.6064690026954178
9,cwy_two_color_009_cww,cwy,two_color,cyy,cww,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#b7e6ed,0.7163398692810458,0.9019607843137255,0.9281045751633988,88.31045586045082,-13.711917871608081,-8.244035410743255,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color,4761,20716,8891,4854,4761,4854,1.0,0.65,0.65,8,98.0,2.4139786878276004,93,0.019159456118665017,#b2cded,0.69803923,0.8039216,0.92941177,81.39152301817316,-2.0807384064583934,-18.758504360474817,81.38255222638229,-2.118912123453184,-18.836147358976806,13.777044653409318,17.13797026258761,1.0693314186419962,1.9035765970446838,0.5573542208868083,263.6704887188972,18.873551816180857,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4574cwy.tif,DSC_4574cwy.tif,DSC_4574,cwy,capture_number,4574,c,w,y,CMY+neutral,two_color__cwy__DSC_4574cwy,0.6064690026954178
10,cwy_two_color_010_cwcww,cwy,two_color,cycyy,cwcww,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#aae3eb,0.6674509803921569,0.8901960784313726,0.9215686274509804,86.75197064023902,-16.180608536512654,-9.758997314842022,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color,7099,28655,12190,7242,7099,7242,1.0,0.65,0.65,8,98.0,3.4187092163207526,143,0.019745926539629935,#a8c7ec,0.65882355,0.78039217,0.9254902,79.26786731252847,-1.938334846967149,-21.695621303270187,79.61322522439782,-1.9453689559731997,-21.126187595667467,15.145888129629519,20.033400977090412,1.0651295790312774,2.442663534770104,0.7639671731092679,264.8946231564214,21.782036766883817,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4574cwy.tif,DSC_4574cwy.tif,DSC_4574,cwy,capture_number,4574,c,w,y,CMY+neutral,two_color__cwy__DSC_4574cwy,0.6064690026954178
