region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_y,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,cym_two_color_001_my,cym,two_color,my,my,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#e17c4b,0.8823529411764706,0.48627450980392156,0.29411764705882354,62.45289702748056,35.06929839281481,43.41945673452145,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color,8425,32275,13756,8595,8425,8595,1.0,0.65,0.65,8,98.0,4.621191606629222,170,0.01977894124490983,#e37b6e,0.8901961,0.48235294,0.43137255,63.16894584854242,38.64680430443956,25.97103611617595,63.118684278103935,38.746462156100606,25.710556146527914,10.339460786485418,17.82578628101881,1.9934827432424125,3.6061362512917814,1.0478020093366944,33.90149255554735,46.56254073709213,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4511.tif,cmysimpleDSC_4511.tif,DSC_4511,cmy,filename_prefix,4511,c,y,m,CMY,two_color__cym__cmysimpleDSC_4511,0.5442999697611128
2,cym_two_color_002_mymyy,cym,two_color,mymyy,mymyy,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#e7903c,0.9058823529411765,0.5639215686274509,0.23529411764705882,67.43094787588788,26.34285180880125,56.23381246555199,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color,5394,23097,9884,5504,5394,5504,1.0,0.65,0.65,8,98.0,9.8530359635428,110,0.01998546511627907,#e7866b,0.90588236,0.5254902,0.41960785,66.0227358915839,34.763898920410206,30.01248901443889,66.10212905533146,33.61002400922435,30.37317882150296,15.463491185451819,27.576346730061413,3.9404920807339634,7.233469462989066,2.3536091282560916,40.80481297562466,45.92687845902782,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4511.tif,cmysimpleDSC_4511.tif,DSC_4511,cmy,filename_prefix,4511,c,y,m,CMY,two_color__cym__cmysimpleDSC_4511,0.5442999697611128
3,cym_two_color_003_myy,cym,two_color,myy,myy,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#eb9d32,0.9215686274509803,0.615686274509804,0.19607843137254902,70.87834005274337,20.623964460334378,63.79337035503971,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color,3516,16842,7160,3580,3516,3580,1.0,0.65,0.65,8,98.0,6.926010163283509,64,0.017877094972067038,#ea926b,0.91764706,0.57254905,0.41960785,68.89073653327641,29.346674773532477,35.059134396623136,68.68306859242425,29.384355872866447,34.61969121845203,15.272551468843883,30.094726432923927,3.3935587665965077,6.167208448593554,1.6875186787227423,50.06857372052434,45.720566760528804,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4511.tif,cmysimpleDSC_4511.tif,DSC_4511,cmy,filename_prefix,4511,c,y,m,CMY,two_color__cym__cmysimpleDSC_4511,0.5442999697611128
4,cym_two_color_004_ymyy,cym,two_color,ymyy,ymyy,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#f0ae26,0.9411764705882353,0.6803921568627451,0.14705882352941177,75.29275943833024,13.646301897515034,71.93335971602419,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color,2134,11706,4986,2174,2134,2174,1.0,0.65,0.65,8,98.0,9.899280843034193,40,0.01839926402943882,#eea269,0.93333334,0.63529414,0.4117647,72.87243303510586,22.95881800881805,40.4336339514674,71.91540135761653,24.097802183370735,39.42269228205716,14.565927419736344,32.93650952155838,3.776486216890948,8.385896582224158,2.5687162986377343,60.41144603045262,46.49716205192834,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4511.tif,cmysimpleDSC_4511.tif,DSC_4511,cmy,filename_prefix,4511,c,y,m,CMY,two_color__cym__cmysimpleDSC_4511,0.5442999697611128
5,cym_two_color_005_yymyy,cym,two_color,yymyy,yymyy,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#f3b71e,0.9529411764705882,0.7192156862745098,0.11764705882352941,77.98402366630827,9.564777772315624,76.10333175007294,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color,3011,13815,5867,3072,3011,3072,1.0,0.65,0.65,8,98.0,12.131970518035022,61,0.019856770833333332,#f0ab6a,0.9411765,0.67058825,0.41568628,75.28616504315517,19.08373699117044,43.053321251047414,74.26764730417908,20.51020335537021,41.75732683931547,13.942647679065304,34.499162594857864,3.76203361428078,10.256250259346965,3.228651924435457,66.09429255457707,47.093284959684624,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4511.tif,cmysimpleDSC_4511.tif,DSC_4511,cmy,filename_prefix,4511,c,y,m,CMY,two_color__cym__cmysimpleDSC_4511,0.5442999697611128
6,cym_two_color_006_y,cym,two_color,y,y,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#ffdf00,1.0,0.8745098039215686,0.0,88.94096720886532,-5.949434572648293,88.5567575521992,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color,964,6828,2916,982,964,0,0.0,0.65,0.65,8,98.0,0.8044563565706495,18,0.018329938900203666,#ffe549,1.0,0.8980392,0.28627452,90.70583840451042,-7.5149646792728175,74.87311983413242,90.80018555534978,-7.502745431463646,74.83124640792501,3.425707976588649,13.885517493102851,0.3468002368644595,0.6522874068158497,0.18746938231792395,95.7315437587626,75.24931074652493,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4511.tif,cmysimpleDSC_4511.tif,DSC_4511,cmy,filename_prefix,4511,c,y,m,CMY,two_color__cym__cmysimpleDSC_4511,0.5442999697611128
7,cym_two_color_007_yycyy,cym,two_color,yycyy,yycyy,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#d8da2c,0.8454901960784313,0.8564705882352941,0.17254901960784313,84.52082667829146,-19.591593417616572,77.13877361131732,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color,3012,13945,5879,3074,3012,3074,1.0,0.65,0.65,8,98.0,6.493524763776608,62,0.020169160702667534,#b3d665,0.7019608,0.8392157,0.39607844,81.02092405997675,-28.500460000878356,51.59829888983636,80.78199401322877,-28.547396606318856,49.37004247679086,10.521617643651705,27.275136500751973,2.033042157290678,5.101940177514583,1.630265474584997,118.9141842797228,58.9462523710079,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4511.tif,cmysimpleDSC_4511.tif,DSC_4511,cmy,filename_prefix,4511,c,y,m,CMY,two_color__cym__cmysimpleDSC_4511,0.5442999697611128
8,cym_two_color_008_ycyy,cym,two_color,ycyy,ycyy,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#ced937,0.8068627450980392,0.8519607843137255,0.21568627450980393,83.5042416800598,-22.722707681334942,72.79352079044212,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color,2129,11768,5010,2172,2129,2172,1.0,0.65,0.65,8,98.0,5.797928909216054,43,0.01979742173112339,#a9d26a,0.6627451,0.8235294,0.41568628,79.35461305585702,-30.04546107221434,47.15060413110079,78.93689029672154,-30.102434141016804,45.749233102784785,10.500571905558695,26.988910866138404,1.797309073847294,3.893423379233403,1.2732527675699368,122.50623453019176,55.90983098677482,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4511.tif,cmysimpleDSC_4511.tif,DSC_4511,cmy,filename_prefix,4511,c,y,m,CMY,two_color__cym__cmysimpleDSC_4511,0.5442999697611128
9,cym_two_color_009_cyy,cym,two_color,cyy,cyy,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#bdd749,0.742483660130719,0.8444444444444444,0.28758169934640526,81.90233054832865,-27.535536020099894,64.35586331832887,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color,3494,16847,7155,3565,3494,3565,1.0,0.65,0.65,8,98.0,3.5986041382005087,71,0.01991584852734923,#9ccc73,0.6117647,0.8,0.4509804,76.89471805087369,-31.123681022099504,39.37941813528569,76.82799254812114,-31.173331798525297,39.0994108623594,10.106727570290278,25.724964168324956,1.6310674697477683,2.716199108993385,0.7985358510180319,128.32122234050325,50.193845170887876,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4511.tif,cmysimpleDSC_4511.tif,DSC_4511,cmy,filename_prefix,4511,c,y,m,CMY,two_color__cym__cmysimpleDSC_4511,0.5442999697611128
10,cym_two_color_010_cycyy,cym,two_color,cycyy,cycyy,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#b0d658,0.6909803921568628,0.8384313725490194,0.34509803921568627,80.71081715514305,-30.926605445549537,56.74685739894987,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color,5318,23162,9831,5425,5318,5425,1.0,0.65,0.65,8,98.0,4.442295058905574,107,0.019723502304147465,#91c77a,0.5686275,0.78039217,0.47843137,75.04269067014677,-31.511103861638635,32.68519365044307,75.11759196690055,-31.54062899361678,34.02938540798694,9.960175701311536,24.72717045265255,1.6458514763690615,3.701368168490781,1.1146335280296065,133.9522309951875,45.40122851361999,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4511.tif,cmysimpleDSC_4511.tif,DSC_4511,cmy,filename_prefix,4511,c,y,m,CMY,two_color__cym__cmysimpleDSC_4511,0.5442999697611128
