region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_g,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,ygm_two_color_001_mg,ygm,two_color,my,mg,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#726c7d,0.44509803921568625,0.4235294117647059,0.4882352941176471,46.627535482316695,5.590572036020647,-8.359464096449232,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color,8347,32401,13672,8513,8347,8513,1.0,0.65,0.65,8,98.0,6.28535449720827,166,0.019499588864090214,#9d8486,0.6156863,0.5176471,0.5254902,57.54458733207919,9.640363948506147,2.536277480385163,57.484163988951906,9.7449793035606,2.3784052870589245,14.43721939436493,15.94678714142737,2.643161679157286,4.849755517569486,1.3033367380326228,14.739892008667994,9.968416148875706,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
2,ygm_two_color_002_mgmgg,ygm,two_color,mymyy,mgmgg,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#617d77,0.3811764705882353,0.4886274509803922,0.4682352941176471,50.048780298099175,-11.011596685547298,-0.4100021177099622,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color,5419,23328,9937,5528,5419,5528,1.0,0.65,0.65,8,98.0,19.005729689591945,109,0.0197178002894356,#978d84,0.5921569,0.5529412,0.5176471,59.449692168978856,2.6534533697578078,5.722915848664267,59.48129815386874,0.7584517482152523,6.360378059961005,19.386836154202282,17.683987666822105,7.5685369018735,16.776676777226363,5.314907478922889,65.1250098950606,6.308136063558847,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
3,ygm_two_color_003_mgg,ygm,two_color,myy,mgg,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#568874,0.33856209150326794,0.5320261437908497,0.4549019607843137,52.695630696077046,-21.313046076856747,5.328256157381528,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color,3472,16914,7134,3542,3472,3542,1.0,0.65,0.65,8,98.0,17.17855254177892,70,0.019762845849802372,#8f9683,0.56078434,0.5882353,0.5137255,60.881644855931924,-6.432374038294386,9.314462556057812,60.90251087431504,-5.72156252348137,9.144206157960603,14.288838925366012,17.445201907614713,5.843245798246973,14.174192342159973,4.268960418209596,124.62815123049069,11.319657613052025,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
4,ygm_two_color_004_gmgg,ygm,two_color,ymyy,gmgg,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#499670,0.2852941176470588,0.5862745098039216,0.43823529411764706,56.310473320535195,-32.957780310672206,12.791458236792131,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color,2108,11825,5008,2152,2108,2152,1.0,0.65,0.65,8,98.0,23.763209658105012,44,0.020446096654275093,#859f80,0.52156866,0.62352943,0.5019608,63.122146899748635,-15.289631836483686,14.096670870994899,63.12517697361783,-13.247986645197916,12.910773483506924,11.169193214510397,18.9806729985058,4.930467887033192,15.51024143887891,5.656665027125429,137.3246924908966,20.79636918647992,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
5,ygm_two_color_005_ggmgg,ygm,two_color,yymyy,ggmgg,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#419e6d,0.2533333333333333,0.6188235294117648,0.42823529411764705,58.60463547244893,-39.21956808765342,17.35034488308449,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color,3020,13975,5890,3082,3020,3082,1.0,0.65,0.65,8,98.0,24.372006494630185,62,0.020116807268007787,#7fa87e,0.49803922,0.65882355,0.49411765,65.17394374620653,-22.544577320082304,18.47992610207523,65.28571221055518,-18.70069992016613,15.555259297913722,9.476176241893755,17.957925326288073,3.6201058390044962,17.701766330750857,6.250322173678923,140.6583199283117,29.150739875333024,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
6,ygm_two_color_006_g,ygm,two_color,y,g,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#20bf63,0.12549019607843137,0.7490196078431373,0.38823529411764707,68.36328344031337,-59.093631377102774,35.49547851450803,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color,987,6937,2955,1004,987,1004,1.0,0.65,0.65,8,98.0,0.6570631972049468,17,0.01693227091633466,#75d585,0.45882353,0.8352941,0.52156866,77.91123258242827,-45.159534464322746,30.82580191281965,77.89463679655857,-45.161439539352585,30.7270460529901,8.207997333890532,17.525075439481412,0.3013407885486021,0.5359435797723107,0.1459614040430327,145.6826382067444,54.67735926873892,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
7,ygm_two_color_007_ggygg,ygm,two_color,yycyy,ggygg,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#4dc54f,0.3003921568627451,0.7741176470588236,0.31058823529411766,71.03654604530183,-56.93654278886323,48.41164853265205,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color,3043,13940,5911,3104,3043,3104,1.0,0.65,0.65,8,98.0,4.344968761772377,61,0.019652061855670103,#7fd978,0.49803922,0.8509804,0.47058824,79.34344323206577,-45.64743498843305,39.370886011023984,80.11502248230968,-44.66018562330741,40.0183755064237,7.036511316568735,16.67884536692138,1.0466957569211295,3.744885301387467,1.1735068949600413,139.2222493994252,60.280635251432656,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
8,ygm_two_color_008_gygg,ygm,two_color,ycyy,gygg,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#58c74a,0.34411764705882353,0.7803921568627451,0.2911764705882353,71.82897302151117,-55.38767028341801,51.58503391875486,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color,2172,11814,5042,2216,2172,2216,1.0,0.65,0.65,8,98.0,3.4363017944235827,44,0.019855595667870037,#85db75,0.5235294,0.85882354,0.45882353,80.20727125965533,-45.87305407121145,42.11551388992045,80.70365690779879,-45.01349619020782,42.37684527723957,6.880368880777094,15.823893724661115,1.0811196886185768,2.9555486892684932,0.8691146463640563,137.44532290746702,62.27402026553587,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
9,ygm_two_color_009_ygg,ygm,two_color,cyy,ygg,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#6aca42,0.4169934640522876,0.7908496732026143,0.25882352941176473,73.25969245824507,-52.014165739953434,56.76698040935824,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color,3499,17014,7140,3566,3499,3566,1.0,0.65,0.65,8,98.0,3.163679228370736,67,0.01878855860908581,#8cde6c,0.54901963,0.87058824,0.42352942,81.15369679255801,-45.45183985407286,47.53512295581466,81.45529205949032,-45.111068641347295,47.529309381920726,6.258461767322299,13.80603554628185,1.3368895098402673,2.3519920410127457,0.6649746982720586,133.7165581006151,65.76821162647425,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
10,ygm_two_color_010_ygygg,ygm,two_color,cycyy,ygygg,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#79cc3b,0.4752941176470588,0.7992156862745098,0.23294117647058826,74.50114012845992,-48.68639350873899,60.78178216902822,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color,5430,23248,9948,5541,5430,5541,1.0,0.65,0.65,8,98.0,2.5177046792994964,111,0.020032485110990796,#94e06a,0.5803922,0.8784314,0.41568628,82.19709272494364,-44.551083234475705,49.388517638317886,82.21955438564109,-44.5238561803385,49.54078454340112,6.29729346309931,14.357400673467817,1.288859319620502,2.0081536208333115,0.5397348353441224,132.05214871038595,66.51334220948169,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
11,ygm_two_color_011_yg,ygm,two_color,cy,yg,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#90cf32,0.5627450980392157,0.8117647058823529,0.19411764705882353,76.5181876914217,-42.83550403159575,66.51630663705663,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,8410,32237,13741,8582,8410,8582,1.0,0.65,0.65,8,98.0,1.7862738034895864,172,0.02004194826380797,#99e367,0.6,0.8901961,0.40392157,83.27798016682016,-43.915210909226175,52.45006423608856,83.29894260177547,-43.900842544429764,52.51980977752686,6.594021531218153,15.643520592719787,0.8146446400146445,1.3052352992345504,0.382909040761104,129.93864965682144,68.4072729143008,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
12,ygm_two_color_012_yygyg,ygm,two_color,ccycy,yygyg,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#a6d228,0.6501960784313725,0.824313725490196,0.15529411764705883,78.71036781252369,-36.191852490797984,71.82923880743049,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,5267,23218,9895,5374,5267,5374,1.0,0.65,0.65,8,98.0,2.2374473112894324,107,0.019910681056940827,#a3e665,0.6392157,0.9019608,0.39607844,84.72226964668762,-41.90722690226989,55.687461712866096,84.64203785442349,-41.65165170152892,55.72666415778273,7.569941286211781,18.14842792358432,1.0528580754366228,1.7026934172616819,0.46463625147487386,126.96304533624084,69.69439761315296,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
13,ygm_two_color_013_yyg,ygm,two_color,ccy,yyg,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#b5d421,0.7084967320261438,0.8326797385620915,0.12941176470588237,80.26235676752313,-31.443535494454224,75.10669897134102,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,3376,16827,7114,3443,3376,3443,1.0,0.65,0.65,8,98.0,1.9389393212423942,67,0.019459773453383677,#ade864,0.6784314,0.9098039,0.39215687,85.7739190544917,-39.56593624144777,57.07634941992104,85.65412538438851,-39.77385016563919,57.25804692882358,8.492204278799875,20.529106597323864,0.8975998815674417,1.4853013024807176,0.42038580281394333,124.7301140706598,69.44906747946462,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
14,ygm_two_color_014_yygy,ygm,two_color,ccyc,yygy,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#c7d719,0.7813725490196078,0.8431372549019608,0.09705882352941177,82.2965489753003,-25.259099303701905,78.89213150428324,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color,2045,11911,4988,2085,2045,2085,1.0,0.65,0.65,8,98.0,2.1644085726765843,40,0.019184652278177457,#b9ea5f,0.7254902,0.91764706,0.37254903,87.13140207956127,-36.546782612322914,60.70046037131625,86.87736218035091,-36.905427625832225,60.7639250030431,9.336228521177652,21.94822310861469,1.0191043680521394,1.8582249989496942,0.5277327881706159,121.05147776520755,70.85346292597224,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
