region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_k,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,ykm_two_color_001_mk,ykm,two_color,my,mk,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#6b1655,0.42156862745098034,0.08823529411764705,0.33333333333333337,24.972798904713585,43.063989836503616,-16.53866822562311,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color,8298,31974,13611,8468,8298,8468,1.0,0.65,0.65,8,98.0,9.56459436786169,170,0.020075578649031648,#564256,0.3372549,0.25882354,0.3372549,30.794443865853694,12.580568084892413,-8.8251981259851,31.59823632218907,12.620677631348142,-8.941574097424468,14.47913132785687,31.978558014991556,4.041756598075737,7.3754685334880055,2.2404646269153528,324.95055496125605,15.367329478523732,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4599ykm.tif,DSC_4599ykm.tif,DSC_4599,ykm,capture_number,4599,y,k,m,CMY+neutral,two_color__ykm__DSC_4599ykm,0.5442999697611128
2,ykm_two_color_002_mkmkk,ykm,two_color,mymyy,mkmkk,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#5a1648,0.3529411764705882,0.08627450980392157,0.2823529411764706,20.888609395991338,36.40138826130202,-14.369767690665302,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color,5208,23056,9689,5314,5208,5314,1.0,0.65,0.65,8,98.0,11.491141103065898,106,0.019947308995107264,#4e3f4e,0.30588236,0.24705882,0.30588236,28.658787817292858,11.017670282382042,-7.523334804335747,29.36390186857069,10.086403691086108,-7.115981969468345,14.110725018793481,27.415004183826415,5.5434767452259885,10.03761929571018,3.2528655907971498,325.6730733502993,13.341275239999135,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4599ykm.tif,DSC_4599ykm.tif,DSC_4599,ykm,capture_number,4599,y,k,m,CMY+neutral,two_color__ykm__DSC_4599ykm,0.5442999697611128
3,ykm_two_color_003_mkk,ykm,two_color,myy,mkk,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#4e163f,0.3071895424836601,0.0849673202614379,0.24836601307189543,18.17887696112662,31.61544563181681,-12.762020079472592,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color,3493,16671,7140,3565,3493,3565,1.0,0.65,0.65,8,98.0,15.860575760646162,72,0.020196353436185133,#473948,0.2784314,0.22352941,0.28235295,25.900435769597614,9.248738782692168,-6.737229644264775,27.869177798753455,9.137580492271177,-6.639175819169996,13.904146676404904,24.417005252395857,6.436956408072293,12.058518294205559,3.9012463994738438,323.92859072169045,11.44243996488661,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4599ykm.tif,DSC_4599ykm.tif,DSC_4599,ykm,capture_number,4599,y,k,m,CMY+neutral,two_color__ykm__DSC_4599ykm,0.5442999697611128
4,ykm_two_color_004_kmkk,ykm,two_color,ymyy,kmkk,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#401535,0.24999999999999994,0.08333333333333333,0.20588235294117646,14.843923173616577,25.10403095001251,-10.486377606583408,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color,2095,11759,4960,2138,2095,1965,0.9190832553788587,0.65,0.65,8,98.0,20.176768033504384,43,0.020112254443405052,#3b333c,0.23137255,0.2,0.23529412,22.680272502291203,6.287547262125187,-4.825323129297743,25.976081092507318,7.46739965491064,-5.226466878410414,14.13235104697603,21.15457319286648,6.153467268617989,16.85277142541347,5.176089442216056,322.49587965782746,7.9257172467603025,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4599ykm.tif,DSC_4599ykm.tif,DSC_4599,ykm,capture_number,4599,y,k,m,CMY+neutral,two_color__ykm__DSC_4599ykm,0.5442999697611128
5,ykm_two_color_005_kkmkk,ykm,two_color,yymyy,kkmkk,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#37152e,0.2156862745098039,0.08235294117647059,0.18039215686274507,12.89747700743833,20.83245368117059,-8.924348843146014,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color,2976,13795,5829,3037,2976,1651,0.5436285808363517,0.65,0.65,8,98.0,24.285973842084854,61,0.020085610800131708,#343035,0.20392157,0.1882353,0.20784314,20.49383054148003,4.017731855331954,-2.7248387428968956,25.307873940080892,6.307495702664243,-4.726594751795553,14.474435049307665,19.464670112220574,4.265778725976743,19.59480504125242,6.663314782206988,325.85475264274845,4.854576751493489,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4599ykm.tif,DSC_4599ykm.tif,DSC_4599,ykm,capture_number,4599,y,k,m,CMY+neutral,two_color__ykm__DSC_4599ykm,0.5442999697611128
6,ykm_two_color_006_k,ykm,two_color,y,k,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#141414,0.0784313725490196,0.0784313725490196,0.0784313725490196,6.318928745123017,-2.7236759098103747e-06,1.0894703639241499e-06,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color,963,6812,2916,981,963,0,0.0,0.65,0.65,8,98.0,2.5945051465936224,18,0.01834862385321101,#313133,0.19215687,0.19215687,0.2,20.361009052857163,0.23725910055041877,-0.787153691219411,20.492803578866447,0.3017084966325054,-0.9408797773839757,9.123144971539299,14.066126872414207,0.8461550036571275,1.42203822589786,0.4666992627353186,286.7735392845699,0.8221330880060342,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4599ykm.tif,DSC_4599ykm.tif,DSC_4599,ykm,capture_number,4599,y,k,m,CMY+neutral,two_color__ykm__DSC_4599ykm,0.5442999697611128
7,ykm_two_color_007_kkykk,ykm,two_color,yycyy,kkykk,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#433d10,0.26274509803921564,0.23764705882352938,0.06274509803921569,25.33872203376457,-3.4598535169804157,27.3922126056074,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color,3049,13719,5919,3112,3049,1619,0.5202442159383034,0.65,0.65,8,98.0,34.95115458271944,63,0.02024421593830334,#333330,0.2,0.2,0.1882353,21.18189070513877,-1.5734825641526562,3.395858395337059,28.424788067765274,-4.057732276009038,7.2287268894877075,14.578042434144932,24.426679214561208,4.090215519536206,29.044645834139672,10.217830007245414,114.86080872473786,3.742686417651578,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4599ykm.tif,DSC_4599ykm.tif,DSC_4599,ykm,capture_number,4599,y,k,m,CMY+neutral,two_color__ykm__DSC_4599ykm,0.5442999697611128
8,ykm_two_color_008_kykk,ykm,two_color,ycyy,kykk,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#4f470f,0.30882352941176466,0.2774509803921568,0.058823529411764705,29.815195628927015,-3.762198880833262,32.702903336487324,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color,2137,11741,5005,2181,2137,1613,0.739569005043558,0.65,0.65,8,98.0,32.48133484374077,44,0.020174232003668042,#373930,0.21568628,0.22352941,0.1882353,23.364215472642144,-3.724347774365228,7.287103378522975,29.79005008680912,-5.176379839005402,9.32155121111393,14.588427224833339,26.221736502114094,7.026348311075603,25.624938000162626,8.557350716249532,117.07100964919954,8.18368144502828,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4599ykm.tif,DSC_4599ykm.tif,DSC_4599,ykm,capture_number,4599,y,k,m,CMY+neutral,two_color__ykm__DSC_4599ykm,0.5442999697611128
9,ykm_two_color_009_ykk,ykm,two_color,cyy,ykk,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#62580d,0.3856209150326797,0.34379084967320256,0.05228758169934641,37.06018125678953,-4.145265022180434,40.6687182120301,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color,3507,16841,7138,3579,3507,3579,1.0,0.65,0.65,8,98.0,25.317798342750752,72,0.020117351215423303,#474b35,0.2784314,0.29411766,0.20784314,30.903950389815826,-6.437280345531315,12.557386096294964,33.68462692349175,-6.925378605510874,13.434147597627245,14.6817150964402,28.868659581821888,10.609863632117618,21.441897913646834,6.444822818565611,117.14099321880133,14.111219784922417,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4599ykm.tif,DSC_4599ykm.tif,DSC_4599,ykm,capture_number,4599,y,k,m,CMY+neutral,two_color__ykm__DSC_4599ykm,0.5442999697611128
10,ykm_two_color_010_ykykk,ykm,two_color,cycyy,ykykk,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#72650c,0.4470588235294118,0.3968627450980392,0.047058823529411764,42.68900819011868,-4.390174965222315,46.44917314860601,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color,5335,23026,9820,5444,5335,5444,1.0,0.65,0.65,8,98.0,21.6929715977778,109,0.020022042615723733,#4f5639,0.30980393,0.3372549,0.22352941,35.18996617988806,-8.460024713307035,15.978240836134871,36.21728018880957,-8.205944342914952,15.41023754576204,15.660645045889805,31.642961682408718,10.953550643510408,17.3950955574522,5.577438206448874,117.89994867592918,18.0797178730005,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4599ykm.tif,DSC_4599ykm.tif,DSC_4599,ykm,capture_number,4599,y,k,m,CMY+neutral,two_color__ykm__DSC_4599ykm,0.5442999697611128
