region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_l,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
1,ylm_two_color_001_ml,ylm,two_color,my,ml,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#c571ac,0.7745098039215685,0.44313725490196076,0.6745098039215687,58.72265684725714,41.379477952339485,-17.05358096661975,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color
2,ylm_two_color_002_mlmll,ylm,two_color,mymyy,mlmll,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#c683b0,0.776470588235294,0.512156862745098,0.691764705882353,62.746244013795746,32.84288352123299,-13.476539875367543,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color
3,ylm_two_color_003_mll,ylm,two_color,myy,mll,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#c68eb3,0.7777777777777777,0.5581699346405228,0.7032679738562092,65.56634132203305,27.038106152420085,-10.895934010651565,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color
4,ylm_two_color_004_lmll,ylm,two_color,ymyy,lmll,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#c79db7,0.7794117647058822,0.6156862745098038,0.7176470588235294,69.2138812587631,19.753553107714428,-7.502814008008762,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color
5,ylm_two_color_005_llmll,ylm,two_color,yymyy,llmll,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#c7a6b9,0.780392156862745,0.6501960784313725,0.7262745098039216,71.4559397750803,15.400170893808241,-5.396662724989443,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color
6,ylm_two_color_006_l,ylm,two_color,y,l,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#c8c9c2,0.7843137254901961,0.788235294117647,0.7607843137254902,80.70973829085915,-1.6093340068246142,3.370929344299589,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color
7,ylm_two_color_007_llyll,ylm,two_color,yycyy,llyll,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#d3cd9b,0.8274509803921568,0.8054901960784313,0.6086274509803922,81.88025664560861,-5.938165053471501,25.752071288290068,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color
8,ylm_two_color_008_lyll,ylm,two_color,ycyy,lyll,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#d6ce92,0.838235294117647,0.8098039215686273,0.5705882352941176,82.21898292692846,-6.699939912165275,31.297230565592926,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color
9,ylm_two_color_009_yll,ylm,two_color,cyy,yll,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#dad081,0.8562091503267973,0.8169934640522875,0.5071895424836601,82.82120022881202,-7.696665638264988,40.40751441229884,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color
10,ylm_two_color_010_ylyll,ylm,two_color,cycyy,ylyll,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#ded274,0.8705882352941176,0.8227450980392156,0.4564705882352941,83.33502282263355,-8.257930520914059,47.51106638204572,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color
11,ylm_two_color_011_yl,ylm,two_color,cy,yl,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#e3d461,0.892156862745098,0.8313725490196078,0.3803921568627451,84.15520736693792,-8.730104128588545,57.68148747093511,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color
12,ylm_two_color_012_yylyl,ylm,two_color,ccycy,yylyl,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#e9d64e,0.9137254901960784,0.8400000000000001,0.3043137254901961,85.02953160322268,-8.794139025000923,66.97830057317569,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color
13,ylm_two_color_013_yyl,ylm,two_color,ccy,yyl,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#edd841,0.9281045751633986,0.8457516339869281,0.25359477124183005,85.6395345111988,-8.632014537106992,72.49823506851614,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color
14,ylm_two_color_014_yyly,ylm,two_color,ccyc,yyly,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#f1da31,0.946078431372549,0.8529411764705882,0.19019607843137254,86.4293383471445,-8.224065116570255,78.42019236804148,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color
15,ylm_two_color_015_yylyy,ylm,two_color,ccycc,yylyy,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#f4db27,0.9568627450980391,0.8572549019607842,0.15215686274509804,86.91636496560015,-7.881167241053033,81.37129826882345,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color
16,ylm_two_color_016_y,ylm,two_color,c,y,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#ffdf00,1.0,0.8745098039215686,0.0,88.94096720886532,-5.949434572648293,88.5567575521992,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color
17,ylm_two_color_017_yymyy,ylm,two_color,ccmcc,yymyy,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#f3b71e,0.9529411764705882,0.7192156862745098,0.11764705882352941,77.98402366630827,9.564777772315624,76.10333175007294,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color
18,ylm_two_color_018_yymy,ylm,two_color,ccmc,yymy,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#f0ae26,0.9411764705882353,0.6803921568627451,0.14705882352941177,75.29275943833024,13.646301897515034,71.93335971602419,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color
19,ylm_two_color_019_yym,ylm,two_color,ccm,yym,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#eb9d32,0.9215686274509803,0.615686274509804,0.19607843137254902,70.87834005274337,20.623964460334378,63.79337035503971,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color
20,ylm_two_color_020_yymym,ylm,two_color,ccmcm,yymym,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#e7903c,0.9058823529411765,0.563921568627451,0.23529411764705882,67.4309478758879,26.342851808801193,56.233812465552,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color
21,ylm_two_color_021_ym,ylm,two_color,cm,ym,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,#e17c4b,0.8823529411764706,0.48627450980392156,0.29411764705882354,62.45289702748056,35.06929839281481,43.41945673452145,"[[0.55, 0.2598076211353316], [0.5, 0.2886751345948129], [0.4500000000000002, 0.25980762113533173], [0.44999999999999996, 0.25980762113533157], [0.44999999999999996, 0.0], [0.55, 0.0]]",6,2,2,two_color
22,ylm_two_color_022_ymymm,ylm,two_color,cmcmm,ymymm,0.4,0.0,0.6,0.4,0.0,0.6,0.6,0.0,#db685a,0.8588235294117647,0.4086274509803922,0.3529411764705882,57.792720015896336,43.79980661784777,29.401577379574974,"[[0.6333333333333334, 0.2116950987028627], [0.6333333333333331, 0.211695098702863], [0.5500000000000002, 0.25980762113533157], [0.55, 0.2598076211353316], [0.55, 0.0], [0.6333333333333334, 0.0]]",6,2,2,two_color
23,ylm_two_color_023_ymm,ylm,two_color,cmm,ymm,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,#d75b64,0.8431372549019608,0.3568627450980392,0.39215686274509803,54.92109472478978,49.47976671792647,19.744343642877826,"[[0.7083333333333331, 0.168393828513641], [0.7083333333333331, 0.168393828513641], [0.6333333333333333, 0.2116950987028628], [0.6333333333333334, 0.0], [0.7083333333333333, 0.0]]",6,2,2,two_color
24,ylm_two_color_024_mymm,ylm,two_color,mcmm,mymm,0.25,0.0,0.75,0.25,0.0,0.75,0.75,0.0,#d24b71,0.8235294117647058,0.29215686274509806,0.4411764705882353,51.668565525830644,56.21727015606698,7.685778968975887,"[[0.7750000000000006, 0.12990381056766542], [0.7750000000000004, 0.12990381056766562], [0.7083333333333331, 0.16839382851364093], [0.7083333333333331, 0.0], [0.7750000000000006, 0.0]]",6,2,2,two_color
25,ylm_two_color_025_mmymm,ylm,two_color,mmcmm,mmymm,0.2,0.0,0.8,0.2,0.0,0.8,0.8,0.0,#cf4178,0.8117647058823529,0.25333333333333335,0.47058823529411764,49.9300161110031,59.96278169082675,0.597488729997786,"[[0.7750000000000006, 0.12990381056766537], [0.7750000000000006, 0.0], [0.8999999999999999, 0.0], [0.8999999999999999, 0.05773502691896263]]",6,2,2,two_color
26,ylm_two_color_026_m,ylm,two_color,m,m,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,#c31996,0.7647058823529411,0.09803921568627451,0.5882352941176471,44.94517938493525,71.41561872915153,-25.286338363609783,"[[0.8999999999999999, 0.05773502691896262], [0.8999999999999999, 0.0], [1.0, 0.0], [0.95, 0.08660254037844395]]",6,2,2,two_color
27,ylm_two_color_027_mmlmm,ylm,two_color,mmymm,mmlmm,0.0,0.2,0.8,0.0,0.2,0.8,0.9,0.17320508075688773,#c43c9f,0.7686274509803921,0.23607843137254902,0.6227450980392157,48.86873119968806,63.20287740701252,-24.46009316180198,"[[0.7750000000000004, 0.12990381056766553], [0.7750000000000004, 0.1299038105676656], [0.8999999999999999, 0.05773502691896262], [0.95, 0.08660254037844393], [0.8875000000000002, 0.19485571585149836]]",6,2,2,two_color
28,ylm_two_color_028_mmlm,ylm,two_color,mmym,mmlm,0.0,0.25,0.75,0.0,0.25,0.75,0.875,0.21650635094610965,#c445a1,0.7696078431372548,0.27058823529411763,0.6313725490196078,50.21783700971264,60.19646024433661,-23.676094231395204,"[[0.7083333333333333, 0.16839382851364088], [0.708333333333333, 0.1683938285136411], [0.7750000000000006, 0.12990381056766553], [0.7750000000000005, 0.12990381056766556], [0.8875000000000002, 0.19485571585149838], [0.8541666666666666, 0.2525907427704614]]",6,2,2,two_color
29,ylm_two_color_029_mml,ylm,two_color,mmy,mml,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.8333333333333333,0.28867513459481287,#c554a5,0.7712418300653594,0.3281045751633987,0.6457516339869281,52.7536654284103,54.518865235422986,-21.924235144084527,"[[0.6333333333333329, 0.21169509870286304], [0.6333333333333332, 0.2116950987028628], [0.708333333333333, 0.16839382851364093], [0.7083333333333333, 0.16839382851364088], [0.8541666666666666, 0.25259074277046145], [0.8166666666666667, 0.3175426480542943]]",6,2,2,two_color
30,ylm_two_color_030_mmlml,ylm,two_color,mmymy,mmlml,0.0,0.4,0.6,0.0,0.4,0.6,0.8,0.34641016151377546,#c55fa8,0.7725490196078431,0.37411764705882355,0.6572549019607843,55.012335835835785,49.49240915014885,-20.17017298832242,"[[0.5500000000000003, 0.2598076211353315], [0.5500000000000003, 0.2598076211353315], [0.6333333333333333, 0.21169509870286285], [0.6333333333333329, 0.21169509870286302], [0.8166666666666665, 0.3175426480542942], [0.775, 0.38971143170299727]]",6,2,2,two_color
