region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_l,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,ylm_two_color_001_ml,ylm,two_color,my,ml,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#c571ac,0.7745098039215685,0.44313725490196076,0.6745098039215687,58.72265684725714,41.379477952339485,-17.05358096661975,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color,8499,32662,13864,8673,8499,8673,1.0,0.65,0.65,8,98.0,10.023566031880693,174,0.020062262193012798,#bb8fb3,0.73333335,0.56078434,0.7019608,64.59051517809048,22.220043198131535,-12.006770813343293,65.81232827285001,21.892053924208938,-11.93963709505871,9.379794733423758,20.663639423264627,4.15727841552464,7.909847569946827,2.385082044100845,331.61508963961467,25.25654103575911,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4580ylm.tif,DSC_4580ylm.tif,DSC_4580,ylm,capture_number,4580,y,l,m,CMY+neutral,two_color__ylm__DSC_4580ylm,0.547112462006079
2,ylm_two_color_002_mlmll,ylm,two_color,mymyy,mlmll,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#c683b0,0.776470588235294,0.512156862745098,0.691764705882353,62.746244013795746,32.84288352123299,-13.476539875367543,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color,5417,23605,9967,5528,5417,5528,1.0,0.65,0.65,8,98.0,10.93260511243904,111,0.02007959479015919,#b99bb8,0.7254902,0.60784316,0.72156864,67.81373574075451,17.519910929585826,-10.215786549553352,67.22467174314484,17.116249535732116,-10.127795558018168,8.510100780459075,16.465280856972164,6.177849140865729,9.272157386317616,2.743131594173195,329.75371807093074,20.280768570413105,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4580ylm.tif,DSC_4580ylm.tif,DSC_4580,ylm,capture_number,4580,y,l,m,CMY+neutral,two_color__ylm__DSC_4580ylm,0.547112462006079
3,ylm_two_color_003_mll,ylm,two_color,myy,mll,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#c68eb3,0.7777777777777777,0.5581699346405228,0.7032679738562092,65.56634132203305,27.038106152420085,-10.895934010651565,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color,3585,16934,7265,3658,3585,3658,1.0,0.65,0.65,8,98.0,11.619633072168583,73,0.019956260251503554,#b9a6ba,0.7254902,0.6509804,0.7294118,70.44341193228304,11.897967359286387,-8.213823332857162,68.80292178580541,13.664015028859685,-8.92961378953131,9.769592452780929,16.130819511130078,5.161472135197074,10.587719288010167,3.080193304238356,325.3805404072851,14.457818681462049,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4580ylm.tif,DSC_4580ylm.tif,DSC_4580,ylm,capture_number,4580,y,l,m,CMY+neutral,two_color__ylm__DSC_4580ylm,0.547112462006079
4,ylm_two_color_004_lmll,ylm,two_color,ymyy,lmll,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#c79db7,0.7794117647058822,0.6156862745098038,0.7176470588235294,69.2138812587631,19.753553107714428,-7.502814008008762,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color,2162,11848,5061,2207,2162,2207,1.0,0.65,0.65,8,98.0,13.330316587403797,45,0.020389669234254643,#b8acba,0.72156864,0.6745098,0.7294118,71.75347550442042,8.104849011462244,-6.4384416454746685,70.07757631465876,10.669542214530345,-7.554784677478682,8.951788336814802,11.969742460919726,4.776464724732646,12.411398344424116,3.70289320203217,321.536589493093,10.350947218529475,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4580ylm.tif,DSC_4580ylm.tif,DSC_4580,ylm,capture_number,4580,y,l,m,CMY+neutral,two_color__ylm__DSC_4580ylm,0.547112462006079
5,ylm_two_color_005_llmll,ylm,two_color,yymyy,llmll,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#c7a6b9,0.780392156862745,0.6501960784313725,0.7262745098039216,71.4559397750803,15.400170893808241,-5.396662724989443,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color,3131,13979,6034,3195,3131,3111,0.9737089201877934,0.65,0.65,8,98.0,16.003326654574547,64,0.02003129890453834,#b8b0bc,0.72156864,0.6901961,0.7372549,72.50300504457432,5.097899589170119,-5.450317625268752,71.14099434676915,8.730525776863074,-6.8702519247109635,9.173570566169436,10.355482536380169,4.335069821246407,14.679495504461865,4.60620410318587,313.0864483886818,7.462877624453993,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4580ylm.tif,DSC_4580ylm.tif,DSC_4580,ylm,capture_number,4580,y,l,m,CMY+neutral,two_color__ylm__DSC_4580ylm,0.547112462006079
6,ylm_two_color_006_l,ylm,two_color,y,l,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#c8c9c2,0.7843137254901961,0.788235294117647,0.7607843137254902,80.70973829085915,-1.6093340068246142,3.370929344299589,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color,958,6936,2912,978,958,0,0.0,0.65,0.65,8,98.0,3.00838749493895,20,0.02044989775051125,#b5b8bd,0.70980394,0.72156864,0.7411765,74.68511326843817,-0.09208075934613591,-2.5382683822765317,74.85681220885986,-0.09682499001346648,-2.6027633391947678,7.367259783459691,8.574192781220711,1.15008112897331,2.157122822007341,0.6559613199615134,267.9223921408459,2.539938039934534,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4580ylm.tif,DSC_4580ylm.tif,DSC_4580,ylm,capture_number,4580,y,l,m,CMY+neutral,two_color__ylm__DSC_4580ylm,0.547112462006079
7,ylm_two_color_007_llyll,ylm,two_color,yycyy,llyll,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#d3cd9b,0.8274509803921568,0.8054901960784313,0.6086274509803922,81.88025664560861,-5.938165053471501,25.752071288290068,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color,3066,14078,5937,3129,3066,2009,0.6420581655480985,0.65,0.65,8,98.0,14.450532103631696,63,0.020134228187919462,#b9bdaf,0.7254902,0.7411765,0.6862745,76.04145597452299,-3.92398109742903,6.695043394403532,76.29652505251875,-5.388136306960881,10.663721223358456,11.853418713548802,20.03294392828518,6.247718000060529,12.358688530283281,3.797225691254987,120.37467045003251,7.760234127004591,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4580ylm.tif,DSC_4580ylm.tif,DSC_4580,ylm,capture_number,4580,y,l,m,CMY+neutral,two_color__ylm__DSC_4580ylm,0.547112462006079
8,ylm_two_color_008_lyll,ylm,two_color,ycyy,lyll,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#d6ce92,0.838235294117647,0.8098039215686273,0.5705882352941176,82.21898292692846,-6.699939912165275,31.297230565592926,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color,2173,11885,5040,2214,2173,2214,1.0,0.65,0.65,8,98.0,11.72921405002408,41,0.018518518518518517,#b9bda2,0.7254902,0.7411765,0.63529414,75.85891945103666,-6.557930590858129,12.542133460229078,76.31435072644317,-7.138860053216445,15.216805705774787,10.8317704425343,19.804652016542438,6.949209227651351,10.28408043217421,2.8402203709552487,117.60380884812815,14.153146836259088,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4580ylm.tif,DSC_4580ylm.tif,DSC_4580,ylm,capture_number,4580,y,l,m,CMY+neutral,two_color__ylm__DSC_4580ylm,0.547112462006079
9,ylm_two_color_009_yll,ylm,two_color,cyy,yll,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#dad081,0.8562091503267973,0.8169934640522875,0.5071895424836601,82.82120022881202,-7.696665638264988,40.40751441229884,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color,3586,17082,7251,3659,3586,3659,1.0,0.65,0.65,8,98.0,9.524498087664222,73,0.019950806231210712,#bdc193,0.7411765,0.75686276,0.5764706,76.92938757583977,-10.123472087491177,24.623176035079418,77.2334355657081,-9.937901654134386,24.672208117794394,8.507290806673703,17.021991184532187,4.369336189356404,6.977115092975191,1.9671026331984967,112.34932418407385,26.623025469708026,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4580ylm.tif,DSC_4580ylm.tif,DSC_4580,ylm,capture_number,4580,y,l,m,CMY+neutral,two_color__ylm__DSC_4580ylm,0.547112462006079
10,ylm_two_color_010_ylyll,ylm,two_color,cycyy,ylyll,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#ded274,0.8705882352941176,0.8227450980392156,0.4564705882352941,83.33502282263355,-8.257930520914059,47.51106638204572,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color,5482,23319,10019,5594,5482,5594,1.0,0.65,0.65,8,98.0,11.474338311022981,112,0.020021451555237754,#bfc486,0.7490196,0.76862746,0.5254902,77.55783016488006,-12.347765579445337,32.507447174165705,77.69347042638036,-11.700834985799625,30.335733806294062,8.07192118453554,16.589493516857544,3.3422751049024777,8.923239898996101,2.6444760076209,110.7989907754203,34.77357382533623,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4580ylm.tif,DSC_4580ylm.tif,DSC_4580,ylm,capture_number,4580,y,l,m,CMY+neutral,two_color__ylm__DSC_4580ylm,0.547112462006079
