region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_n,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,ynm_two_color_001_mn,ynm,two_color,my,mn,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#a65494,0.6529411764705881,0.32941176470588235,0.580392156862745,47.805157734402606,42.521479006203236,-20.047639669346818,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color,8218,31669,13487,8376,8218,8376,1.0,0.65,0.65,8,98.0,4.502992345385845,158,0.01886341929321872,#976b88,0.5921569,0.41960785,0.53333336,50.63958559786772,22.052437301982696,-8.813781386000642,50.500165747777274,22.100040934125545,-8.84806046861393,9.528134727938145,23.52052766271651,1.8545511533473829,3.357908415345151,0.9484789037193186,338.21470436072485,23.748531181487607,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4591ynm.tif,DSC_4591ynm.tif,DSC_4591,ynm,capture_number,4591,y,n,m,CMY+neutral,two_color__ynm__DSC_4591ynm,0.5366726296958855
2,ynm_two_color_002_mnmnn,ynm,two_color,mymyy,mnmnn,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#a16094,0.6305882352941176,0.3756862745098039,0.5788235294117646,49.51110263516371,34.24933449875767,-17.265374749468055,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color,5196,22743,9669,5296,5196,5296,1.0,0.65,0.65,8,98.0,7.927520914953713,100,0.0188821752265861,#8f6d82,0.56078434,0.42745098,0.50980395,50.05884978597942,17.89096403600393,-7.154856787269237,49.920162332568545,16.879630850175435,-6.7129090089133,8.614931684156272,19.238474071554265,3.069462703339439,6.152476319461227,1.784475951111061,338.2028113846414,19.26859023862199,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4591ynm.tif,DSC_4591ynm.tif,DSC_4591,ynm,capture_number,4591,y,n,m,CMY+neutral,two_color__ynm__DSC_4591ynm,0.5366726296958855
3,ynm_two_color_003_mnn,ynm,two_color,myy,mnn,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#9d6893,0.6156862745098038,0.40653594771241836,0.5777777777777777,50.827170867956525,28.48030716878547,-15.147425241078327,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color,3407,16744,7034,3477,3407,3477,1.0,0.65,0.65,8,98.0,6.637866837485014,70,0.02013229795800978,#896e7f,0.5372549,0.43137255,0.49803922,49.591491250231925,13.849545076252856,-5.354564596938416,49.4091109139479,14.083351951872348,-5.523922569885932,9.13266467210471,17.648972296467964,3.483110310138522,5.061274010039451,1.3654714008387918,338.86230878760483,14.848611411237954,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4591ynm.tif,DSC_4591ynm.tif,DSC_4591,ynm,capture_number,4591,y,n,m,CMY+neutral,two_color__ynm__DSC_4591ynm,0.5366726296958855
4,ynm_two_color_004_nmnn,ynm,two_color,ymyy,nmnn,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#987293,0.5970588235294116,0.4450980392156863,0.5764705882352941,52.65165932914287,21.092189602569754,-12.242675339448228,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color,2049,11628,4883,2086,2049,2086,1.0,0.65,0.65,8,98.0,8.847381537699647,37,0.017737296260786194,#836f7b,0.5137255,0.43529412,0.48235294,49.19514778622023,10.04747594058747,-3.342277976612129,49.33705337703941,11.032195434224244,-4.1653018630140135,9.446593583292206,14.599665925558549,4.524926083495254,7.036810427725494,1.9002721075233426,341.6003717784894,10.588795722348719,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4591ynm.tif,DSC_4591ynm.tif,DSC_4591,ynm,capture_number,4591,y,n,m,CMY+neutral,two_color__ynm__DSC_4591ynm,0.5366726296958855
5,ynm_two_color_005_nnmnn,ynm,two_color,yymyy,nnmnn,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#957793,0.5858823529411764,0.4682352941176471,0.5756862745098038,53.83252918446905,16.609472422440042,-10.379417915150535,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color,2980,13668,5833,3041,2980,2861,0.9408089444261756,0.65,0.65,8,98.0,10.846968646046063,61,0.020059191055573824,#7f707a,0.49803922,0.4392157,0.47843137,49.25811663915145,7.367749672458568,-2.8020004684757627,49.46094697204928,9.298244637630964,-3.8361462101848187,9.57867360019284,12.796559876914397,4.551876414811467,9.4748071926542,2.6436719674331948,339.1778830694948,7.882572033375383,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4591ynm.tif,DSC_4591ynm.tif,DSC_4591,ynm,capture_number,4591,y,n,m,CMY+neutral,two_color__ynm__DSC_4591ynm,0.5366726296958855
6,ynm_two_color_006_n,ynm,two_color,y,n,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#8a8f92,0.5411764705882353,0.5607843137254902,0.5725490196078431,59.08831744726014,-1.2137183135860763,-2.223898189538698,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color,943,6761,2881,961,943,0,0.0,0.65,0.65,8,98.0,3.158668850824582,18,0.018730489073881373,#777575,0.46666667,0.45882353,0.45882353,49.381325064299446,0.7595631589134566,0.2694058374385522,49.31838921177281,0.6277241465371535,0.2720700463440485,10.03325050170193,10.21450468028224,1.019710367390542,2.0758592446243704,0.6741109958014958,19.528844475059202,0.805925367279475,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4591ynm.tif,DSC_4591ynm.tif,DSC_4591,ynm,capture_number,4591,y,n,m,CMY+neutral,two_color__ynm__DSC_4591ynm,0.5366726296958855
7,ynm_two_color_007_nnynn,ynm,two_color,yycyy,nnynn,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#a19f75,0.6329411764705881,0.6235294117647058,0.4580392156862745,64.71985701937079,-6.081445894802917,22.405802387216056,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color,2961,13735,5825,3022,2961,3017,0.9983454665784249,0.65,0.65,8,98.0,18.052715937628015,61,0.02018530774321641,#7d7b6b,0.49019608,0.48235294,0.41960785,51.59548119110657,-2.9024673371337295,9.475892088694081,53.810987155343796,-4.340457494417988,12.687800066510647,14.147996330606476,18.695928056116156,5.151438595683486,14.39795107269839,4.546462088688465,107.0298352317933,9.910441338290806,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4591ynm.tif,DSC_4591ynm.tif,DSC_4591,ynm,capture_number,4591,y,n,m,CMY+neutral,two_color__ynm__DSC_4591ynm,0.5366726296958855
8,ynm_two_color_008_nynn,ynm,two_color,ycyy,nynn,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#a7a36e,0.6558823529411764,0.6392156862745098,0.4294117647058823,66.17676670849767,-6.831586615665075,28.394326382394187,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color,2114,11587,4973,2158,2114,2158,1.0,0.65,0.65,8,98.0,13.434362313432088,44,0.020389249304911955,#818069,0.5039216,0.5019608,0.4117647,53.076404044440395,-4.3049283331836605,13.317056024152919,54.590501725036084,-5.1008925434435515,14.942517954890066,13.976049797095506,20.13274907859725,5.644726541840414,10.88213563986962,3.2038319322928497,107.91416639811052,13.995584628884746,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4591ynm.tif,DSC_4591ynm.tif,DSC_4591,ynm,capture_number,4591,y,n,m,CMY+neutral,two_color__ynm__DSC_4591ynm,0.5366726296958855
9,ynm_two_color_009_ynn,ynm,two_color,cyy,ynn,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#b1aa61,0.6941176470588234,0.665359477124183,0.38169934640522873,68.63668231180478,-7.740294518607637,38.09957989132911,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color,3441,16603,7065,3512,3441,3512,1.0,0.65,0.65,8,98.0,11.035065929312747,71,0.020216400911161732,#888865,0.53333336,0.53333336,0.39607844,55.849680593210095,-6.616533711696404,20.116987245459427,56.92625132206412,-6.914461697978195,20.643033698580634,13.487860397314801,22.093978581726276,4.856771708692436,8.154999722204705,2.5976262341603507,108.20618090931481,21.177150284964977,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4591ynm.tif,DSC_4591ynm.tif,DSC_4591,ynm,capture_number,4591,y,n,m,CMY+neutral,two_color__ynm__DSC_4591ynm,0.5366726296958855
10,ynm_two_color_010_ynynn,ynm,two_color,cycyy,ynynn,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#b9af58,0.7247058823529411,0.6862745098039215,0.34352941176470586,70.62795399013348,-8.197513426595027,45.53479237582603,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color,5214,22931,9685,5314,5214,5314,1.0,0.65,0.65,8,98.0,9.780409153891151,100,0.01881821603312006,#8f9063,0.56078434,0.5647059,0.3882353,58.64857861955076,-8.256665818746345,24.480785809943505,58.756434814297236,-7.822363661314643,23.76895669630238,13.100167568475563,24.223544863439074,3.5021144610529342,8.212519275258593,2.592931068846118,108.637773004204,25.83566148397957,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4591ynm.tif,DSC_4591ynm.tif,DSC_4591,ynm,capture_number,4591,y,n,m,CMY+neutral,two_color__ynm__DSC_4591ynm,0.5366726296958855
