region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_o,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,yom_two_color_001_mo,yom,two_color,my,mo,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#e14a58,0.8823529411764706,0.2882352941176471,0.34509803921568627,53.54422411041759,59.41211690493975,25.270447288206512,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color,8403,32288,13737,8575,8403,8575,1.0,0.65,0.65,8,98.0,5.932496140705986,172,0.020058309037900873,#fc6c75,0.9882353,0.42352942,0.45882353,63.83271884139363,55.69373830608948,22.031133957335026,63.75049477726498,55.74367657740174,22.12334653013536,9.340691139193428,11.409321368480738,2.7042142304359706,4.597597976394617,1.3260164965713406,21.582587115782076,59.892932387329466,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4605yom.tif,DSC_4605yom.tif,DSC_4605,yom,capture_number,4605,y,o,m,CMY+OVG,two_color__yom__DSC_4605yom,0.547112462006079
2,yom_two_color_002_momoo,yom,two_color,mymyy,momoo,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#e7534c,0.9058823529411765,0.3262745098039216,0.29647058823529415,55.8139974622423,56.7134096855314,35.498889888143104,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color,5272,23180,9790,5380,5272,3012,0.5598513011152416,0.65,0.65,8,98.0,6.733117790090195,108,0.020074349442379184,#fe6c71,0.99607843,0.42352942,0.44313726,64.13815866868241,55.717719728591135,25.582114671548062,64.1577571306805,55.74803870611434,25.509077231040443,8.762376462673014,12.9855877409391,3.1420714518542456,5.2154360256507735,1.5748155667934385,24.66164690348012,61.30994114189043,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4605yom.tif,DSC_4605yom.tif,DSC_4605,yom,capture_number,4605,y,o,m,CMY+OVG,two_color__yom__DSC_4605yom,0.547112462006079
3,yom_two_color_003_moo,yom,two_color,myy,moo,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#eb5a43,0.9215686274509803,0.3516339869281046,0.26405228758169935,57.39852042880595,54.90663095909532,42.082164119748555,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color,3521,16914,7186,3593,3521,145,0.04035624826050654,0.65,0.65,8,98.0,7.3109254227624545,72,0.0200389646534929,#ff6c6e,1.0,0.42352942,0.43137255,64.17212529603484,55.60255703834432,27.292110136216774,64.38016064367093,55.54883084753711,27.10702696917629,9.54594260421974,16.28225208135871,3.362355471660959,5.715602515117676,1.813669508539769,26.14377668790644,61.93951585934233,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4605yom.tif,DSC_4605yom.tif,DSC_4605,yom,capture_number,4605,y,o,m,CMY+OVG,two_color__yom__DSC_4605yom,0.547112462006079
4,yom_two_color_004_omoo,yom,two_color,ymyy,omoo,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#f06239,0.9411764705882353,0.38333333333333336,0.22352941176470587,59.448011134100184,52.65300814714402,49.88283392374061,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color,2170,11829,5051,2211,2170,0,0.0,0.65,0.65,8,98.0,9.071040616139586,41,0.01854364540931705,#ff6a66,1.0,0.41568628,0.4,63.781507456912195,56.15789514802655,30.888759124530928,64.64313491233406,55.23405138990256,28.21438562011719,10.749105794351035,19.794905929222118,2.6341371537345717,7.880650770725601,2.5282989959788993,28.81229516595897,64.09231332780894,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4605yom.tif,DSC_4605yom.tif,DSC_4605,yom,capture_number,4605,y,o,m,CMY+OVG,two_color__yom__DSC_4605yom,0.547112462006079
5,yom_two_color_005_oomoo,yom,two_color,yymyy,oomoo,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#f36733,0.9529411764705882,0.4023529411764706,0.1992156862745098,60.70995235657307,51.307850870585206,54.25771386802355,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color,3094,13910,5979,3153,3094,0,0.0,0.65,0.65,8,98.0,10.669306989355507,59,0.01871233745639074,#ff6d66,1.0,0.42745098,0.4,64.29117746754588,55.002697854249824,32.16243047701273,65.02281897493374,54.211828868061836,28.987811269786,11.875426038012758,22.68652938766167,1.8045168370611213,8.047651116261212,2.824284048426553,30.3166529160618,63.71592191465627,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4605yom.tif,DSC_4605yom.tif,DSC_4605,yom,capture_number,4605,y,o,m,CMY+OVG,two_color__yom__DSC_4605yom,0.547112462006079
6,yom_two_color_006_o,yom,two_color,y,o,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#ff7a1a,1.0,0.47843137254901963,0.10196078431372549,65.95057778279283,46.01545402094476,68.57062418706151,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color,985,6938,2955,1004,985,0,0.0,0.65,0.65,8,98.0,2.030495862850277,19,0.018924302788844622,#ff766d,1.0,0.4627451,0.42745098,65.98592360555907,51.75823322794149,30.063672770582215,65.92231151651609,51.755483650350264,29.924742580641045,18.994919080048504,38.93284050436852,0.7554332433448275,1.5003676567077715,0.43786986020389074,30.150081660413775,59.85598656220306,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4605yom.tif,DSC_4605yom.tif,DSC_4605,yom,capture_number,4605,y,o,m,CMY+OVG,two_color__yom__DSC_4605yom,0.547112462006079
7,yom_two_color_007_ooyoo,yom,two_color,yycyy,ooyoo,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#ff8e15,1.0,0.5576470588235295,0.0815686274509804,69.9827856485692,35.900579068845914,72.69096121414668,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color,3043,13967,5911,3104,3043,0,0.0,0.65,0.65,8,98.0,8.8422000617135,61,0.019652061855670103,#ff776a,1.0,0.46666667,0.41568628,66.15247491303458,50.70934260947851,32.43978148786366,67.42575485693399,47.951165067049274,32.191320998875206,22.794563604657267,43.05958926058931,1.2063691545714053,6.565124508602661,2.3550872470403537,32.60786117877632,60.19781433628479,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4605yom.tif,DSC_4605yom.tif,DSC_4605,yom,capture_number,4605,y,o,m,CMY+OVG,two_color__yom__DSC_4605yom,0.547112462006079
8,yom_two_color_008_oyoo,yom,two_color,ycyy,oyoo,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#ff9314,1.0,0.5774509803921569,0.07647058823529412,71.04973524387583,33.302977338059705,73.70192716191266,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color,2095,11897,4960,2138,2095,0,0.0,0.65,0.65,8,98.0,7.917654732364925,43,0.020112254443405052,#ff7868,1.0,0.47058824,0.40784314,66.25801890287772,50.23541315804586,33.63189131352895,67.54331879772703,47.46644573936921,33.33980822346172,23.513054773807667,43.76386295999582,1.2995213775244197,6.653929919679713,2.2661012176578486,33.801743181007225,60.45412184859351,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4605yom.tif,DSC_4605yom.tif,DSC_4605,yom,capture_number,4605,y,o,m,CMY+OVG,two_color__yom__DSC_4605yom,0.547112462006079
9,yom_two_color_009_yoo,yom,two_color,cyy,yoo,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#ff9c11,1.0,0.6104575163398693,0.06797385620915032,72.87373589050357,28.9356606984682,75.37165258562459,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color,3508,16855,7154,3580,3508,0,0.0,0.65,0.65,8,98.0,7.5087853658589685,72,0.02011173184357542,#ff7c67,1.0,0.4862745,0.40392157,67.02158768777431,48.26994744613322,34.77632440235647,68.09040594676675,46.03971437513009,34.34062207332841,24.621796089357098,45.343609835729715,1.9997352743975534,6.060267692020188,1.8808513275185934,35.77105220536248,59.49269337818214,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4605yom.tif,DSC_4605yom.tif,DSC_4605,yom,capture_number,4605,y,o,m,CMY+OVG,two_color__yom__DSC_4605yom,0.547112462006079
10,yom_two_color_010_yoyoo,yom,two_color,cycyy,yoyoo,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#ffa210,1.0,0.6368627450980393,0.0611764705882353,74.37079615128846,25.418703439362755,76.6951025205173,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color,5341,23268,9837,5446,5341,0,0.0,0.65,0.65,8,98.0,6.213981887453235,105,0.019280205655526992,#ff816a,1.0,0.5058824,0.41568628,68.0257763239291,45.960238903641034,34.497769777135304,68.70593649000757,44.667480489302015,34.197283888089714,25.66835760813528,47.35851398107297,2.529757621891303,4.990390972066695,1.5036208243472564,36.891904416566945,57.46685722811009,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4605yom.tif,DSC_4605yom.tif,DSC_4605,yom,capture_number,4605,y,o,m,CMY+OVG,two_color__yom__DSC_4605yom,0.547112462006079
