region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_v,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,yvm_two_color_001_mv,yvm,two_color,my,mv,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#9b38cb,0.6058823529411764,0.2196078431372549,0.7941176470588236,44.284845982298684,62.859789877610375,-57.75650193520261,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color,8375,32281,13708,8546,8375,8546,1.0,0.65,0.65,8,98.0,7.155909991274782,171,0.020009361104610345,#9b62b8,0.60784316,0.38431373,0.72156864,50.79935943427675,38.53101182301233,-37.11593024487121,50.98355460359337,38.367555880104625,-37.05252687552796,10.026154144226282,32.563192823333594,2.3531794154693086,4.9397375142591216,1.6055570506884924,316.0716724913489,53.499823831927344,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
2,yvm_two_color_002_mvmvv,yvm,two_color,mymyy,mvmvv,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#923ed5,0.5741176470588235,0.243921568627451,0.8352941176470589,44.8280240721982,60.991082424680044,-62.979505757944885,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color,5294,23316,9809,5403,5294,5403,1.0,0.65,0.65,8,98.0,8.199109150453552,109,0.020173977419951878,#9663bb,0.5882353,0.3882353,0.73333335,50.537073363767036,36.19640340771463,-38.14968276993574,50.78648953555496,36.322295792074215,-38.305682392442456,10.118661304282902,35.551223058901584,2.5931467038927996,4.576610858783899,1.4098369588528825,313.4950260327426,52.588762251081235,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
3,yvm_two_color_003_mvv,yvm,two_color,myy,mvv,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#8d42dc,0.5529411764705882,0.2601307189542484,0.8627450980392157,45.31120392348,59.7498642644132,-66.23123816885285,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color,3497,16834,7152,3569,3497,3569,1.0,0.65,0.65,8,98.0,5.087636239360157,72,0.020173718128327262,#9364bc,0.5764706,0.39215687,0.7372549,50.63198000819571,35.46590741588207,-39.24225958999148,50.7079025281223,35.618500940747325,-39.10814664567923,10.124719935585285,36.69368042449875,1.9626657700904842,3.15681925875763,0.9066571087465212,312.1062729779554,52.894097275217746,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
4,yvm_two_color_004_vmvv,yvm,two_color,ymyy,vmvv,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#8648e5,0.5264705882352941,0.2803921568627451,0.8970588235294118,46.04496773045418,58.22162368876366,-70.04778407563721,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color,2148,11860,5037,2192,2148,2192,1.0,0.65,0.65,8,98.0,6.559714606359785,44,0.020072992700729927,#8d63bd,0.5529412,0.3882353,0.7411765,50.01957065008954,34.968299771581165,-41.1835576289653,50.1381699593944,35.250253984905335,-40.39770432764784,9.60050786760536,37.27811837970017,2.1004714320585927,4.260633703025976,1.346697479529389,310.33405368984495,54.02654354938385,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
5,yvm_two_color_005_vvmvv,yvm,two_color,yymyy,vvmvv,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#824bea,0.5105882352941177,0.2925490196078432,0.9176470588235294,46.55113040139975,57.32465652541086,-72.21111280381838,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color,3068,13935,5944,3129,3068,3129,1.0,0.65,0.65,8,98.0,6.3713198180246895,61,0.019495046340683924,#8966be,0.5372549,0.4,0.74509805,50.3889459055743,33.49126192903318,-41.937920552610294,50.44507014374471,33.94723301865619,-40.734183163126076,9.790676612403221,38.71983593598161,2.1692567933262974,4.586693257944659,1.3911843960172523,308.6105623114462,53.669859380066946,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
6,yvm_two_color_006_v,yvm,two_color,y,v,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#7257ff,0.4470588235294118,0.3411764705882353,1.0,49.0221678957536,53.970442144664624,-79.9984025813113,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color,960,6822,2915,980,960,980,1.0,0.65,0.65,8,98.0,4.485390110944783,20,0.02040816326530612,#8367c0,0.5137255,0.40392157,0.7529412,49.94868047042584,30.566553359727244,-42.82213525611955,50.22478241260508,30.534646363889824,-42.695815327274026,10.471574196143788,43.93945024739002,1.2244558753557757,3.3499846980266734,1.1319754850781938,305.51934634677326,52.612255722278725,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
7,yvm_two_color_007_vvyvv,yvm,two_color,yycyy,vvyvv,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#8e72cc,0.5576470588235295,0.447843137254902,0.8,54.246564323511976,30.404083053306884,-42.78055011100697,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color,2977,13881,5841,3038,2977,3038,1.0,0.65,0.65,8,98.0,39.2451115958981,61,0.020078999341672153,#896dac,0.5372549,0.42745098,0.6745098,51.376370703291485,24.0351836605755,-29.741834800702183,53.99019550995586,19.83296182313058,-23.056727009103728,6.098029282281597,14.79219347613683,4.563101388096004,25.896971224825787,9.619153388417926,308.9426179135134,38.23959715935636,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
8,yvm_two_color_008_vyvv,yvm,two_color,ycyy,vyvv,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#9579bf,0.5852941176470589,0.4745098039215687,0.75,55.94778352329082,25.349647322433334,-32.79985316585119,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color,2132,11785,5013,2176,2132,2176,1.0,0.65,0.65,8,98.0,34.54320020443341,44,0.02022058823529412,#8c72a3,0.54901963,0.44705883,0.6392157,52.16935307451027,19.619575808860258,-22.7107868631387,54.617091124266175,17.401209668575873,-18.283678385793298,6.019089251303575,12.202438898329396,6.981556638626433,26.331547469065093,8.951638178667615,310.82334040826936,30.011790930608054,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
9,yvm_two_color_009_yvv,yvm,two_color,cyy,yvv,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#a184aa,0.6313725490196078,0.5189542483660131,0.6666666666666666,59.041755451852595,17.9163484560515,-15.805627886917906,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color,3565,16730,7226,3637,3565,3637,1.0,0.65,0.65,8,98.0,29.46391512691347,72,0.019796535606268904,#927b95,0.57254905,0.48235294,0.58431375,54.39726896376227,12.215195095243658,-7.96474577323707,56.55296002012956,12.154711589646068,-7.535752136433897,6.98559782158125,10.74959704836159,10.982133974846185,24.69990161368003,7.430538535574844,326.89420612020325,14.582460918759992,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
10,yvm_two_color_010_yvyvv,yvm,two_color,cycyy,yvyvv,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#aa8d99,0.6682352941176471,0.5545098039215687,0.6,61.70544539851048,12.889352372441987,-2.03967493681414,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color,5342,23263,9856,5451,5342,5451,1.0,0.65,0.65,8,98.0,22.312231072030634,109,0.019996330948449825,#98848f,0.59607846,0.5176471,0.56078434,57.05017942891582,8.157794153220543,-0.051324526489104905,57.84220655708783,10.114593102706282,-2.5112853267355217,5.985065339740167,6.9291183987422125,11.452195201979428,18.914081641677537,5.602573100336982,359.63953001275706,8.157955605011503,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
