region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_w,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,ywm_two_color_001_mw,ywm,two_color,my,mw,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#dc87c6,0.8627450980392157,0.5294117647058824,0.7745098039215687,66.97616588474968,41.38423944977831,-18.721001844604324,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color,10961,39872,16978,11176,10961,11176,1.0,0.65,0.65,8,98.0,5.98800295239729,215,0.01923765211166786,#e995c2,0.9137255,0.58431375,0.7607843,71.36228557428468,37.93884668920955,-10.025038182985568,71.63810373634814,37.809788796286156,-9.971929964075892,5.457239316294321,10.330951612010397,2.6272986018190814,4.317647667474754,1.3556226592637006,345.1983589372087,39.24101780889055,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4578ywm.tif,DSC_4578ywm.tif,DSC_4578,ywm,capture_number,4578,y,w,m,CMY+neutral,two_color__ywm__DSC_4578ywm,0.6050420168067226
2,ywm_two_color_002_mwmww,ywm,two_color,mymyy,mwmww,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#e19dcf,0.8823529411764707,0.615686274509804,0.8117647058823529,72.64680232968956,32.96201831167617,-15.363729047134388,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color,7118,28777,12233,7262,7118,7262,1.0,0.65,0.65,8,98.0,6.3116652259178325,144,0.019829248141007987,#eba4ca,0.92156863,0.6431373,0.7921569,75.23364121995486,32.44837305322401,-8.867609844345324,74.72837852846192,32.429397965655404,-8.728830483221627,4.008373903572268,7.011072071556832,3.340123065445822,5.226359970575057,1.590827604416596,344.71521433078226,33.638243386846526,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4578ywm.tif,DSC_4578ywm.tif,DSC_4578,ywm,capture_number,4578,y,w,m,CMY+neutral,two_color__ywm__DSC_4578ywm,0.6050420168067226
3,ywm_two_color_003_mww,ywm,two_color,myy,mww,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#e4acd5,0.8954248366013072,0.6732026143790849,0.8366013071895425,76.52729876085148,27.315573015551596,-12.96576895779924,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color,4709,20892,8832,4806,4709,4806,1.0,0.65,0.65,8,98.0,6.978869259770739,97,0.020183104452767373,#ebb0d0,0.92156863,0.6901961,0.8156863,78.20606950908252,27.226414586431822,-7.595965893339551,77.03747179799825,28.410853437670266,-7.916415557930214,3.3474268883455087,5.626811299633212,2.3896563413689287,5.889681124380797,1.9066550880196882,344.41129554697085,28.266169692497165,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4578ywm.tif,DSC_4578ywm.tif,DSC_4578,ywm,capture_number,4578,y,w,m,CMY+neutral,two_color__ywm__DSC_4578ywm,0.6050420168067226
4,ywm_two_color_004_wmww,ywm,two_color,ymyy,wmww,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#e9bedd,0.911764705882353,0.7450980392156863,0.8676470588235294,81.45728463311092,20.301394201731103,-9.84164735928399,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color,2925,14501,6167,2975,2925,2975,1.0,0.65,0.65,8,98.0,7.647347444369624,50,0.01680672268907563,#edbcd5,0.92941177,0.7372549,0.8352941,81.27757130733342,21.171941690690645,-5.834506507011317,80.2251604942539,23.167467109809746,-6.252462832427351,2.634395177291798,4.104549624495766,2.1281997648136137,6.827062977009727,2.221435256163713,344.59300205477524,21.96116074196357,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4578ywm.tif,DSC_4578ywm.tif,DSC_4578,ywm,capture_number,4578,y,w,m,CMY+neutral,two_color__ywm__DSC_4578ywm,0.6050420168067226
5,ywm_two_color_005_wwmww,ywm,two_color,yymyy,wwmww,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#ebc9e2,0.9215686274509804,0.7882352941176471,0.8862745098039216,84.44652081221768,16.139205008811608,-7.917139240384108,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color,4068,17277,7327,4151,4068,4151,1.0,0.65,0.65,8,98.0,8.200998454745204,83,0.0199951818838834,#eec4d9,0.93333334,0.76862746,0.8509804,83.26771356726748,17.920686478520743,-4.762083810633766,82.33644739043383,19.80505070703812,-5.252813281671643,2.6474011862792017,3.810201767946316,2.6233114234743375,7.353212119384527,2.2455296423018885,345.11863947795445,18.54261163053728,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4578ywm.tif,DSC_4578ywm.tif,DSC_4578,ywm,capture_number,4578,y,w,m,CMY+neutral,two_color__ywm__DSC_4578ywm,0.6050420168067226
6,ywm_two_color_006_w,ywm,two_color,y,w,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#f5f5f5,0.9607843137254902,0.9607843137254902,0.9607843137254902,96.53749336548567,-1.616917905122861e-05,6.467671598286984e-06,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color,1381,8426,3605,1397,1381,0,0.0,0.65,0.65,8,98.0,0.6306848728898067,16,0.01145311381531854,#f3f1ef,0.9529412,0.94509804,0.9372549,95.24401658721486,0.31622723161728317,1.1982366166505942,95.3246624512353,0.34021421342114694,1.3756089255240986,1.4689086449229978,1.7913256416395387,0.41449766783875924,0.5593749439513018,0.2460858462169625,75.21611603828899,1.2392621399440047,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4578ywm.tif,DSC_4578ywm.tif,DSC_4578,ywm,capture_number,4578,y,w,m,CMY+neutral,two_color__ywm__DSC_4578ywm,0.6050420168067226
7,ywm_two_color_007_wwyww,ywm,two_color,yycyy,wwyww,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#f7f1c4,0.9686274509803923,0.943529411764706,0.7686274509803922,94.49799914190935,-4.872218839970466,22.370113365105905,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color,4045,17141,7301,4128,4045,4128,1.0,0.65,0.65,8,98.0,7.96240129003813,83,0.020106589147286823,#f9f1c2,0.9764706,0.94509804,0.7607843,94.62774008035498,-4.349074116253515,23.633724953964208,94.626209836679,-5.0462851402147795,26.368864882814883,0.8824696542523182,1.3737639391680962,2.5830196532853744,6.460557510996702,2.045883162582835,100.42690764998855,24.030551405831222,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4578ywm.tif,DSC_4578ywm.tif,DSC_4578,ywm,capture_number,4578,y,w,m,CMY+neutral,two_color__ywm__DSC_4578ywm,0.6050420168067226
8,ywm_two_color_008_wyww,ywm,two_color,ycyy,wyww,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#f8f0b8,0.9705882352941178,0.9392156862745099,0.7205882352941176,94.03074541756537,-5.8061779066262424,27.997281699796005,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color,2964,14425,6218,3025,2964,3025,1.0,0.65,0.65,8,98.0,5.980228411834957,61,0.020165289256198347,#fbf0b5,0.9843137,0.9411765,0.70980394,94.43047120831993,-5.472241726463711,29.80102799013784,94.43764999289608,-5.890592231011222,31.934190130901353,0.9360591327887449,1.877443676954872,2.269131825967777,5.030135486209537,1.555162916377689,100.40507683435476,30.29928545002059,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4578ywm.tif,DSC_4578ywm.tif,DSC_4578,ywm,capture_number,4578,y,w,m,CMY+neutral,two_color__ywm__DSC_4578ywm,0.6050420168067226
9,ywm_two_color_009_yww,ywm,two_color,cyy,yww,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#f8eea3,0.9738562091503269,0.9320261437908498,0.6405228758169935,93.28989762805435,-7.0985775864075285,37.34317724520992,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color,4691,20835,8789,4781,4691,2776,0.5806316670152688,0.65,0.65,8,98.0,4.029855416604464,90,0.01882451370006275,#fdf09a,0.99215686,0.9411765,0.6039216,94.09811818491214,-6.973019846915173,42.92163477471769,94.13204664475586,-7.073831096443938,42.339814718941426,2.1321498466243507,5.638100178517213,1.4674541726871542,3.3265786668098256,1.0337983331610352,99.22761572355631,43.48436198818752,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4578ywm.tif,DSC_4578ywm.tif,DSC_4578,ywm,capture_number,4578,y,w,m,CMY+neutral,two_color__ywm__DSC_4578ywm,0.6050420168067226
10,ywm_two_color_010_ywyww,ywm,two_color,cycyy,ywyww,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#f9ec93,0.9764705882352942,0.9262745098039217,0.5764705882352941,92.73114977667396,-7.8910818467205495,44.73620836974273,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color,7111,28755,12192,7257,7111,1276,0.17583023287859997,0.65,0.65,8,98.0,4.7375818313425615,146,0.02011850626980846,#ffef92,1.0,0.9372549,0.57254905,93.85555905570696,-7.157303150563066,46.70125051662713,93.85773330029303,-7.028161080670546,45.842294891005885,1.1420895482255045,2.3799407641246337,1.451542631713227,3.7060223523294376,1.2038688368004635,98.71319531123072,47.24652144026929,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4578ywm.tif,DSC_4578ywm.tif,DSC_4578,ywm,capture_number,4578,y,w,m,CMY+neutral,two_color__ywm__DSC_4578ywm,0.6050420168067226
