condition,corner_label,region_index,local_stack_token,stack_token,palette_family,n_replicates,source_files,f_bottom_left,f_top,f_bottom_right,f_c,f_y,f_m,site_x,site_y,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,max_height,max_run,distinct_lte,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,analysis_scale,f_w,f_l,f_n,f_k,f_o,f_v,f_g
full,cgm,1,my,mg,CMY+OVG,1,DSC_4568cgm.tif,0.0,0.5,0.5,0.0,,0.5,0.75,0.4330127018922193,0.44509803921568625,0.4235294117647059,0.4882352941176471,46.627535482316695,5.590572036020647,-8.359464096449232,6.0,5.0,5.0,1797.0,9472.0,4020.0,1834.0,1797.0,1834.0,1.0,0.65,0.65,8.0,98.0,4.486326453463104,37.0,0.020174482006543076,0.6039215922355652,0.5607843399047852,0.5254902243614197,60.05223136361268,2.1270795278741095,6.4202429565324515,60.00776645629672,2.4593572043144576,6.2552797843472305,18.585485628792632,20.26469788650275,1.2566696744756893,3.18297931249938,1.006731288096726,71.66953983862322,6.763430116354105,0.547112462006079,,,,,,,0.5
full,cgm,2,cmy,cmg,CMY+OVG,1,DSC_4568cgm.tif,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.5,0.28867513459481287,0.37254901960784315,0.5437908496732026,0.6130718954248366,55.290167864338,-10.233918840829581,-14.121531410722499,6.0,5.0,5.0,4167.0,16594.0,7102.0,4252.0,4167.0,4252.0,1.0,0.65,0.65,8.0,98.0,4.9372807751048144,85.0,0.019990592662276575,0.5215686559677124,0.6117647290229797,0.6470588445663452,62.8048179147532,-5.992536884994237,-8.110563359234725,62.609968093726245,-5.8903215560703055,-7.81172807607401,8.338481745180292,10.516226661283863,2.4358814082809936,3.787856273043968,0.9908865044577715,233.540942543258,10.084232064077923,0.547112462006079,,,,,,,0.3333333333333333
full,cgm,3,cmymy,cmgmg,CMY+OVG,1,DSC_4568cgm.tif,0.2,0.4,0.4,0.2,,0.4,0.6000000000000001,0.34641016151377546,0.4015686274509804,0.49568627450980396,0.5631372549019609,51.6934427404931,-4.442586050808883,-12.122647468866887,6.0,5.0,5.0,2893.0,13662.0,5824.0,2951.0,2893.0,2399.0,0.8129447644866147,0.65,0.65,8.0,98.0,6.596985150393927,58.0,0.01965435445611657,0.545098066329956,0.5843137502670288,0.5843137502670288,61.02339715064436,-4.072465362877309,-1.8160809193850325,61.43056715579088,-4.17643150393075,-1.830699888904605,11.654190871831865,13.907205062773546,3.6440438979870335,5.274672294598177,1.3619318161230378,204.03407106559516,4.459049678753288,0.547112462006079,,,,,,,0.4
full,cgm,4,mymyy,mgmgg,CMY+OVG,1,DSC_4568cgm.tif,0.0,0.6,0.4,0.0,,0.4,0.7,0.5196152422706631,0.3811764705882353,0.4886274509803922,0.4682352941176471,50.048780298099175,-11.011596685547298,-0.4100021177099622,6.0,5.0,5.0,1051.0,7142.0,3016.0,1072.0,1051.0,1072.0,1.0,0.65,0.65,8.0,98.0,5.476014027841248,21.0,0.01958955223880597,0.5647059082984924,0.5960784554481506,0.5098039507865906,61.701857271390296,-6.998327138807381,11.223236452387608,61.66489284333806,-7.017400945968593,10.908474146776827,14.758538146804517,16.947943091391462,2.2220668423484367,4.258787368303148,1.2341752537162223,121.94588905201607,13.226398572853077,0.547112462006079,,,,,,,0.6
full,cgm,5,myy,mgg,CMY+OVG,1,DSC_4568cgm.tif,0.0,0.6666666666666666,0.3333333333333333,0.0,,0.3333333333333333,0.6666666666666666,0.5773502691896257,0.33856209150326794,0.5320261437908497,0.4549019607843137,52.695630696077046,-21.313046076856747,5.328256157381528,6.0,5.0,5.0,1253.0,7505.0,3192.0,1279.0,1253.0,1279.0,1.0,0.65,0.65,8.0,98.0,2.565077932580766,26.0,0.020328381548084442,0.5529412031173706,0.6196078658103943,0.5137255191802979,63.14636795440336,-11.873804960611745,12.77159709873179,63.29125459729481,-11.766885683439362,12.563316760278038,12.978840312314865,15.928606544904076,1.2429682386764769,2.051265627764572,0.5213682763034712,132.91372993582428,17.438490092177773,0.547112462006079,,,,,,,0.6666666666666666
full,cgm,6,cymymy,cgmgmg,CMY+OVG,1,DSC_4568cgm.tif,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,,0.3333333333333333,0.5833333333333333,0.4330127018922193,0.35555555555555557,0.5379084967320261,0.5339869281045752,53.9497232242863,-15.951743003437935,-4.501325861504379,6.0,5.0,5.0,3590.0,15080.0,6386.0,3663.0,3590.0,3663.0,1.0,0.65,0.65,8.0,98.0,7.288629000701862,73.0,0.01992901992901993,0.529411792755127,0.6078431606292725,0.5568627715110779,62.245132277950376,-9.616783240713023,4.115690974226327,63.02297556296255,-10.215880815619887,3.97306875533783,11.23979731944592,13.535084252054805,3.7587302599319488,6.640988422681456,1.6993170456133628,156.830546887727,10.460469974823642,0.547112462006079,,,,,,,0.5
full,cgm,7,myyy,mggg,CMY+OVG,1,DSC_4568cgm.tif,0.0,0.75,0.25,0.0,,0.25,0.625,0.649519052838329,0.2852941176470588,0.5862745098039216,0.43823529411764706,56.310473320535195,-32.957780310672206,12.791458236792131,6.0,5.0,5.0,764.0,5722.0,2479.0,780.0,764.0,780.0,1.0,0.65,0.65,8.0,98.0,3.798682035042877,16.0,0.020512820512820513,0.529411792755127,0.658823549747467,0.5098039507865906,65.61347074335467,-18.839614917268378,16.349708164605595,65.58153241281306,-18.898586048537233,16.07980401163199,11.251173976605038,17.278006183390367,1.680913374602391,2.6985912964956316,0.7319374368306998,139.04735769985865,24.944820049435755,0.547112462006079,,,,,,,0.75
full,cgm,8,myyyy,mgggg,CMY+OVG,1,DSC_4568cgm.tif,0.0,0.8,0.2,0.0,,0.2,0.6000000000000001,0.6928203230275509,0.2533333333333333,0.6188235294117648,0.42823529411764705,58.60463547244893,-39.21956808765342,17.35034488308449,6.0,5.0,5.0,275.0,3924.0,1713.0,281.0,275.0,281.0,1.0,0.65,0.65,8.0,98.0,4.152278570514477,6.0,0.021352313167259787,0.5098039507865906,0.6901960968971252,0.5058823823928833,67.56150985077983,-24.571525688947105,19.26532673566772,67.28166908561236,-24.14942360990984,18.941013799610715,10.153801075449998,17.275934135068397,1.5941179830410948,2.857635817452367,0.8688691252204579,141.90174792432924,31.22359186439992,0.547112462006079,,,,,,,0.8
full,cgm,9,myyyyy,mggggg,CMY+OVG,1,DSC_4568cgm.tif,0.0,0.8333333333333334,0.16666666666666666,0.0,,0.16666666666666666,0.5833333333333334,0.7216878364870322,0.23202614379084965,0.6405228758169935,0.4215686274509804,60.17504856379003,-43.089333764619155,20.401444684292724,6.0,5.0,5.0,1669.0,8938.0,3822.0,1701.0,1669.0,1701.0,1.0,0.65,0.65,8.0,98.0,4.43516459581664,32.0,0.0188124632569077,0.501960813999176,0.7098039388656616,0.5137255191802979,68.96922869513311,-27.73103130536525,20.4545765099313,68.71745412534142,-27.03243169643258,19.988555595757237,9.623795693089939,17.697962639900947,1.6570479920611922,3.5641180656929063,1.037593194154009,143.58728995662722,34.458667958291436,0.547112462006079,,,,,,,0.8333333333333334
full,cgm,10,y,g,CMY+OVG,1,DSC_4568cgm.tif,0.0,1.0,0.0,0.0,,0.0,0.5,0.8660254037844386,0.12549019607843137,0.7490196078431373,0.38823529411764707,68.36328344031337,-59.093631377102774,35.49547851450803,6.0,5.0,5.0,497.0,4790.0,2043.0,507.0,497.0,507.0,1.0,0.65,0.65,8.0,98.0,0.8416795481694425,10.0,0.01972386587771203,0.4627451002597809,0.8352941274642944,0.529411792755127,78.0266471020492,-44.60079301885101,30.29695952666607,78.03472218057284,-44.68452123781635,30.23185969648385,8.368649608568823,18.17821665082479,0.3505961804599241,0.655312168027299,0.17657145169157376,145.81204800946932,53.91786804456228,0.547112462006079,,,,,,,1.0
full,cgm,11,cymy,cgmg,CMY+OVG,1,DSC_4568cgm.tif,0.25,0.5,0.25,0.25,,0.25,0.5,0.4330127018922193,0.3107843137254902,0.5950980392156863,0.5568627450980392,58.036864538995715,-25.171779471318988,-1.891617884141339,6.0,5.0,5.0,2669.0,11093.0,4740.0,2724.0,2669.0,2724.0,1.0,0.65,0.65,8.0,98.0,4.561842064747131,55.0,0.020190895741556535,0.49803921580314636,0.6509804129600525,0.5960784554481506,64.96802280041251,-16.33841234925859,2.330740278428145,65.29295103030731,-16.104597452482526,2.353069061646793,8.455594504508891,11.995734158896697,2.7582432437323856,3.921987204705861,0.9167295976442354,171.88130302828768,16.503819810573944,0.547112462006079,,,,,,,0.5
full,cgm,12,cymyy,cgmgg,CMY+OVG,1,DSC_4568cgm.tif,0.2,0.6,0.2,0.2,,0.2,0.5,0.5196152422706631,0.27372549019607845,0.6258823529411764,0.5231372549019608,59.88921154498536,-33.364988488218785,5.628881704631916,6.0,5.0,5.0,2785.0,12706.0,5435.0,2841.0,2785.0,2841.0,1.0,0.65,0.65,8.0,98.0,4.731575083161584,56.0,0.019711369236184443,0.49803921580314636,0.6666666865348816,0.572549045085907,65.94971745978738,-20.139158097374988,7.298834906903107,66.41724105089725,-19.869694791040008,7.200549319182392,8.39046334794933,14.643806375682978,2.769825633002988,4.075596404511649,1.1572518167278691,160.07846765112026,21.420986902318294,0.547112462006079,,,,,,,0.6
full,cgm,13,cymyyy,cgmggg,CMY+OVG,1,DSC_4568cgm.tif,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,,0.16666666666666666,0.5,0.5773502691896257,0.24901960784313726,0.64640522875817,0.5006535947712418,61.19531025096427,-38.45126068116428,10.675703893144807,6.0,5.0,5.0,4284.0,17336.0,7390.0,4371.0,4284.0,4371.0,1.0,0.65,0.65,8.0,98.0,4.4246152929754885,87.0,0.01990391214824983,0.4901960790157318,0.6901960968971252,0.5607843399047852,67.29374774072028,-23.66572130386374,10.503685229019254,67.4380817397309,-23.098772259176762,10.180269630410312,8.193654047327053,15.994771174198581,2.5268294934164977,3.920265149522208,1.0514429111302215,156.0666565958977,25.891963390644353,0.547112462006079,,,,,,,0.6666666666666666
