source_path,filename,photo_id,corner_label,filename_label,condition,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id
LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cym,cmy,full,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513
LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,cwy,full,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517
LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,cwm,full,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519
LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4523ywm.tif,DSC_4523ywm.tif,DSC_4523,ywm,ywm,full,capture_number,4523,y,w,m,CMY+neutral,full__ywm__DSC_4523ywm
LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4524ywm.tif,DSC_4524ywm.tif,DSC_4524,ywm,ywm,full,capture_number,4524,y,w,m,CMY+neutral,full__ywm__DSC_4524ywm
LayerLoomPhotos100NCZ_5/centered_4x3_tif/clyDSC_4529.tif,clyDSC_4529.tif,DSC_4529,cly,cly,full,capture_number,4529,c,l,y,CMY+neutral,full__cly__clyDSC_4529
LayerLoomPhotos100NCZ_5/centered_4x3_tif/clmDSC_4531.tif,clmDSC_4531.tif,DSC_4531,clm,clm,full,capture_number,4531,c,l,m,CMY+neutral,full__clm__clmDSC_4531
LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4534ylm.tif,DSC_4534ylm.tif,DSC_4534,ylm,ylm,full,capture_number,4534,y,l,m,CMY+neutral,full__ylm__DSC_4534ylm
LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,cny,full,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536
LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4539cnm.tif,DSC_4539cnm.tif,DSC_4539,cnm,cnm,full,capture_number,4539,c,n,m,CMY+neutral,full__cnm__DSC_4539cnm
LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4541ynm.tif,DSC_4541ynm.tif,DSC_4541,ynm,ynm,full,capture_number,4541,y,n,m,CMY+neutral,full__ynm__DSC_4541ynm
