role,local_corner_label,anchor_token,vertex_index,x_px,y_px,sample_R,sample_G,sample_B,anchor_deltaE00,position_vertex_index,position_disagrees,inferred_geometry,inference_note,registration_score_deltaE00_sum,mask_pixels,triangle_area_px2,orientation_permuted,used_white_vertex_inference,used_manual_registration_override,source_path,filename,photo_id,corner_label,filename_label,condition,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
bottom_left,C,c,-2,1381.2631578947369,1141.1052631578948,0.38823530077934265,0.5647059082984924,0.7490196228027344,21.43491650460647,-2,0,1,manual_override:full__cym__cmyfullDSC_4513,44.01303598922023,516843,510029.02631578944,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cym,cmy,full,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513,0.5452893062708271
top,Y,y,-2,836.0,202.0,0.8352941274642944,0.7333333492279053,0.34117648005485535,12.059077181753468,-2,0,1,manual_override:full__cym__cmyfullDSC_4513,44.01303598922023,516843,510029.02631578944,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cym,cmy,full,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513,0.5452893062708271
bottom_right,M,m,-2,295.0,1141.0,0.772549033164978,0.3294117748737335,0.545098066329956,10.51904230286029,-2,0,1,manual_override:full__cym__cmyfullDSC_4513,44.01303598922023,516843,510029.02631578944,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cym,cmy,full,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513,0.5452893062708271
bottom_left,C,c,-2,264.3157894736842,1142.5263157894738,0.3843137323856354,0.6392157077789307,0.8196078538894653,15.744022046048809,-2,0,1,manual_override:full__cwy__cwyDSC_4517,40.645569675426685,596460,605895.9307479223,0,1,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,cwy,full,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
top,Y,w,-2,862.578947368421,113.68421052631578,0.843137264251709,0.8901960849761963,0.7333333492279053,16.456752746694054,-2,0,1,manual_override:full__cwy__cwyDSC_4517,40.645569675426685,596460,605895.9307479223,0,1,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,cwy,full,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
bottom_right,M,y,-2,1443.7894736842104,1139.6842105263158,0.8823529481887817,0.8745098114013672,0.30588236451148987,8.444794882683821,-2,0,1,manual_override:full__cwy__cwyDSC_4517,40.645569675426685,596460,605895.9307479223,0,1,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,cwy,full,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
bottom_left,C,c,-2,282.7894736842105,1129.7368421052631,0.4117647111415863,0.6039215922355652,0.8549019694328308,21.805998544334376,-2,0,1,manual_override:full__cwm__cwmDSC_4519,47.11024728389895,606687,604998.3116343489,0,1,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,cwm,full,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
top,Y,w,-2,888.1578947368421,116.52631578947368,0.7803921699523926,0.7490196228027344,0.8509804010391235,16.640096097257686,-2,0,1,manual_override:full__cwm__cwmDSC_4519,47.11024728389895,606687,604998.3116343489,0,1,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,cwm,full,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
bottom_right,M,m,-2,1469.3684210526314,1142.5263157894738,0.7764706015586853,0.32156863808631897,0.6274510025978088,8.66415264230689,-2,0,1,manual_override:full__cwm__cwmDSC_4519,47.11024728389895,606687,604998.3116343489,0,1,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,cwm,full,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
bottom_left,C,y,-2,275.6842105263158,1122.6315789473683,0.9803921580314636,0.772549033164978,0.3607843220233917,11.896092405244419,-2,0,1,manual_override:full__ywm__DSC_4523ywm,40.31807869586173,578633,594789.2825484764,0,1,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4523ywm.tif,DSC_4523ywm.tif,DSC_4523,ywm,ywm,full,capture_number,4523,y,w,m,CMY+neutral,full__ywm__DSC_4523ywm,0.5872756933115824
