condition,corner_label,region_index,file_i,file_j,deltaE00
full,ywm,1,DSC_4523ywm.tif,DSC_4524ywm.tif,0.11410243248407188
full,ywm,2,DSC_4523ywm.tif,DSC_4524ywm.tif,0.1431169552710258
full,ywm,3,DSC_4523ywm.tif,DSC_4524ywm.tif,0.6572696911130512
full,ywm,4,DSC_4523ywm.tif,DSC_4524ywm.tif,0.12001247708892482
full,ywm,5,DSC_4523ywm.tif,DSC_4524ywm.tif,0.127294044084306
full,ywm,6,DSC_4523ywm.tif,DSC_4524ywm.tif,0.19932265274724134
full,ywm,7,DSC_4523ywm.tif,DSC_4524ywm.tif,0.10992810418017307
full,ywm,8,DSC_4523ywm.tif,DSC_4524ywm.tif,0.18537989768234134
full,ywm,9,DSC_4523ywm.tif,DSC_4524ywm.tif,0.22241336440960968
full,ywm,10,DSC_4523ywm.tif,DSC_4524ywm.tif,0.0015823762167985365
full,ywm,11,DSC_4523ywm.tif,DSC_4524ywm.tif,0.5151281419688823
full,ywm,12,DSC_4523ywm.tif,DSC_4524ywm.tif,0.4401947260339807
full,ywm,13,DSC_4523ywm.tif,DSC_4524ywm.tif,0.19854213722607153
full,ywm,14,DSC_4523ywm.tif,DSC_4524ywm.tif,0.255000471766408
full,ywm,15,DSC_4523ywm.tif,DSC_4524ywm.tif,0.21188384993087012
full,ywm,16,DSC_4523ywm.tif,DSC_4524ywm.tif,0.16712663259859112
full,ywm,17,DSC_4523ywm.tif,DSC_4524ywm.tif,0.10956561035439513
full,ywm,18,DSC_4523ywm.tif,DSC_4524ywm.tif,0.3195766870749194
full,ywm,19,DSC_4523ywm.tif,DSC_4524ywm.tif,0.07768931549955616
full,ywm,20,DSC_4523ywm.tif,DSC_4524ywm.tif,0.10847151968120307
full,ywm,21,DSC_4523ywm.tif,DSC_4524ywm.tif,0.2260880099047252
full,ywm,22,DSC_4523ywm.tif,DSC_4524ywm.tif,0.12332035765364988
full,ywm,23,DSC_4523ywm.tif,DSC_4524ywm.tif,0.0970788066666716
full,ywm,24,DSC_4523ywm.tif,DSC_4524ywm.tif,0.08273514249255028
full,ywm,25,DSC_4523ywm.tif,DSC_4524ywm.tif,0.09545367337249758
full,ywm,26,DSC_4523ywm.tif,DSC_4524ywm.tif,0.04385067900082919
full,ywm,27,DSC_4523ywm.tif,DSC_4524ywm.tif,0.15601791629078632
full,ywm,28,DSC_4523ywm.tif,DSC_4524ywm.tif,0.0695851075678705
full,ywm,29,DSC_4523ywm.tif,DSC_4524ywm.tif,0.19432551389627695
full,ywm,30,DSC_4523ywm.tif,DSC_4524ywm.tif,0.32032005703158845
full,ywm,31,DSC_4523ywm.tif,DSC_4524ywm.tif,0.1234512233092405
full,ywm,32,DSC_4523ywm.tif,DSC_4524ywm.tif,0.6833916194772036
full,ywm,33,DSC_4523ywm.tif,DSC_4524ywm.tif,0.7678648094969792
full,ywm,34,DSC_4523ywm.tif,DSC_4524ywm.tif,0.955293310796314
full,ywm,35,DSC_4523ywm.tif,DSC_4524ywm.tif,0.5231219699464962
full,ywm,36,DSC_4523ywm.tif,DSC_4524ywm.tif,0.0923408892905177
full,ywm,37,DSC_4523ywm.tif,DSC_4524ywm.tif,0.9508002415808859
full,ywm,38,DSC_4523ywm.tif,DSC_4524ywm.tif,0.22817957601314026
full,ywm,39,DSC_4523ywm.tif,DSC_4524ywm.tif,0.4084253476345172
full,ywm,40,DSC_4523ywm.tif,DSC_4524ywm.tif,0.3879970260034669
full,ywm,41,DSC_4523ywm.tif,DSC_4524ywm.tif,0.2280645619396402
