symmetry_strategy,symmetry_key,replicate_count,symmetry_classes,panel_names,sub_gamut_names,region_indices,labels,stack_tokens,fC_median,fM_median,fY_median,measured_L,measured_a,measured_b,measured_R,measured_G,measured_B,measured_hex,replicate_deltaE00_median,replicate_deltaE00_p90,replicate_deltaE00_max,example_global_label
center_replicates,center|c0.000000_m0.000000_y1.000000,6,,panel_01_up_left;panel_02_down;panel_03_up;panel_04_down;panel_05_up;panel_06_down_right,center,6,gamut_006_y,y,0.0,0.0,1.0,49.14455689513648,9.969153619780734,-51.265286476158266,0.10784314,0.39411765,0.73137257,#1c65bb,6.139823664809953,36.75596159207834,36.867404308330876,panel_01_up_left__center::gamut_006_y
center_replicates,center|c0.000000_m0.200000_y0.800000,6,,panel_01_up_left;panel_02_down;panel_03_up;panel_04_down;panel_05_up;panel_06_down_right,center,5,gamut_005_yymyy,yymyy,0.0,0.2,0.8,40.283875450561055,20.087233472279184,-46.31688607529621,0.27058825,0.315686285,0.62352942,#45519f,4.013412313445784,20.582751876361407,20.649681595730176,panel_01_up_left__center::gamut_005_yymyy
center_replicates,center|c0.000000_m0.250000_y0.750000,6,,panel_01_up_left;panel_02_down;panel_03_up;panel_04_down;panel_05_up;panel_06_down_right,center,4,gamut_004_ymyy,ymyy,0.0,0.25,0.75,38.47393513019617,21.61839016636102,-44.01076479769607,0.301960795,0.311764715,0.61372553,#4d509d,3.3439471643771927,16.94105776865041,17.04197975022901,panel_01_up_left__center::gamut_004_ymyy
center_replicates,center|c0.000000_m0.333333_y0.666667,6,,panel_01_up_left;panel_02_down;panel_03_up;panel_04_down;panel_05_up;panel_06_down_right,center,3,gamut_003_myy,myy,0.0,0.3333333333333333,0.6666666666666666,37.3892351703439,24.325182542135437,-41.07505032164506,0.34313726499999997,0.30392158,0.590196105,#584e97,2.459615053292564,10.789013563086531,10.900197325090419,panel_01_up_left__center::gamut_003_myy
center_replicates,center|c0.000000_m0.400000_y0.600000,6,,panel_01_up_left;panel_02_down;panel_03_up;panel_04_down;panel_05_up;panel_06_down_right,center,2,gamut_002_mymyy,mymyy,0.0,0.4,0.6,37.68848769110955,26.80060869959575,-38.358487764533386,0.37843138,0.29411766,0.576470625,#614b93,2.3348812501582747,5.937727954815813,6.305507539658436,panel_01_up_left__center::gamut_002_mymyy
center_replicates,center|c0.000000_m0.500000_y0.500000,6,,panel_01_up_left;panel_02_down;panel_03_up;panel_04_down;panel_05_up;panel_06_down_right,center,1,gamut_001_my,my,0.0,0.5,0.5,35.063389538116155,28.927989466281026,-35.63650763524087,0.382352945,0.26470589,0.54705885,#62448c,0.9526830486962969,3.0358183674177894,4.226455193627092,panel_01_up_left__center::gamut_001_my
center_replicates,center|c0.000000_m0.600000_y0.400000,6,,panel_01_up_left;panel_02_down;panel_03_up;panel_04_down;panel_05_up;panel_06_down_right,center,30,gamut_030_mmymy,mmymy,0.0,0.6,0.4,35.01963601663981,31.668384534374013,-33.8547694147307,0.39411765,0.26078432,0.5431372800000001,#65438b,3.897305089281317,5.467019484619369,5.529473265459833,panel_01_up_left__center::gamut_030_mmymy
center_replicates,center|c0.000000_m0.666667_y0.333333,6,,panel_01_up_left;panel_02_down;panel_03_up;panel_04_down;panel_05_up;panel_06_down_right,center,29,gamut_029_mmy,mmy,0.0,0.6666666666666666,0.3333333333333333,35.15489274278157,33.126547383844446,-30.664697454557608,0.40588236,0.26470589499999997,0.5490196300000001,#68448c,5.294673561581298,9.695746820040778,9.79063888816424,panel_01_up_left__center::gamut_029_mmy
center_replicates,center|c0.000000_m0.750000_y0.250000,6,,panel_01_up_left;panel_02_down;panel_03_up;panel_04_down;panel_05_up;panel_06_down_right,center,28,gamut_028_mmym,mmym,0.0,0.75,0.25,36.309910370700365,37.08629891859468,-27.097264113889494,0.43921568499999997,0.27450982,0.550980425,#70468d,6.185830921854329,15.857151329927493,15.893692150137667,panel_01_up_left__center::gamut_028_mmym
center_replicates,center|c0.000000_m0.800000_y0.200000,6,,panel_01_up_left;panel_02_down;panel_03_up;panel_04_down;panel_05_up;panel_06_down_right,center,27,gamut_027_mmymm,mmymm,0.0,0.8,0.2,36.788918828715964,38.80205092970712,-24.063014103517155,0.454901965,0.28039217,0.54705885,#74488c,7.027377545740622,19.654099552150747,19.793463145064425,panel_01_up_left__center::gamut_027_mmymm
center_replicates,center|c0.000000_m1.000000_y0.000000,6,,panel_01_up_left;panel_02_down;panel_03_up;panel_04_down;panel_05_up;panel_06_down_right,center,26,gamut_026_m,m,0.0,1.0,0.0,44.38535959635321,54.93903521600259,-11.552803700313962,0.6529412,0.26470588500000003,0.5372549499999999,#a74489,7.313502991428198,36.2519396145658,36.62461480244154,panel_01_up_left__center::gamut_026_m
center_replicates,center|c0.200000_m0.000000_y0.800000,6,,panel_01_up_left;panel_02_down;panel_03_up;panel_04_down;panel_05_up;panel_06_down_right,center,7,gamut_007_yycyy,yycyy,0.2,0.0,0.8,51.420263095801005,-24.81250242678319,-6.261621885522828,0.16078431999999998,0.47254902,0.47843137,#29797a,5.5921900677969365,51.367942645913914,51.67413096265469,panel_01_up_left__center::gamut_007_yycyy
center_replicates,center|c0.200000_m0.800000_y0.000000,6,,panel_01_up_left;panel_02_down;panel_03_up;panel_04_down;panel_05_up;panel_06_down_right,center,25,gamut_025_mmcmm,mmcmm,0.2,0.8,0.0,46.830942020791696,47.442657607161124,8.155093052900696,0.6686274999999999,0.33725490999999996,0.441176475,#ab5671,7.844218309905173,51.92284841829748,52.17991241760066,panel_01_up_left__center::gamut_025_mmcmm
center_replicates,center|c0.250000_m0.000000_y0.750000,6,,panel_01_up_left;panel_02_down;panel_03_up;panel_04_down;panel_05_up;panel_06_down_right,center,8,gamut_008_ycyy,ycyy,0.25,0.0,0.75,51.8456434931891,-29.84974852253142,1.7866238269462098,0.16862745499999998,0.5019608,0.450980395,#2b8073,5.6246006713037024,54.4324456443947,54.55048373800051,panel_01_up_left__center::gamut_008_ycyy
center_replicates,center|c0.250000_m0.750000_y0.000000,6,,panel_01_up_left;panel_02_down;panel_03_up;panel_04_down;panel_05_up;panel_06_down_right,center,24,gamut_024_mcmm,mcmm,0.25,0.75,0.0,48.0018705308492,45.46074889503156,13.234867170652477,0.694117675,0.354901965,0.409803925,#b15b69,7.0190111146890395,53.85531000464658,54.08139252161513,panel_01_up_left__center::gamut_024_mcmm
center_replicates,center|c0.333333_m0.000000_y0.666667,6,,panel_01_up_left;panel_02_down;panel_03_up;panel_04_down;panel_05_up;panel_06_down_right,center,9,gamut_009_cyy,cyy,0.3333333333333333,0.0,0.6666666666666666,53.022758878839866,-36.76958235476678,14.393262865012716,0.19411765,0.5294118,0.38039216,#328761,5.567741893379376,56.58994906358129,56.68061637431006,panel_01_up_left__center::gamut_009_cyy
center_replicates,center|c0.333333_m0.666667_y0.000000,6,,panel_01_up_left;panel_02_down;panel_03_up;panel_04_down;panel_05_up;panel_06_down_right,center,23,gamut_023_cmm,cmm,0.3333333333333333,0.6666666666666666,0.0,49.92132892857677,41.642995563032116,20.53461964138627,0.7176470699999999,0.37843138,0.35098039999999997,#b7615a,5.743006609360098,55.81195360166626,56.12728176201617,panel_01_up_left__center::gamut_023_cmm
center_replicates,center|c0.400000_m0.000000_y0.600000,6,,panel_01_up_left;panel_02_down;panel_03_up;panel_04_down;panel_05_up;panel_06_down_right,center,10,gamut_010_cycyy,cycyy,0.4,0.0,0.6,52.95171827411797,-39.53239094473919,21.78744089065666,0.21764706,0.54509805,0.33725490999999996,#388b56,5.730915595988581,56.05305381034523,56.07977901031075,panel_01_up_left__center::gamut_010_cycyy
center_replicates,center|c0.400000_m0.600000_y0.000000,6,,panel_01_up_left;panel_02_down;panel_03_up;panel_04_down;panel_05_up;panel_06_down_right,center,22,gamut_022_cmcmm,cmcmm,0.4,0.6,0.0,50.81197292984707,38.94051542140892,23.753916962757962,0.73137255,0.40000000999999996,0.3254902,#bb6653,5.360517047588772,55.05792631405645,55.245181792062226,panel_01_up_left__center::gamut_022_cmcmm
center_replicates,center|c0.500000_m0.000000_y0.500000,6,,panel_01_up_left;panel_02_down;panel_03_up;panel_04_down;panel_05_up;panel_06_down_right,center,11,gamut_011_cy,cy,0.5,0.0,0.5,52.70064372681307,-42.369876633532726,30.82365003837509,0.25490197000000003,0.556862765,0.280392175,#418e48,8.28173741803984,54.23259723667023,54.277193363197746,panel_01_up_left__center::gamut_011_cy
center_replicates,center|c0.500000_m0.500000_y0.000000,6,,panel_01_up_left;panel_02_down;panel_03_up;panel_04_down;panel_05_up;panel_06_down_right,center,21,gamut_021_cm,cm,0.5,0.5,0.0,53.18243779243703,36.74889516560043,30.84781438174395,0.7490196,0.43529412,0.28235296,#bf6f48,5.160944295940425,53.841745295106385,54.26530476398444,panel_01_up_left__center::gamut_021_cm
center_replicates,center|c0.600000_m0.000000_y0.400000,6,,panel_01_up_left;panel_02_down;panel_03_up;panel_04_down;panel_05_up;panel_06_down_right,center,12,gamut_012_ccycy,ccycy,0.6,0.0,0.4,53.66324125278612,-42.16742828353036,38.80569699535659,0.31764707000000003,0.56470592,0.25490196,#519041,9.369139853914715,50.108366876486905,50.158966351738755,panel_01_up_left__center::gamut_012_ccycy
center_replicates,center|c0.600000_m0.400000_y0.000000,6,,panel_01_up_left;panel_02_down;panel_03_up;panel_04_down;panel_05_up;panel_06_down_right,center,20,gamut_020_ccmcm,ccmcm,0.6,0.4,0.0,55.30192127144354,31.468236659737663,37.77686492959699,0.756862755,0.492156875,0.252941185,#c17e41,5.844947854740939,48.578238157782316,48.93931120705246,panel_01_up_left__center::gamut_020_ccmcm
