symmetry_strategy,symmetry_key,replicate_count,symmetry_classes,panel_names,sub_gamut_names,region_indices,labels,stack_tokens,fC_median,fM_median,fY_median,measured_L,measured_a,measured_b,measured_R,measured_G,measured_B,measured_hex,replicate_deltaE00_median,replicate_deltaE00_p90,replicate_deltaE00_max,example_global_label
panel_local_symmetry,panel_01_up_left|center|mix_0.000000_0.000000_1.000000,3,,panel_01_up_left,center,6;16;26,gamut_006_y;gamut_016_c;gamut_026_m,y;c;m,0.0,0.0,0.0,50.81642765662762,10.193720170851906,-13.462658985975562,0.7882353,0.4,0.5686275,#c96691,23.346141012489664,49.90145896058126,56.540288447604155,panel_01_up_left__center::gamut_006_y
panel_local_symmetry,panel_01_up_left|center|mix_0.000000_0.200000_0.800000,6,,panel_01_up_left,center,5;7;15;17;25;27,gamut_005_yymyy;gamut_007_yycyy;gamut_015_ccycc;gamut_017_ccmcc;gamut_025_mmcmm;gamut_027_mmymm,yymyy;yycyy;ccycc;ccmcc;mmcmm;mmymm,0.2,0.2,0.2,50.495343314599296,17.04431691187071,-0.11668312315212814,0.5627451299999999,0.41960784500000003,0.474509805,#906b79,32.59184224007098,48.72568071885695,51.30147107798933,panel_01_up_left__center::gamut_005_yymyy
panel_local_symmetry,panel_01_up_left|center|mix_0.000000_0.250000_0.750000,6,,panel_01_up_left,center,4;8;14;18;24;28,gamut_004_ymyy;gamut_008_ycyy;gamut_014_ccyc;gamut_018_ccmc;gamut_024_mcmm;gamut_028_mmym,ymyy;ycyy;ccyc;ccmc;mcmm;mmym,0.25,0.25,0.25,53.03785277617533,21.08241470194215,5.30156166498006,0.521568635,0.45098041,0.464705885,#857377,30.222446755145974,47.763039704873265,51.370740548253856,panel_01_up_left__center::gamut_004_ymyy
panel_local_symmetry,panel_01_up_left|center|mix_0.000000_0.333333_0.666667,6,,panel_01_up_left,center,3;9;13;19;23;29,gamut_003_myy;gamut_009_cyy;gamut_013_ccy;gamut_019_ccm;gamut_023_cmm;gamut_029_mmy,myy;cyy;ccy;ccm;cmm;mmy,0.3333333333333333,0.3333333333333333,0.3333333333333333,55.40852561195912,26.33092818049669,15.986323881530561,0.44705885,0.476470605,0.41372549000000003,#727a69,31.93041034011899,49.6720792287319,51.49734837983909,panel_01_up_left__center::gamut_003_myy
panel_local_symmetry,panel_01_up_left|center|mix_0.000000_0.400000_0.600000,6,,panel_01_up_left,center,2;10;12;20;22;30,gamut_002_mymyy;gamut_010_cycyy;gamut_012_ccycy;gamut_020_ccmcm;gamut_022_cmcmm;gamut_030_mmymy,mymyy;cycyy;ccycy;ccmcm;cmcmm;mmymy,0.4,0.4,0.4,57.66043075054072,29.736876482392624,21.782146611521377,0.43725490499999997,0.474509825,0.39411765,#707965,35.47943478612789,51.48121598849623,52.51019039113215,panel_01_up_left__center::gamut_002_mymyy
panel_local_symmetry,panel_01_up_left|center|mix_0.000000_0.500000_0.500000,3,,panel_01_up_left,center,1;11;21,gamut_001_my;gamut_011_cy;gamut_021_cm,my;cy;cm,0.5,0.5,0.5,60.78409988708596,31.3098330217316,30.510280477065383,0.43529412,0.4627451,0.37254903,#6f765f,40.867234514649006,49.42746631729328,51.56752426795435,panel_01_up_left__center::gamut_001_my
panel_local_symmetry,panel_01_up_left|corner_1|mix_0.000000_0.000000_1.000000,3,,panel_01_up_left,corner_1,6;16;26,gamut_006_y;gamut_016_c;gamut_026_m,y;c;m,0.0,0.0,0.0,44.7673883560852,-12.789278902652246,30.57535054727476,0.101960786,0.4509804,0.1764706,#1a732d,38.968955436169225,48.730426956014384,51.17079483597568,panel_01_up_left__corner_1::gamut_006_y
panel_local_symmetry,panel_01_up_left|corner_1|mix_0.000000_0.200000_0.800000,6,,panel_01_up_left,corner_1,5;7;15;17;25;27,gamut_005_yymyy;gamut_007_yycyy;gamut_015_ccycc;gamut_017_ccmcc;gamut_025_mmcmm;gamut_027_mmymm,yymyy;yycyy;ccycc;ccmcc;mmcmm;mmymm,0.2,0.2,0.2,47.25988238667338,-38.87764576997125,31.954092550921324,0.12156863,0.49607844,0.209803925,#1f7f36,25.1283737967102,31.16711671359223,35.84031485094067,panel_01_up_left__corner_1::gamut_005_yymyy
panel_local_symmetry,panel_01_up_left|corner_1|mix_0.000000_0.250000_0.750000,6,,panel_01_up_left,corner_1,4;8;14;18;24;28,gamut_004_ymyy;gamut_008_ycyy;gamut_014_ccyc;gamut_018_ccmc;gamut_024_mcmm;gamut_028_mmym,ymyy;ycyy;ccyc;ccmc;mcmm;mmym,0.25,0.25,0.25,48.812137081222716,-38.90508948782104,31.040860578783366,0.13137255,0.515686305,0.248039215,#22843f,18.77631427169105,26.114544525180968,29.437105600026975,panel_01_up_left__corner_1::gamut_004_ymyy
panel_local_symmetry,panel_01_up_left|corner_1|mix_0.000000_0.333333_0.666667,6,,panel_01_up_left,corner_1,3;9;13;19;23;29,gamut_003_myy;gamut_009_cyy;gamut_013_ccy;gamut_019_ccm;gamut_023_cmm;gamut_029_mmy,myy;cyy;ccy;ccm;cmm;mmy,0.3333333333333333,0.3333333333333333,0.3333333333333333,51.45444845698308,-39.092062577569976,29.850506029636175,0.1627451,0.54705885,0.280392175,#2a8c48,12.151531189005244,19.8335741680132,22.408201850245458,panel_01_up_left__corner_1::gamut_003_myy
panel_local_symmetry,panel_01_up_left|corner_1|mix_0.000000_0.400000_0.600000,6,,panel_01_up_left,corner_1,2;10;12;20;22;30,gamut_002_mymyy;gamut_010_cycyy;gamut_012_ccycy;gamut_020_ccmcm;gamut_022_cmcmm;gamut_030_mmymy,mymyy;cycyy;ccycy;ccmcm;cmcmm;mmymy,0.4,0.4,0.4,54.1647825744183,-39.76861428086804,29.047781842011624,0.19019608500000001,0.5784313999999999,0.30196080000000003,#31944d,9.968087707916268,16.672932057665193,19.79251206933141,panel_01_up_left__corner_1::gamut_002_mymyy
panel_local_symmetry,panel_01_up_left|corner_1|mix_0.000000_0.500000_0.500000,3,,panel_01_up_left,corner_1,1;11;21,gamut_001_my;gamut_011_cy;gamut_021_cm,my;cy;cm,0.5,0.5,0.5,56.718750473583526,-41.36772292460067,32.39266404472271,0.2,0.6,0.29803923,#33994c,7.305332676956906,15.206582424463667,17.181894861340357,panel_01_up_left__corner_1::gamut_001_my
panel_local_symmetry,panel_01_up_left|corner_2|mix_0.000000_0.000000_1.000000,3,,panel_01_up_left,corner_2,6;16;26,gamut_006_y;gamut_016_c;gamut_026_m,y;c;m,0.0,0.0,0.0,49.00589978936175,-12.45141241170733,31.656872959207085,0.7764706,0.5254902,0.22745098,#c6863a,35.167000581300556,51.65211090907454,55.77338849101803,panel_01_up_left__corner_2::gamut_006_y
panel_local_symmetry,panel_01_up_left|corner_2|mix_0.000000_0.200000_0.800000,6,,panel_01_up_left,corner_2,5;7;15;17;25;27,gamut_005_yymyy;gamut_007_yycyy;gamut_015_ccycc;gamut_017_ccmcc;gamut_025_mmcmm;gamut_027_mmymm,yymyy;yycyy;ccycc;ccmcc;mmcmm;mmymm,0.2,0.2,0.2,54.096938442214004,-4.820641427124226,30.048367103756938,0.55196085,0.49019609999999997,0.2509804,#8d7d40,24.62832413740629,43.229036643830646,44.43215238395323,panel_01_up_left__corner_2::gamut_005_yymyy
panel_local_symmetry,panel_01_up_left|corner_2|mix_0.000000_0.250000_0.750000,6,,panel_01_up_left,corner_2,4;8;14;18;24;28,gamut_004_ymyy;gamut_008_ycyy;gamut_014_ccyc;gamut_018_ccmc;gamut_024_mcmm;gamut_028_mmym,ymyy;ycyy;ccyc;ccmc;mcmm;mmym,0.25,0.25,0.25,56.21541783101279,1.215833752878554,29.70040776113252,0.492156865,0.48039218,0.27450980999999997,#7e7b46,27.968603407337124,36.81869292537723,39.15848507393183,panel_01_up_left__corner_2::gamut_004_ymyy
panel_local_symmetry,panel_01_up_left|corner_2|mix_0.000000_0.333333_0.666667,6,,panel_01_up_left,corner_2,3;9;13;19;23;29,gamut_003_myy;gamut_009_cyy;gamut_013_ccy;gamut_019_ccm;gamut_023_cmm;gamut_029_mmy,myy;cyy;ccy;ccm;cmm;mmy,0.3333333333333333,0.3333333333333333,0.3333333333333333,58.61962091559042,5.5171711206733764,29.833756532498064,0.41176471000000003,0.4637255,0.30588236,#69764e,30.479681228409145,33.439673683631185,34.92080828962586,panel_01_up_left__corner_2::gamut_003_myy
panel_local_symmetry,panel_01_up_left|corner_2|mix_0.000000_0.400000_0.600000,6,,panel_01_up_left,corner_2,2;10;12;20;22;30,gamut_002_mymyy;gamut_010_cycyy;gamut_012_ccycy;gamut_020_ccmcm;gamut_022_cmcmm;gamut_030_mmymy,mymyy;cycyy;ccycy;ccmcm;cmcmm;mmymy,0.4,0.4,0.4,59.47613346434157,4.980797461345679,28.7000628797584,0.377450985,0.452941175,0.32549021499999997,#607353,29.55767752285064,31.614743588797808,32.020815387669764,panel_01_up_left__corner_2::gamut_002_mymyy
panel_local_symmetry,panel_01_up_left|corner_2|mix_0.000000_0.500000_0.500000,3,,panel_01_up_left,corner_2,1;11;21,gamut_001_my;gamut_011_cy;gamut_021_cm,my;cy;cm,0.5,0.5,0.5,58.7641824060006,3.722094680174232,30.33532655355953,0.37254903,0.44705883,0.31764707,#5f7251,27.266676180537495,29.718848622065508,30.331891732447513,panel_01_up_left__corner_2::gamut_001_my
panel_local_symmetry,panel_01_up_left|corner_3|mix_0.000000_0.000000_1.000000,3,,panel_01_up_left,corner_3,6;16;26,gamut_006_y;gamut_016_c;gamut_026_m,y;c;m,0.0,0.0,0.0,44.297372303638426,9.12508450538957,-13.261407691059125,0.09019608,0.4117647,0.5529412,#17698d,22.090966640140202,33.10239452127269,35.85525149155581,panel_01_up_left__corner_3::gamut_006_y
panel_local_symmetry,panel_01_up_left|corner_3|mix_0.000000_0.200000_0.800000,6,,panel_01_up_left,corner_3,5;7;15;17;25;27,gamut_005_yymyy;gamut_007_yycyy;gamut_015_ccycc;gamut_017_ccmcc;gamut_025_mmcmm;gamut_027_mmymm,yymyy;yycyy;ccycc;ccmcc;mmcmm;mmymm,0.2,0.2,0.2,40.395103330227045,1.2467521547730591,-15.25897267228627,0.192156865,0.3137255,0.4872549,#31507c,22.921401541347663,30.026526396273738,31.203792402761746,panel_01_up_left__corner_3::gamut_005_yymyy
