group_name,triangle_name,preset,max_height,max_run,distinct_lte,corners,landmarks,coordinate_max_dim,notes,panel_name,sub_gamut_name,source_registration,coordinate_scale_applied
panel_01_up_left,panel_01_up_left__corner_1,simple,,,,"C:43.000,681.700;M:337.900,681.700;Y:193.000,420.700",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_01_up_left,corner_1,panel_landmarks,1
panel_01_up_left,panel_01_up_left__corner_2,simple,,,,"C:337.900,681.700;M:659.400,686.300;Y:490.500,416.100",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_01_up_left,corner_2,panel_landmarks,1
panel_01_up_left,panel_01_up_left__corner_3,simple,,,,"C:193.000,420.700;M:490.500,416.100;Y:333.300,158.300",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_01_up_left,corner_3,panel_landmarks,1
panel_01_up_left,panel_01_up_left__center,simple,,,,"C:337.900,681.700;M:490.500,416.100;Y:193.000,420.700",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_01_up_left,center,panel_landmarks,1
panel_02_down,panel_02_down__corner_1,simple,,,,"C:368.400,151.800;M:684.100,158.900;Y:530.800,429.100",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_02_down,corner_1,panel_landmarks,1
panel_02_down,panel_02_down__corner_2,simple,,,,"C:684.100,158.900;M:1004.900,157.000;Y:836.700,433.600",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_02_down,corner_2,panel_landmarks,1
panel_02_down,panel_02_down__corner_3,simple,,,,"C:530.800,429.100;M:836.700,433.600;Y:684.100,685.600",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_02_down,corner_3,panel_landmarks,1
panel_02_down,panel_02_down__center,simple,,,,"C:684.100,158.900;M:836.700,433.600;Y:530.800,429.100",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_02_down,center,panel_landmarks,1
panel_03_up,panel_03_up__corner_1,simple,,,,"C:697.200,689.300;M:1030.200,686.900;Y:875.000,407.000",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_03_up,corner_1,panel_landmarks,1
panel_03_up,panel_03_up__corner_2,simple,,,,"C:1030.200,686.900;M:1348.500,675.300;Y:1178.300,414.200",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_03_up,corner_2,panel_landmarks,1
panel_03_up,panel_03_up__corner_3,simple,,,,"C:875.000,407.000;M:1178.300,414.200;Y:1023.700,155.000",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_03_up,corner_3,panel_landmarks,1
panel_03_up,panel_03_up__center,simple,,,,"C:1030.200,686.900;M:1178.300,414.200;Y:875.000,407.000",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_03_up,center,panel_landmarks,1
panel_04_down,panel_04_down__corner_1,simple,,,,"C:1049.100,155.000;M:1366.700,160.900;Y:1223.100,430.400",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_04_down,corner_1,panel_landmarks,1
panel_04_down,panel_04_down__corner_2,simple,,,,"C:1366.700,160.900;M:1694.000,154.400;Y:1520.600,436.200",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_04_down,corner_2,panel_landmarks,1
panel_04_down,panel_04_down__corner_3,simple,,,,"C:1223.100,430.400;M:1520.600,436.200;Y:1369.900,681.700",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_04_down,corner_3,panel_landmarks,1
panel_04_down,panel_04_down__center,simple,,,,"C:1366.700,160.900;M:1520.600,436.200;Y:1223.100,430.400",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_04_down,center,panel_landmarks,1
panel_05_up,panel_05_up__corner_1,simple,,,,"C:1377.700,683.000;M:1703.100,686.300;Y:1551.800,409.000",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_05_up,corner_1,panel_landmarks,1
panel_05_up,panel_05_up__corner_2,simple,,,,"C:1703.100,686.300;M:2013.600,687.600;Y:1851.800,413.500",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_05_up,corner_2,panel_landmarks,1
panel_05_up,panel_05_up__corner_3,simple,,,,"C:1551.800,409.000;M:1851.800,413.500;Y:1707.700,158.300",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_05_up,corner_3,panel_landmarks,1
panel_05_up,panel_05_up__center,simple,,,,"C:1703.100,686.300;M:1851.800,413.500;Y:1551.800,409.000",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_05_up,center,panel_landmarks,1
panel_06_down_right,panel_06_down_right__corner_1,simple,,,,"C:1713.500,156.300;M:2029.800,157.000;Y:1883.700,431.700",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_06_down_right,corner_1,panel_landmarks,1
panel_06_down_right,panel_06_down_right__corner_2,simple,,,,"C:2029.800,157.000;M:2358.500,157.000;Y:2185.000,436.900",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_06_down_right,corner_2,panel_landmarks,1
panel_06_down_right,panel_06_down_right__corner_3,simple,,,,"C:1883.700,431.700;M:2185.000,436.900;Y:2033.700,682.400",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_06_down_right,corner_3,panel_landmarks,1
panel_06_down_right,panel_06_down_right__center,simple,,,,"C:2029.800,157.000;M:2185.000,436.900;Y:1883.700,431.700",,2400,first-pass panel landmarks; nudge V/M points from QC overlay for final publication pass,panel_06_down_right,center,panel_landmarks,1
