group_name,panel_name,triangle_name,sub_gamut_name,measured_region_count,total_sample_pixels,median_sample_pixels,median_deltaE00_to_expected,median_within_region_deltaE00
panel_01_up_left,panel_01_up_left,panel_01_up_left__center,center,30,2326,71.0,33.60061098692892,0.3566047016369703
panel_01_up_left,panel_01_up_left,panel_01_up_left__corner_1,corner_1,30,2297,68.0,49.68275454776388,0.3712652798559097
panel_01_up_left,panel_01_up_left,panel_01_up_left__corner_2,corner_2,30,1997,59.0,54.30606317459737,0.6576240965618068
panel_01_up_left,panel_01_up_left,panel_01_up_left__corner_3,corner_3,30,2262,69.5,34.56827093390061,0.4483820929013552
panel_02_down,panel_02_down,panel_02_down__center,center,30,1986,56.0,34.06642743455542,0.3909860946143851
panel_02_down,panel_02_down,panel_02_down__corner_1,corner_1,30,2076,63.0,58.958767592943495,0.4889482365881526
panel_02_down,panel_02_down,panel_02_down__corner_2,corner_2,30,1976,59.5,56.43613884028831,0.5610115684641187
panel_02_down,panel_02_down,panel_02_down__corner_3,corner_3,30,2151,63.5,29.219692220237295,0.47417635581624623
panel_03_up,panel_03_up,panel_03_up__center,center,30,2262,69.0,34.926068733791716,0.33487499465667436
panel_03_up,panel_03_up,panel_03_up__corner_1,corner_1,30,2244,70.5,52.23413922931561,0.38574885353935784
panel_03_up,panel_03_up,panel_03_up__corner_2,corner_2,30,2168,68.0,47.79615348987137,0.3337683347668354
panel_03_up,panel_03_up,panel_03_up__corner_3,corner_3,30,2392,82.5,29.14928262442203,0.3571912082311408
panel_04_down,panel_04_down,panel_04_down__center,center,30,2319,69.5,48.92260140555295,0.39592455078929495
panel_04_down,panel_04_down,panel_04_down__corner_1,corner_1,30,2245,66.0,47.93541145132373,0.7306687555792948
panel_04_down,panel_04_down,panel_04_down__corner_2,corner_2,30,2313,69.5,45.5732019982953,0.8632431761224109
panel_04_down,panel_04_down,panel_04_down__corner_3,corner_3,30,2337,76.0,44.43991389337144,0.679864576250654
panel_05_up,panel_05_up,panel_05_up__center,center,30,2051,61.0,34.40029237001423,0.5145276208339717
panel_05_up,panel_05_up,panel_05_up__corner_1,corner_1,30,2241,72.0,60.53921985147473,1.146547533356546
panel_05_up,panel_05_up,panel_05_up__corner_2,corner_2,30,2099,62.5,44.36319934417827,0.8559335671556629
panel_05_up,panel_05_up,panel_05_up__corner_3,corner_3,30,2344,72.0,46.053634382835384,0.3590187427264076
panel_06_down_right,panel_06_down_right,panel_06_down_right__center,center,30,2028,59.0,47.74896755300236,0.43222535331040624
panel_06_down_right,panel_06_down_right,panel_06_down_right__corner_1,corner_1,30,2056,61.5,51.93992406536751,1.8909675565933828
panel_06_down_right,panel_06_down_right,panel_06_down_right__corner_2,corner_2,30,2212,70.0,43.26372260061774,2.15990342111328
panel_06_down_right,panel_06_down_right,panel_06_down_right__corner_3,corner_3,30,2325,79.0,52.967895572513555,1.2909649294870906
