region_i,region_j,deltaE00,deltaE76
gamut_001_my,gamut_002_cmy,21.115767469207903,33.97800011524586
gamut_001_my,gamut_003_cmymy,14.62342963445163,25.130262561034996
gamut_001_my,gamut_004_mymyy,5.275435329811836,7.148888891903776
gamut_001_my,gamut_005_myy,9.023001042407522,12.301871589877225
gamut_001_my,gamut_006_cymymy,17.843347656496803,25.596291268270406
gamut_001_my,gamut_007_myyy,13.549285503476346,18.749319171668343
gamut_001_my,gamut_008_ymyyy,16.92382617737698,23.555645263983877
gamut_001_my,gamut_009_yymyyy,20.681979359160273,28.968897813977865
gamut_001_my,gamut_010_y,42.57215558599261,65.04498495424086
gamut_001_my,gamut_011_cymy,25.48642718682338,34.4185289128907
gamut_001_my,gamut_012_cymyy,26.965547504757318,35.8713081419982
gamut_001_my,gamut_013_cymyyy,27.662644567517706,36.83770580940816
gamut_001_my,gamut_014_yycyyy,42.27268420347216,61.629552032216615
gamut_001_my,gamut_015_ycyyy,42.465673233683546,61.52193166142492
gamut_001_my,gamut_016_cyyy,42.72981318695014,61.31927910981161
gamut_001_my,gamut_017_cyy,43.496417508471566,61.89201975261328
gamut_001_my,gamut_018_cycymy,32.95725358286596,43.58133406892548
gamut_001_my,gamut_019_cycyy,44.26119253004885,62.51202681605212
gamut_001_my,gamut_020_cy,44.65833953118502,62.16878180117643
gamut_001_my,gamut_021_cmycy,32.12880834521529,42.64290467094662
gamut_001_my,gamut_022_ccycy,44.29170400796116,60.46862733064703
gamut_001_my,gamut_023_ccy,43.53190400978657,59.23462013569995
gamut_001_my,gamut_024_cmcycy,35.443590828440115,47.27960405410052
gamut_001_my,gamut_025_cccy,41.82630352862748,57.96950396939122
gamut_001_my,gamut_026_cccyc,39.14948770319504,57.90088146669806
gamut_001_my,gamut_027_cccycc,37.96535614611617,58.54207382054118
gamut_001_my,gamut_028_c,40.05428003306724,80.58743267414151
gamut_001_my,gamut_029_cmcy,30.71969475979832,43.9206695141241
gamut_001_my,gamut_030_ccmcy,30.989028684419093,49.22004272967161
gamut_001_my,gamut_031_cccmcy,35.100237074057546,52.822767927215956
gamut_001_my,gamut_032_cccmcc,38.92323301807891,77.50204233258751
gamut_001_my,gamut_033_cccmc,38.60645613879241,76.65579086059923
gamut_001_my,gamut_034_cccm,38.44820571636389,76.4774881806329
gamut_001_my,gamut_035_ccm,37.57230644838827,72.77051693942691
gamut_001_my,gamut_036_cmcmcy,27.515885493814622,47.300655381256945
gamut_001_my,gamut_037_ccmcm,36.89822096603337,70.8257284860492
gamut_001_my,gamut_038_cm,36.222606784461824,69.32951289019094
gamut_001_my,gamut_039_cmcmy,23.335380483771484,41.073038970929886
gamut_001_my,gamut_040_cmcmm,35.13474036452326,66.07578323833847
gamut_001_my,gamut_041_cmm,34.37109599011123,63.34509583512884
gamut_001_my,gamut_042_cmcmym,25.131764156104758,42.09442344130496
gamut_001_my,gamut_043_cmmm,33.417192263122594,60.28435836471355
gamut_001_my,gamut_044_mcmmm,32.92971476357494,58.33223760431778
gamut_001_my,gamut_045_mmcmmm,32.265530918588304,57.050737629025214
gamut_001_my,gamut_046_m,28.356480410099252,50.90211956120929
gamut_001_my,gamut_047_cmym,15.569508916038545,29.65836343417886
gamut_001_my,gamut_048_cmmym,20.66487733016731,33.664563536663586
gamut_001_my,gamut_049_cmmmym,22.956248142017998,36.140837580429555
gamut_001_my,gamut_050_mmmymm,19.370372263943306,30.02222502245041
gamut_001_my,gamut_051_mmmym,17.390107756086532,26.502744874408652
gamut_001_my,gamut_052_mmmy,13.072872411802722,19.294982591692452
gamut_001_my,gamut_053_mmy,7.936064166284995,11.612971026149598
gamut_001_my,gamut_054_cmymym,11.372287131455673,23.324020552784315
gamut_001_my,gamut_055_mmymy,3.804307623012311,5.736115377015058
gamut_002_cmy,gamut_003_cmymy,8.207918682640054,9.421115502988314
gamut_002_cmy,gamut_004_mymyy,20.047689993558073,34.0916594402665
gamut_002_cmy,gamut_005_myy,19.776514782680223,34.92011005702864
gamut_002_cmy,gamut_006_cymymy,8.517835130106342,14.821687552857332
gamut_002_cmy,gamut_007_myyy,20.01515150991037,36.796163347748866
gamut_002_cmy,gamut_008_ymyyy,20.763256920588155,38.60496406283047
gamut_002_cmy,gamut_009_yymyyy,22.066819480811205,41.02298047563337
gamut_002_cmy,gamut_010_y,37.03960485498101,68.46887897718696
gamut_002_cmy,gamut_011_cymy,8.243288680284975,14.28351009576904
gamut_002_cmy,gamut_012_cymyy,10.8638499652211,20.44982262052815
gamut_002_cmy,gamut_013_cymyyy,12.100367986556899,23.63902472453967
gamut_002_cmy,gamut_014_yycyyy,25.978849752116172,50.73769742331029
gamut_002_cmy,gamut_015_ycyyy,24.975478386230183,48.93495202255608
gamut_002_cmy,gamut_016_cyyy,23.662348106976687,46.3484793299308
gamut_002_cmy,gamut_017_cyy,23.36261387175272,44.67500136829646
gamut_002_cmy,gamut_018_cycymy,13.774298526314386,22.77856008899957
gamut_002_cmy,gamut_019_cycyy,23.845268967408153,43.75551421368188
gamut_002_cmy,gamut_020_cy,23.88340633728843,40.84527925451121
gamut_002_cmy,gamut_021_cmycy,12.541384410930464,15.29471872668294
gamut_002_cmy,gamut_022_ccycy,23.845075433468352,35.2964645868513
gamut_002_cmy,gamut_023_ccy,23.355281404583227,31.696634090184705
gamut_002_cmy,gamut_024_cmcycy,15.511621941383456,16.170909597787865
gamut_002_cmy,gamut_025_cccy,22.991993777519063,26.99994709067011
gamut_002_cmy,gamut_026_cccyc,22.69407452128346,26.133213354435426
gamut_002_cmy,gamut_027_cccycc,23.022227000442253,27.355484887615326
gamut_002_cmy,gamut_028_c,36.31398837120051,63.95717135082995
gamut_002_cmy,gamut_029_cmcy,10.88889799400336,10.97261998459655
gamut_002_cmy,gamut_030_ccmcy,16.410404695910227,19.150272451610235
gamut_002_cmy,gamut_031_cccmcy,19.671009918315818,23.66518900192366
gamut_002_cmy,gamut_032_cccmcc,36.10701465017857,62.775467725468566
gamut_002_cmy,gamut_033_cccmc,36.090409595084466,62.36839547363805
gamut_002_cmy,gamut_034_cccm,36.44451212772553,63.18438873527948
gamut_002_cmy,gamut_035_ccm,36.14849133459265,60.577341301016105
gamut_002_cmy,gamut_036_cmcmcy,19.615156684326728,23.143808436687262
gamut_002_cmy,gamut_037_ccmcm,36.05056388834318,59.63095507302201
gamut_002_cmy,gamut_038_cm,36.30932809010954,60.01428482875251
gamut_002_cmy,gamut_039_cmcmy,18.61109830132192,19.674107352902997
gamut_002_cmy,gamut_040_cmcmm,36.040097669131974,58.41270465725365
gamut_002_cmy,gamut_041_cmm,35.76677536295209,56.860094336035985
gamut_002_cmy,gamut_042_cmcmym,25.42463793857443,28.140848328517215
gamut_002_cmy,gamut_043_cmmm,35.49093531556025,55.49159654340678
gamut_002_cmy,gamut_044_mcmmm,35.44594063072419,54.97035215356952
gamut_002_cmy,gamut_045_mmcmmm,35.394361326658455,55.22078198513777
gamut_002_cmy,gamut_046_m,35.35624162679696,59.35406942260127
gamut_002_cmy,gamut_047_cmym,17.601519376084397,15.714017833012923
gamut_002_cmy,gamut_048_cmmym,24.83638791871782,26.00477985455974
gamut_002_cmy,gamut_049_cmmmym,27.88399706930406,32.27889785076295
gamut_002_cmy,gamut_050_mmmymm,29.64712065131417,43.50957466259986
gamut_002_cmy,gamut_051_mmmym,28.698014936699355,41.79396979220469
gamut_002_cmy,gamut_052_mmmy,26.584401879539932,38.39820773027658
gamut_002_cmy,gamut_053_mmy,23.97616018563688,34.21322652168315
gamut_002_cmy,gamut_054_cmymym,16.303642494803718,14.913381515831446
gamut_002_cmy,gamut_055_mmymy,22.211292105913948,33.019353312941604
gamut_003_cmymy,gamut_004_mymyy,13.771544897089093,25.035491639149924
gamut_003_cmymy,gamut_005_myy,14.051591315231706,26.037869399192815
gamut_003_cmymy,gamut_006_cymymy,5.0719277460876,7.968251801487486
gamut_003_cmymy,gamut_007_myyy,15.273734899640427,28.417096032892832
gamut_003_cmymy,gamut_008_ymyyy,16.897160676249335,30.770407115439365
gamut_003_cmymy,gamut_009_yymyyy,19.176234098249203,33.88796827281551
gamut_003_cmymy,gamut_010_y,37.55004901769386,64.68226950323479
gamut_003_cmymy,gamut_011_cymy,11.894964952775197,13.32767553479381
gamut_003_cmymy,gamut_012_cymyy,13.57625075569248,18.47266431612237
gamut_003_cmymy,gamut_013_cymyyy,14.398118591146648,21.249377612430056
gamut_003_cmymy,gamut_014_yycyyy,29.430635672290727,50.07615735561506
gamut_003_cmymy,gamut_015_ycyyy,28.821602102645052,48.740237857903814
gamut_003_cmymy,gamut_016_cyyy,28.061935665695405,46.84833265111483
gamut_003_cmymy,gamut_017_cyy,28.237862542263933,45.95588007254434
gamut_003_cmymy,gamut_018_cycymy,18.596480285574508,23.941116555479848
gamut_003_cmymy,gamut_019_cycyy,28.961042677270093,45.664808310124855
gamut_003_cmymy,gamut_020_cy,29.343902896465007,43.78434349095129
gamut_003_cmymy,gamut_021_cmycy,19.101352231585537,19.661756799645755
gamut_003_cmymy,gamut_022_ccycy,29.656134817159614,39.95627817666278
gamut_003_cmymy,gamut_023_ccy,29.46510611387494,37.49797264442904
gamut_003_cmymy,gamut_024_cmcycy,23.168370171633327,23.409468379326036
gamut_003_cmymy,gamut_025_cccy,29.808731952112705,34.88269085330514
gamut_003_cmymy,gamut_026_cccyc,29.672145794394993,35.125517427042695
gamut_003_cmymy,gamut_027_cccycc,29.580077737658282,36.377851437001006
gamut_003_cmymy,gamut_028_c,38.026654356926834,69.43509600416691
gamut_003_cmymy,gamut_029_cmcy,19.231613841710686,20.289685587475738
gamut_003_cmymy,gamut_030_ccmcy,22.677194988114927,27.74952521402576
gamut_003_cmymy,gamut_031_cccmcy,25.110913439363845,32.062025340222874
gamut_003_cmymy,gamut_032_cccmcc,37.33764346548521,67.55520902381386
gamut_003_cmymy,gamut_033_cccmc,37.2333411414817,67.00982120727247
gamut_003_cmymy,gamut_034_cccm,37.415647202758336,67.52916912965911
gamut_003_cmymy,gamut_035_ccm,36.85443147658472,64.48174346701816
gamut_003_cmymy,gamut_036_cmcmcy,21.895456501573204,29.55730368069581
gamut_003_cmymy,gamut_037_ccmcm,36.57998818539834,63.21146523595141
gamut_003_cmymy,gamut_038_cm,36.58579694657164,63.046940723962315
gamut_003_cmymy,gamut_039_cmcmy,19.034612217765105,24.611475912761275
gamut_003_cmymy,gamut_040_cmcmm,36.057465365961015,60.903030091753486
gamut_003_cmymy,gamut_041_cmm,35.57641146372774,58.921802886554595
gamut_003_cmymy,gamut_042_cmcmym,24.132345143815154,30.980533155258176
gamut_003_cmymy,gamut_043_cmmm,35.040789230819016,56.97653400565238
gamut_003_cmymy,gamut_044_mcmmm,34.79617822270317,55.966417234572376
gamut_003_cmymy,gamut_045_mmcmmm,34.60304489658639,55.79492257364223
gamut_003_cmymy,gamut_046_m,33.75624903894528,57.3028378180688
gamut_003_cmymy,gamut_047_cmym,14.02376694364966,15.96500624928013
gamut_003_cmymy,gamut_048_cmmym,21.723868366438417,26.072169494396412
gamut_003_cmymy,gamut_049_cmmmym,24.98697192160651,31.884980114394367
gamut_003_cmymy,gamut_050_mmmymm,26.269083661954998,39.29782708324014
gamut_003_cmymy,gamut_051_mmmym,24.898281578292934,37.000368439931144
gamut_003_cmymy,gamut_052_mmmy,21.877625439037587,32.3864618398683
gamut_003_cmymy,gamut_053_mmy,18.270955966667866,26.997731249772784
gamut_003_cmymy,gamut_054_cmymym,10.53587111697001,10.959834213454787
gamut_003_cmymy,gamut_055_mmymy,15.939132398016113,24.84131317870054
gamut_004_mymyy,gamut_005_myy,3.7415331188333125,5.1547674397024
gamut_004_mymyy,gamut_006_cymymy,15.79514488204495,23.516911307251892
gamut_004_mymyy,gamut_007_myyy,8.259702262775255,11.606652454441031
gamut_004_mymyy,gamut_008_ymyyy,11.630630926061858,16.41850893651068
gamut_004_mymyy,gamut_009_yymyyy,15.393246365039495,21.844452488913976
gamut_004_mymyy,gamut_010_y,37.37672325551397,58.0255442626598
gamut_004_mymyy,gamut_011_cymy,23.031258462764367,31.844970902762018
gamut_004_mymyy,gamut_012_cymyy,23.813493585030034,32.04456120459168
gamut_004_mymyy,gamut_013_cymyyy,24.240725640698216,32.47566765074106
gamut_004_mymyy,gamut_014_yycyyy,37.4749180253593,55.518522192216
