target_name,region_index,label,stack_token,fC,fM,fY,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma
simple_example_manual,1,gamut_001_my,my,0.0,0.5,0.5,0.75,0.4330127018922193,#e17c4b,0.8823529411764706,0.48627450980392156,0.29411764705882354,62.45289702748056,35.06929839281481,43.41945673452145,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,simple,12000,148785,62924,51438,50427,51438,1.0,0.65,0.65,8,98.0,2.1334367827846465,1011,0.019654729966172867,#a65e44,0.6509804,0.36862746,0.26666668,47.78822191686206,26.565850873797594,27.77005957153529,47.68036496393752,26.61103817738489,27.682571563740847,15.172928444884079,23.070867937152972,0.7873184809457694,1.5724459771747665,0.4480185003654038,46.26959836663616,38.43072522416759
simple_example_manual,2,gamut_002_mymyy,mymyy,0.0,0.4,0.6,0.7,0.5196152422706631,#e78f3c,0.9058823529411765,0.5607843137254902,0.23529411764705882,67.25038043422728,26.766151588117626,56.050858524577286,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,simple,12000,106804,45236,35333,34634,35333,1.0,0.65,0.65,8,98.0,4.167983631149207,699,0.019783205501938697,#a8653e,0.65882355,0.39607844,0.24313726,49.420834539151755,23.200408612257416,33.36519621208451,49.542165806901174,23.062194601048876,33.26805488001126,18.17860901398309,29.07312340205221,1.3015635857688512,2.736879760493294,0.8874218085019762,55.18727293621566,40.63859345556397
simple_example_manual,3,gamut_003_myy,myy,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5773502691896257,#eb9d32,0.9215686274509803,0.615686274509804,0.19607843137254902,70.87834005274337,20.623964460334378,63.79337035503971,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,simple,12000,77335,32714,24572,24084,24572,1.0,0.65,0.65,8,98.0,2.502154623824627,488,0.019860003255738237,#a7683b,0.654902,0.40784314,0.23137255,50.018246993470484,20.87326592287314,35.31926941819242,50.06190985878277,20.895946137918592,35.4122957024303,21.232264668285886,35.29844271101088,0.7981352330705197,1.5824632755523425,0.5153728484951541,59.41742034897317,41.026138284291875
simple_example_manual,4,gamut_004_ymyy,ymyy,0.0,0.25,0.75,0.625,0.649519052838329,#f0ad25,0.9411764705882353,0.6784313725490196,0.1450980392156863,75.17069205620427,13.897348872566884,71.97054159381838,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,simple,12000,54356,22891,16349,16023,16349,1.0,0.65,0.65,8,98.0,4.236045787713883,326,0.019940057495871306,#a96f38,0.6627451,0.43529412,0.21960784,51.929534916580906,17.85125431947876,39.07016736661949,51.81508251856032,17.791963525517748,39.1107492424436,22.977279604924608,40.47492282588712,1.3045551866325267,2.78557455713205,0.9155061325767642,65.44422411251162,42.955154042726555
simple_example_manual,5,gamut_005_yymyy,yymyy,0.0,0.2,0.8,0.6000000000000001,0.6928203230275509,#f3b71e,0.9529411764705882,0.7176470588235294,0.11764705882352941,77.88658998186094,9.774007373456461,76.02676705068747,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,simple,12000,63732,27116,20526,20121,20526,1.0,0.65,0.65,8,98.0,6.052272083162873,405,0.019731072785735167,#a87037,0.65882355,0.4392157,0.21568628,52.05246798790371,16.963391141046614,39.959624901141844,51.81166664698287,16.98102728716693,39.80910738018226,25.290295417493468,44.94360734289009,1.9810333579433952,4.116774672412358,1.3308895155176137,66.99813302722316,43.4111536502325
simple_example_manual,6,gamut_006_y,y,0.0,0.0,1.0,0.5,0.8660254037844386,#ffdf00,1.0,0.8745098039215686,0.0,88.94096720886532,-5.949434572648293,88.5567575521992,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,simple,8433,31521,13325,8604,8433,8604,1.0,0.65,0.65,8,98.0,2.3422122674608437,171,0.0198744769874477,#d1c430,0.81960785,0.76862746,0.1882353,78.10873897164241,-10.828884629248082,69.94737316148164,77.8325931439024,-11.113997699814814,69.70105349920361,9.054917713861085,22.078391898859472,0.5877973495357841,1.5137651879864282,0.49814311380293513,98.80036730408608,70.78064533829235
simple_example_manual,7,gamut_007_yycyy,yycyy,0.2,0.0,0.8,0.4,0.6928203230275509,#d7da2c,0.8431372549019608,0.8549019607843137,0.17254901960784313,84.3667653359768,-19.647053313897157,76.98686095704784,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,simple,12000,63743,27051,20504,20095,20504,1.0,0.65,0.65,8,98.0,3.329483146484665,409,0.019947327350760827,#6f9633,0.43529412,0.5882353,0.2,57.510166830578086,-29.32764843629332,46.36602458430933,57.51370749992719,-29.275009744256998,46.37654038386628,23.886691865044888,41.86438134464631,0.9659073044911985,2.153183276506559,0.7470264234954753,122.31435739573192,54.86273050583242
simple_example_manual,8,gamut_008_ycyy,ycyy,0.25,0.0,0.75,0.375,0.649519052838329,#cdd937,0.803921568627451,0.8509803921568627,0.21568627450980393,83.38010598564017,-22.911475895264044,72.6579380339764,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,simple,12000,54135,23023,16383,16058,16383,1.0,0.65,0.65,8,98.0,2.9255272197264155,325,0.019837636574497955,#699336,0.4117647,0.5764706,0.21176471,56.23374827441165,-30.078228213146595,43.011584228952024,56.22775429531862,-30.068460866406962,43.23977874533099,23.964714182062796,40.83127930526466,1.0169152638923853,1.9470026088298855,0.6194803496441852,124.96529726623237,52.48519972645967
simple_example_manual,9,gamut_009_cyy,cyy,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.5773502691896257,#bdd749,0.7411764705882353,0.8431372549019608,0.28627450980392155,81.78436408497542,-27.531586792779173,64.35620557265086,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,simple,12000,77476,32910,24638,24152,24638,1.0,0.65,0.65,8,98.0,2.1470129122559434,486,0.01972562708012014,#608e39,0.3764706,0.5568628,0.22352941,54.219869418865855,-30.618603132398615,39.49775918004427,54.25942636621998,-30.58833774152083,39.49856874273913,23.740438889761723,37.24611916875577,0.6863642249064287,1.3903412336838163,0.4047227900746083,127.78278861825811,49.97571248140542
simple_example_manual,10,gamut_010_cycyy,cycyy,0.4,0.0,0.6,0.3,0.5196152422706631,#b0d558,0.6901960784313725,0.8352941176470589,0.34509803921568627,80.47282173371678,-30.62907611862564,56.47710040787457,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,simple,12000,106863,45493,35428,34750,35428,1.0,0.65,0.65,8,98.0,3.7629201652551805,678,0.019137405442023258,#5f8e3e,0.37254903,0.5568628,0.24313726,54.17227274974172,-30.85161915595791,37.568089686223125,54.340569772918386,-30.850304636591463,37.42133786399837,22.129898788995344,32.393195099178875,0.7637098682602728,2.1962455157736622,0.7808503992241926,129.39348113644303,48.612588567328665
